GEN.1.1	Muga na maki lobo ni rata, a Vure i rata rike a hunu a malala. 
GEN.1.2	A malala i uka ma i manga ia ngane. I tabuli tavula kunana. A uvo i kavitagua a utu. A hanuna Vure kunana i rara polomeli vona. 
GEN.1.3	Muri a Vure i ta maea, “Ge palala.” Ngane i palala. 
GEN.1.4	I masia a hini palala i kamumu. Muri i kalipida a hini palala, a uvo. 
GEN.1.5	A Vure i vunua a hini palala a parava, a uvo i vunua a rodo. I rodo i palala. Iea a mugana maka parava. 
GEN.1.6	Muri a Vure i ta maea, “Ge bele tara koropala ge kalipidea a naru ge tabuli na hini ge rua.” 
GEN.1.7	Lakea, a Vure i ratea a koropala, i kalipidea a naru i tabuli polomeli ranga, i tabuli polotano ranga. Muri i bele manga a ngava i taki. 
GEN.1.8	A koropala iea i vunua a hunu. I rodo i palala. Iea a ruana parava.
GEN.1.9	Muri a Vure i ta maea, “A naru polotano na hunu ge tua lakea na hini ranga, ge bele a hini ge vu.” Muri i bele manga a ngava i taki. 
GEN.1.10	A hini vu a Vure i vunua a malala. A hini vona a naru i vunua a dari. I matai a maki i rata i kamumu.
GEN.1.11	Muri a Vure i ta maea, “A malala ge vakabele a maka varili, a kai, a uve ni varo, turana maka kai ri gi tahoka a kanena turana a vutuna ri gi vakabele tabu a hamone ria.” Muri i bele manga a ngava i taki. 
GEN.1.12	A malala i tuvu vona a maka varili, a kai, a uve ni varo, turana a maka kai ri tahoka a kanena turana a vutuna ri gi vakabele tabu a hamone ria. A Vure i matai a maki i rata i kamumu. 
GEN.1.13	I rodo, i palala. Iea a toluna parava.
GEN.1.14	Muri a Vure i ta maea, “Ge tahoka a maka maki ri gi para polomeli na koropalana hunu, ri gi vakalipida a hini palala, a rodo. Ri gi vakasiri a parava, a pida, a tahuna na haro, a tahuna na vala. 
GEN.1.15	A maka maki ri para na koropala bara ri vakapalala a malala.” Muri i bele manga a ngava i taki. 
GEN.1.16	A Vure i rata a nipara dagi i rua. A viri dagi ne vona ni matakari a parava. A viri kiroko ne vona ni matakari a rodo. A hada ranga i rata rike. 
GEN.1.17	I ru ria na koropala na hunu ne vona ni vakapalala a malala, 
GEN.1.18	bara ri matakari a parava, a rodo, bara ri kalipida a hini palala, a hini uvo. A Vure i matai a maki i rata i kamumu. 
GEN.1.19	I rodo i palala. Iea a vana parava.
GEN.1.20	Muri a Vure i ta maea, “A dari ge vonu vona a maka maki mahuri, ri gi laho lae na kabune ria. A maka kadirovo ri gi bebe polomeli na koropalana malala a hunu.” 
GEN.1.21	Lakea a Vure i rata rike a maka kabuna manu lobo, a maki dagi na utu, ri huru lae vona, ri vakavonu a dari, ri gi vakabele tabu a hamone ria. A maka kadirovo ranga, a Vure i rata rike ria ri gi vakabele tabu a hamone ria. A Vure i matai a maki i rata i kamumu, 
GEN.1.22	i gamai ria i ta maea, “Mua a maki lobo na dari, mu bele kupo mu vakavonu a dari, mua a maka kadirovo mu bele kupo na robo.” 
GEN.1.23	I rodo i palala. Iea a limana parava.
GEN.1.24	Muri a Vure i ta maea, “A maka maki mahuri ri gi vakabele tabu a kabu ne ria: a sipsip a bulmakau, a maki kiroko ri karaka lae na robo, a livoa hateka.” Muri i bele manga a ngava i taki. 
GEN.1.25	A Vure i rata rike a maka livoa, a sipsip a bulmakau, a maki i karaka lae na malala, ria lobo ri gi vakabele tabu a hamone ria. A Vure i matai a maki i rata i kamumu.
GEN.1.28	A Vure i gamai rua i taki rua, “Muru bele kupo, muru vakavonu a malala, muru matakaria. Muru matakari a maka manu na dari, a maka kadirovo, turana a maki mahuri lobo na robo.” 
