GEN.1.1	Paphibangga, Tingwang niu ting-kadih damsubo tingga,
GEN.1.2	Kadih hai palun thiumakjiu khatdi wadi hajiu bamniu-e. Kasuakjiu bambo duinai khuan siniu wahinatu gomnam lujiu tamiuting bamniu-e, siga Tingwang pumtan
GEN.1.3	Siga Tingwang niu chamtan pikhaide, “Kabenbo padmilo” sichiugap kabenbose padmide. 
GEN.1.4	Sise Tingwang paniu ngaoluboga pachun wimide, Sichiujiu paniu tamiubo gasu kabenbo situ kamtam khai bide. 
GEN.1.5	Sichiu paniu kabenbo situ “N-nien” khatdi tamiubo situ, “Nchun” kukhaide. Nchun loijiu nsuan padlanbo situ raithubo tingmik kumide.
GEN.1.8	Paniu tingpuk situ “Tinggen” kukhaide. Nchun loijiu nsuan padlanbo situ paniabo tingmik kumide.
GEN.1.9	Sibosai Tingwang niu chamtan pikhaide, “Tingpuk hangga bambo dui hai pabam khatga wang aruang milo, chiujiu rampumgen padmilo” siga sise padmide. 
GEN.1.10	Paniu rampumgen situ “Kadih” khatdi tadui wang aruangbo situ “Duipui” kukhaide. Khatdi Tingwang paniu ngaoboga palung kimde. 
GEN.1.11	Sibosai paniu chamtan pikhaide, “Kadihpiriga singbang, chapiubuan hina padmilo khatdi sise pabuan bonjiu pasy masi milo,” siga sise padmide. 
GEN.1.12	Sijengniu kadihpiri gahai singbang, chapiubuan hina padmide, sise Tingwang paniu ngaoboga palung kim mide. 
GEN.1.13	Nchun loijiu nsuan padmide, sise pasumbo tingmik mide.
GEN.1.14	Sibosai Tingwang niu chamtan pikhaide, “Tingpuk ga kabenbo hai padmilo, sichiujiu nchun nai n-nien situ njantam padlujiu tingmikdung, tingkumdung maksai pating pawan
GEN.1.15	sichiujiu paliu siniu tingpuk gasu kadihpiriga pabiuse pikhai milo,” siga sise padmide. 
GEN.1.16	Haichiujiu Tingwang niu di-nkiubo kabenbo nia damkhaijiu naimik siniu n-nientu khatdi chahiu siniu nchuntu mawangra damkhaide; paniu chagandung tudi damkhai bide. 
GEN.1.17	Paniu kadihpiriga kabenbodung siniu pabiu thaokhai raleng tingpukga pibam khaide. 
GEN.1.18	Sichiujiu nchun n-nien saomakjiu mawang bamra, tamiubo gasu kabenbo situ kamtam khaide. Khatdi Tingwang niu ngaoboga palung kimde. 
GEN.1.19	Nchun loijiu nsuan padlande, haise pamadaibo tingmik mide.
GEN.1.20	Sibosai Tingwang niu chamtan pikhaide, “Taduiga pijiu karingbo khaoringdung siniu phuimilo, khatdi pijiu tingkai gase thingnadungniu phuimilo”. 
