GEN.1.1	Er penn-kentañ, Doue a grouas an neñvoù hag an douar. 
GEN.1.2	An douar a oa deuet dizoare ha goullo, an deñvalijenn a oa war c'horre an donder, ha Spered Doue a fiñve dreist an doureier. 
GEN.1.3	Doue a lavaras: Ra vo ar sklêrijenn. Hag ar sklêrijenn a voe. 
GEN.1.4	Doue a welas e oa mat ar sklêrijenn, ha Doue a zispartias ar sklêrijenn diouzh an deñvalijenn. 
GEN.1.5	Doue a c'halvas ar sklêrijenn deiz, hag an deñvalijenn noz. Hag un abardaez, hag ur beure, a voe an deiz kentañ. 
GEN.1.6	Doue a lavaras: Ra vo un astennidigezh etre an doureier, ma tispartio an doureier diouzh an doureier. 
GEN.1.7	Doue a reas an astennidigezh hag a zispartias an doureier a zo dindan an astennidigezh diouzh ar re a zo dreist an astennidigezh. Hag evel-se e voe. 
GEN.1.8	Doue a c'halvas an astennidigezh neñvoù. Hag un abardaez, hag ur beure, a voe an eil deiz. 
GEN.1.9	Doue a lavaras: Ra en em zastumo an doureier a zo dindan an neñvoù en ul lec'h hepken, ma en em ziskouezo ar sec'h. Hag evel-se e voe. 
GEN.1.10	Doue a c'halvas ar sec'h douar, ha dastumadeg an doureier morioù. Doue a welas e oa mat kement-se. 
GEN.1.11	Doue a lavaras: Ra broduo an douar glasvez, geot o tougen had, gwez-frouezh o tougen o frouezh hervez o rumm hag o devo o had enno o-unan war an douar. Hag evel-se e voe. 
GEN.1.12	An douar a broduas glasvez, geot o tougen o had hervez o rumm, gwez o tougen frouezh hag o doa o had enno o-unan hervez o rumm. Doue a welas e oa mat kement-se. 
GEN.1.13	Hag un abardaez, hag ur beure, a voe an trede deiz. 
GEN.1.14	Doue a lavaras: Ra vo goulaouennoù en astennidigezh an neñvoù evit dispartiañ an deiz diouzh an noz; ra vint sinoù evit an amzerioù, evit an deizioù hag evit ar bloavezhioù; 
GEN.1.15	ra vint goulaouennoù en astennidigezh an neñvoù evit sklêrijennañ an douar. Hag evel-se e voe. 
GEN.1.16	Doue a reas an div c'houlaouenn vras: ar c'houlaouenn vrasañ evit ren war an deiz, hag ar c'houlaouenn vihanañ evit ren war an noz. Ober a reas ivez ar stered. 
GEN.1.17	Doue a lakaas anezho en astennidigezh an neñvoù evit sklêrijennañ an douar, 
GEN.1.18	evit ren war an deiz ha war an noz, hag evit dispartiañ ar sklêrijenn diouzh an deñvalijenn. Doue a welas e oa mat kement-se. 
GEN.1.19	Hag un abardaez, hag ur beure, a voe ar pevare deiz. 
GEN.1.20	Doue a lavaras: Ra broduo an doureier boudoù bev a-fonn, ha ra nijo laboused a-us d'an douar war-zu astennidigezh an neñvoù. 
GEN.1.21	Doue a grouas ar pesked bras hag an holl voudoù bev a fiñv a broduas an doureier gant fonnder hervez o rumm, ha pep labous askellek hervez e rumm. Doue a welas e oa mat kement-se. 
GEN.1.22	Doue o bennigas, o lavarout: Bezit frouezhus, kreskit ha leugnit doureier ar morioù, ha ra gresko al laboused war an douar. 
GEN.1.23	Hag un abardaez, hag ur beure, a voe ar pempvet deiz. 
GEN.1.24	Doue a lavaras: Ra broduo an douar boudoù bev hervez o rumm, chatal, stlejviled hag anevaled douarek hervez o rumm. Hag evel-se e voe. 
GEN.1.25	Doue a reas anevaled an douar hervez o rumm, ar chatal hervez e rumm hag holl stlejviled an douar hervez o rumm. Doue a welas e oa mat kement-se. 
GEN.1.26	Doue a lavaras: Greomp an den en hor skeudenn, hervez hon heñveledigezh, ha ra reno war besked ar mor, war laboused an neñvoù, war ar chatal, war an douar holl ha war an holl stlejviled a ruz war an douar. 
GEN.1.27	Doue a grouas an den en e skeudenn, e grouiñ a reas e skeudenn Doue; o c'hrouiñ a reas gwaz ha maouez. 
GEN.1.28	Doue o bennigas ha Doue a lavaras: Bezit frouezhus, kreskit, leugnit an douar ha mestrognit anezhañ, renit war besked ar mor, war laboused an neñvoù ha war gement aneval a fiñv war an douar. 
GEN.1.29	Ha Doue a lavaras: Setu, roet em eus deoc'h pep geotenn o tougen had a zo war c'horre an douar holl, ha pep gwezenn he deus enni frouezh gwezenn o tougen had: kement-se a vo ho poued. 
GEN.1.30	Da holl loened an douar, da holl laboused an neñvoù, da gement a fiñv war an douar hag en deus ennañ un ene bev, em eus roet pep geotenn c'hlas evit boued. Hag evel-se e voe. 
GEN.1.31	Doue a welas kement en doa graet ha setu, e oa mat-meurbet. Hag un abardaez, hag ur beure, a voe ar c'hwec'hvet deiz.
GEN.2.1	Evel-se e voe echuet an neñvoù hag an douar, hag o holl arme. 
GEN.2.2	Er seizhvet deiz, Doue en doa echuet e holl labour en doa graet, hag e tiskuizhas er seizhvet deiz eus e holl labour en doa graet. 
GEN.2.3	Doue a vennigas ar seizhvet deiz hag en santelaas, abalamour ma tiskuizhas ennañ eus e holl labour en doa krouet ha graet Doue. 
GEN.2.4	Setu ginivelezhioù an neñvoù hag an douar pa voent krouet, en deiz ma reas an 
GEN.2.5	Plantenn ebet eus ar parkeier ne oa c'hoazh war an douar ha geotenn ebet eus ar parkeier ne ziwane c'hoazh, rak an 
GEN.2.6	met ur vrumenn a savas eus an douar hag a zouraas holl c'horre an douar. 
GEN.2.7	Neuze an 
GEN.2.8	Neuze an 
GEN.2.9	An 
GEN.2.10	Ur stêr a zeue er-maez eus Eden da zourañ al liorzh, hag ac'hane en em lodenne hag e rae peder brec'h. 
GEN.2.11	Anv ar gentañ stêr eo Pishon; hounnezh eo an hini a ra tro holl vro Havila, e-lec'h ma ez eus aour. 
GEN.2.12	Aour ar vro-se a zo mat, eno e vez kavet ar bdeliom hag ar maen-oniks. 
GEN.2.13	Anv an eil stêr eo Gihon; hounnezh eo an hini a ra tro holl vro Gush. 
GEN.2.14	Anv an deirvet stêr eo Hiddekel; hounnezh eo an hini a red e sav-heol Asiria. Ar bedervet stêr eo an Eufratez. 
GEN.2.15	An 
GEN.2.16	An 
GEN.2.17	met, eus gwezenn anaoudegezh ar mad hag an droug ne c'helli ket debriñ diouti, rak an deiz ma tebri diouti e varvi a-dra-sur. 
GEN.2.18	An 
GEN.2.19	An 
GEN.2.20	Adam a roas anvioù d'an holl chatal, da laboused an neñvoù ha da holl anevaled ar parkeier; met evit an den, ne gavas skoazell ebet heñvel outañ. 
GEN.2.21	Neuze an 
GEN.2.22	An 
GEN.2.23	Adam a lavaras: Houmañ a zo bremañ askorn eus va eskern ha kig eus va c'hig! Houmañ a vo anvet denez rak kemeret eo bet eus an den. 
GEN.2.24	Dre-se an den a lezo e dad hag e vamm hag en em stago ouzh e wreg, hag e vint ur c'hig hepken. 
GEN.2.25	Int a oa o-daou en noazh, an den hag e wreg, ha n'o doa ket mezh.
GEN.3.1	An naer a oa an ijinusañ eus holl anevaled ar parkeier en doa graet an 
GEN.3.2	Ar wreg a lavaras d'an naer: Ni a c'hell debriñ frouezh eus gwez al liorzh. 
GEN.3.3	Met diwar-benn frouezh ar wezenn a zo e-kreiz al liorzh, Doue en deus lavaret: Ne zebrot ket diouto ha ne stokot ket outo, gant aon na varvfec'h. 
GEN.3.4	Neuze an naer a lavaras d'ar wreg: Ne varvot ket, tamm ebet, 
GEN.3.5	met Doue a oar penaos e deiz ma tebrot diouto, ho taoulagad a zigoro hag e viot evel doueed, oc'h anavezout ar mad hag an droug. 
GEN.3.6	Pa welas ar wreg e oa ar frouezh mat da zebriñ ha plijus d'an daoulagad, ha ma oa prizius evit digeriñ ar skiant, e kemeras eus he frouezh hag e tebras diouto. Reiñ a reas ivez diouto d'he fried a oa ganti, hag hemañ a zebras diouto. 
GEN.3.7	O daoulagad a voe digoret hag ec'h anavezjont e oant en noazh. Neuze e wrijont asambles delioù fiez hag en em rejont gourizoù. 
GEN.3.8	Klevout a rejont trouz an 
GEN.3.9	An 
GEN.3.10	Eñ a respontas: Klevet em eus da vouezh el liorzh hag em eus bet aon, dre ma'z on en noazh, hag ez on en em guzhet. 
GEN.3.11	An 
GEN.3.12	Adam a respontas: Ar wreg ac'h eus roet evit bezañ ganin eo he deus roet din eus ar wezenn, hag em eus debret diouti. 
GEN.3.13	An 
GEN.3.14	An 
GEN.3.15	Hag e lakain enebiezh etre te hag ar wreg, etre da lignez hag he lignez: houmañ a friko dit da benn, ha te he flemmo en he seul. 
GEN.3.16	Lavarout a reas d'ar wreg: Kreskiñ a rin kalz da boan ha da vrazezded, genel a ri bugale gant poan, da c'hoantoù a zroio etrezek da ozhac'h hag eñ a reno warnout. 
