MAT.1.1	Абраһамай үри һадаһан болохо Давидай үри һадаһан Иисус Христосой уг гарбалынь иимэ:
MAT.1.2	Абраһам болбол Исаагай эсэгэ, Исаак – Яковай эсэгэ, Яков – Иудын ба тэрэнэй аха дүүнэрэй эсэгэ байгаа. 
MAT.1.3	Иуда болбол Тамар гэдэг эхэнэрһээ Перец Зерах хоёр хүбүүтэй байгаа. Перец – Һэцрон хүбүүтэй, Һэцрон – Арам гэдэг хүбүүтэй, 
MAT.1.4	Арам – Аминадаб хүбүүтэй, Аминадаб – Нахшон хүбүүтэй, Нахшон – Салмон хүбүүтэй байгаа. 
MAT.1.5	Салмон болбол Рахаб гэдэг эхэнэрһээ Боаз хүбүүтэй болоо. Боаз Руфь хоёрһоо Обед хүбүүн түрөө. Обедһээ Иесай хүбүүн түрөө. 
MAT.1.6+MAT.1.7+MAT.1.8+MAT.1.9+MAT.1.10+MAT.1.11	Иесайн уг тэрэнэй хүбүүн Давид хаан залгамжалаа.
MAT.1.6+MAT.1.7+MAT.1.8+MAT.1.9+MAT.1.10+MAT.1.11	Давид хаанай захиралтаһаа эхилээд, Израилиин арад зониие хашалтаар Вавилон руу нүүлгэһэн саг хүрэтэр Иисусай элинсэг үбгэ эсэгэнэрынь иимэ: Давидай уг Соломон залгамжалаа. Соломоной эхэнь түрүүн Урия гэдэг хүнэй һамганиинь һэн. Соломонһоо Рехобоам хүбүүн, Рехобоамһаа – Абия, Абияһаа – Аса, Асаһаа – Иошафат, Иошафадһаа – Иорам, Иорамһаа – Узия, Узияһаа – Иотам, Иотамһаа – Ахаз, Ахазһаа – Езекия, Езекияһаа – Манассий, Манассийһаа – Амон, Амонһоо – Иосий түрөө. Иосийһоо Иехони болон тэрэнэй аха дүүнэрынь түрэһэн юм.
MAT.1.12	Вавилон руу хашалтаар нүүлгэгдэһэнһэйнь хойшо Иехониһоо Залафиил гараа, Залафиилһаа Зоробабэл, 
MAT.1.13	Зоробабэлһээ – Абиуд, Абиудһаа – Елиаким, Елиакимһаа – Ацор, 
MAT.1.14	Ацорһоо – Садок, Садокһоо – Ахим, Ахимһаа – Елиуд, 
MAT.1.15	Елиудһаа – Елеазар, Елеазарһаа – Матфан, Матфанһаа – Яков, 
MAT.1.16	Яковһаа Мариятай һууһан Иосиф түрэһэн байгаа. Марияһаа Бурханай табисуурта гэжэ алдаршаһан Иисус хүбүүн түрөө. 
MAT.1.17	Иигээд, Абраһамһаа Давид хүрэтэр арбан дүрбэн үе болоно. Мүн Давидһаа эхилээд, Вавилондо нүүлгэгдэһэн саг болотор арбан дүрбэн үе, Вавилондо нүүлгэгдэһэнһээ хойшо Бурханай табисууртын түрэтэр баһал арбан дүрбэн үе болоно.
MAT.1.18	Бурханай табисуурта Иисус Христосой түрэһэн түүхэ иимэ: Мария эжынь хадагаа табиһан Иосиф нүхэртэйгөө гэрлэхынгээ урда Нангин Һүлдэһөө хээлитэй болоһоноо мэдэрбэ. 
MAT.1.19	Мариягай Иосиф нүхэрынь үнэн сэдьхэлтэй хүн байжа, зоной урда басаганай нэрэ муугаар хэлүүлэн бузарлахагүйн тула түрэ хуримаа шэмээгүйхэн болюулха гэжэ шиидэбэ. 
MAT.1.20	Тиигэжэ бодоод, Иосифой дууран хэбтэхэдэнь, Бурханай Эльгээмэл зүүдэндэнь үзэгдөөд, иигэжэ хэлэбэ:
MAT.1.20	«Давидай үри һадаһан Иосиф, Мариягай түрэхэ хүбүүн Нангин Һүлдэһөө бүрилдэһэн юм. Тиимэһээ ши тэрэниие һамган болгожо абахаяа бү ай. 
MAT.1.21	Тэрэшни хүбүү түрэхэ, тэрээндэ Иисус
