GEN.1.2	Umhlaba wawulihlane lelingenalutfo, bumnyama babumbonye emanti nekujula kwawo; Moya waNkulunkulu
GEN.1.3	Nkulunkulu watsi: “Akube khona kukhanya,” kwaba khona kukhanya. 
GEN.1.4	Nkulunkulu wabona kutsi kukhanya kuhle. Nkulunkulu wehlukanisa kukhanya nebumnyama. 
GEN.1.5	Nkulunkulu wakwetsa kukhanya watsi: “Yimini,” bumnyama wabetsa watsi: “Busuku.” Kwahlwa, kwasa: Kwaba lilanga lekucala.
GEN.1.7	Nkulunkulu wenta umkhatsi, wehlukanisa emanti labengephansi kwemkhatsi nemanti labengetulu kwemkhatsi. Kwase kuba njalo. 
GEN.1.8	Nkulunkulu wawetsa lomkhatsi watsi: “Lizulu.” Kwahlwa, kwasa: Kwaba lilanga lesibili.
GEN.1.10	Lokomile Nkulunkulu wakwetsa libito watsi: “Ngumhlaba;” nemanti labutsene ndzawonye wawetsa libito watsi: “Lwandle.” Nkulunkulu wabona kutsi loko kuhle. 
GEN.1.11	Nkulunkulu watsi: “Umhlaba awuvete konkhe lokumilako: lokutsela tinhlavu, netihlahla tetitselo letitsela tinhlavu letiyinhlanyelo ngetinhlobo tato.” Kwase kuba njalo. 
GEN.1.12	Umhlaba waveta konkhe lokumilako lokutsela tinhlavu, netihlahla tetitselo letitsela tinhlavu letiyinhlanyelo ngetinhlobo tato. Nkulunkulu wabona kutsi loko kuhle. 
GEN.1.13	Kwahlwa, kwasa: Kwaba lilanga lesitsatfu.
GEN.1.15	Atibe tibane temkhatsi wesibhakabhaka tikhanyisele umhlaba.” Kwase kuba njalo. 
GEN.1.16	Nkulunkulu wenta tibane letikhulu taba tibili: lesikhulu kutsi sibuse imini, lesincane kutsi sibuse busuku. Wenta netinkhanyeti futsi. 
GEN.1.17	Nkulunkulu watibeka emkhatsini wesibhakabhaka kutsi tikhanyisele umhlaba, 
GEN.1.18	tibuse imini nebusuku, tehlukanise kukhanya nebumnyama. Nkulunkulu wabona kutsi loko kuhle. 
GEN.1.19	Kwahlwa, kwasa: Kwaba lilanga lesine.
GEN.1.20	Nkulunkulu watsi: “Emanti akagcwale yonkhe inhlobo yetilwane letiphilako, kundize tinyoni etikwemhlaba emkhatsini wesibhakabhaka.” 
GEN.1.21	Ngako-ke Nkulunkulu wadala tilwane letikhulu taselwandle nato tonkhe tinhlobo tetilwane letiphilako letigcwele emantini ngetinhlobo tato, nato tonkhe tinhlobo tetinyoni letinetimphiko. Nkulunkulu wabona kutsi loko kuhle. 
GEN.1.22	Nkulunkulu watibusisa watsi: “Talanani, nandze nigcwalise tilwandle, netinyoni tandze nemhlaba wonkhe.” 
GEN.1.23	Kwahlwa, kwasa: Kwaba lilanga lesihlanu.
GEN.1.24	Nkulunkulu watsi: “Umhlaba awuvete tonkhe tinhlobo tetilwane letiphilako: tonkhe tinhlobo tetifuyo, netetilwane letihamba ngesisu, netilo tesiganga.” Kwase kuba njalo. 
GEN.1.25	Nkulunkulu wenta tonkhe tinhlobo: tetilo tesiganga, netetifuyo, netetilwane letihamba ngesisu. Nkulunkulu wabona kutsi loko kuhle.
GEN.1.27	waba ngumfanekiso wakhe;
GEN.1.27	wamdala waba ngumfanekiso waNkulunkulu:
GEN.1.27	wabadala, lomdvuna nalomsikati.
GEN.1.28	Nkulunkulu wababusisa watsi: “Talanani, nandze, nigcwalise umhlaba, niwuncobe. Nibuse etikwetinhlanti taselwandle, nasetikwetinyoni tasemoyeni, nasetikwato tonkhe tilwane letihamba emhlabeni.” 
GEN.1.29	Nkulunkulu watsi: “Ase nibuke la, ngininike tonkhe tibhidvo letisemhlabeni wonkhe letimilisa inhlanyelo, nato tonkhe tihlahla letinenhlanyelo etitselweni tato, kutsi kube kudla kwenu. 
GEN.1.30	Kepha konkhe lokuphilako: tilwane temhlaba, nato tonkhe tinyoni tasemoyeni, netilwane letihamba ngesisu, ngikunika konkhe lokuluhlata kutsi kube kudla kwako.” Kwase kuba njalo. 
GEN.1.31	Nkulunkulu wakubona konkhe labesakwentile, kutsi kuhle kakhulu. Kwahlwa, kwasa: Kwaba lilanga lesitfupha.
GEN.2.1	Ngako-ke kwase kupheleliswe lizulu nemhlaba, nendalo yako konkhe. 
GEN.2.2	Ngelilanga lesikhombisa Nkulunkulu abesawucedzile wonkhe umsebenti wakhe labewenta; wase uyaphumula. 
GEN.2.3	Ngako-ke Nkulunkulu walibusisa lilanga lesikhombisa, walingcwelisa; ngobe ngalo waphumula emsebentini wakhe wonkhe wekudala.
GEN.2.4	Ladalwa kanjalo-ke lizulu nemhlaba.
GEN.2.4	Ngesikhatsi Nkulunkulu Simakadze enta umhlaba nelizulu, 
GEN.2.5	kusete nakunye lokumilako emhlabeni, netibhidvo tisengakabikho, ngobe Nkulunkulu Simakadze abesengakayinisi imvula emhlabeni, kwakute umuntfu wekuwulima lomhlaba. 
