MAT.1.1	Ujawawu wata situuba Yéesu 
MAT.1.2	Abulaham abukumuu Isaak. Isaak li abuk 
MAT.1.3	Súda li abuk Falees li Saala. Jaawiil kajawool Tamaal. Falees li abuk Esilom, min Esilom abuk Alam. 
MAT.1.4	Alam li abuk Aminadab. Aminadab li abuk Naasoŋ, min Naasoŋ abuk Salimoŋ. 
MAT.1.5	Salimoŋ li abuk Bóos. Jaaw ata Bóos kajawool Lahab. Bóos li abuk Obed. Jaaw ata Obed kajawool Lút. Obed li abuk Isay (Jes).
MAT.1.6	Isay li abuk áyiiyawu Dayit, min Dayit abuk 
MAT.1.7	Salomoŋ li abuk Lobowam, min Lobowam abuk Abiya. Abiya li abuk Aasa. 
MAT.1.8	Aasa li abuk Sosafat, min Sosafat abuk Soolam. Soolam li abuk Osiyaas. 
MAT.1.9	Osiyaas li abuk Sowatam, min Sowatam abuk Akaas. Akaas li abuk Esekiyaas. 
MAT.1.10	Esekiyaas li abuk Manase, min Manase abuk Amoŋ. Amoŋ li abuk Soosiyaas. 
MAT.1.11	Soosiyaas li abuk Sekoniyaas li kutuyool, nan kujokumuu kata Isilayeel kújowetum li etaamayi yata Babiloon. 
MAT.1.12	Nan kujokumuu kata Isilayeel kújowetum Babiloon fúlum tó, Sekoniyaas li abuk Salaasiyel. Salaasiyel li abuk Solobabel. 
MAT.1.13	Solobabel li abuk Abíhud, min Abíhud abuk Eliyakim. Eliyakim li abuk Asool. 
MAT.1.14	Asool li abuk Sadok, min Sadok abuk Akim. Akim li abuk Elíhud. 
MAT.1.15	Elíhud li abuk Eleyasaal, min Eleyasaal abuk Matan. Matan li abuk Sakob. 
MAT.1.16	Sakob li abuk Suseef alakomuu ánayinaawu ata Mali. Mali abukumuu Yéesu an koonemuu Kilisita.
MAT.1.17	Muñeˈe baje feh umaane woono kuŋen li ubakii, kítum li Abulaham boot yok li Dayit. Li baj foof umaane woono kuŋen li ubakii, kítum li Dayit boot yok nan kujokumuu kata Isilayeel kújowetum Babiloon. Li laañen baj umaane woono kuŋen li ubakii, kítum nan kujokumuu kata Isilayeel kújowetum Babiloon boot yok nan Kilisita
MAT.1.18	Muñeˈe Yéesu 
MAT.1.19	Emmuu Suseef aŋesumuu Mali boot huyab lakankaan an acole, afañut akajenool kajaw hákil ésukayi feh. Muñeˈe li afañeen min kukatoo li Mali an bahaasut. 
MAT.1.20	Nan alakomuu kayinoolaku unku, muñeˈe 
MAT.1.20	— Suseef, añiil ata bubukoolum bata 
MAT.1.21	Fan abaj añiil áyine, ban fan ukaanool kajawaku kaaneyimuu Yéesu. Mata akila ammuu afaken ésukool li uhoofoolawu wooliil.
MAT.1.22	Wahawu unwu feh li ubaj, bájum kulimaku kan Amaaŋenawu Ateemit álobummuu li butum bata 
MAT.1.23	«Asúngutaawu ahaasutumuu ánayine,
MAT.1.23	fan ahalet ban fan abaj añiil áyine.
MAT.1.23	Fan kuhooñool Emanuweel.»
MAT.1.23	(Yo yommuu «Ateemit ummu li ololaal
MAT.1.24	Nan Suseef áliwomuu, li akaan loon amalakaawu ata Amaaŋenawu aloboolumuu, min aŋa’ Mali alako aseekool; 
MAT.1.25	bale ahintenutool boot yok nan Mali anokenumuu, min áfulul li añiil áyine. Suseef li akaanool kajawaku kaaneyimuu Yéesu.
MAT.2.1	Yéesu li abuki li ésukayi yata Betilehem, li etaamayi yata Súde, nan 
MAT.2.2	Nan kúliiŋumuu, li kugel̥l̥en koon:
MAT.2.2	— Ayíiyawu ata 
MAT.2.3	Nan áyiiyawu Elod ajamumuu loon muñaˈa, li aliiwo, akila li bukanabuku feh kata Yeelusalem. 
MAT.2.4	Li ahooñ bajoj huhaanaahu hata élambaayi, li bukanabuku kaliikenemuu ésukayi eluwaayi yata Móyiis kata ésukayi, min agel̥l̥eniil aaniil:
MAT.2.4	— Kama bay 
MAT.2.5	Li koonool:
MAT.2.5	— Kilisita fan abuki li ésukayi yata Betilehem, li etaamayi yata Súde. Mata muñeˈe 
MAT.2.6	«Awu Betilehem, áamimuu li etaamayi yata Súde,
MAT.2.6	manooman let awu uhaŋumuu matiti feh li sísukasu sata Súde.
MAT.2.6	Mata an áamak fan áfulumul li awu.
MAT.2.6	Fan anatten ésukayi yúmbaam, 
MAT.2.7	Muñeˈe Elod li abuuy áhooñul kánayinaabuku kajal̥l̥omuu, min agel̥l̥eniil jak aaniil:
MAT.2.7	— Nayimaa ewuutayi éfululumuu?
MAT.2.8	Fúlum tó, li aboñiil kujow boot Betilehem aban li aaniil:
MAT.2.8	— Jijow jiŋes jak añiilawu. Jijukoolumuu, li jibil jihebom mín ínje humumom ihin ijow imanenool.
MAT.2.9	Nan kujantenumuu kulimaku kata áyiiyawu kuban, li kuwuj. Muñeˈe li kulako ejowayi, li kuŋanden ewuutayi yan kujukeen nomuu Akiw. Ewuutayi li enaak ejow eyabiil hákil. Nan éliiŋumuu tan añiilawu alakomuu, li eyiten to. 
MAT.2.10	Nan kánayinaabuku kájallomuu kujukumuu ewuutayi, li súumiil li kúkow ŋáa’. 
MAT.2.11	Muñeˈe li kunoken li eluufayi kúliiŋ, li kujuk añiilawu li jaawool Mali. Li kúkuntuŋ min kumanen añiilawu. Nan kumanenoolumuu kuban, li kúbabul dán kukaanumuu wañawu wooliil min kusenool éwulus, li ecuulaay, li múki’.
MAT.2.12	Fúlum tó, Ateemit li alobiil li sísaahut aaniil jakum kulaañ boot bata Elod. Li kuŋa’ bútin bakee min kulaañ boot booliil.
MAT.2.13	Nan kánayinaabuku kájallomuu kúbalomuu, 
MAT.2.13	— Suseef, uyito uŋa’ añiilawu li jaawool min utey boot li etaamayi yata Ejíf. Ulako bo boot yok nan emmuu li eeni úlaañul; mata 
MAT.2.14	Mal̥egen Suseef li ayito aŋa’ añiilawu buko li jaawool, min kujow li huk boot Ejíf. 
MAT.2.15	Li alako Ejíf boot yok nan Elod aketumuu. Wahawu unwu li ubaj loon Amaaŋenawu álobum womuu li butum bata 
MAT.2.16	Nan 
MAT.2.17	Muñowu kulimaku unke kata 
MAT.2.18	«Bufemb li bujami híndo ésukayi yata Lama,
MAT.2.18	búluulen li kal̥okoo káamak.
MAT.2.18	Laceel áami li jíl̥ok bañoolool.
MAT.2.18	Afañut min an átintimbenool, mata kukeeket
MAT.2.19	Nan áyiiyawu 
MAT.2.20	Amalakaawu li aan Suseef:
MAT.2.20	— Uyito uŋa’ añiilawu li jaawool, min ulaañ boot li etaamayi yata 
MAT.2.21	Mal̥egen Suseef li ayito aŋa’ añiilawu li jaawool, min alaañ boot li etaamayi yata Isilayeel.
MAT.2.22	Bale nan Suseef ajamumuu kaanaku Alikelawus
MAT.2.23	Suseef li ajow akin bo, li ésuk yan koone 
MAT.3.1	Li baj simit, ánayine akee an koone Saŋ Batiis li abil alako li kayiinaayaku kata etaamayi yata Súde, min anaak awaale bo aan:
MAT.3.2	— Jikat kahoofoo, min jítiiwo jiŋa’ buloŋ buwunkul, mata Jáyiiyaju jata Ateemit jíkoojulo!
MAT.3.3	— Laale hulimahu hata anawu abaŋulowemuu li kayiinaayaku aan:
MAT.3.3	«Jíhosul bútinabu boot li 
MAT.3.3	Jikaanool útin wacole!
MAT.3.4	Búkokowabu bata Saŋ, buhal eñonkom búkaanumi. Ban li anaak akoko kanaal kata kabaŋ li hukenjool. Saŋ bakos li múkum lanaake atiñ. 
MAT.3.5	Muñeˈe bukanabuku kakinumuu li ésukayi yata 
MAT.3.6	Nan kuŋejumuu, li kuheb uhoofoolawu wooliil hákil ésukayi feh, min Saŋ ábatiiseyiil li katunkaku kaaneyimuu Suuludeŋ.
MAT.3.7	Nan Saŋ ajukumuu 
MAT.3.7	— Sil̥aal̥akase! Ayimaa ahebuluul buu jóomi li jikaan min jifak li katekaku kaanomuu li ebil kata etindihuuñayi yata Ateemit? 
MAT.3.8	Muñeˈe kama jikaan majake, min jíhiis kaanaku jibabbaj buloŋ buwunkul. 
MAT.3.9	Ban jakum jibuntoolo min joon: «
MAT.3.10	Jíkaanum, hufiikumahu hukaani huban tin huhaalahu hata unuunukenawu feh boot kafalen. Kama bunuunuken banooban baatutumuu bubaj ebukoolum yajake, fan bufaleni beten li sambun.
MAT.3.11	Injé, li mal̥egenamu, li mal li bátiisewumuul boot káhiis kaanaku jibeebet búsol uhoofoolawu wooluul, min jiŋa’ buloŋ buwunkul. Bale anawu ammuu li abil búsolom, lahaŋom sembe. Itookut min ífulen sidallaasu soola. Akila fan ábatiisewuul li Buyinumabu Banabaabu, li sambun. 
MAT.3.12	Káweyumaku koola kunku li kaŋenool. Fan awuu ekaakayi yoola ejow éfu’ kis, min aheefen 
MAT.3.13	Muñeˈe nan Saŋ alakomuu kábatiisaaku kata bukanabuku, Yéesu li abilumul li etaamayi yata Gálile, abil atook Saŋ tin katunkaku kaaneyimuu 
MAT.3.14	Bale Saŋ li afan aanool a’aa’, aban li akit aan Yéesu:
MAT.3.14	— Kama buu nokoole awu li ubil boot mín ínje íbatiiseyi, ban awu ooteenumuu úbatiisewom? 
MAT.3.15	Bale Yéesu li aan Saŋ:
MAT.3.15	— Awu ufan ukat bo min úbatiisewom, mata muñaˈa lóotimuu ukaanaal min nab loon Ateemit afañumuu.
MAT.3.15	Mal̥egen Saŋ li akat bo min ábatiise Yéesu.
MAT.3.16	Yéesu li ayaan áfulul li malamu nan Saŋ ábatiisewoolumuu aban. Muñeˈe emitayi li ébabulo. Yéesu li ajuk Buyinumabu bata Ateemit li búwalowul li kambu kata éleebaan bubil bulako li akila. 
MAT.3.17	Esúkayi li ejam hulim háfulumulo li emitayi haane: «Laalu añoolom an íboolimuu ŋáa’. Buyinumom feh li akila likaan bo.»
MAT.4.1	Muñeˈe Buyinumabu Banabaabu li bújowetum Yéesu boot li kayiinaayaku, bájum Sayitaane li abuntoolool bo. 
MAT.4.2	Nan Yéesu alakomuu li kayiinaayaku sitihunaka soono kúyii kúl̥uba, li sihuka soono kúyii kúl̥uba batiñut, bucaa li bujokool. 
MAT.4.3	Sayitaane li ákoojulool min abuntoolool aanool:
MAT.4.3	— Nokoomuu loon awu ommuu Añiilawu ata Ateemit, ukaan kuyitikaku unku kulaañ kúmbuulu.
MAT.4.4	Bale Yéesu li aanool:
MAT.4.4	— Hulimahu hata Ateemit hoone: «An ayilaat áloŋum kúmbuulu bale. Bale fan áloŋum foof hulim hanoohan háfummulo li butum bata Ateemit
