MAT.1.1	Jesucristowa kwal an ñamin kwal uztuza wian kit ka munara: Davidpa kwalkas Abrahampa kwalkas.
MAT.1.2	Abrahamne Isaacpa papihsh azi.
MAT.1.2	Isaacne Jacobwa papihsh azi.
MAT.1.2	Jacobne Judáwa papihsh azi. Uskas paiña aimpihshtuzpa papihsh azi.
MAT.1.3	Judáne Fareswakas Zarawakas papihsh azi. Tamarne uspawa akkuhsh azi.
MAT.1.3	Faresne Esrompa papihsh azi.
MAT.1.3	Esromne Arampa papihsh azi.
MAT.1.4	Aramne Aminadabpa papihsh azi.
MAT.1.4	Aminadabne Naasónpa papihsh azi.
MAT.1.4	Naasónne Salmónpa papihsh azi.
MAT.1.5	Salmónne Boozpa papihsh azi. Rahabne paiña akkuhsh azi.
MAT.1.5	Boozne Obedpa papihsh azi. Rutne paiña akkuhsh azi.
MAT.1.5	Obedne Isaíwa papihsh azi.
MAT.1.6	Isaíne katsa ɨninmika Davidpa papihsh azi.
MAT.1.6	Katsa ɨninmika Davidne Salomónpa papihsh azi. Usne Uríaspa ashampara mɨlta. Uríaspa ashampane Salomónpa akkuhsh azi.
MAT.1.7	Salomónne Roboampa papihsh azi.
MAT.1.7	Roboamne Abíaspa papihsh azi.
MAT.1.7	Abíasne Asawa papihsh azi.
MAT.1.8	Asane Josafatpa papihsh azi.
MAT.1.8	Josafatne Jorampa papihsh azi.
MAT.1.8	Joramne Uzíaspa papihsh azi.
MAT.1.9	Uzíasne Jotampa papihsh azi.
MAT.1.9	Jotamne Acazpa papihsh azi.
MAT.1.9	Acazne Ezequíaspa papihsh azi.
MAT.1.10	Ezequíasne Manaséspa papihsh azi.
MAT.1.10	Manasésne Amónpa papihsh azi.
MAT.1.10	Amónne Josíaspa papihsh azi.
MAT.1.11	Josíasne Jeconíaspakas paiña aimpihshtuzpakas papihsh azi. Sun payukin Babilonia suras awane Judío awaruza piznat kit uspawa surakima kal kin mɨlnara.
MAT.1.12	Sun kitpane, Jeconíasne Salatielpa papihsh azi.
MAT.1.12	Salatielne Zorobabelpa papihsh azi.
MAT.1.13	Zorobabelne Abiudpa papihsh azi.
MAT.1.13	Abiudne Eliaquimpa papihsh azi.
MAT.1.13	Eliaquimne Azorpa papihsh azi.
MAT.1.14	Azorne Sodocpa papihsh azi.
MAT.1.14	Sodocne Aquimpa papihsh azi.
MAT.1.14	Aquimne Eliudpa papihsh azi.
MAT.1.15	Eliudne Eleazarpa papihsh azi.
MAT.1.15	Eleazarne Matánpa papihsh azi.
MAT.1.15	Matánne Jacobpa papihsh azi.
MAT.1.16	Jacobne Joséwa papihsh azi. Joséne Maríawa ampu azi. Maríane Jesúspa akkuhsh azi. Jesúsne, Mesíaskas, Dios nɨrɨtmikakas, muntɨt.
