MAT.1.1	Yiesu 
MAT.1.2	Ablɑɑhɑɑnm din mɑl Isɑɑk,
MAT.1.2	k Isɑɑk din mɑl Sɑɑkɔb,
MAT.1.2	k Sɑɑkɔb mun din mɑl Suudɑ nɑn u wɑɑli.
MAT.1.3	Suudɑ din mɑl Fɑɑles nɑn Sɑɑlɑ, k b nɑɑ e din tie Tɑɑmɑɑl,
MAT.1.3	k Fɑɑles din mɑl Eslɔnm,
MAT.1.3	k Eslɔnm din mɑl Alɑɑnm.
MAT.1.4	Alɑɑnm din mɑl Amiinɑɑdɑɑb,
MAT.1.4	k Amiinɑɑdɑɑb din mɑl Nɑɑsɔn,
MAT.1.4	k Nɑɑsɔn mun din mɑl Sɑlmɑ.
MAT.1.5	Sɑlmɑ din mɑl Buos, wun nbɑ nɑɑ din tie Lɑɑhɑɑb,
MAT.1.5	k Buos din mɑl Obet, wun nbɑ nɑɑ din tie Lut,
MAT.1.5	k Obet mun din mɑl Sese.
MAT.1.6	Sese din mɑl kpɑnbɑl Dɑɑfiid,
MAT.1.6	k Dɑɑfiid mun din mɑl Sɑɑlomɔn,
MAT.1.6	wun nbɑ yɑɑ nɑɑ din sint kun Uli
MAT.1.7	Sɑɑlomɔn din mɑl Luobuɑnm,
MAT.1.7	k Luobuɑnm din mɑl Abiɑ,
MAT.1.7	k Abiɑ mun din mɑl Asɑɑf
MAT.1.8	Asɑɑf din mɑl Suosɑɑfɑ,
MAT.1.8	k Suosɑɑfɑ din mɑl Suolɑɑnm,
MAT.1.8	k Suolɑɑnm mun din mɑl Osiɑ.
MAT.1.9	Osiɑ din mɑl Soɑtɑɑnm,
MAT.1.9	k Soɑtɑɑnm din mɑl Ahɑs,
MAT.1.9	k Ahɑs mun din mɑl Esekiɑ,
MAT.1.10	Esekiɑ din mɑl Mɑɑnɑɑse,
MAT.1.10	k Mɑɑnɑɑse din mɑl Amɔn,
MAT.1.10	k Amɔn mun din mɑl Suosiɑ,
MAT.1.11	k Suosiɑ din mɑl Yekuoniɑ nɑn u wɑɑli,
MAT.1.11	bɑɑ din suol Islɑɑeltieb dɑɑbɑ
MAT.1.11	k sɑɑn nɑn’m Bɑbiilonn yuo nbɑ nɑ.
MAT.1.12	Bɑɑ din suol’b k sɑɑn nɑn’m Bɑɑbiilonn
MAT.1.12	lenŋ e k Yekuoniɑ din mɑl Sɑɑlɑɑtiel,
MAT.1.12	k Sɑɑlɑɑtiel mun din mɑl Solobɑɑbel.
MAT.1.13	Solobɑɑbel din mɑl Abiud,
MAT.1.13	k Abiud din mɑl Eliiɑkiinm,
MAT.1.13	k Eliiɑkiinm mun din mɑl Asuol.
MAT.1.14	Asuol din mɑl Sɑɑdɔk,
MAT.1.14	k Sɑɑdɔk din mɑl Akiinm,
MAT.1.14	k Akiinm mun din mɑl Eliut.
MAT.1.15	Eliut din mɑl Eleɑsɑɑl,
MAT.1.15	k Eleɑsɑɑl din mɑl Mɑɑtɑn
MAT.1.15	k Mɑɑtɑn mun din mɑl Sɑɑkɔb.
MAT.1.16	Sɑɑkɔb din mɑl Suosiɑf, k Suosiɑf mun din tie Mɑɑli sɔlɔ,
MAT.1.16	k Mɑɑli din mɑl Yiesu nbɑ k b yi’u
MAT.1.16	Klistu nɑ.
