MAT.1.1	Inu nərgɨ tɨpɨ Iesu Kristo rat mɨn, kit in Kig Tefɨt, kən kit mɨn in Epraham.
MAT.1.2	Epraham in tata rəha Aisak,
MAT.1.2	kən Aisak in tata rəha Jekop,
MAT.1.2	kən Jekop in tata rəha Juta ne pian mɨn,
MAT.1.3	kən Juta in tata rəha Peres ne Sera, rəhalau mama u Temar,
MAT.1.3	kən Peres in tata rəha Hesron,
MAT.1.3	kən Hesron in tata rəha Ram,
MAT.1.4	kən Ram in tata rəha Aminatap,
MAT.1.4	kən Aminatap in tata rəha Nason,
MAT.1.4	kən Nason in tata rəha Salmon,
MAT.1.5	kən Salmon in tata rəha Poas u rəhan mama Rehap,
MAT.1.5	kən Poas in tata rəha Opet u rəhan mama u Rut,
MAT.1.5	kən Opet in tata rəha Jese,
MAT.1.6	kən Jese in tata rəha Kig Tefɨt.
MAT.1.6	Kən Kig Tefɨt in tata rəha Solomon u rəhan mama in pətan rəha Uria aupən,
MAT.1.7	kən Solomon in tata rəha Rehopoam,
MAT.1.7	kən Rehopoam in tata rəha Apia,
MAT.1.7	kən Apia in tata rəha Asa,
MAT.1.8	kən Asa in tata rəha Jehosafat,
MAT.1.8	kən Jehosafat in tata rəha Jehoram,
MAT.1.8	kən Jehoram in pipi rat rəha Usia,
MAT.1.9	kən Usia in tata rəha Jotam,
MAT.1.9	kən Jotam in tata rəha Ahas,
MAT.1.9	kən Ahas in tata rəha Hesekia,
MAT.1.10	kən Hesekia in tata rəha Manase,
MAT.1.10	kən Manase in tata rəha Amon,
MAT.1.10	kən Amon in tata rəha Josaea,
MAT.1.11	kən Josaea in tata rəha Jekonaea ne pian mɨn, kən uarisɨg lan, tɨkɨmɨr mɨn rəha noanol mɨn rəha Isrel kəmotəmɨk ilat motuwɨn Papilon məmə ilat okotuwa slef mɨn rəhalat.
MAT.1.12	Kən inu nərgɨ pipi mɨn itəm təmətuoun e nian noanol mɨn rəha Isrel kəmotuwɨn Papilon.
MAT.1.12	Jekonaea in tata rəha Sealtiel,
MAT.1.12	kən Sealtiel in pipi rəha Serupapel,
MAT.1.13	kən Serupapel in tata rəha Apiut,
MAT.1.13	kən Apiut in tata rəha Eliakim,
MAT.1.13	kən Eliakim in tata rəha Asor,
MAT.1.14	kən Asor in tata rəha Satok,
MAT.1.14	kən Satok in tata rəha Akim,
MAT.1.14	kən Akim in tata rəha Eliut,
MAT.1.15	kən Eliut, in tata rəha Eleasar,
MAT.1.15	kən Eleasar in tata rəha Matan,
MAT.1.15	kən Matan in tata rəha Jekop,
MAT.1.16	kən Jekop in tata rəha Josep u iərman rəha Meri.
MAT.1.16	Kən Meri təmɨləs Iesu, kən kətaun-in məmə Kristo itəm Uhgɨn təmən məmə otahl-ipa.
MAT.1.17	Təmətuoun e Epraham mətoarus-pən Kig Tefɨt, pipi rat mɨn əm u neen kəməte rəkɨs nərgɨlat, ilat fotin. Kən təmətuoun mɨn e Kig Tefɨt mətoarus-pən noanol mɨn rəha Isrel kəmotuwɨn Papilon, pipi rat mɨn ilat rafin fotin. Kən təmətuoun mɨn e noanol mɨn rəha Isrel kəmotuwɨn Papilon mətoarus-pən Kristo itəm Uhgɨn təmən məmə otahl-ipa, pipi rat mɨn ilat rafin fotin.
MAT.1.18	Inu namnusən rəha naiirən rəha Iesu Kristo. Mama rəha Iesu, nərgɨn u Meri, kɨnən rəkɨs məmə okos rəhan kətɨm kan məmə otətəu-pən suah kit, nərgɨn u Josep. Məto e nian kəsueamən əh muatɨg kitiəh, kən Josep təsuwɨnən əh mehm, məto Narmɨn Rəha Uhgɨn tɨnol məmə Meri tɨnəpək-əpək rəkɨs.
MAT.1.19	Kən rəhan iaguɨhl Josep in etəm ətuatɨp, kən tatətəlɨg-in məmə otapəs Meri, məto in təsolkeikeən məmə otol Meri taulɨs, kən nɨkin təht məmə otəsən-iarəpən kəm netəmim.
MAT.1.20	Məto nian nɨkin təmatəht məmə in otol nətəlɨgən əh, kən nagelo kit rəha Iərəmərə təmuwa ron e napɨlaiirən mən-ipən kəm in məmə, “Josep, mipɨ Tefɨt rat. Onəkəsəgɨnən məmə onakit Meri məmə in rəham pətan, məto-inu suakəku əh tətatɨg lan, in təmɨsɨ-pən əm o Narmɨn Rəha Uhgɨn. 
MAT.1.21	Kən in otɨləs nətɨn kit iərman, kən onəkaun-in nərgɨn məmə Iesu məto-inu in otosmegəh rəhan mɨn netəmim e nolən tərat mɨn rəhalat.”
MAT.1.22	Natɨmnat mɨn rafin əh kəmotuwa kol əm nɨpahrienən e nəghatən rəha Iərəmərə itəm rəhan kit ien təmən aupən ikɨn məmə, 
MAT.1.23	“Pətan əkəku kit itəm iərman təsuwɨnən əh ron, otəpəs məwɨg, kən panɨləs nətɨn kit iərman, kən okaun-in nərgɨn məmə Emanuel,”
MAT.1.24	Kən nian Josep təmaiir, kən təmətəu-pən əm nəghatən rəha nagelo rəha Iərəmərə. Kən təmuwɨn mit Meri muwa e rəhan latuənu məmə rəhan pətan, 
MAT.1.25	məto in təməsuwɨnən əh mehm matuwɨn matuwɨn mətoarus-pən Meri tɨləs nətɨn iərman. Kən Josep təmaun-in nərgɨn məmə Iesu.
MAT.2.1	Iesu təmaiir əpəh nɨtən rəha Jutia e taon Petlehem e nian Kig Herot Asol in təmatərəmərə lan. Kən uarisɨg ikɨn, netəm-iasol mɨn neen kəmotɨsɨ-par isəu motuwa Jerusalem. Kotenatɨg wɨr e nənən nɨpətɨ məhau mɨn. Kən motuwa motətapəh məmə, 
MAT.2.2	“?Suakəku u in hiə, itəm in təmaiir məmə in kig rəha netəm Isrel? Emotehm rəhan məhau təmər əpəh par, kən ekoatuwa məmə ekotos-ipən nɨsiaiiən kəm in.”
MAT.2.3	Nian Kig Herot Asol təməto nəghatən əh, ilat netəm Jerusalem nɨkilat rafin təmərat. 
MAT.2.4	Kən təmargəfɨmɨn pris asol mɨn ne iəgətun mɨn rəha Lou rəha nəfakən rəha netəm Isrel, kən matətapəh olat məmə, “?Kristo itəm Uhgɨn tɨnəmən rəkɨs məmə otahl-ipa, in otaiir hiə?” 
MAT.2.5	Kən kəmotən-ipən kəm in məmə, “In otaiir əpəh taon Petlehem e nɨtən rəha Jutia. Məto-inu ien kit rəha Uhgɨn aupən, təməte tol min-nulan məmə, 
MAT.2.6	‘Ik Petlehem əpəh e nɨtən Juta, okol kəsənən məmə ik nat əpnapɨn e netəm-iasol mɨn əpəh ikɨn Juta, məto-inu etəm-iasol kit otɨsɨ-pən lam, kən in otatehm wɨr rəhak mɨn netəm Isrel tahmen-pən e etəm tatehm wɨr rəhan sipsip mɨn.’”
MAT.2.7	Kən Kig Herot Asol təmaun-in netəm kotenatɨg wɨr e nənən nɨpətɨ məhau mɨn kotuwa tuəfɨmɨn anion ilat, matətapəh olat məmə məhau əh təmər ətuatɨp e nian naka, kən kəmotən-ipən nian rəha məhau kəm in. 
MAT.2.8	Kən in təmən-ipən kəm ilat məmə, “Otuwɨn Petlehem motegəs-in wɨr suakəku. Nian onəkotehm un, kən nakotos nəghatən lan motuwa məmə io mɨn ekuwɨn mos-ipən nɨsiaiiən kəm in.”
MAT.2.9+MAT.2.10	Nian kəmotəto nəghatən əh, kəmotiet motuwɨn, kən motehm məhau ilouin itəm kəmotehm əpəh par. Nian kəmotehm mɨn məhau əh, nɨkilat təmagien təmagien. Kən məhau un təmaupən-in ilat muwɨn matətul ətuatɨp əh suakəku ilouin tətapɨl ikɨn.
MAT.2.11	Kən kəmotuwɨn əh imə, motehm suakəku ilau rəhan mama Meri. Kən kəmotɨsin nulɨlat moatos-ipən nɨsiaiiən kəm suakəku əh. Kən kəmotielɨg nautə e rəhalat kətɨm mɨn itəm nəmtɨlat tiəkɨs, moatos-ipən kəm in. Kəmoatos-ipən iaen u kol tatɨpɨt-ɨpɨt, ne nat kit mɨn itəm nəmiəwɨn təwɨr nian katuwan e nɨgəm, nərgɨn u frankinsens, ne fomat itəm nəmiəwɨn təwɨr, nərgɨn u mɨr.
MAT.2.12	Kən Uhgɨn təmən-iəhau ilat e napɨlaiirən məmə okəsotɨtəlɨg-pənən o Kig Herot Asol. Kən inəh ilat kəmotawɨlək-in Kig Herot motuwɨn-pən e suatɨp pɨsɨn moatuwɨn iməlat ikɨn.
MAT.2.13	Nian netəm kotenatɨg wɨr mɨn u kəmotiet rəkɨs mɨnoatuwɨn, kən nagelo kit rəha Uhgɨn təmuwa miet-arəpa o Josep e napɨlaiirən matən-ipən kəm in məmə, “Ətul uəhai, mɨləs suakəku ilau rəhan mama, onəkəhlagɨm məhaluwɨn əpəh Ijip. Kən onatəhlatɨg əh-ikɨn mətoarus-pən io əm ekən-ipɨnə mɨn kəm ik məmə onəkəhalɨtəlɨg-pa mɨn, məto-inu otəsuwəhən, Kig Herot Asol team-in suakəku u məmə otohamnu.”
MAT.2.14	Kən əmun e nian əh lapɨn, Josep təmətul mɨləs suakəku ilau rəhan mama məhlagɨm mətəhaluwɨn əpəh Ijip. 
MAT.2.15	Kən kəmətəhlatɨg e nɨməptən əh mətoarus-pən Kig Herot Asol otɨmɨs. Nat u tɨnuwa məmə otol nɨpahrienən e nəghatən itəm Iərəmərə təmən rəkɨs aupən e nəghatən rəha ien kit tatən min-nulan məmə, “Emaun-in nətɨk iərman məmə otiet rəkɨs Ijip.”
MAT.2.16	Kən e nian Kig Herot Asol təmɨtun məmə netəm kotenatɨg wɨr e məhau mɨn kəməsotolən nəwian motawɨlək-in motagɨm, kən nɨkin təmahmə pɨk agɨn. Kən in təmahl-ipən rəhan mopael mɨn məmə okotuwɨn Petlehem ne ikɨn mɨn rafin tɨtəlau lan, məmə okoteam-in nɨsualkələh iərman mɨn itəm rəhalat nup təsaprəkɨs-inən nup kəiu, kən okotohamnu ilat rafin. In təmɨtəpun nup kəiu nəhlan məto-inu nɨkin təməht məmə nian ətuatɨp əh itəm netəm kotenatɨg kəmotehm məhau lan. 
MAT.2.17	Natɨmnat mɨn u təmol nəghatən u tuwa mol nɨpahrienən lan itəm ien Jeremaea tɨnəmən rəkɨs aupən ikɨn məmə, 
MAT.2.18	“Netəm Rama kəmotəto pətan kit tətasək tətasək məto-inu tatəto tərat agɨn. Pətan əh in Rejel, in tətasək o rəhan nɨsualkələh. Kən məsolkeikeən məmə suah kit otuwa məghat mɨləs-ipər mɨn rəhan nətəlɨgən məto-inu rəhan mɨn nɨsualkələh kɨnotɨmɨs rafin.”
MAT.2.19	Uarisɨg e nian Kig Herot Asol təmɨmɨs, məto Josep ne Meri ne suakəku katəhlatɨg əh əpəh Ijip, kən nagelo kit rəha Uhgɨn təmuwa o Josep e napɨlaiirən kit matən-ipən kəm in məmə, 
MAT.2.20	“Josep. Ətul mɨləs suakəku ne rəhan mama kən məhalɨtəlɨg-pən e nəptən əh Isrel, məto-inu netəm mɨn u kəmotolkeike məmə okotohamnu suakəku, ilat kɨnotɨmɨs rəkɨs.” 
MAT.2.21	Kən Josep təmətul mɨləs suakəku əh ne rəhan mama, kən məhalɨtəlɨg-pən mɨn e nəptən əh Isrel.
MAT.2.22	Məto nian Josep təməto məmə Akeleas təmos nəme rəhan tata Kig Herot Asol matərəmərə e Jutia, kən in təməgin nɨtəlɨg-pənən Jutia. Kən Uhgɨn təməghat kəm Josep e napɨlaiirən kit mɨn məmə in otəsuwɨnən Jutia, kən təmiet muwɨn ikɨn pɨsɨn e nɨtən asol Kalili. 
