MAT.1.1	Ginn kaw lə Jeju Kirisitɨ kɨ ngonnkaw *Dabidɨ, kɨ ngonnkaw *Abiraham ə to kin: 
MAT.1.2	Abiraham ojɨ *Isakɨ, Isakɨ ojɨ *Jakobɨ, Jakobɨ ojɨ Juda kɨ ngannkon’a’gɨ. 
MAT.1.3	Juda in kɨ Tamar oji Peresɨ kɨ Jara, Peresɨ ojɨ Esirom, Esirom ojɨ Aram, 
MAT.1.4	Aram ojɨ Aminadabɨ, Aminadabɨ ojɨ Nason, Nason ojɨ Salmon, 
MAT.1.5	Salmon in kɨ Rahabɨ oji Bowajɨ, Bowajɨ in kɨ Rutɨ oji Obedɨ, Obedɨ ojɨ Jese, 
MAT.1.6	Jese ojɨ ngar Dabidɨ.
MAT.1.6	Dabidɨ taa ne Uri ojɨ’n Salomon, 
MAT.1.7	*Salomon ojɨ Robowam, Robowam ojɨ Abiya, Abiya ojɨ Asa, 
MAT.1.8	Asa ojɨ Jojapa, Jojapa ojɨ Joram, Joram ojɨ Ojiyasɨ, 
MAT.1.9	Ojiyasɨ ojɨ Jowatam, Jowatam ojɨ Akajɨ, Akajɨ ojɨ Ejəkiyasɨ, 
MAT.1.10	Ejəkiyasɨ Ojɨ Manasa, Manasa ojɨ Amon, Amon ojɨ Jojiyasɨ, 
MAT.1.11	Jojiyasɨ ojɨ Jekoniyasɨ kɨ ngannkon’a’gɨ. Dɔkagilo’ə’tɨ kin ə uwəi de’gɨ kɨ Jerujalem awi se’de ɓər Babilon’tɨ
MAT.1.12	Lokɨ awi se’de Babilon’tɨ, Jekoniyasɨ ojɨ Salatiyel, Salatiyel ojɨ Jorobabel, 
MAT.1.13	Jorobabel ojɨ Abiyudɨ, Abiyudɨ ojɨ Eliyakim, Eliyakim ojɨ Ajɔr, 
MAT.1.14	Ajɔr ojɨ Sadokɨ, Sadokɨ ojɨ Akim, Akim ojɨ Eliyudɨ, 
MAT.1.15	Eliyudɨ ojɨ Eliyajar, Eliyajar ojɨ Matan, Matan ojɨ Jakobɨ, 
MAT.1.16	Jakobɨ ojɨ Jisepɨ kɨ ngaw Mari. Ningə Mari ojɨ Jeju kɨ ɓari’ə Kirisitɨ, *De kɨ Luwə mbət’ə. 
MAT.1.17	Ulə ngirə dɔ Abiraham’tɨ bitɨ te’n dɔ Dabidɨ’tɨ, ginn kojɨ in dɔgɨ gidə in sɔ, ə in dɔ Dabidɨ’tɨ bitɨ kaw ɓər Babilon’tɨ, in ginn kojɨ dɔgɨ gidə sɔ, taa in dɔ kaw ɓər Babilon’tɨ bitɨ kojɨ Kirisitɨ’tɨ, in ginn kojɨ dɔgɨ gidə in sɔ tɔ.
MAT.1.18	Gorow kojɨ Jeju Kirisitɨ ə to kin. Kon’a Mari in njenduwə lə Jisepɨ kɨ uwə dɔ’a. Ningə, lokɨ ingəi nan dene kɨ dingəm el ɓay ə, Mari in səm kɨ tɔgɨ lə Ndil Luwə. 
MAT.1.19	Lo kin’tɨ non be, Jisepɨ kɨ njenduwə lə Mari, in de kɨ dana, ndigɨ kadɨ n’elta kin kɨ taga n’ulə’n rɔsɔl dɔ Mari’tɨ el, adɨ ɔjɨ me’ne’tɨ kadɨ n’inyəi nan kɨ Mari gidɨ kuwə par. 
MAT.1.20	Lokɨ ɔjɨ ta kin be me’ne’tɨ ningə, malayka lə Burəɓe te bus me nii’tɨ el’ə ene: «Jisepɨ, ngonnkaw Dabidɨ, ɓol el kadɨ taa Mari ne’i’tɨ, tadɔ ngonn kɨ to me’i’tɨ kin, in ngonn kɨ re kɨ gorow lə Ndil Luwə. 
MAT.1.21	Mari a ojɨ ngonn kɨ dingəm, ningə a ində tɔ’a nan Jeju, tadɔ in ə in de kɨ a ajɨ de’gɨ lə’ne me majel’gɨ’tɨ lə’de.»
MAT.1.22	Nya’gɨ kin pətɨ a rai nya be kadɨ ta kɨ Burəɓe el kɨ ta njekeltakita’a’tɨ kete nu kin tɔlta’ne.
MAT.1.23	Burəɓe el ene:
MAT.1.23	«Oyi ngonn kɨ mandɨ kɨ gər dingəm el ɓay a in səm,
MAT.1.23	A ɔjɨ ngonn kɨ dingəm,
MAT.1.23	Ningə a ɓari’ə Emanuwel,
MAT.1.23	Kɨ kɔr ginn’ə nan: “Luwə in se’je
MAT.1.24	Lokɨ Jisepɨ ndəl dɔ ɓi’tɨ, ra tokɨ malayka lə Burəɓe el’n’ə, adɨ taa Mari ne’ne’tɨ, re si’ə kəy. 
MAT.1.25	Nan gər’ə kɨ dene kɨ dingəm’tɨ el, bitɨ kadɨ Mari ojɨ’n ngonn. Ojɨ ngonn kɨ dingəm, adɨ Jisepɨ ində tɔ’a nan Jeju.
MAT.2.1	Oji Jeju Betilehem
MAT.2.2	ningə dəji eyina: «Ngar lə *Juwipɨ’gɨ kɨ oji’ə kin in ra be ə? J’oo mee li’ə te lo kuwə kadɨ’tɨ ə jɨ re kadɨ j’ɔsi məkəsɨ’je nanga non’a’tɨ.» 
MAT.2.3	Lokɨ Ngar *Erodɨ oo ta kin, me’ə gangɨ mann, nan’tɨ kɨ de’gɨ kɨ Jerujalem’tɨ ba pətɨ. 
MAT.2.4	Be ə, ngar kaw kibo’gɨ lə njekujənyamosɨ kadikare’gɨ kɨ njendo ndukun’gɨ lə Luwə, dəjɨ’de ke lo kɨ ra be ə a oji Kirisitɨ’tɨ kɨ in De kɨ Luwə mbət’ə wa? 
MAT.2.5	Ə eli’ə eyina: «A oji’ə Betilehem’tɨ, dɔnangɨ kɨ Jude’tɨ, tadɔ ta kɨ njekeltakita Luwə’tɨ el ə to kin:
MAT.2.6	“In de’gɨ kɨ Betilehem kɨ dɔnangɨ’tɨ kɨ Juda,
