MAT.1.1	Ini se guhud te kepuun ni Hisu Kristu, kevuwaran ni David wey kevuwaran dema ni Abraham.
MAT.1.2	Si Abraham ke amey ni Isaac,
MAT.1.2	ne si Isaac ne amey ni Jacob,
MAT.1.2	si Jacob ne amey ni Hudah wey ke menge suled din.
MAT.1.3	Ne si Hudah ne amey en ni Paris ki Sara,
MAT.1.3	(si Tamar ke iney ran);
MAT.1.3	ne si Paris ne amey ni Iserum,
MAT.1.3	ne si Iserum ne amey ni Aram;
MAT.1.4	ne si Aram ne amey ni Aminadab,
MAT.1.4	ne si Aminadab ne amey ni Naasun,
MAT.1.4	ne si Naasun ne amey ni Salmun,
MAT.1.5	ne si Salmun ne amey ni Buus
MAT.1.5	(si Rahab ke iney rin),
MAT.1.5	si Buus ne amey ni Ubid
MAT.1.5	(si Ruth ke iney rin),
MAT.1.5	si Ubid ne amey ni Isai,
MAT.1.6	ne si Isai ne amey ni Datù David.
MAT.1.6	Si David ke amey ni Salomon
MAT.1.6	(ke iney rin ne esawa rengan ni Uriya);
MAT.1.7	Si Salomon ne amey ni Rubuam,
MAT.1.7	si Rubuam ne amey ni Abiyas,
MAT.1.7	si Abiyas ne amey ni Asa,
MAT.1.8	si Asa ne amey ni Husapat,
MAT.1.8	si Husapat ne amey ni Huram,
MAT.1.8	si Huram ne amey ni Usiyas,
MAT.1.9	si Husiyas ne amey ni Hutam,
MAT.1.9	si Hutam ne amey ni Akas,
MAT.1.9	si Akas ne amey ni Isikyas,
MAT.1.10	si Isikyas ne amey ni Manasis,
MAT.1.10	si Manasis ne amey ni Amun,
MAT.1.10	si Amun ne amey ni Husyas,
MAT.1.11	ne si Husyas ne amey ni Hikunyas wey ke menge suled din. Ini se hewii ne neviyag ke menge Israyil diyà te inged ne Bebilunya.
MAT.1.12	Guna su diyà dan en te inged ne Bebilunya ne nevuwad si Hikunyas ne iyan din anak ne si Selatil,
MAT.1.12	si Selatil ne amey ni Serubabil,
