MAT.1.1	Akko kitawu
MAT.1.2	Ibrahim Isakua kembo, Isaku ye Yakubaa kembo, Yakuba ye Yahuda-a awaanawanju-aa kembo, 
MAT.1.3	Yahuda ye Feres-a Jera-aa kembo, yanja Tamar, Feres ye Hesronna kembo, Hesron ye Aramba kembo, 
MAT.1.4	Aram ye Aminadabba kembo, Aminadab ye Nashonna kembo, Nashon ye Salmonna kembo, 
MAT.1.5	Salmon ye Bowossa kembo, ya Bowosse Rahab, Bowos ye Abidaa kembo, ya Abidaye Rut, Abida ye Yisaia kembo, 
MAT.1.6	Yisai ye Mai Daudaa kembo.
MAT.1.6	Mai Dauda Sulemanaa kembo, calan ya Sulemanayedǝ kamu Uriyaye, 
MAT.1.7	Sulemana ye Rehobowamba kembo, Rehobowam ye Abijaa kembo, Abija ye Asaa kembo, 
MAT.1.8	Asa ye Yosafatta kembo, Yosafat ye Yoramba kembo, Yoram ye Wojiyassa kembo, 
MAT.1.9	Wojiyas ye Yotamba kembo, Yotam ye Ahajua kembo, Ahaju ye Hejekiyassa kembo, 
MAT.1.10	Hejekiyas ye Manasea kembo, Manase ye Amonna kembo, Amon ye Josiyassa kembo, 
MAT.1.11	Josiyas ye jaman yaudiyaa dunon cadane cidi Babilayero caadǝnadǝn Yekoniyas-a awaanawanju-aa kembo.
MAT.1.12	Ngawo cidi Babilayero caadǝnayedǝlan, Yekoniyas Sheyaltiyella kembo, Sheyaltiyel ye Jorobabella kembo, 
MAT.1.13	Jorobabel ye Abihudda kembo, Abihud ye Aliyakimba kembo, Aliyakim ye Ajorra kembo, 
MAT.1.14	Ajor ye Jadokka kembo, Jadok ye Akimba kembo, Akim ye Alihudda kembo, 
MAT.1.15	Alihud ye Aliyasarra kembo, Aliyasar ye Matanna kembo, Matan ye Yakubaa kembo, 
MAT.1.16	Yakuba ye Isuwua kembo, Isuwudǝ kwa Merambe, Meram ye Isa tia Almasiwulan bowojaidǝa kembo.
MAT.1.17	Adǝgaima Nawi Ibrahimlan tai har Mai Daudaro yadero am jamannja tiloa gadegade mewu deri dasaa, koro Mai Daudalan tai har jaman yaudiyaa cidi Babilayero caadǝnaro yadero mewu deri dasaa, koro jaman adǝn tai har tambo Almasiwuyero yadero mewu deri dasaa.
MAT.1.18	Akko lawar tambo Isa Almasiwuye. Yanju Meramdǝ tǝmaji Isuwuye, amma kawu larusa cade rokko dasayiro, Ruhu Alaye cakke curoaro walyeno. 
MAT.1.19	Isuwu tǝmajinjudǝ kam jirema, fuwu jamayen tia nanguro njakko cǝraannidǝro, asǝrlan tia kolduro nia ngoyeno. 
MAT.1.20	Adǝ karwunjun duwon, malaiya Kǝmandeye laa kǝnnasimlan tiro fǝlediye: «Isuwu kaduwu Mai Daudaye, bare Meramba kamuro ngoduro rinǝmmi, Ruhu Alayeman curoaro walyeno. 
MAT.1.21	Tada kongwa cambi, ni ye tiro cu Isa
MAT.1.22	Adǝgaima awo Kǝmande kuren ci nawiyen wuljǝnadǝ wakkayeno. 
MAT.1.23	Tiye: «Akko fero kǝlayakku kwa nojǝnni curo ngoje tada kongwa cambe tia Imanuwellan bowojai,»
MAT.1.24	Kǝnǝmlan fayenniya, Isuwu awo malaiya Kǝmandeye tiro wuljǝgǝnadǝa cǝde Meramba kamuro ngoyeno. 
MAT.1.25	Amma tia kamuro nojǝnni duwon, har tada kongwa cambe Isuwu tiro cu Isa kekko.
MAT.2.1	Jaman Isa bǝla Baitalami cidi Yahudiyayen tambǝnadǝn, Hirudus ti mai duwon, ilmuwu laa cidi adinnambe cijane Jerujalembo isane: 
MAT.2.2	«Nda ti mai yaudiyaye tambǝnadǝ? Sillowunju adinnamlan culuwuna ruiye tiro ambǝttuwuro kadiye,» cane keworo. 
MAT.2.3	Mai Hirudus adǝa fangenniya, hangalnju caa ciyeno, am Jerujalembe samma ye ngai. 
MAT.2.4	Daji wurawa ɍimannaye-a malǝmba Attauraye-a sammaa bowoje ndaran Almasiwu tambiro kiworǝnniya, 
MAT.2.5	tiro: «Bǝla Baitalami cidi Yahudiyayen, akko awo nawi kuren ruwujǝnadǝ:
MAT.2.6	“Ni Baitalami cidi Yahudayedǝ,
MAT.2.6	curo bǝlawa Yahudayedǝn darajanǝm gana gǝni,
MAT.2.6	dalilnjudǝ curonǝmlaman mai culuwi,
MAT.2.6	mai duwon jamani Israyilawua cunodidǝ.”»
MAT.2.7	Daji Mai Hirudus asǝrlan ilmuwudǝa bowoje sa sillowudǝ tayiro fǝledǝgǝnadǝa cuwore tabbatkeyeranniya, 
MAT.2.8	tayia Baitalamiro cunode tayiro: «Lenowo hangallayen tadadǝa manowo! Tia fanduwiya, lawar sukkudowo, wu ye lekko tiro ambǝtkǝgǝkko!» yeno. 
