MAT.1.1	Ísu Káráísitina akúni'a uráan-kwasai. Ísu aíkwá'náma Tévítimani. Tévíti aíkwá'náma Ááváramumani.
MAT.1.2	Ááváramu Áísákaamba marankówana
MAT.1.2	Áísáka Yákópomba marankówana
MAT.1.2	Yákópo Yúta-iyai áváráwáínónda matinkówana
MAT.1.3	Yúta Pérésinte Sáraante matínkaraimba
MAT.1.3	tinówa Témamani.
MAT.1.3	Pérési Éséronimba marankówana
MAT.1.3	Éséroni Árámumba marankówana
MAT.1.4	Árámu Ámínátapamba marankówana
MAT.1.4	Ámínátapa Násonimba marankówana
MAT.1.4	Násoni Sáómonimba marankówana
MAT.1.5	Sáómoni Póásimba maránkaraimba
MAT.1.5	anówa Áré'apimani.
MAT.1.5	Póási Ópétimba maránkaraimba
MAT.1.5	anówa Árútimani.
MAT.1.5	Ópéti Yésimba marankówana
MAT.1.6	Yési Tévítimba marankówana
MAT.1.6	Tévíti kárákwiyi-i'a uráiwai Sórómonimba
MAT.1.6	maránkaraimba anówana aiva-kwánkó áwí'a
MAT.1.6	Yúráya úwana naaén-kwamba Tévítimani.
MAT.1.7	Sórómoni Áríyapoamumba marankówana
MAT.1.7	Áríyapoamu Ápáísaamba marankówana
MAT.1.7	Ápáísaa Ésaamba marankówana
MAT.1.8	Ésaa Yíósavatimba marankówana
MAT.1.8	Yíósavati Yórámumba marankówana
MAT.1.8	Yórámu Ásáyaamba marankówana
MAT.1.9	Ásáyaa Yótámumba marankówana
MAT.1.9	Yótámu É'ásaamba marankówana
MAT.1.9	É'ásaa Ésékayaamba marankówana
MAT.1.10	Ésékayaa Mánásaamba marankówana
MAT.1.10	Mánásaa Émósimba marankówana
MAT.1.10	Émósi Yósáyaamba marankówana
MAT.1.11	Yósáyaa Yékónaya-iyai áváráwáínónda matinkówasa
MAT.1.11	minkánáávímbá Pépíróni-naopakewai Ísareri-kwaasi tayí'maesa Pépíróniva'a ándáva'a mátínkaraawe.
MAT.1.12	Pépíróniva'a mátínkó-kanaavimba
MAT.1.12	Yékónaya Síátiomba marankówana
MAT.1.12	Síátio Sérápápeomba marankówana
MAT.1.13	Sérápápeo Ápáyatimba marankówana
MAT.1.13	Ápáyati Éráyakimumba marankówana
MAT.1.13	Éráyakimu Ésomba marankówana
MAT.1.14	Éso Sétókomba marankówana
MAT.1.14	Sétóko Ékímumba marankówana
MAT.1.14	Ékímu Éráyatimba marankówana
MAT.1.15	Éráyati Éríesaamba marankówana
MAT.1.15	Éríesaa Mátánaamba marankówana
MAT.1.15	Mátánaa Yákópomba marankówana
MAT.1.16	Yákópo Yósépimba marankówana
MAT.1.16	Yósépi Máríyaamba awaikó úwana Máríyaa Ísumba anówamani. Ísuntavesa Áánútu usásinankaiwaiye sésa Káráísitiye kwésewe.
MAT.1.17	Ááváramumo máyonka'a sísamaivakemba éíyaimba kumbaimái-kwaasi 14 kwaasi agáyówasa Tévítimo paárurenamo máyonka'a sísamaivakemba éíyaimba kumbaimái-kwaasi 14 kwaasi agáyówasa Pépírónivakewai tayí'maesa Pépíróniva'a ándáva'a mátínkarowasa máyón-kanaavimba sísamaivakemba éíyaimba kumbaimái-kwaasi 14 kwaasi agáyówana minká'á Máríyaa Ísu Káráísitimba maránkaraiye.
MAT.1.18	Ísu Káráísitimba marankómba maará uráiye. Ísu anówamba Yósépinka'a siváúmaresa ítámakowana Yósépi íma kwesé kurónka'a ámú'a paáruraiye. Áánútun-amanko ámú'a paárumankarowana 
MAT.1.19	awaikó kawe'á kwéuwai séna kwaási túranka'a ai'máráanana Máríyaa aigaeyávéna iváímpo'a aúpá'á ai'mátuwanaumne-imayaa uráiye.
MAT.1.20	mirá imáyáama kwéena aún-kwáyowana Ísóigona kwayó'nákó kwíyómpakewai kaainampá'á simámena séna Yósépiyo Tévítin-andaraken-kwaasi óne. Máríyaamo ámú'o káúvímba Áánútun-amankowe su'mai ámú'a kauwánkáímba po kwembá úwoi mayáníyompo íma áá'a kaíno. 
MAT.1.21	iyámpóímo marankánímba áwí'a Ísuwe simámiyo siráiye. mináwíkóná ááimba kwená kwaási sáwí-imayaaomo tátokaimpinkemba iyátinkaniye siráiye.
MAT.1.22	naaóvá'á Áánútun-aai simátímakowai sirónka'a póna mirán-tántáá'á paáruraiye. 
MAT.1.23	kwemá agaimaréna séna
MAT.1.23	moórá-inaamarugo kwaaí íma mairéna ámú'a
MAT.1.23	kaumái iyámpói marankáínasa miníyámpóígó
MAT.1.23	áwí'a Émániyueriye sénááowe
MAT.1.23	agaimaréna siráimba mináwíkóná ááimba Áánútu keséya máyáiye siráiye.
MAT.1.24	Yósépi aúvínké usásinena Ísóigona kwayó'nákó kwíyómpakewai siróntemba awainínkómbá mairéna 
MAT.1.25	íma kwesé kúmba úwoi ména kárákwirowana iyámpói marankówana Ísuwe séna áwí'a tamánkaraiye.
MAT.2.1	Yútiyaa-maravaken-kawaanako áwí'a Éróti máyon-kanaavimba Pétáremu-naopa'a Máríyaa Ísumba maránkarowasa némpakemba aaváúmó usópaken-kwaasi kawer-ímáyáágwárá-kwáásí teémesa Yérúsaremu-naopa'a tésa 
MAT.2.2	sésa Yútaa-kwaasira'a kárákwiyinine sénamo maránkáín-iyampoi náávara ánkaraao. aaváúmó usaipá'á méta awánáúndaya moórá-o'a paárisata awánéta séta iyámpói maránkaraimba póta awánéta kwenáwí'a mósá maránáe séta teémeta túne siráawe.
MAT.2.3	suwaná marará-káwáánákó Éróti mináímbá isówana arunkó sáwí'a úwasa Yérúsaremu-naopakewaigwara'a ísówana tirunkó sáwí'a úwana 
MAT.2.4	Éróti mono-káwáá-kwáásíyé ámáámba sun-kwáásíyé tááyowasa torupamái máyówana séna Áánútu ai'maráníwaimba Káráísitimba marankánímba náávara ankáníyo súwasa 
MAT.2.5	sésa Yútiyaa-marava'a Pétáremu-naopa'a ankáníye. Áánútun-aai simátímakowai agaimaréna séna
MAT.2.6	Yútiyaa-marava'a Pétáremu-naopaken-kwaasiyono. Yútiyaa-marava'a kárákwiraawaivimba kentí naaópa'o kárákwiraawai íma tínaaempa'a máyáawe. kentí naaópakemba moóráwai paárurena kesí kwaási Ísareri-kwaasira'a kawe'á umái kárákwiyiniye
MAT.2.6	agaimaréna siráiye suwaná 
MAT.2.7	Éróti iséna aaváúmó usópaken-kwaasi aúpá'á tááyowasa tuwaná tísaa ena séna nósa-tawai minó'á paárisara awánaraao súwasa simámúwana 
MAT.2.8	Éróti séna Pétáremuva'a miníyámpóí koavakáá-umai awáné'a tasimásimiya'a kesé kuré'a kwenáwí'a mósá máráano súwasa 
MAT.2.9	isésa kumbá aaváúmó usópa'o mésamo awánaraan-o'a awánowana minókómá aiva'á kwégwena miníyámpóímó máyonka'a kogwaúwasa 
MAT.2.10	ávááraumai aamoí ésa 
MAT.2.11	mindáúmpá'á iyésa anówante miníyámpóíyé tuwánésa kívairesa miníyámpóígó áwí'a mósá marésa unáámbá óin-tokésa kawe-tántáá'á kóri-ontamba óimai amésa kawer-úmúmbó ií-yántáá'á óimai amésa áséi-kwiyum-basawenkwara'a óimai ámakaawe.
MAT.2.12	ámatuwesa tuún-kwáúwana Áánútu kaainampá'á simátimena séna Érótimba íma kosimáméro súwasa ó'on-ampakemba kentí naaópa'a kóuraawe.
MAT.2.13	kóúwana kwíyómpakemba Ísóigona kwayó'nákómbá Yósépi kaainampá'á awánówana séna Éróti miníyámpóí tuvuwíndayavena kwéavakaa-ivo usásine anówante miníyámpóíyé tí'mae Ísípi-marava'a koména'a aáno simámé'a áí'mae tiyó sénaumne súwana 
MAT.2.14	mindó'wáámbá usásinena anówante miníyámpóíyé tí'maena Ísípi-marava'a kwémena 
MAT.2.15	mivá'á komáyowana Éróti pukáiye. naaóvá'á Áánútun-aai simátímakowai sirónka'a póna mirá uráiye. kwemá agaimaréna séna Ísóigo séna
MAT.2.15	Ísípi-maravakemba kesáánimba máyaina'a
MAT.2.15	ááyaanana koyauweráníye
MAT.2.15	siráiye agaimaréna sirónka'a póna mirá uráiye.
MAT.2.16	Éróti awánómba aaváúmó usópaken-kwaasi kampa'á simáuwesa kóúwana Éróti arunkó áyámba úwana aaváúmó usópaken-kwaasi simámakon-aintavaiye o'á paáruraiyemo sirón-aintavaiye imáyáa éna évakarawai ti'maréna séna Pétáremu-naor-ayampa'-naopimpa'a kaer-ímó ten-íyámpóíyé ímo kaer-ímó tarén-iyampoiye tivakáá-umai tínkantuwaaro súwasa mirá uráawe.
MAT.2.17	naaóvá'á Áánútun-aai simátímakowai áwí'a Yérémaya sirónka'a póna mirá uráiye. kwemá agaimaréna séna
MAT.2.18	Áráma-kwaasi ávááraumaimo ivi'ó taráamba ísaraawe. Áréseo aísaavutantamba uráan-kwaasi miwítí iyámpóíyavesa ivi'á taawasá iyámpóímo pukáantavesa timambá aráápamai tínkaraawasa úwoi ivi'á támae iráawe
MAT.2.18	agaimaréna siráiye.
MAT.2.19	Éróti puwúmba Yósépi Ísípi-marava'a ména kwíyómpakemba Ísóigona kwayó'nákómbá kaainampá'á awánówana séna 
MAT.2.20	miníyámpóígómbá tuvuwónáe sen-kwáásí á'a púwóvo usásine anówante miníyámpóíyé tí'mae Ísareri-marava'a kwaaó súwana 
MAT.2.21	usásinena awainínkónte ááninkonte tí'maena Ísareri-marava'a kúmba 
MAT.2.22	Éróti ááninko áwí'a Ákéreasi kwemá avowáná anondá Yútiyaa-ayampa'a kawáá-máyáí kwémayowana Yósépi iséna mináyámpá'ó koménintavena inkaisúwana kaainampá'á Áánútu simámuwana Káríri-ayampa'a 
MAT.2.23	Násáreti-naopa'a tí'maena koméraiye. naaóvá'á Áánútun-aai simátímakowai sirónka'a póna mirá uráiye. kwemá Ísuntavena séna
MAT.2.23	Násáretivaken-kwaasiye sénááowe
MAT.2.23	agaimaréna sirónka'a póna mirá uráiye.
MAT.3.1	minkánáávímbá moóráwai áwí'a Yóni ména nombá pétinkowai póna Yútiyaa-marava'a kúmba kavóná-marava'a koména simátimena séna 
MAT.3.2	Áánútu kwená kwaási kawááimba ááimba kwéasaivo kentí sáwí-imayaa tuwé'a Áánútumpa'a teró simátíma'mae iráiye. 
MAT.3.3	naaóvá'á Yóni íma máyonka'a Áánútun-aai simátímakowai áwí'a Áísáya Yónimo paárinintavena imáyáa éna agaimaréna séna
MAT.3.3	moóráwai kavóná-marava'a ména aayamáírakemba séna Ísóigona aambá kwirankánááomba kwená aambá arupí íyana minámpá'á kwíno
MAT.3.3	Áísáya agaimaréna sirónka'a póna Yóni paárúwana mináímbá paáruraiye.
MAT.3.4	Yóni póígo áwí'a káámeri kwená áyáú-kwatoi iréna aúwarasinei ámúranda uréna a'nóríné kwantáámíkóná aúwé mintóné su'mai kwénena 
MAT.3.5	aaí simátíma'mae iyúwasa Yérúsaremu-naopaken-kwaasiye Yútiyaa-ayampaken-kwaasiye Yóntáni-nonkona menávápákéné maanávápákén-kwáásíyé miráumai kwaási tóyo ésa 
MAT.3.6	sáwí'o uráamba paárumai avora'á simámúwana Yóni Yóntáni-nompimba nombá pétinkaraiye.
MAT.3.7	Yóni nombá pétinkena awánómba ámáán-kawaa-kwaasiye Sátúsi-monor-aimbo sun-kwáásíyé sáwíva'a nombó pétinkanintavesa kwenópa'a tóyo uwaná simátimena séna iyánkó póígon-araa'an-owe. Áánútu kentí sáwí-meyamba timínívo nááwa simátímísara iséra inkaiséra kwéteo. 
MAT.3.8	kentí sáwí-mayai tuwé'o Áánútumpa'o té'o é'a kawe'-máyáí máyéwa'a tuwánanaumne. 
MAT.3.9	Ááváramu kentáá síkwá'ná imbá póta Áánútuna kawe-kwáásíyá úne sé'a mirán-ímáyáá íma oró. Áánútu Ááváramu aísaavutantamba ónááowe sénaraankasi maanóntámpínkémbá kanaám-po'a kwaási aúráaro sisa'á aúráasino. Ááváramu aísaavutantamba uráundawai póta kawe-kwáásíyá úne sé'a mirán-ímáyáá íma oró. 
MAT.3.10	íma kawer-árámbá íyain-taima ááimpimba kwéayaisuwesa iravímbó agaisúwáantemba Áánútu miráumai kentí sáwí-meyamba timíníye Yóni siráiye.
MAT.3.11	Yóni simásuwena séna kentí sáwí-imayaa tuwé'a Áánútumpa'a tewáí nombá kwévetinkaundanivo kesínaaemba tíníwai Áánútun-amankomba ai'maráínana kuména keinárawapimba anómba umátinkaniye. iramó agáyáantemba íníye. kwemá anóndakoma kembá usáyaaitaraimba pó'a kwemó aaimó síndavimba kemá aaimá sendamá uwóví'a ónaumne. 
