MAT.1.1	Tákɨ̀rɨ́b ndùtì ndútí Yésù Krístù nyȩ Dàvît ya dundóŋce nyȩ Àbɨ̀ràháàm á rè:
MAT.1.2	Àbɨ̀ràhâm ya feín Ìsâk; Ìsâk ɨ́ fèìn Yákòb, Yákòb ɨ́ fèìn Jùdâ ɓe mwin yàá bɨ noò. 
MAT.1.3	Jùdâ ɨ́ fèìn Fàrês ɓe Jàrâ, (yà ŋgábè yaám Tàmáàr á); Fàrês ɨ́ fèìn Èsrôm; Èsrôm ɨ́ fèìn Àrâm; 
MAT.1.4	Àrâm ɨ́ fèìn Àmìnàdâb; Àmìnàdâb ɨ́ fèìn Nàsôŋ; Nàsôŋ ɨ́ fèìn Sàlmôŋ; 
MAT.1.5	Sàlmôŋ ɨ́ fèìn Bòwâs (yà Bòwáàs yaám Ràhâb á); Bòwâs ɨ́ fèìn Òbêt (yà Òbéèt yaám Rût á); Òbêt ɨ́ fèìn Jèsê; 
MAT.1.6	Jèsê ɨ́ fèìn Dàvît, mvèìn jíri;
MAT.1.6	Dàvît ɨ́ fèìn Sàlòmôŋ (yà Sàlòmóòŋ yaám gwi Ùríì á). 
MAT.1.7	Sàlòmôŋ ɨ́ fèìn Ròbòwâm; Ròbòwâm ɨ́ fèìn Àbìyà; Àbìyà ɨ́ fèìn Àsâf. 
MAT.1.8	Àsâf ɨ́ fèìn Jòsàfât; Jòsàfât ɨ́ fèìn Jòrâm; Jòrâm ɨ́ fèìn Òsìyâs; 
MAT.1.9	Òsìyâs ɨ́ fèìn Jòwàtâm; Jòwàtâm ɨ́ fèìn Àkâs; Àkâs ɨ́ fèìn Èsèkíyàs. 
MAT.1.10	Èsèkíyàs ɨ́ fèìn Mànàsê; Mànàsê ɨ́ fèìn Àmôŋ; Àmôŋ ɨ́ fèìn Jòsíyàs. 
MAT.1.11	Jòsíyàs ɨ́ fèìn Yèkòníyàs; ɓe mwin yàáb noò ɓwâ kùb ya ge gbàŋ Ìsràyéèl nìrì Bàbìlôn ndɨ.
MAT.1.12	Cùr kùb ya ge gbàŋ Ísràyéèl nìrì Bàbìlóòn, á Yèkòníyàs ya fein Sàlàtíyèl; Sàlàtíyèl ɨ́ fèìn Jòròbàbêl. 
MAT.1.13	Jòròbàbêl ɨ́ fèìn Àbìyûd; Àbìyûd ɨ́ fèìn Èlìyàkîm; Èlìyàkîm ɨ́ fèìn Àsɔ́ɔ̀r. 
MAT.1.14	Àsɔ́ɔ̀r ɨ́ fèìn Sàdôk; Sàdôk ɨ́ fèìn Àkîm; Àkîm ɨ́ fèìn Èlìwûd. 
