GEN.1.1	Ainau anai bag God safam a tafanam ifourai. 
GEN.1.2	Tafanam on wagan wat ato men abi tani iyen on, wouman on kamit tefan engon ikiman, ato God an Ayu on tefanai isisin i nan i nat. 
GEN.1.3	Ato God iyau, “Ratafin etagawai” ato itagawai, 
GEN.1.4	God it ratafin on obin, on mes On ratafin on wouman emon ikuseb. 
GEN.1.5	God ratafin on iwabai, “Ra”, ato wouman on iwabai “Fom.” Rabirabi inai isawar ato fomenei inat, On min ra ainauin.
GEN.1.6	Namon God iyau, “Sanaf basunai ematar ato sareu ekuseb turin tefanai a turin babanai,” 
GEN.1.7	On mes God sanaf iyein ato sareu ikuseb sareu sanaf babanai a sareu sanaf tefanai. Ato on nanaba imatar. 
GEN.1.8	God on sanaf iwabai, “Kasakasau.” Rabirabi inai isawar ato fomenei inat ato on min ra bairuin.
GEN.1.9	Ato God iyau, “Sareu ato kasakasau babanai on enai efan kaitamom eikaita. Ato eiyamai motob rarranin egat.” Ato on nanaba imatar. 
GEN.1.10	God on motob rarranin iwabai “Tafanam.” Ato sareu ibikaita on iwabai “Kamit.” Ato God it on obin. 
GEN.1.11	Namon God iyau, “Motobai on wengar a wayo magis magis sekubou, fani on uwas fesi auman ato fani on uwas fofous mat, asi dam asi damai.” Ato nanaba imatar. 
GEN.1.12	Motobai nan wengar a wayo magis magis sikubou sigai, fani on uwas fesi auman ato fani on fofous mat, asi dam asi damai. Ato God it on obin. 
GEN.1.13	Ato rabirabi inai isawar ato fomenei inat. On min ra baitonin.
GEN.1.14	Ato God iyau, “Kasakasau an sanafai nan ratafin ematar, ato fom ekuseb ra mabinai a fom mabinai ato eiyamai matu, ra a kwanda asi baiyoboen mes. 
GEN.1.15	Ato ratafin kasakasau an sanafai sematar tafanam intagawai.” Ato nanaba imatar. 
GEN.1.16	God ratafin gagamis ruam ifouren, ratafin gagamin on wera, ra inkaifarai aurin ato ratafin anaminei on roke, fom inkaifarai aurin. Ato on siribod mat ifouren. 
GEN.1.17	God kasakasau an sanafai osi ratafis iya tafanam intagawai mes. 
GEN.1.18	Mat asi ratafin on ra a fom itkaifarai ato ratafin on wouman emon itkuseb, ato God it on obin. 
GEN.1.19	Ato rabirabi inai isawar ato fomenei inat. On min ra baibatin.
GEN.1.20	Ato God iyau, “Eiyamai sareuai on sawar yayawasis sigaraba eibonuen ato kiwiu tafanam tefanai, kasakasauai nan sinarob sinrabon.” 
GEN.1.21	On mes God kamit an bobaitu gagamis, sawar yayawasis a sawar baiyayobis magis magis a kiwiu er fafes auman on asi dam asi damai engon ifouren. God it on obin. 
GEN.1.22	God imomoginen ato iyau, “Wonatoub nanatum sinison ato kamit amon wonibonuai ato eiyamai kiwiu tafanamai sinison.” 
GEN.1.23	Ato rabirabi inai isawar ato fomenei inat, on min ra bainimin.
GEN.1.24	Ato God iyau, “Eiyamai tafanamai sawar yayawasis asi dam asi dam sinmatar, gogabur an bobaitu, abi abi gugudis motob tefanai sekakayam on, a rega an bobaitu asi dam asi damai.” Ato nanaba imatar.
GEN.1.25	God on rega an bobaitu, gogabur an bobaitu a sawar gugudis motob tefanai sekakayam on engon iyamen asi dam asi damai. Ato God it on obin.
GEN.1.26	Namon God iyau, “Ot ari orot jever tanfouris sinnat ot magit matat ati itin ba sinmatar. Ato osi kamit an iyan, tefan an kiwiu, bobaitu tafanam engon tutufin a sawar gugudis motob tefanai sekakayam on engon sinkaifaren.” 
GEN.1.27	On mes God orot jever ifouris sinnat On Toun magin matan ba simatar, God Toun magin matan ba on orot jever ifouris. On orot jever ifouris. 
GEN.1.28	God imomogines ato iyawures iyau, “Omi nanatum babaisonis wonitu sinarat sinan tafanam engon tutufin sinibonuai ato sawar tafanamai sen on engon osi sinkaifaren. Yau baibad abitem ato kamit an iyan, tefan an kiwiu a sawar gugudis motob tefanai sekakayam on engon omi wonkaifaren.” 
GEN.1.29	Namon God iyau, “Yau on tafanamai wengar uwas seyaya engon tutufin a wengar uwas fofous aumas engon tutufin on ato abitem omi ami bayu mes wonam. 
GEN.1.30	Yau on wengar rorous a wayo ato aboen tafanamai bobaitu tutuenis engon, kiwiu tefanai serorob, a sawar gugudis motobai sekakayam engon on asi bayu mes aites on sinam.” Ato nanaba imatar. 
GEN.1.31	God sawar abi abi engon ifofouren iten on obin bag. Ato rabirabi inai isawar ato fomenei inat. On min ra nimtereban kaitamom.
GEN.2.1	On etai God safam a tafanam a sawar ta ta amonai sen on engon ifouren isawar. 
GEN.2.2	Ra nimtereban bairuinai God bobo engon tutufin ifofouren on i sawaren, on mes on ra nimtereban bairuin bobo engon tutufin emon on i yarir. 
GEN.2.3	Ato God on ra nimtereban bairuin imomoginai ato iyamai ra kakafaiin imatar, yabin On bobo engon tutufin ifofouren on isawaren weie on emon i yarir.
GEN.2.4	Atonio on safam a tafanam mamaba imamatar on an dudur.
GEN.2.4	On an werai BADA God safam a tafanam ifourai, 
GEN.2.5	on nan on men wengar a wayo tani motobai ikubou igai mes, yabin BADA God on usan men iyamai tafanamai iyar a men orot tani nan imama on motobai ittar itab. 
GEN.2.6	Baise sareu motob emon igai ato motob tefan engon inunubai.
GEN.2.7	BADA God on motob an fofou emon on orot
GEN.2.8	Namon BADA God on Eden au wera matan emon nan masau ibofefes, ato orot ibimatarai on nan iyein. 
GEN.2.9	BADA God on wengar magis magis a wengar uwas aam auris obis anbabaton on nan ifouren sikubobouis sigai. On masau basunai on yawas an wengar on nan itatawar. A wengar tani ato sagob initem menan on yawas obin a yawas komasin on mat nan itatawar.
GEN.2.10	Sareu masau ibinunubai on Eden emon isusur, on nan on ikuseb sareu matas bat simatar. 
GEN.2.11	Sareu ainauin wabin on Pishon, on Havilah tafanam amonai yai ebikibubuai, on nan on agim gold sen. 
GEN.2.12	On tafanam an agim gold on obin, wengar kerin yanden ninibin a agim an baiyan gagamin wabin onix on mat nan sen. 
GEN.2.13	Sareu bairuin wabin on Gihon, on Cush tafanam amonai yai ebikibubuai, 
GEN.2.14	Sareu baitonin wabin on Tigris, on Asshur au wera matan na yai.
GEN.2.15	BADA God on orot ibo Eden Masauai nan iyein masau ittar itab a itkaifarai mes. 
GEN.2.16	Ato BADA God on orot dura wawaninai iyawur iyau, “Om on wengar uwas atonio masauai on engon unam; 
GEN.2.17	baise om men wengar ato sagob initem menan on obin a komasin on uwan unan mes. Om on wengar uwan unanin on arimon totor wat unarab.”
GEN.2.18	BADA God iyau, “Men iyobin arimon orot ekesin mom inama inmasisibu. Yau arimon on orot an baibaisotin turan anfourai inibaisin.” 
GEN.2.19	On mes BADA God on motob ibo ato on emon bobaitu tutuenis a tefan an kiwiu engon tutufin ifouren, ato iboen inat orot aurin iteit wabis itites mes. Ato orot mamaba bobaitu kakaita kakaita ibiwabis min on nanaba seyoyores. 
GEN.2.20	On mes orot on gogabur an bobaitu, tefan an kiwiu a motob an bobaitu tutuenis engon iwabis. Baise Adam an baibaisotin turan on men igaturai on.
GEN.2.21	On mes BADA God orot iyamai nousin ifot bag iyen bubur. Ato on nana iyen bubur ato God on orot sesebin rarik tani iboseir ato anefanin on korofin ibo iyafotai. 
GEN.2.22	Namon BADA God on orot sesebin rarik emon jever ifourai ato ibo inat orot aurin.
GEN.2.23	Ato orot iyau, “Ensairen! Ari weie nin on yau tou au rarik a yau tou au biou turin. On arimon aniwabai, ‘Jever,’ yabin God on yau au rarik emon imatarai.”
