GEN.1.1	U poèetku stvori Bog nebo i zemlju. 
GEN.1.2	A zemlja bješe bez oblièja i pusta, i bješe tama nad bezdanom; i duh Božji dizaše se nad vodom. 
GEN.1.3	I reèe Bog: neka bude svjetlost. I bi svjetlost. 
GEN.1.4	I vidje Bog svjetlost da je dobra; i rastavi Bog svjetlost od tame. 
GEN.1.5	I svjetlost nazva Bog dan, a tamu nazva noæ. I bi veèe i bi jutro, dan prvi. 
GEN.1.6	Potom reèe Bog: neka bude svod posred vode, da rastavlja vodu od vode. 
GEN.1.7	I stvori Bog svod, i rastavi vodu pod svodom od vode nad svodom; i bi tako. 
GEN.1.8	A svod nazva Bog nebo. I bi veèe i bi jutro, dan drugi. 
GEN.1.9	Potom reèe Bog: neka se sabere voda što je pod nebom na jedno mjesto, i neka se pokaže suho. I bi tako. 
GEN.1.10	I suho nazva Bog zemlja, a zborišta vodena nazva mora; i vidje Bog da je dobro. 
GEN.1.11	Opet reèe Bog: neka pusti zemlja iz sebe travu, bilje, što nosi sjeme, i drvo rodno, koje raða rod po svojim vrstama, u kojem æe biti sjeme njegovo na zemlji. I bi tako. 
GEN.1.12	I pusti zemlja iz sebe travu, bilje, što nosi sjeme po svojim vrstama, i drvo, koje raða rod, u kojem je sjeme njegovo po njegovijem vrstama. I vidje Bog da je dobro. 
GEN.1.13	I bi veèe i bi jutro, dan treæi. 
GEN.1.14	Potom reèe Bog: neka budu vidjela na svodu nebeskom, da dijele dan i noæ, da budu znaci vremenima i danima i godinama; 
GEN.1.15	I neka svijetle na svodu nebeskom, da obasjavaju zemlju. I bi tako. 
GEN.1.16	I stvori Bog dva vidjela velika: vidjelo veæe da upravlja danom, i vidjelo manje da upravlja noæu, i zvijezde. 
GEN.1.17	I postavi ih Bog na svodu nebeskom da obasjavaju zemlju. 
GEN.1.18	I da upravljaju danom i noæu, i da dijele svjetlost od tame. I vidje Bog da je dobro. 
GEN.1.19	I bi veèe i bi jutro, dan èetvrti. 
GEN.1.20	Potom reèe Bog: neka vrve po vodi žive duše, i ptice neka lete iznad zemlje pod svod nebeski. 
GEN.1.21	I stvori Bog kitove velike i sve žive duše što se mièu, što provrvješe po vodi po vrstama svojim, i sve ptice krilate po vrstama njihovijem. I vidje Bog da je dobro; 
GEN.1.22	I blagoslovi ih Bog govoreæi: raðajte se i množite se, i napunite vodu po morima, i ptice neka se množe na zemlji. 
