MAT.1.1	A wo li nwer nyi etꞌtohngo ji Jisos Kraist lohng no, ji jolo mmon a Devid,
MAT.1.2	Ebraham jele Aisik. Aisik jel Jekob. Jekob jel Juda, a abon bako. 
MAT.1.3	Juda jele Peres, go Sera. Nnyehn ebo, bo jo lung-e re Tamar. Peres jel Hesron. Hesron jel Ram. 
MAT.1.4	Ram jel Aminadab, Aminadab jel Nason. Nason jel Salmon. 
MAT.1.5	Salmon jel Boas. Nnyehn Boas, bo jo lung-e re Rehab. Boas jel Obed. Nnyehn Obed, bo jo lung-e re Rut. Obed jel Jesi. 
MAT.1.6	Jesi jel Devid ji jolo ntul. Devid ji jolo ntul jel Solomon. Nnyehn Solomon tohko jol nkal Uraya. 
MAT.1.7	Solomon jel Rehoboam. Rehoboam jel Abija. Abija jel Asa. 
MAT.1.8	Asa jel Jehosafat. Jehosafat jel Joram. Joram jel Usia. 
MAT.1.9	Usia jel Jotam. Jotam jel Ehas. Ehas jel Hesekaya. 
MAT.1.10	Hesekaya jel Manase. Manase jel Amon. Amon jel Josia. 
MAT.1.11	Josia jel Jekonia, a abon bako, ngare nyi anebe Bebilon ba bob abone Israel, tahm a bo go Bebilon.
MAT.1.12	Ngare nyi bo ma bob abone Israel, tahm a bo go Bebilon, owo Jekonia kehm jele Sealtiel. Sealtiel jel Serubabel. 
MAT.1.13	Serubabel jel Abiud. Abiud jel Eliakim. Eliakim jel Asor. 
MAT.1.14	Asor jel Sadohk. Sadohk jel Akim. Akim jel Eliud. 
MAT.1.15	Eliud jel Eleasar. Eleasar jel Matan. Matan jel Jekob.
MAT.1.16	Jekob jel Josef ji jolo nlum a Meri. Meri ji jolo nnyehn Jisos, Jisos ji bo kpo lung-e re Kraist. 
MAT.1.17	Bomo goji Ebraham, nde nne lꞌjel mmon, mmon tahm jel ntem mmon ano ano tete ba rehng go ngare nyi Devid, babnde nne jolo ewubu ane ani. Bomo goji Devid, nde nne lꞌjel mmon, mmon tahm jel ntem mmon ano ano tete ba rehng ngare nyi bo bobo abone Israel, tahm a bo go Bebilon, babnde nne jolo ewubu ane ani. Bomo ngare nyi bo bobo abone Israel, tahm abo go Bebilon, nde nne lꞌjel mmon, mmon tahm jel ntem mmon ano ano tete ba rehng ngare nyi Kraist, babnde nne jolo ewubu ane ani.
MAT.1.18	Ana wo bo jele Jisos Kraist. Nnyehn Jisos, bo jo lung-e re Meri. Ngare nyi bo ma lam elbal abola Josef, Josef tikem noongo a Meri, Meri sa ela go nsahm Etingi Etohko.
MAT.1.19	Josef nlum ewe jolo nnobeljina nne. Á sebem re á sono Meri. Á sebe mbang ana nyi á bahk-e tene, ane kꞌwuk.
MAT.1.20	Eji Josef jo tir nsol nyio kpee, enjel nyi Esowo kehm bake, ba kpir-e go nlem, kehm-e tongo re, “Josef ji mmon no Devid, ka kpe fahl elkoko Meri go elbal! Tibre ela bi á ma sa o, á sa go nsahm Etingi Etohko. 
MAT.1.21	Á bahke jele mmon, no a bahk-e gungu mbing re Jisos (ji lohngo re ntꞌtahre). Tibre á bahke tahre ane ebe yehke go bo abiafem.”
MAT.1.22	Nsol nyia kpee limi, eji alum nya Ntul Esowo bungu sehng goji nnyehnamahr lꞌlohko jol go etingitingi, nya á bungu re, 
