GEN.1.1	No princípio, quando Deus criou o céu e a terra
GEN.1.2	a terra estava sem forma e sem ordem. Era um mar profundo coberto de escuridão; mas sobre as águas pairava o 
GEN.1.3	Então Deus disse: «Que a luz exista!» E a luz começou a existir. 
GEN.1.4	Deus achou que a luz era uma coisa boa e separou-a da escuridão. 
GEN.1.5	E Deus chamou à luz dia e à escuridão, noite. Passou uma tarde e veio a manhã: o dia um.
GEN.1.6	Depois Deus disse: «Que exista um firmamento entre as águas, para as separar umas das outras.» 
GEN.1.7	E Deus fez então o firmamento, separando assim as águas que estão do lado de baixo das que estão do lado de cima
GEN.1.8	Deus chamou céu a este firmamento. Passou uma tarde e veio a manhã: o segundo dia.
GEN.1.9	Deus disse então: «Que as águas que estão debaixo do céu se juntem num único lugar e que fique à vista a terra firme.» E assim aconteceu. 
GEN.1.10	Deus chamou terra à terra firme e chamou mar às águas assim reunidas. E achou que tudo aquilo eram coisas boas. 
GEN.1.11	Deus disse ainda: «Que a terra produza ervas e plantas que deem semente e árvores que deem fruto, cada uma conforme a sua qualidade e que o fruto contenha a semente própria.» E assim aconteceu. 
GEN.1.12	A terra produziu toda a espécie de ervas, que dão semente, conforme a sua qualidade, e árvores de fruto, com a semente própria de cada uma. E Deus achou que aquilo eram coisas boas. 
GEN.1.13	Passou uma tarde e veio a manhã: o terceiro dia.
GEN.1.14	Deus disse então: «Que existam luzeiros no firmamento, para distinguirem o dia da noite; e que eles sirvam de sinal para marcar as divisões do tempo, os dias e os anos. 
GEN.1.15	E que esses luzeiros, colocados no céu
GEN.1.16	Deus fez os dois grandes luzeiros: o maior deles, o Sol, para presidir ao dia, e o mais pequeno, a Lua, para presidir à noite, e ainda as estrelas. 
GEN.1.17	Colocou-os no firmamento, para iluminarem a terra 
GEN.1.18	e presidirem ao dia e à noite, fazendo assim a separação entre a luz e a escuridão. E Deus achou que aquilo eram coisas boas. 
GEN.1.19	Passou uma tarde e veio a manhã: o quarto dia.
GEN.1.20	Deus disse depois: «Que as águas sejam povoadas de seres vivos e que entre a terra e o firmamento haja aves a voar.» 
GEN.1.21	E Deus criou os grandes cetáceos
GEN.1.22	e abençoou-os desta maneira: «Sejam férteis e cresçam; encham as águas do mar e que, em terra, as aves se multipliquem também.» 
GEN.1.23	Passou uma tarde e veio a manhã: o quinto dia.
GEN.1.24	Depois Deus disse: «Que a terra produza toda a espécie de seres vivos: animais domésticos, animais selvagens e todos os bichos, conforme as suas diferentes espécies.» E assim aconteceu. 
GEN.1.25	Deus criou todas as espécies de animais selvagens, de animais domésticos e todos os bichos. E achou que todos eram coisas boas.
GEN.1.26	Deus disse ainda: «Façamos o ser humano à nossa imagem e semelhança. Que ele tenha poder sobre os peixes do mar e as aves do céu; sobre os animais domésticos e selvagens e sobre todos os bichos que andam sobre a terra.» 
GEN.1.27	Deus criou então o ser humano à sua imagem; criou-o como verdadeira imagem de Deus
GEN.1.28	Deus abençoou-os desta maneira: «Sejam férteis e cresçam; encham a terra e dominem-na; dominem sobre os peixes do mar e as aves do céu e sobre todos os animais que andam sobre a terra.» 
GEN.1.29	Deus continuou: «Dou-vos todas as plantas que produzem semente e que existem em qualquer parte da terra e todas as árvores de fruto, com a sua semente própria. É isso que devem comer. 
GEN.1.30	Dou todas as verduras como alimento aos animais e aves, a todos os seres vivos que andam sobre a terra.» E assim aconteceu.
GEN.1.31	E Deus achou que tudo aquilo que tinha feito era muito bom. Passou uma tarde e veio a manhã: o sexto dia.
GEN.2.1	Assim ficaram completos o céu e a terra, com tudo aquilo que contêm. 
GEN.2.2	No sétimo dia, Deus tinha completado a sua obra e nesse sétimo dia Deus descansou dos trabalhos que tinha vindo a fazer. 
GEN.2.3	Deus abençoou o sétimo dia e fez dele um dia sagrado, pois foi o dia em que ele descansou
GEN.2.4	É esta a história da criação do céu e da terra.
GEN.2.4	Quando o 
GEN.2.5	ainda não havia plantas na terra nem tinha brotado a erva. É que o 
GEN.2.6	mas uma corrente de água começava a brotar da terra e regava os campos.
GEN.2.7	O 
GEN.2.8	O 
GEN.2.9	Da terra, fez nascer toda a espécie de árvores que eram agradáveis à vista e davam bons frutos para comer. No meio do jardim estava a árvore da vida e a árvore do conhecimento do bem e do mal
GEN.2.10	Em Éden nasce um rio que rega o jardim e depois se divide em quatro rios diferentes. 
GEN.2.11	O nome do primeiro é o Pichon, que rodeia a terra de Havilá, onde há muito ouro. 
GEN.2.12	O ouro daquela terra é muito bom e há lá também âmbar e lápis-lazúli. 
GEN.2.13	O segundo rio chama-se Guion, que rodeia toda a terra de Cuche
GEN.2.14	O terceiro rio chama-se Hidéquel
GEN.2.15	O 
GEN.2.16	E deu-lhe estas ordens: «Podes comer do fruto de qualquer árvore, menos do fruto da árvore do conhecimento do bem e do mal. 
GEN.2.17	Deste não podes comer de maneira nenhuma. No dia em que dele comeres, ficas condenado a morrer
GEN.2.18	O 
GEN.2.19	E o 
GEN.2.20	O homem deu nome a todos os animais domésticos, às aves e aos animais selvagens, mas nenhum era a companhia apropriada para ele.
GEN.2.21	O 
GEN.2.22	Da costela que tinha tirado do homem, o 
GEN.2.23	Este declarou:
GEN.2.23	«Desta vez, aqui está alguém
GEN.2.23	feito dos meus próprios ossos
GEN.2.23	e da minha própria carne.
GEN.2.23	Vai chamar-se mulher;
GEN.2.23	porque foi formada do homem
GEN.2.24	Por isso, o homem deixa a casa do pai e da mãe para se unir com a sua mulher e ficam a ser um só corpo
GEN.2.25	Tanto o homem como a mulher andavam nus, sem sentirem nenhuma vergonha por isso.
GEN.3.1	A serpente, que era o mais astuto de todos os animais selvagens criados pelo 
GEN.3.2	disse à mulher: «Com que então Deus proibiu-vos de comerem do fruto de todas as árvores do jardim!»
GEN.3.2	Mas a mulher respondeu-lhe: «Nós podemos comer o fruto das árvores do jardim. 
GEN.3.3	Só nos proibiu de comer do fruto da árvore que está no meio do jardim. Se tocássemos no seu fruto, morreríamos.»
GEN.3.4	A serpente replicou-lhe: «Não têm que morrer. De maneira nenhuma! 
GEN.3.5	O que acontece é que Deus sabe que no dia em que comerem desse fruto, abrir-se-ão os vossos olhos e ficarão a conhecer o mal e o bem
GEN.3.6	A mulher pensou então que devia ser bom comer do fruto daquela árvore, que era apetitoso e agradável à vista e útil para alcançar sabedoria. Apanhou-o, comeu e deu ao seu marido que comeu também. 
GEN.3.7	Nesse momento, abriram-se os olhos de ambos e deram-se conta de que andavam nus. Coseram então folhas de figueira, para com elas poderem cobrir a cintura.
GEN.3.8	Nisto ouviram que o 
GEN.3.9	O 
GEN.3.10	O homem respondeu: «Apercebi-me de que andavas no jardim; tive medo, por estar nu, e escondi-me.»
GEN.3.11	Deus perguntou-lhe: «Quem é que te disse que estavas nu? Será que foste comer do fruto daquela árvore que eu tinha proibido?»
GEN.3.12	O homem replicou: «A mulher que me deste para viver comigo é que me deu do fruto dessa árvore e eu comi.»
GEN.3.13	O 
GEN.3.13	A mulher respondeu: «A serpente enganou-me e eu comi
GEN.3.14	O 
GEN.3.15	Farei com que tu e a mulher sejam inimigas, bem como a tua descendência e a descendência dela. A descendência da mulher há de esmagar-te a cabeça e tu procurarás esmagar-lhe o calcanhar
GEN.3.16	E à mulher disse: «Vou fazer com que sofras os incómodos da gravidez e terás que dar à luz com muitas dores. Apesar disso, sentirás forte atração pelo teu marido, mas ele há de mandar em ti.»
GEN.3.17	E ao homem disse: «Já que deste ouvidos à tua mulher e comeste do fruto da árvore, do qual eu te tinha proibido de comer,
GEN.3.17	a terra fica amaldiçoada por tua causa,
GEN.3.17	e será com grande sofrimento
GEN.3.17	que dela hás de tirar alimento,
GEN.3.17	durante toda a tua vida.
GEN.3.18	Só produzirá espinhos e cardos
GEN.3.18	e tu terás de comer a erva que cresce no campo
GEN.3.19	Só à custa de muito suor
GEN.3.19	conseguirás arranjar o necessário para comer,
GEN.3.19	até que um dia te venhas a transformar de novo em terra,
GEN.3.19	pois dela foste formado.
GEN.3.19	Na verdade, tu és pó
GEN.3.19	e em pó te hás de transformar de novo.»
GEN.3.20	O homem, Adão, deu à sua mulher o nome de Eva
GEN.3.21	O 
GEN.3.22	O 
GEN.3.23	Por isso, Deus, o 
GEN.3.24	Depois de ter expulsado o homem, Deus colocou diante do jardim do Éden os 
GEN.4.1	Adão teve relações com Eva, sua mulher, e esta ficou grávida. Quando deu à luz Caim, ela exclamou: «Já consegui alcançar de Deus um filho homem
GEN.4.2	Mais tarde, deu à luz outro filho. Foi Abel, irmão de Caim. Abel foi pastor e Caim foi agricultor.
GEN.4.3	Ao fim de um certo tempo, Caim apresentou ao 
GEN.4.4	e Abel ofereceu as primeiras e melhores crias do seu gado. Ora, Deus ficou contente com Abel e com a sua oferta; 
GEN.4.5	mas não ficou satisfeito com Caim nem com a sua oferta. Por isso, Caim ficou muito irritado e de má cara. 
GEN.4.6	Deus disse-lhe então: «Por que é que te irritaste assim e ficaste com tão má cara? 
GEN.4.7	Se te comportares bem, podes andar de cabeça erguida, mas se te comportares mal, tens o 
GEN.4.8	Certo dia, depois de Caim ter falado com Abel, seu irmão, saíram para o campo. Encontravam-se lá, quando Caim atacou o irmão e o matou.
GEN.4.9	O 
GEN.4.9	«Não sei. Será que eu sou o guarda do meu irmão?», respondeu ele.
GEN.4.9	Deus insistiu: «Que é que fizeste? 
GEN.4.10	O sangue do teu irmão, que tu derramaste, levanta-se da terra, a pedir-me vingança
GEN.4.11	Por isso, amaldiçoado sejas tu pela terra que bebeu o sangue do teu irmão, que tu mataste. 
GEN.4.12	Por muito que cultives a terra, ela não voltará a dar-te a sua riqueza. E terás de andar perdido e errante pelo mundo.»
GEN.4.13	Caim respondeu: «O meu crime é demasiado grande para eu o poder suportar. 
GEN.4.14	Se tu me expulsas desta terra e eu tiver que fugir de ti, para andar perdido e errante, qualquer pessoa que me encontrar me pode matar.»
GEN.4.15	Mas Deus replicou: «De modo nenhum! Quem matar Caim sofrerá como vingança sete mortes entre os seus.»
GEN.4.15	E o 
