GEN.1.1	No princípio Deus criou o céu e a Terra. 
GEN.1.2	Esta era de início um caos e como uma massa amorfa, com o Espírito de Deus planando sobre os vapores que enchiam as trevas.
GEN.1.3	Então Deus disse: “Haja luz!” E a luz apareceu. 
GEN.1.4	Deus viu que a luz era boa e demarcou o aparecimento da luz em relação à escuridão. 
GEN.1.5	Ao tempo durante o qual a luz brilhou chamou dia e à escuridão chamou noite. Essa sequência formou o primeiro dia.
GEN.1.6	E Deus disse: “Que os vapores se separem, deixando que haja uma atmosfera acima da terra e águas na sua superfície!” 
GEN.1.7	Foi assim que Deus formou o firmamento e separou as águas que estão na Terra das que se encontram na atmosfera. 
GEN.1.8	E Deus chamou a este firmamento céu. Foi a tarde e veio a manhã, era o segundo dia.
GEN.1.9	E disse mais: “Que as águas à superfície da Terra se juntem, formando mares e oceanos, deixando aparecer a parte seca!” E assim foi. 
GEN.1.10	A essa parte seca emergindo entre as águas chamou-lhe terra e às águas mar. E Deus viu que isso era bom.
GEN.1.11+GEN.1.12	Disse Deus: “Que a terra produza toda a espécie de vegetação! Plantas que deem sementes, árvores que produzam frutos, frutos que contenham em si mesmos as sementes de acordo com a espécie donde vêm.” E assim foi. E Deus viu que tudo isso era bom. 
GEN.1.13	Estas coisas deram-se ao terceiro dia.
GEN.1.14	Deus disse ainda: “Que no firmamento haja fontes de luz que iluminem a Terra e demarquem o dia e a noite! Servirão também para estabelecer a sucessão das estações e a sequência dos dias e dos anos.” 
GEN.1.15+GEN.1.16+GEN.1.17+GEN.1.18	E assim aconteceu. Deus fez pois duas grandes fontes de luz: o Sol e a Lua para iluminarem a Terra. O Sol, maior, para dirigir o dia, e a Lua, mais pequena, para brilhar durante a noite. Deus fez também as estrelas. Foi assim que fixou essas fontes de luz no firmamento, para iluminarem a Terra, para determinarem os dias e as noites, para separarem a luz das trevas. E Deus viu que isso era bom. 
GEN.1.19	Isto deu-se no quarto dia.
GEN.1.20	E disse mais: “Que as águas se encham de peixes e de várias espécies de vida! Que os céus também sejam atravessados por aves de toda a espécie!” 
GEN.1.21	Foi assim que Deus criou os grandes animais marinhos e toda a qualidade de vida aquática, tal como toda a sorte de pássaros, os quais se haviam de reproduzir sempre segundo as suas espécies. E Deus viu que isso era bom. 
GEN.1.22	E abençoou-os: “Multipliquem-se e encham os mares e as águas!” E aos pássaros e animais alados ordenou: “Que o vosso número aumente multiplicadamente, encham a Terra!” 
GEN.1.23	E aconteceu isto no quinto dia.
GEN.1.24	Deus disse: “Que na terra apareça toda a qualidade de vida animal! Quadrúpedes, rastejantes, animais selvagens de toda a sorte, reproduzindo-se de acordo com a sua espécie.” E assim aconteceu. 
GEN.1.25	Deus fez toda a qualidade de animais sobre a terra; cada um segundo a sua espécie. E viu que tudo quanto tinha feito era bom.
GEN.1.26	Disse mais Deus: “Façamos o homem, um ser semelhante a nós! Que ele domine sobre os peixes do mar e as aves do céu, sobre os animais domésticos e selvagens e sobre todas as criaturas que andam sobre a terra!”
GEN.1.27	Deus criou então o homem à sua imagem;
GEN.1.27	assim à imagem de Deus o criou.
GEN.1.27	Homem e mulher, assim os criou.
GEN.1.28	Deus abençoou-os e disse-lhes: “Multipliquem-se, encham a Terra, dominem-na e também toda a vida animal da terra, dos mares e dos ares! 
GEN.1.29	Dou-vos todas as plantas que produzem sementes e toda a espécie de frutos para alimento. 
GEN.1.30	A todos os animais dou igualmente como alimento a vida vegetal.” E foi assim que aconteceu.
GEN.1.31	Deus viu que tudo quanto tinha feito era muito bom. Assim, passou o sexto dia.
GEN.2.1	Desta forma, terminou a criação do céu e da Terra, e todo o seu exército celestial.
GEN.2.2	No sétimo dia, Deus tinha completado a sua obra e nesse sétimo dia Deus descansou de toda a obra que tinha vindo a fazer. 
GEN.2.3	Deus abençoou o sétimo dia e declarou que esse dia seria santo, pois foi quando repousou de toda a sua obra da criação.
GEN.2.4	Esta é a história da criação, quando o 
GEN.2.5	Ainda não havia vegetação, nem semente que desabrochasse da terra, porque o 
GEN.2.6	Contudo, subia uma nascente de água da terra que irrigava o solo.
GEN.2.7	Então o 
GEN.2.8	Plantou também o 
GEN.2.9	Fez brotar daquela terra toda a espécie de belas árvores que davam belíssimos frutos. No centro do jardim estava a árvore da vida, assim como também a árvore da consciência, que dá a conhecer o bem e o mal.
GEN.2.10	Havia ali um rio que nascia no Éden e que atravessava o jardim para o regar, separando-se depois em quatro braços. 
GEN.2.11	Um destes era o Pisom, que atravessa toda a terra de Havila, onde há ouro. 
GEN.2.12	O ouro dessa terra é de fina qualidade, assim como pedras preciosas, como o bdélio e a pedra de ónix. 
GEN.2.13	O segundo braço do rio é chamado Giom e percorre a terra de Cuche. 
GEN.2.14	O terceiro é o Tigre, que corre para oriente da Assíria. O quarto é o Eufrates.
GEN.2.15	O 
GEN.2.16	E deu-lhe o seguinte aviso: “Podes comer de toda a árvore que está no jardim, 
GEN.2.17	exceto da árvore da consciência; porque o seu fruto é o do conhecimento do bem e do mal. Se comeres desse fruto, ficas condenado a morrer.”
GEN.2.18	O 
GEN.2.19+GEN.2.20	O 
GEN.2.19+GEN.2.20	Contudo, para si próprio o homem não encontrou uma companheira que lhe conviesse. 
