MAT.1.1	Ma əlfa na Zezu Krestu, wətən Davitti*, wətən Abraham:
MAT.1.2	Abraham duwa Isak, Isak duwa Zakubu, Zakub duwa Zuda dit milmiŋgiɗni, 
MAT.1.3	Zuda duwa Fares də Zara, dət Tamar, Fares duwa Esrom, Esrom duwa Aram, 
MAT.1.4	Aram duwa Aminadabu, Aminadabu duwa Nason, Nason duwa Salmoŋ, 
MAT.1.5	Salmoŋ duwa Bo'ez, dət Rahab, Bo'ez duwa Obed, dət Rutu, Obed duwa Zesse, 
MAT.1.6	Zesse duwa məlĩ Davitti.
MAT.1.6	Davit duwa Salmoŋ, dət guluk na Uriya, 
MAT.1.7	Salmoŋ duwa Robo'am, Robo'am duwa Abiya, Abiya duwa Asa, 
MAT.1.8	Asa duwa Zozafa, Zozafa duwa Zoram, Zoram duwa Oziya, 
MAT.1.9	Oziya duwa Zowatam, Zowatam duwa Akaz, Akaz duwa Ezekiyas, 
MAT.1.10	Ezekiyas duwa Manasse, Manasse duwa Amos, Amos duwa Zosiya, 
MAT.1.11	Zosiya duwa Zekoniyas dit milmiŋgiɗni, gala məke Israyel a Babilon.
MAT.1.12	Səza məke Israyel a Babilon, Zekoniyas duwa Salatiyel, Salatiyel duwa Zorobabel, 
MAT.1.13	Zorobabel duwa Abiyu, Abiyu duwa Eliyakim, Eliyakim duwa Azor, 
MAT.1.14	Azor duwa Sadok, Sadok duwa Akim, Akim duwa Eliyu, 
MAT.1.15	Eliyu duwa Eliyazar, Eliyazar duwa Matan, Matan duwa Zakubu, 
MAT.1.16	Zakub duwa Zozef zilit Mari, məs tuwa Zezu, məs adawyaŋ na Messiya*.
MAT.1.17	Sap gən ma əlfa na, səza Abraham ha gap Davitti, ma əlfa klaw kin poɗo, səza məke Israyelɗe a Babilon ma əlfa klaw kin poɗo, səza məke Israyelɗe a Babilon ha Messiya, ma əlfa klaw kin poɗo.
MAT.1.18	Vaŋki uwa na Zezu Krestu agəɗə. Mari, mani, Zozef məzu dahta, gala təɓəl əsap də Zozef ɓa, təɗiyək daway də Əmpəs Salala. 
MAT.1.19	Zozef zilta ɗəf mogoni, tay wəsban Maŋgəlva dəŋgəl əgil gən wənnat appaka ɓa, aɗumonək kapat məhaɗama. 
MAT.1.20	Adan adaɗum vaska, maslay na Ɗəfdaya adek əsine akani, anah sənək na, Zozef wətən Davit* kəgeslne dawgəmət Mari, ɗak nok ɓa, vi an dəsəɗ adəvta də gakdak na Əmpəs Salalayi, 
MAT.1.21	watə wə wina, wakəlvan na Zezu. Vi wakohgit ɗii nan səka mbrayen neti.
MAT.1.22	Amma aspak agəɗə, vi kaɗɗa an Ɗəfdaya annah də ma məs kleŋ na:
MAT.1.23	Waŋ mgbuɓɓo watəɗi daway watə wə wina,
MAT.1.23	kawyani na Immanuyel,
MAT.1.23	va wənah na: Maŋgəlva tay də mənamə.
