MAT.1.1	Atea, David, Abraham pãrami ca niiricʉ, Jesucristo ñicʉ̃ jʉ̃mʉa niiquĩricarãre owa tuurique nii:
MAT.1.2	Abraham, Isaac pacʉ niiupi.
MAT.1.2	Isaac, Jacob pacʉ niiupi.
MAT.1.2	Jacob, Judá, to biri cʉ̃ bairã pacʉ niiupi.
MAT.1.3	Judá, Fares, Zera jãa pacʉ niiupi.
MAT.1.3	Cʉ̃ja paco Tamar niiupo.
MAT.1.3	Fares, Jezrón pacʉ niiupi.
MAT.1.3	Jezrón, Aram pacʉ niiupi.
MAT.1.4	Aram, Aminadab pacʉ niiupi.
MAT.1.4	Aminadab, Naasón pacʉ niiupi.
MAT.1.4	Naasón, Salmón pacʉ niiupi.
MAT.1.5	Salmón, Booz pacʉ niiupi.
MAT.1.5	Booz paco Rajab niiupo.
MAT.1.5	Booz, Obed pacʉ niiupi.
MAT.1.5	Cʉ̃ paco, Rut niiupo.
MAT.1.5	Obed, Isaí pacʉ niiupi.
MAT.1.6	Isaí, Israel yepa macãrã wiogʉ ca niiricʉ David pacʉ niiupi.
MAT.1.6	Wiogʉ David, Salomón pacʉ niiupi. Cʉ̃ paco pea Urías nʉmo ca niirico niiupo.
MAT.1.7	Salomón, Roboán pacʉ niiupi.
MAT.1.7	Roboán, Abías pacʉ niiupi.
MAT.1.7	Abías, Asá pacʉ niiupi.
MAT.1.8	Asá, Josafat pacʉ niiupi.
MAT.1.8	Josafat, Jorán pacʉ niiupi.
MAT.1.8	Jorán, Uzías pacʉ niiupi.
MAT.1.9	Uzías, Jotán pacʉ niiupi.
MAT.1.9	Jotán, Acaz pacʉ niiupi.
MAT.1.9	Acaz, Ezequías pacʉ niiupi.
MAT.1.10	Ezequías, Manasés pacʉ niiupi.
MAT.1.10	Manasés, Amón pacʉ niiupi.
MAT.1.10	Amón, Josías pacʉ niiupi.
MAT.1.11	Josías, Jeconías to biri cʉ̃ bairã pacʉ niiupi, israelitas're, Babilonia yepapʉ cʉ̃ja ca ñee waari cuure.
MAT.1.12	Babiloniapʉ cʉ̃ja ca ñee waaro jiro Jaconías, Salatiel pacʉ niiupi.
MAT.1.12	Salatiel, Zorobabel pacʉ niiupi.
MAT.1.13	Zorobabel, Abiud pacʉ niiupi.
MAT.1.13	Abiud, Eliaquín pacʉ niiupi.
MAT.1.13	Eliaquín, Azor pacʉ niiupi.
MAT.1.14	Azor, Sadoc pacʉ niiupi.
MAT.1.14	Sadoc, Aquín pacʉ niiupi.
MAT.1.14	Aquín, Eliud pacʉ niiupi.
MAT.1.15	Eliud, Eleazar pacʉ niiupi.
MAT.1.15	Eleazar, Matán pacʉ niiupi.
MAT.1.15	Matán, Jacob pacʉ niiupi.
MAT.1.16	Jacob, José pacʉ niiupi.
MAT.1.16	José, María manʉ niiupi. María, Jesús, Mesías mani ca ĩigʉ paco niiupo.
MAT.1.17	To biri, Abraham niiquĩricʉ cʉ̃ ca niiri cuu mena, David menapʉre pʉa amo peti, dʉpore baparica penituaro niiri punaari peti nii wajoa nʉnʉa waaupa. Ñucã David niiquĩricʉ cʉ̃ ca niiri cuu mena, to biri israelitas're Babiloniapʉ cʉ̃ja ca ñee waari tabe menapʉre pʉa amo peti, dʉpore baparica penituaro niiri punaari peti nii wajoa nʉnʉa waaupa. Ñucã Babiloniapʉ israelitas're cʉ̃ja ca ñee waari tabe mena, to biri Mesías cʉ̃ ca baʉari tabepʉ menare, pʉa amo peti, dʉpore baparica penituaro niiri punaari peti nii wajoa nʉnʉa waaupa.
MAT.1.18	Jesucristo cʉ̃ ca baʉarique o biro biiupa: Cʉ̃ paco María, Josére manʉ cʉtirʉgo bii niiupo. José mena cõ ca niiparo jʉgueropʉra, Añuri Yeri cʉ̃ ca tii maji niirije jʉori, mee ʉtaagapʉ nii yerijãaupo. 
MAT.1.19	Cõ manʉ José pea, ca bojoca añugʉ niiri, bau niiropʉ Maríare, “ ‘To biro biimo,’ ĩi wede batetigʉra cõre ca cõacãpe niicu,” ĩi tʉgoeñaupi.
MAT.1.20	“To biro yʉ tiigʉda,” cʉ̃ ca ĩi tʉgoeña niiri tabere, cʉ̃ ca quẽñaropʉ, jĩcʉ̃ Ʉmʉreco Pacʉ pʉto macʉ̃ cʉ̃re baua eari, o biro cʉ̃re ĩiupi:
