MAT.1.1	Yisa Masiya
MAT.1.2	Abiraham le nan ma Azig,
MAT.1.2	le Azig ma Jekɔb,
MAT.1.2	le Jekɔb mu ma Juda nin u watiib.
MAT.1.3	Juda nan ma Perezi nin Zera, wan a na nan ye Tamar nan;
MAT.1.3	le Perezi nan ma Hezironn,
MAT.1.3	le Hezironn ma Ram.
MAT.1.4	Ram le nan ma Aminadab,
MAT.1.4	le Aminadab ma Nasonn,
MAT.1.4	le Nasonn mu ma Salimɔnn.
MAT.1.5	Salimɔnn le nan ma Bɔɔzi, wan a na nan ye Rahab nan,
MAT.1.5	le Bɔɔzi ma Obed, wan a na nan ye Ruf nan,
MAT.1.5	le Obed mu ma Jesi.
MAT.1.6	Jesi le nan ma ubɔr Defid.
MAT.1.6	Le Defid mu ma Solomɔnn, wan a na nan ye Yuriya a poo-n.
MAT.1.7	Solomɔnn le nan ma Rehoboam,
MAT.1.7	le Rehoboam ma Abija,
MAT.1.7	le Abija mu ma Asa.
MAT.1.8	Asa le nan ma Jehosafa,
MAT.1.8	le Jehosafa ma Jehoram,
MAT.1.8	le Jehoram mu ma Uzaya.
MAT.1.9	Uzaya le nan ma Jotam,
MAT.1.9	le Jotam ma Ahazi,
MAT.1.9	le Ahazi mu ma Hezekaya.
MAT.1.10	Hezekaya le nan ma Manaasa,
MAT.1.10	le Manaasa ma Amonn,
MAT.1.10	le Amonn mu ma Josaya.
MAT.1.11	Le Josaya ma Jekonaya nin u watiib, baah nan choo Iziral yaab ki ta bi jon Babilɔnn n-yonn man nin.
MAT.1.12	Baah nan choo bi ki ta bi jon Babilɔnn nan a bɔɔn bu,
MAT.1.12	le Jekonaya ma Salatiɛl,
MAT.1.12	le Salatiɛl mu ma Zerubabel.
MAT.1.13	Zerubabel le nan ma Abiud,
MAT.1.13	le Abiud ma Elayakim,
MAT.1.13	le Elayakim mu ma Azor.
MAT.1.14	Azor le nan ma Zadog,
MAT.1.14	le Zadog ma Akim,
MAT.1.14	le Akim mu ma Eliud.
MAT.1.15	Eliud le nan ma Eliɛzar,
MAT.1.15	le Eliɛzar ma Matann.
MAT.1.15	Le Matann ma Jekɔb.
