MAT.1.1	Oyo ezali bakombo ya bankoko ya Yesu Kristo, mwana ya David, mwana ya Abraham :
MAT.1.2	Abraham abotaki Izaki ; Izaki abotaki Zakobi ; mpe Zakobi abotaki Yudana bandeko na ye.
MAT.1.3	Yuda na mwasi na ye Tamare babotaki Farezi mpe Zara ; Fareziabotaki Esromi ; mpe Esromi abotaki Arami.
MAT.1.4	Arami abotaki Aminadabi ; Aminadabi abotaki Nasoni ; mpe Nasoni abotaki Salmon ;
MAT.1.5	Salmon na mwasi na ye Rabi babotaki Bowazi ; mpe Bowasi na mwasi na ye Ruti babotaki Obedi.
MAT.1.6	Obedi abotaki Isayi ; Isayi abotaki Mokonzi David ; mpe Mokonzi David na mwasi oyo Uri atikaki, babotaki Salomon.
MAT.1.7	Salomon abotaki Robowami ; Robowami abotaki Abia ; mpe Abia abotaki Asa ;
MAT.1.8	Asa abotaki Zozafati ; Zozafati abotaki Zorami ; mpe Zorami abotaki Oziasi.
MAT.1.9	Oziasi abotaki Zowatami ; Zowatami abotaki Akazi ; mpe Akazi abotaki Ezekiasi.
MAT.1.10	Ezekiasi abotaki Manase ; Manase abotaki Amoni ; mpe Amoni abotaki Zoziasi.
MAT.1.11	Zoziasi abotaki Zakoniasi na bandeko na ye ; bango babotamaki tango bamemaki bato ya Isayele na bowumbu na ekolo ya Babilone.
MAT.1.12	Sima ya komema bato ya Isayele na Babilone ; Zekoniasi abotaki Salatiele ; mpe Salatiele abotaki Zorobabele ;
MAT.1.13	Zorobabele abotaki Abiyudi ; Abiyudi abotaki Eliyakimi ; mpe Eliyakimi abotaki Azori.
MAT.1.14	Azori abotaki Sadoki ; Sadoki abotaki Akimi ; mpe Akimi abotaki Eliyudi.
MAT.1.15	Eliyudi abotaki Eleyazari ; Eleyazari abotaki Matani ; mpe Matani abotaki Zakobi.
MAT.1.16	Zakobi abotaki Zozefi, oyo azalaki mobali ya Mariya, mama ya Yesu oyo babengaka Kristo.
MAT.1.17	Bango nyonso, banda na Abraham kino na David, ezalaki na mabota zomi na minei ; banda David kino na tango bamemaki bato ya Isayele na bowumbu na Babilone, ezalaki na mabota zomi na minei ; mpe kobanda tango bamemaki bato ya Isayele na bowumbu kino na Kristo, ezalaki na mabota zomi na minei.
MAT.1.18	Tala ndenge Yesu Kristo abotamaki : mama na ye Mariya, azalaki elenge mwasi oyo Zozefi andimaki kobala. Kasi liboso ete bavanda esika moko, Mariya azwaki zemi na nguya ya Molimo Mosantu. 
MAT.1.19	Zozefi, mobali na ye, azalaki moto na sembo mpe alingaki te koyokisa ye soni na miso ya bato ; yango wana akanaki aboya ye na sekele.
MAT.1.20	Awa azalaki kokanisa mpo na makambo yango, anzelu ya Nkolo abimelaki ye na ndoto, mpe alobaki na ye :
MAT.1.20	—Zozefi mwana ya David, kobanga te mpo na kozwa Mariya mwasi na yo, pamba te zemi oyo azali na yango ewuti na Molimo Mosantu. 
MAT.1.21	Akobota mwana mobali, bongo okopesa ye kombo Yesu, pamba teye moto akobikisa bato na ye na masumu na bango !
MAT.1.22	Nyonso oyo esalamaki mpo ete maloba oyo Nkolo alobaki na monoko ya moprofeta ekokisama :
MAT.1.24	Tango Zozefi alamukaki, asalaki ndenge anzelu ya Nkolo atindaki ye, mpe azwaki Mariya mwasi na ye. 
MAT.1.25	Kasi Zozefi ayebaki nzoto na ye te kino tango abotaki mwana mobali ; mpe apesaki ye kombo Yesu.
MAT.2.1	Yesu abotamaki na Betelemi ya Yudea, tango Erode azalaki mokonzi ; sima na yango, bato ya mayele oyo bayekolaka minzoto, bawutaki na mokili ya Este, bakomaki na Yeruzalem. 
MAT.2.2	Batunaki :
MAT.2.2	—Mokonzi ya Bayuda oyo awuti kobotama azali wapi ? Pamba te, tomonaki monzoto na ye na mokili ya Este, yango wana toye kokumbamela ye !
MAT.2.3	Tango mokonzi Erode ayokaki sango yango, ye na bato nyonso ya Yeruzalem bamitungisaki mingi. 
MAT.2.4	Abengisaki bakonzi nyonso ya banganga-Nzambe mpe balakisi ya Mibeko, mpe atunaki bango soki Kristo asengeli kobotama wapi.
MAT.2.5	Bazongiselaki ye :
MAT.2.5	—Na Betelemi ya Yudea, pamba te moprofeta akomaki boye :
MAT.2.7	Bongo Erode abengisaki na sekele bato ya mayele oyo batalaka minzoto mpe atunaki bango bayebisa ye tango penza oyo monzoto ebimaki. 
MAT.2.8	Atindaki bango na Betelemi na maloba oyo :
MAT.2.8	—Bokende kuna mpe botuna malamu makambo ya mwana wana. Tango bokomona ye, boyebisa ngai, mpo ngai mpe nakende kokumbamela ye !
MAT.2.9	Sima ya koyoka maloba ya mokonzi, bakendaki. Mpe monzoto oyo bamonaki na Este ezalaki kokende liboso na bango kino tango etelemaki likolo ya esika mwana azalaki. 
MAT.2.10	Tango bamonaki monzoto, bayokaki esengo mingi penza. 
MAT.2.11	Bakotaki na ndako, bamonaki mwana na mama na ye Mariya ; bafukamaki mpe bakumbamelaki ye. Bongo bafungolaki basaki na bango, mpe bapesaki ye makabo oyo : wolo, ansa
MAT.2.12	Awa Nzambe akebisaki bango na ndoto, ete bazonga te epai ya Erode, bazongaki na mokili na bango na nzela mosusu.
MAT.2.13	Tango bakendaki, anzelu ya Nkolo abimelaki Zozefi na ndoto mpe alobaki na ye :
MAT.2.13	—Telema, kamata mwana na mama na ye, mpe kina na Ezipito. Vanda kuna kino tango nakoyebisa yo pamba te Erode akoluka mwana, mpo na koboma ye. 
MAT.2.14	Kaka na butu wana, Zozefi atelemaki, akamataki mwana na mama na ye, mpe akendaki na Ezipito. 
MAT.2.15	Avandaki kuna kino tango Erode akufaki. Na bongo nde maloba ya Nkolo, oyo alobaki na monoko ya moprofeta ekokisamaki : 
MAT.2.16	Tango Erode amonaki ete bato ya mayele oyo batalaka minzoto batosaki ye te, atondaki na kanda. Yango wana atindaki ete baboma, na Betelemi mpe na bamboka ya pembeni-pembeni na yango, bana nyonso ya mibali oyo bazalaki na bambula mibale kino na nse ; pamba te alandaki malamu penza tango oyo bato ya mayele baoyo batalaka minzoto bayebisaki ye.
MAT.2.17	Na ndenge wana nde, maloba ya moprofeta Jeremiya ekokisamaki :
