MAT.1.1	Ninteh iwejkatatawah n Cristo Jesús, non walewatok itech David iwa noijki walewatok itech Abraham.
MAT.1.2	Abraham ita n Isaac.
MAT.1.2	Isaac ita n Jacob,
MAT.1.2	iwa Jacob ita n Judá iwan oksikimeh ikniwah.
MAT.1.3	Ipilwah n Judá non okímpixki iwan Tamar, omonotsayah Fares iwa Zara.
MAT.1.3	Fares ita n Esrom,
MAT.1.3	iwa n Esrom ita n Aram.
MAT.1.4	Aram ita n Aminadab.
MAT.1.4	Aminadab ita n Naasón.
MAT.1.4	Naasón ita n Salmón.
MAT.1.5	Salmón iwa n Rahab okipixkeh inkone non itoka Booz.
MAT.1.5	Booz iwa n Rut okipixkeh inkone non itoka Obed.
MAT.1.5	Obed ita n Isaí.
MAT.1.6	Isaí ita n rey David.
MAT.1.6	N rey David ita n Salomón. Imamá n Salomón okatka isiwa n Urías.
MAT.1.7	Salomón ita n Roboam.
MAT.1.7	Roboam ita n Abías,
MAT.1.7	iwa Abías ita n Asá.
MAT.1.8	Asá ita n Josafat.
MAT.1.8	Josafat ita n Joram,
MAT.1.8	iwa Joram ita n Uzias.
MAT.1.9	Uzias ita n Jotám.
MAT.1.9	Jotám ita n Acaz,
MAT.1.9	iwa Acaz ita n Ezequías.
MAT.1.10	Ezequías ita n Manasés.
MAT.1.10	Manasés ita n Amón,
MAT.1.10	iwa Amón ita n Josías.
MAT.1.11	Josías ita n Jeconías. Jeconías iwan ikniwah otlakatkeh itech tonatijmeh ijkuak n israelitas okinwikatokah kan tlali de Babilonia.
MAT.1.12	Satepa de okinwikakeh Babilonia,
MAT.1.12	Jeconías ita n Salatiel,
MAT.1.12	iwa Salatiel ita n Zorobabel.
MAT.1.13	Zorobabel ita n Abiud.
MAT.1.13	Abiud okatka ita n Eliaquim,
MAT.1.13	iwa Eliaquim ita n Azor.
MAT.1.14	Azor ita n Sadoc.
MAT.1.14	Sadoc ita n Aquim,
MAT.1.14	iwa Aquim ita Eliud.
MAT.1.15	Eliud ita n Eleazar.
MAT.1.15	Eleazar ita n Matán,
MAT.1.15	iwa Matán ita n Jacob.
MAT.1.16	Jacob ita n José.
MAT.1.16	José omonamikti iwan María.
MAT.1.16	María okatka imamá n Jesús non tejwah tikixmatih kemi Cristo.
MAT.1.17	Opanokeh májtlaktli iwa n nawi (14) iwejkaixwiwah n Abraham asta otlakatiko David. Iwa satepa májtlaktli iwa n nawi (14) iwejkaixwiwah ijkuak ok onemia n David asta ijkuak okinwikakeh kan tlali de Babilonia. Iwa satepa ok májtlaktli iwa n nawi (14) iwejkaixwiwah ijkuak okinwikakeh n Israelitas kan tlali de Babilonia asta ijkuak otlakatiko n Cristo.
MAT.1.18	Ijkí otlamochi ijkuak otlákatki n Cristo Jesús. María, imamá Jesús, yokichixtoka tonati para monamiktis iwan José. Pero ijkuak ayamó omonamiktiayah, María yokatka kókoxki ika konetl ika iweletilis n Espíritu Santo. 
MAT.1.19	José ya monamiktiskia iwan María,
MAT.1.20	Ye okimoliaya ijkó kichiwas, pero se iángel n Totajtsi Dios okimonextili ijkuak otejtemiktoka iwa okili:
MAT.1.20	—José, iwejkaixwi n David, amo ximawi tikselis n María kemi mosiwa. N konetl non kichixtok wits ika iweletilis Espíritu Santo. 
MAT.1.21	María kipias se konetl, iwa te tiktlalilis itoka J
MAT.1.22	Nochi ni opanok para mamochiwa tlan okijto Totajtsi Dios ijkuak okijkuilo n tiotlajto:
MAT.1.23	Se íchpochtli kipias ijtik se konetl,
MAT.1.23	iwa kitlakatilis,
MAT.1.23	iwa kitlalilis itoka Emanuel.
MAT.1.23	Emanuel kijtosneki: Dios kajki towah.
MAT.1.24	Ijkuak José oijsak, okichi tlan okinawati iángel Totajtsi Dios, iwa okiseli n María kemi isiwa. 
MAT.1.25	Yejwah mach okochiah sansikah, asta ijkuak yotlákatki n konetl.
MAT.1.25	Iwa José okitlalili itoka Jesús.
MAT.2.1	Jesús otlákatki itech altepetl de Belén non kajki kan tlali de Judea. Itech nonteh tonatijmeh Herodes
MAT.2.2	iwa otlajtlankeh:
MAT.2.2	—¿Kanin kajki inrey n judíojteh non yotlakatiko? Kan ik kisa tonati otiktakeh isitlal, yika otonwalajkeh otikweyijkachiwakoh.
MAT.2.3	Ijkuak n rey Herodes okikak nochi ni, omomojti, iwa nochteh n tlakah de Jerusalén noiwa omomojtijkeh. 
MAT.2.4	Ijkuakó n rey Herodes okinmoololo nochteh n tiopixkeh non tlayakantokeh iwa non kitemachtiah n tlanawátili, iwa okintlajtlani kani tlakatis n Cristo. 
MAT.2.5	Iwa yejwah okilijkeh:
MAT.2.5	—Tlakatis itech altepetl de Belén, non kajki kan tlali de Judea, ijkó okijkuilo n profeta:
MAT.2.6	Te Belén non tika itech tlali de Judá,
MAT.2.6	te maya titsijtsikitsi, te okachi tiweyijkatitos.
MAT.2.6	Motech kisas se weyi tlanawati,
MAT.2.6	non kinyakanas nopilwah, n tlakah de Israel. 
MAT.2.7	Ijkuakó Herodes san ichtaka okínnotski n ixtlamatkeh, iwa okinyektlajtlani tlan tonati oneski non sítlali. 
MAT.2.8	Otlanki okintítlanki mawiah Belén, iwa okinmili:
MAT.2.8	—Xiwiah ompa, iwa xiyektlajtlanikah kanin kajki non konetl, iwa ijkuak nonkajsiskeh, sanima technawatikih ne noiwa nias nikweyijkachiwati.
MAT.2.9	Ijkuak n ixtlamatkeh okikakeh tlan okinnawati n Herodes, oonewakeh Belén. Iwa n sítlali non okitakeh kan ik kisa tonati, otlayakantia iwa omoketsato kan kajki n konetl. 
MAT.2.10	Ijkuak n ixtlamatkeh okitakeh n sítlali, satlawel oyolpakeh. 
MAT.2.11	Iwa ijkuak okalakeh itech kali, okitakeh n konetl iwan imamá María. Omotolojkeh inawak iwa okiweyijkachijkeh n konetl. Satepa okintlapojkeh inkaxajtsitsiwah iwa okitliokolijkeh oro, kópali iwa ajwiálistli non itoka mirra. 
MAT.2.12	Satepa, Dios okinnawatih ijkuak otejtemiktokah, iwa okinmili ayakmó mamokopakah kan Herodes, iwa n ixtlamatkeh omokopkeh incha itech ok se ojtli.
MAT.2.13	Ijkuak n ixtlamatkeh yomokopkeh incha, se iángel Toteko Dios okimonextili n José ijkuak otejtemiktoka, iwa okili:
MAT.2.13	—José, ximewa, xikonana n konetl iwa imamá, iwa xicholo kan tlali de Egipto. Ompa ximokawakah asta ijkuak ne nimitsnawatis xiwalmokopakah. Herodes kitemojtinemis n konetl para kimiktis.
MAT.2.14	San nima non yúali, José omejtewak, okónanki n konetl iwa imamá, iwa okinwík Egipto. 
MAT.2.15	Iwa ompa omokajkeh asta ijkuak Herodes omikki. Ijkó otlamochi kemi okijto n Toteko ijkuak okijkuilo n profeta, iwa okijto: “De Egipto oníknotski Nokone.” 
MAT.2.16	Ijkuak Herodes okitak okikajkayajkeh n ixtlamatkeh, satlawel okuálanki, iwa otlanawati makinmiktikah nochteh n kokoneh non sikin otlakatkeh iwa asta non ya kipiah ome xiwitl, nochteh non ochantitokah Belén iwa non ik ompa ochanchiwayah. Herodes ijkó okiyejyekoliaya ika tlan okilijkeh n ixtlamatkeh. 
MAT.2.17	Ijkó otlamochi kemi okijkuilo n profeta Jeremías:
MAT.2.18	Nochteh non ochantitoka Ramá okikakeh ijkuak chikawak ochokayah iwa omoyolkokoayah.
MAT.2.18	Raquel okojtsajtsitokah,
MAT.2.18	iwa amo okinekia moyolsewis,
MAT.2.18	ken okinmiktilijkeh ipilwah. 
MAT.2.19	Ijkuak Herodes yomikki, se iángel Toteko okimonextili n José ijkuak otejtemiktoka ompa Egipto iwa okili:
MAT.2.20	—Ximewa, xikwika n konetl iwa imamá, iwa ximokopa kan tlali de Israel, porke yomikeh non okinekiah kimiktiskeh n konetl.
MAT.2.21	Ijkuakó José omejki, okiwík n konetl iwa imamá para Israel. 
MAT.2.22	Ijkuak José okima Arquelao otlanawatijtoka Judea ipatka ita n Herodes, omaujki yas ompa. Iwa oyá Galilea kemi okinawatijkeh ijkuak otejtemik. 
MAT.2.23	Ijkuak ompa okalakitoh, omochantitoh Nazaret. Ijkó omochi tlan okijkuilojkeh n profetas, Jesús kitokayotiskeh Nazareno.
MAT.3.1	Itech nekateh tonatijmeh, Juan Bautista owala kan tlaltejtéyinki de Judea, otetlapowiko itlajtol Dios, 
MAT.3.2	iwa okimiliaya n tlakah:
MAT.3.2	—Ximoyolpatla inawak Dios, ya walajsi n tonati ijkuak Dios pewas tlanawatis.
MAT.3.3	Isaías okitene Juan iwa okijto:
MAT.3.3	Se tlájtoli tsajtsi kan tlaltejtéyinki:
MAT.3.3	“Xikmajmanilikah se ojtli n Toteko,
MAT.3.3	Xiktlapokah se ojtli milaktik.” 
MAT.3.4	Itlakeh n Juan ochijchitoka ika itsojmio n kameyo, iwa omotlajkoilpiaya ika se kuítlaxtli. Okinkuaaya chapulimeh iwa nékuitli non onka itech tepetl.
MAT.3.5	Miakeh okonkakiah n Juan. Iwa amo oyaya san de Judea, noiwa non ochajchantitokah inakastla n río Jordán. 
MAT.3.6	Iwa ijkuak okinmokuitiayah intlajtlakolwah, Juan okinkuaatekiaya ijtik río Jordán.
MAT.3.7	Ijkuak Juan okitak miakeh fariseos
MAT.3.7	—¡Nomejwah kemi nonkoameh! ¡Akin onomechili noncholoskeh de n temojti tlaijyowílistli non wits nomopah! 
MAT.3.8	Xikchiwakah tlan kuali ijkó motas milák yononmoyolkopkeh. 
MAT.3.9	Iwa amo xikyejyekolikah weletis nonkijtoskeh: “Tejwah titepilwah de Abraham.” De milajka nomechilia asta ninteh temeh, Dios weletis kinkopas ipilwah n Abraham. 
MAT.3.10	N acha ya tlatentitok iwa sa mochixtok para nomechnelwayotsontekis. Porke nomejwah amo kuali tlakilo nonkitemakah, yika nomechtsontekiskeh iwa nomechtlamotlaskeh ijtik tletl. 
MAT.3.11	Milák, ne nomechkuaatekia ika atl porke yononmoyolkopkeh, pero walmuikas ok se Akin okachi weletini ke ne, iwa ne amo ni tlawel kuali para nikkaktojtomas. Ye nomechkuaatekis ika Espíritu Santo iwa ika tletl. 
MAT.3.12	Akin wits satepa, kinxexelos n kualteh iwa non amo kualteh. N kualteh kinmakixtis, pero non amo kualteh kinkajkawas ijtik tletl non amayik sewis.
MAT.3.13	Se tonati Jesús okiski de Galilea iwa okalakito kan río Jordán, para makikuaateki n Juan. 
MAT.3.14	Pero Juan amo okinekia kikuaatekis n Jesús, iwa okili:
MAT.3.14	—¿Tikneki ne manimitskuaateki? ¡Amó, yej tejwatsi techkuaateki!
MAT.3.15	Pero Jesús okinankili:
MAT.3.15	—Axa ijkó xikchiwa, moneki tiktlakitaskeh tlan Dios otlanawati.
MAT.3.15	Ijkuakó Juan okili kualiká, 
MAT.3.16	iwa okikuaateki. Ijkuak Jesús okiski de ijtik atl, okitak owalmotlapo n ilwikak iwa Iespíritu n Dios owaltemok ipan Jesús kemi se palomatsi. 
MAT.3.17	Iwa itech ilwikak omokak se tlájtoli non okijtoaya:
MAT.3.17	—Ye nin Nokone non saikpanoa niktlasojtla, iwa satlawel nechyolpaktia.
MAT.4.1	Satepa, n Espíritu okiwík n Jesús kan amaka chanti para n amokualitlakatl kitoktis matlajtlakolchiwa.
MAT.4.2	Jesús amo otlakua ome póali tonati iwa ome póali yúali, ompa kan amaka chanti, iwa satepa owalxitlatlak. 
MAT.4.3	Ijkuakó n amokualitlakatl tekajkaya omijkuani inawak Jesús iwa okili:
MAT.4.3	—Tla milák Te Ikone Dios, xikinnawati ninteh temeh mamokopakah paj.
MAT.4.4	Pero Jesús okinankili:
MAT.4.4	—Itlajkuilol Dios kijtoa: “N tlakatl amo san ika paj yolitok, yej noiwa ika nochi tlájtoli non Dios kijtoa.”
MAT.4.5	Satepa n amokualitlakatl okiwík n Jesús kan Jerusalén, okitlejkolti ikpak n Weyi Tiopa 
MAT.4.6	iwa okili:
MAT.4.6	—Tla milák Te Ikone Dios, ximotlamotla, porke itlajkuilol Dios kijtoa:
MAT.4.6	Dios kinnawatis iangelwah mamitsmatsakuilikah,
MAT.4.6	para amo tikmomakati ika itla tetl. 
MAT.4.7	Jesús okili:
MAT.4.7	—Itlajkuilol Dios noiwa kijtoa: “Amo xikyejyeko Moteko Dios.” 
MAT.4.8	Sa iksemi n amokualitlakatl okiwík n Jesús ipan se tepetl non okachi wejkapa, iwa ompa okimititi nochteh n tlalmeh kan tlanawatiah n tlaltikpaktlakah ika nochi inweyilis, 
MAT.4.9	iwa okili:
MAT.4.9	—Nochi ni nimitsmakas, tla techweyijkachiwas iwa timotlankuaketsas nonawak.
MAT.4.10	Ijkuakó Jesús okili:
MAT.4.10	—¡Xio, satanás!, porke itlajkuilol Dios kijtoa: “Xikweyijkachiwa Moteko Dios, iwa sanwel Ye tiktekichiwilis.”
MAT.4.11	Ijkuakó n amokualitlakatl okikakajte n Jesús, iwa sikimeh ángelteh omijkuanijkeh okitekichiwilikoh.
MAT.4.12	Ijkuak Jesús okima n Juan Bautista otsaktoka, oyá kan tlali de Galilea. 
MAT.4.13	Okiski de Nazaret, iwa oyá ochanchiwato kan se altepetl non itoka Capernaúm, non kajki itempa n weyi atl de Galilea, itech tlalmeh de Zabulón iwa de Neftalí. 
MAT.4.14	Ijkó otlamochi tlan Dios okijto ijkuak okijkuilo n tiotlajto Isaías:
MAT.4.15	Tlalmeh de Zabulón iwa Neftalí,
MAT.4.15	ojtli non panotok inakastla n atl,
MAT.4.15	ik nepa lado de n río Jordán,
MAT.4.15	tlali de Galilea kan chanchiwah non amo judíojteh.
MAT.4.16	N tlakah non ochanchiwayah kan tlatleyua,
MAT.4.16	okitakeh se weyi tláwili.
MAT.4.16	Akimeh omokajkeh iwa okinmokemih itlasekawilo n mikílistli,
MAT.4.16	axa se tláwili okinmonextili. 
MAT.4.17	Ijkuakó, Jesús opé tlamachtia, iwa okimiliaya:
MAT.4.17	—Ximoyolpatlakah, porke ya walajsi n tonati ijkuak Dios pewas tlanawatis.
MAT.4.18	Se tonati Jesús onejnentiaya itempa n atl de Galilea, iwa okinmitak ome iknimeh, Simón akin okinotsayah Pedro iwa ikni Andrés. Yejwah omichmajtokah porke yejwah michmajkeh, 
MAT.4.19	iwa Jesús okinmili:
MAT.4.19	—Xiwikih nowa, iwa ya nonkinmichmaskeh tlakah.
MAT.4.20	Yejwah sa nima okinkajtejkeh inmichayawah iwa oyajkeh iwan Jesús.
MAT.4.21	Jesús ok onejnentiaya itempa n atl, iwa okachi tlayakapa okinmitak ok ome iknimeh, Jacobo iwa Juan, itelpochwah n Zebedeo. Yejwah okintlajtlamanilijtokah inmichayawah ijtik se barka iwan inta. Jesús okínnotski, 
MAT.4.22	iwa yejwah sa nima okikakajtejkeh inbarka iwa inta, iwa oyajkeh iwan Jesús.
MAT.4.23	Jesús onemia itech nochteh n altepemeh de Galilea, otlamachtijtiaya itech sinagogas iwa okinmatiltiaya n kualitlájtoli de Dios iwa okimiliaya kenomi moneki timoyekuikaskeh. Iwa okimpajtiaya n tlakah de nochi kokólistli iwa de nochi tlan okinkokoaya. 
MAT.4.24	Itech nochi tlali de Siria, omoma tlan Jesús okichiwaya, okwalinwikilijkeh nochteh akimeh otlaijyowiayah ika miak kokólistli:
MAT.4.24	non satlawel okinkokoaya inkuerpo,
MAT.4.24	akimeh okimpiayah espíritus amokualteh,
MAT.4.24	akimeh omimikiah
MAT.4.24	iwa akimeh amo oweletiah onejnemiah.
MAT.4.24	Jesús nochteh okimpajtiaya. 
MAT.4.25	Opé yawih iwan Jesús miakeh tlakah de Galilea, Decápolis, Jerusalén, Judea iwa akimeh ochanchiwayah ik nepa lado de río Jordán.
MAT.5.1	Ijkuak Jesús okinmitak omoololojkeh miakeh tlakah, otlejkok ipan tepetl iwa ompa omotlali. Ijkuakó itlamachtijkawah omijkuanijkeh inawak. 
MAT.5.2	Ye opé kinmachtia:
MAT.5.3	—Mapakikah non yolyámankeh, porke yejwah kinmaxkatiliskeh kan Dios tlanawatijtos.
MAT.5.4	'Mapakikah akimeh tlaijyowiah, porke Dios kinyolsewis.
MAT.5.5	'Mapakikah non moikneliah, porke Dios kinmaxkatilis n tlaltíkpaktli.
MAT.5.6	'Mapakikah akimeh kinekih ika nochi inyolo nochi mamochiwa ika milajkachiwálistli, porke Dios kinmakas tlan kitlajtlanih.
MAT.5.7	'Mapakikah non teiknomatih, porke Dios noiwa kimiknomatis.
MAT.5.8	'Mapakikah non yolchipawakeh, porke yejwah kitaskeh Totajtsi Dios.
MAT.5.9	'Mapakikah non teyolsewiah, porke yejwah kinnotsaskeh impilwah Dios.
MAT.5.10	'Mapakikah akimeh kintotojtokah por kichiwah tlan Dios kineki, porke inmaxka n ilwikak kan Dios tlanawatia.
MAT.5.11	'Mapakikah ijkuak fiero kintenewah, kintotojtokaskeh iwa kinwikaltiskeh por nechtlakitah. 
MAT.5.12	Ijkuakó xipakikah porke nonkiseliskeh se weyi tlatliokólili kan ilwikak. Ijkó noiwa okintlaijyowiltijkeh n profetas non yonenkeh ijkuak nomejwah ayamó ononkatkah.
MAT.5.13	'Nomejwah yononmochijkeh istatl itech nin tlaltíkpaktli. Pero tla n istatl ayakmó tlapuyeya, ¿tlan ika tlapuyeyas? Mach ok kuali, sa kitepewah kala iwa nochteh kitlajtlaksah.
MAT.5.14	'Nomejwah non tláwilteh itech nin tlaltíkpaktli. Amo weletis motlaatis se altepetl non kajki ipan se tepetl. 
MAT.5.15	Amaka kimilintia se kandil iwa kitlaatis itlampa se kajo, yej kitlalia tlakpak para makintlawili nochteh non kateh ijtik kali. 
MAT.5.16	Ijkó noiwa, nomejwah xikintlawilikah n tlakah para makitakah nomejwah nonkichiwah tlan kuali, ijkó n tlakah kitaskeh tlan kuali nonkichiwah. Ijkó yejwah kiweyijkachiwaskeh Nomotajtsi Dios non kajki ilwikak.
MAT.5.17	'Amo xikmolikah oniwala onikpojpoloko n tlanawatílistli noso intlajkuilol n profetas. Amo oniwala onikimpojpoloko, yej oniwala para mamochiwa tlan kijtoa. 
