MAT.1.1	Chitabu cha lukolo lwa Yesu Kiristu, mtsukulu wa Daudi, iyakalile mtsukulu wa Abrahamu. 
MAT.1.2	Abrahamu tsakamweleka Isaka, Isaka kamweleka Yakobu, Yakobu kamweleka Yuda na ndughu tsake, 
MAT.1.3	Yuda kaweleka Peresi na Sela, mai wawo tsakakala Tamari, Peresi kamweleka Hesironi, Esironi kamweleka Aramu, 
MAT.1.4	Aramu kamweleka Aminadabu, Aminadabu kamweleka Nasoni, Nasoni kamweleka Salimoni, 
MAT.1.5	Salimoni kamweleka Boasi, mai wake Boasi tsakakala Rahabu, Boasi kamweleka Obedi kwa Rutu, Obedi kamweleka Yese, 
MAT.1.6	Yese kamweleka Mndewa Daudi, naye Daudi kamweleka Selemani, mai wake Selemani tsakakala mwehe wa Uriya. 
MAT.1.7	Selemani kamweleka Rehoboamu, Rehoboamu kamweleka Abiya, Abiya kamweleka Asa, 
MAT.1.8	Asa kamweleka Yehoshafati, Yehoshafati kamweleka Yoramu, Yoramu kamweleka Uzia, 
MAT.1.9	Uzia kamweleka Yosamu, Yosamu kamweleka Ahasi, Ahasi kamweleka Hesekiya, 
MAT.1.10	Hesekiya kamweleka Manase, Manase kamweleka Amoni, Amoni kamweleka Yosiya, 
MAT.1.11	Yosiya kamweleka Yekoniya na ndughu tsake mne ghamatsuwa ghala Wayahudi ghawaghalighwe Babeli.
MAT.1.12	Wayahudi hawakalile Babeli, Yekoniya kamweleka Setieli, Setieli kamweleka Serubabeli, 
MAT.1.13	Serubabeli kamweleka Abihudi, Abihudi kamweleka Eliyakimu, Eliyakimu kamweleka Asori, 
MAT.1.14	Asori kamweleka Sadoki, Sadoki kamweleka Akimu, Akimu kamweleka Eliudi, 
MAT.1.15	Eliudi kamweleka Eliasali, Eliasali kamweleka Matani, Matani kamweleka Yakobu, 
MAT.1.16	Yakobu kamweleka Yosefu, mmale wake Mariya, mai wake Yesu iyokemighwa Kiristu Mkombotsi. 
MAT.1.17	Apfo tsakukala na pfeleko kumi na nne kulawa Abrahamu mbaka Daudi, na pfeleko kumi na nne kulawa Daudi mbaka Wayahudi hawaghalighwe akula Babeli, na pfeleko kumi na nne kulawa Wayahudi hawaghalighwe Babeli mbaka kwelekighwa kwa Kiristu Mkombotsi.
