GEN.1.1	No princípio, Deus criou os céus e a terra.
GEN.1.2	A terra era sem forma e vazia, a escuridão cobria as águas profundas, e o Espírito de Deus se movia sobre a superfície das águas.
GEN.1.3	Então Deus disse: “Haja luz”, e houve luz. 
GEN.1.4	E Deus viu que a luz era boa, e separou a luz da escuridão. 
GEN.1.5	Deus chamou a luz de “dia” e a escuridão de “noite”.
GEN.1.5	A noite passou e veio a manhã, encerrando o primeiro dia.
GEN.1.6	Então Deus disse: “Haja um espaço entre as águas, para separar as águas dos céus das águas da terra”. 
GEN.1.7	E assim aconteceu. Deus criou um espaço para separar as águas da terra das águas dos céus. 
GEN.1.8	Deus chamou o espaço de “céu”.
GEN.1.8	A noite passou e veio a manhã, encerrando o segundo dia.
GEN.1.9	Então Deus disse: “Juntem-se as águas que estão debaixo do céu num só lugar, para que apareça uma parte seca”. E assim aconteceu. 
GEN.1.10	Deus chamou a parte seca de “terra” e as águas de “mares”. E Deus viu que isso era bom. 
GEN.1.11	Então Deus disse: “Produza a terra vegetação: toda espécie de plantas com sementes e árvores que dão frutos com sementes. As sementes produzirão plantas e árvores, cada uma conforme a sua espécie”. E assim aconteceu. 
GEN.1.12	A terra produziu vegetação: toda espécie de plantas com sementes e árvores que dão frutos com sementes. As sementes produziram plantas e árvores, cada uma conforme a sua espécie. E Deus viu que isso era bom.
GEN.1.13	A noite passou e veio a manhã, encerrando o terceiro dia.
GEN.1.14	Então Deus disse: “Haja luzes no céu para separar o dia da noite e marcar as estações, os dias e os anos. 
GEN.1.15	Que essas luzes brilhem no céu para iluminar a terra”. E assim aconteceu. 
GEN.1.16	Deus criou duas grandes luzes: a maior para governar o dia e a menor para governar a noite, e criou também as estrelas. 
GEN.1.17	Deus colocou essas luzes no céu para iluminar a terra, 
GEN.1.18	para governar o dia e a noite e para separar a luz da escuridão. E Deus viu que isso era bom.
GEN.1.19	A noite passou e veio a manhã, encerrando o quarto dia.
GEN.1.20	Então Deus disse: “Encham-se as águas de seres vivos, e voem as aves no céu acima da terra”. 
GEN.1.21	Assim, Deus criou os grandes animais marinhos e todos os seres vivos que se movem em grande número pelas águas, bem como uma grande variedade de aves, cada um conforme a sua espécie. E Deus viu que isso era bom. 
GEN.1.22	Então Deus os abençoou: “Sejam férteis e multipliquem-se. Que os seres encham os mares e as aves se multipliquem na terra”.
GEN.1.23	A noite passou e veio a manhã, encerrando o quinto dia.
GEN.1.24	Então Deus disse: “Produza a terra grande variedade de animais, cada um conforme a sua espécie: animais domésticos, animais que rastejam pelo chão e animais selvagens”. E assim aconteceu. 
GEN.1.25	Deus criou grande variedade de animais selvagens, animais domésticos e animais que rastejam pelo chão, cada um conforme a sua espécie. E Deus viu que isso era bom.
GEN.1.26	Então Deus disse: “Façamos o ser humano
GEN.1.27	Assim, Deus criou os seres humanos
GEN.1.27	à imagem de Deus os criou;
GEN.1.27	homem e mulher
GEN.1.28	Então Deus os abençoou e disse: “Sejam férteis e multipliquem-se. Encham e governem a terra. Dominem sobre os peixes do mar, sobre as aves do céu e sobre todos os animais que rastejam pelo chão”.
GEN.1.29	Então Deus disse: “Vejam! Eu lhes dou todas as plantas com sementes em toda a terra e todas as árvores frutíferas, para que lhes sirvam de alimento. 
GEN.1.30	E dou todas as plantas verdes como alimento a todos os seres vivos: aos animais selvagens, às aves do céu e aos animais que rastejam pelo chão”. E assim aconteceu.
GEN.1.31	Então Deus olhou para tudo que havia feito e viu que era muito bom.
GEN.1.31	A noite passou e veio a manhã, encerrando o sexto dia.
GEN.2.1	Desse modo, completou-se a criação dos céus e da terra e de tudo que neles há. 
GEN.2.2	No sétimo dia, Deus havia terminado sua obra de criação e descansou de
GEN.2.3	Deus abençoou o sétimo dia e o declarou santo, pois foi o dia em que ele descansou de toda a sua obra de criação.
GEN.2.4	Esse é o relato da criação dos céus e da terra.
GEN.2.4	Quando o S
GEN.2.5	nenhuma planta silvestre nem grãos haviam brotado na terra, pois o S
GEN.2.6	Mas do solo brotava água,
GEN.2.7	Então o S
GEN.2.8	O S
GEN.2.9	O S
GEN.2.10	Da terra do Éden nascia um rio que regava o jardim e depois se dividia em quatro braços. 
GEN.2.11	O primeiro braço, chamado Pisom, rodeava toda a terra de Havilá, onde existe ouro. 
GEN.2.12	O ouro dessa terra é de grande pureza; lá também há resina aromática e pedra de ônix. 
GEN.2.13	O segundo braço, chamado Giom, rodeava toda a terra de Cuxe. 
GEN.2.14	O terceiro braço, chamado Tigre, corria para o leste da terra da Assíria. O quarto braço era chamado de Eufrates.
GEN.2.15	O S
GEN.2.16	mas o S
GEN.2.17	exceto da árvore do conhecimento do bem e do mal. Se você comer desse fruto, com certeza morrerá”.
GEN.2.18	O S
GEN.2.19	O S
GEN.2.20	Deu nome a todos os animais domésticos, a todas as aves do céu e a todos os animais selvagens. O homem, porém, continuava sem alguém que o ajudasse e o completasse.
GEN.2.21	Então o S
GEN.2.22	Dessa costela o S
GEN.2.23	“Finalmente!”, exclamou o homem.
GEN.2.23	“Esta é osso dos meus ossos,
GEN.2.23	e carne da minha carne!
GEN.2.23	Será chamada ‘mulher’,
GEN.2.23	porque foi tirada do ‘homem’”.
GEN.2.24	Por isso o homem deixa pai e mãe e se une à sua mulher, e os dois se tornam um só.
GEN.2.25	O homem e a mulher estavam nus, mas não sentiam vergonha.
GEN.3.1	A serpente era o mais astuto de todos os animais selvagens que o S
GEN.3.2	“Podemos comer do fruto das árvores do jardim”, respondeu a mulher. 
GEN.3.3	“É só do fruto da árvore que está no meio do jardim que não podemos comer. Deus disse: ‘Não comam e nem sequer toquem no fruto daquela árvore; se o fizerem, morrerão’.”
GEN.3.4	“É claro que vocês não morrerão!”, a serpente respondeu à mulher. 
GEN.3.5	“Deus sabe que, no momento em que comerem do fruto, seus olhos se abrirão e, como Deus, conhecerão o bem e o mal.”
GEN.3.6	A mulher viu que a árvore era linda e que seu fruto parecia delicioso, e desejou a sabedoria que ele lhe daria. Assim, tomou do fruto e o comeu. Depois, deu ao marido, que estava com ela, e ele também comeu. 
GEN.3.7	Naquele momento, seus olhos se abriram, e eles perceberam que estavam nus. Por isso, costuraram folhas de figueira umas às outras para se cobrirem.
GEN.3.8	Quando soprava a brisa do entardecer, o homem
GEN.3.9	Então o S
GEN.3.10	Ele respondeu: “Ouvi que estavas andando pelo jardim e me escondi. Tive medo, pois eu estava nu”.
GEN.3.11	“Quem lhe disse que você estava nu?”, perguntou Deus. “Você comeu do fruto da árvore que eu lhe ordenei que não comesse?”
GEN.3.12	O homem respondeu: “Foi a mulher que me deste! Ela me ofereceu do fruto, e eu comi”.
GEN.3.13	Então o S
GEN.3.13	“A serpente me enganou”, respondeu a mulher. “Foi por isso que comi do fruto.”
GEN.3.14	Então o S
GEN.3.14	“Uma vez que fez isso, maldita é você
GEN.3.14	entre todos os animais, domésticos e selvagens.
GEN.3.14	Você se arrastará sobre o próprio ventre,
GEN.3.14	rastejará no pó enquanto viver.
GEN.3.15	Farei que haja inimizade entre você e a mulher,
GEN.3.15	e entre a sua descendência e o descendente dela.
GEN.3.15	Ele lhe ferirá
GEN.3.15	e você lhe ferirá o calcanhar”.
GEN.3.16	À mulher ele disse:
GEN.3.16	“Farei mais intensas as dores de sua gravidez,
GEN.3.16	e com dor você dará à luz.
GEN.3.16	Seu desejo será para seu marido,
GEN.3.16	e ele a dominará”.
GEN.3.17	E ao homem ele disse:
GEN.3.17	“Uma vez que você deu ouvidos à sua mulher
GEN.3.17	e comeu da árvore cujo fruto ordenei que não comesse,
GEN.3.17	maldita é a terra por sua causa;
GEN.3.17	por toda a vida, terá muito trabalho para tirar da terra seu sustento.
GEN.3.18	Ela produzirá espinhos e ervas daninhas,
GEN.3.18	mas você comerá de seus frutos e grãos.
GEN.3.19	Com o suor do rosto você obterá alimento,
GEN.3.19	até que volte à terra da qual foi formado.
GEN.3.19	Pois você foi feito do pó,
GEN.3.19	e ao pó voltará”.
GEN.3.20	O homem, Adão, deu à sua mulher o nome de Eva,
GEN.3.21	E o S
GEN.3.22	Então o S
GEN.3.23	Para impedir que isso acontecesse, o S
GEN.3.24	Depois de expulsá-los, colocou querubins a leste do jardim do Éden e uma espada flamejante que se movia de um lado para o outro, a fim de guardar o caminho até a árvore da vida.
GEN.4.1	Adão
GEN.4.2	Tempos depois, deu à luz o irmão de Caim e o chamou de Abel.
GEN.4.2	Quando os meninos cresceram, Abel se tornou pastor de ovelhas, e Caim cultivava o solo. 
GEN.4.3	No tempo da colheita, Caim apresentou parte de sua produção como oferta ao S
GEN.4.4	Abel, por sua vez, ofertou as melhores porções dos cordeiros dentre as primeiras crias de seu rebanho. O S
GEN.4.5	mas não aceitou Caim e sua oferta. Caim se enfureceu e ficou transtornado.
GEN.4.6	“Por que você está tão furioso?”, o S
GEN.4.7	Se você fizer o que é certo, será aceito. Mas, se não o fizer, tome cuidado! O pecado está à porta, à sua espera, e deseja controlá-lo, mas é você quem deve dominá-lo.”
GEN.4.8	Caim sugeriu a seu irmão: “Vamos ao campo”.
GEN.4.9	Então o S
GEN.4.9	“Não sei”, respondeu Caim. “Por acaso sou responsável por meu irmão?”
GEN.4.10	Então Deus disse: “O que você fez? Ouça! O sangue de seu irmão clama a mim da terra! 
GEN.4.11	O próprio solo, que bebeu o sangue de seu irmão, sangue que você derramou, amaldiçoa você. 
GEN.4.12	O solo não lhe dará boas colheitas, por mais que você se esforce! E, de agora em diante, você não terá um lar e andará sem rumo pela terra”.
GEN.4.13	Caim disse ao S
GEN.4.14	Tu me expulsaste da terra e de tua presença e me transformaste num andarilho sem lar. Qualquer um que me encontrar me matará!”.
GEN.4.15	O S
GEN.4.16	Caim saiu da presença do S
GEN.4.17	Caim teve relações com sua mulher, que engravidou e deu à luz Enoque. Então Caim fundou uma cidade, à qual deu o nome de Enoque, como seu filho. 
GEN.4.18	Enoque teve um filho chamado Irade. Irade gerou
GEN.4.19	Lameque se casou com duas mulheres. A primeira se chamava Ada, e a segunda, Zilá. 
GEN.4.20	Ada deu à luz Jabal; ele foi o precursor dos que criam rebanhos e moram em tendas. 
GEN.4.21	Seu irmão se chamava Jubal, o precursor dos que tocam harpa e flauta. 
GEN.4.22	Zilá, a outra mulher de Lameque, deu à luz um filho chamado Tubalcaim, que se tornou mestre em criar ferramentas de bronze e ferro. Tubalcaim teve uma irmã chamada Naamá. 
GEN.4.23	Certo dia, Lameque disse a suas mulheres:
GEN.4.23	“Ada e Zilá, ouçam minha voz;
GEN.4.23	escutem o que vou dizer, mulheres de Lameque.
GEN.4.23	Matei um homem que me atacou,
GEN.4.23	um rapaz que me feriu.
GEN.4.24	Se aquele que matar Caim será castigado sete vezes,
GEN.4.24	quem me matar será castigado setenta e sete vezes!”.
GEN.4.25	Adão teve relações com sua mulher novamente, e ela deu à luz outro filho. Chamou-o de Sete,
GEN.4.26	Quando Sete chegou à idade adulta, teve um filho e o chamou de Enos. Nessa época, as pessoas começaram a invocar o nome do S
GEN.5.1	Este é o relato dos descendentes de Adão. Quando Deus criou os seres humanos,
GEN.5.2	Criou-os homem e mulher;
GEN.5.3	Aos 130 anos, Adão teve um filho chamado Sete, que era semelhante a ele, à sua imagem. 
GEN.5.4	Depois do nascimento de Sete, Adão viveu mais 800 anos e teve outros filhos e filhas. 
GEN.5.5	Adão viveu 930 anos e morreu.
GEN.5.6	Aos 105 anos, Sete gerou
GEN.5.7	Depois do nascimento de
GEN.5.8	Sete viveu 912 anos e morreu.
GEN.5.9	Aos 90 anos, Enos gerou Cainã. 
GEN.5.10	Depois do nascimento de Cainã, Enos viveu mais 815 anos e teve outros filhos e filhas. 
GEN.5.11	Enos viveu 905 anos e morreu.
GEN.5.12	Aos 70 anos, Cainã gerou Maalaleel. 
GEN.5.13	Depois do nascimento de Maalaleel, Cainã viveu mais 840 anos e teve outros filhos e filhas. 
GEN.5.14	Cainã viveu 910 anos e morreu.
GEN.5.15	Aos 65 anos, Maalaleel gerou Jarede. 
GEN.5.16	Depois do nascimento de Jarede, Maalaleel viveu mais 830 anos e teve outros filhos e filhas. 
GEN.5.17	Maalaleel viveu 895 anos e morreu.
