GEN.1.2	A terra, porém, era 
GEN.1.3	Disse Deus: Haja luz; e houve luz. 
GEN.1.4	Viu Deus a luz que era 
GEN.1.5	Chamou 
GEN.1.6	Disse também Deus: Faça-se um 
GEN.1.7	Fez, pois, Deus o firmamento e dividiu 
GEN.1.8	Chamou Deus ao firmamento Céu. Houve tarde e houve manhã, dia segundo.
GEN.1.9	Disse também Deus: 
GEN.1.10	Chamou Deus ao elemento seco Terra e ao 
GEN.1.11	Disse também Deus: Produza a terra 
GEN.1.12	A terra, pois, produziu relva, ervas que davam semente segundo as suas espécies, e árvores que davam fruto que tinha em si a sua semente, segundo as suas espécies; e viu Deus que isso era bom. 
GEN.1.13	Houve tarde e houve manhã, dia terceiro.
GEN.1.14	Disse também Deus: Haja 
GEN.1.15	e sejam para luzeiros no firmamento do céu, a fim de alumiar a terra; e assim se fez. 
GEN.1.16	Fez Deus os dois grandes luzeiros: 
GEN.1.17	Deus os colocou no firmamento do céu para alumiar a terra, 
GEN.1.18	para presidir ao dia e à noite e para fazer separação entre a luz e as trevas; e viu Deus que isso era bom. 
GEN.1.19	Houve tarde e houve manhã, dia quarto.
GEN.1.20	Disse também Deus: Produzam as águas enxames de seres viventes, e voem as aves acima da terra no firmamento do céu. 
GEN.1.21	Criou, pois, Deus os 
GEN.1.22	Deus os abençoou, dizendo: Frutificai, multiplicai-vos e enchei as águas nos mares, e multipliquem-se as aves sobre a terra. 
GEN.1.23	Houve tarde e houve manhã, dia quinto.
GEN.1.25	Deus fez, pois, 
GEN.1.26	Disse também Deus: 
GEN.1.27	Criou, pois, Deus o homem 
GEN.1.28	Deus os abençoou e lhes disse: 
GEN.1.29	Disse Deus mais: Eis 
GEN.1.30	A 
GEN.1.31	Viu Deus tudo quanto fizera, e eis que era muito 
GEN.2.1	Assim foram acabados o céu e a terra, com 
GEN.2.2	No sétimo dia, acabou Deus a obra que tinha feito; e 
GEN.2.3	Abençoou Deus o dia sétimo e o santificou; porque nele cessou de toda a obra que fizera como Criador.
GEN.2.5	Não havia ainda nenhuma planta na terra, e nenhuma erva no campo tinha ainda brotado; 
GEN.2.6	mas uma neblina subia da terra e regava toda a superfície do solo. 
GEN.2.7	Do 
GEN.2.8	Então, plantou Deus Jeová 
GEN.2.9	Fez Deus Jeová brotar do solo 
GEN.2.10	Do Éden saía um rio para regar o jardim; dali se dividia e se tornava em quatro braços. 
GEN.2.11	O nome do primeiro é Pisom: este é o que rodeia toda a terra de Havilá, onde há ouro. 
GEN.2.12	O ouro daquela terra é bom; ali também se acha o bdélio e a pedra de ônix. 
GEN.2.13	O nome do segundo rio é Giom: este é o que rodeia toda a terra de Cuxe. 
GEN.2.14	O nome do terceiro rio é 
GEN.2.15	Tomou, pois, Deus Jeová ao homem e pô-lo no jardim do Éden para o cultivar e guardar. 
GEN.2.16	Ordenou Deus Jeová ao homem: De toda a árvore do jardim podes comer livremente; 
GEN.2.17	mas da árvore do conhecimento do bem e do mal, dela não comerás, porque, no dia em que dela comeres, 
GEN.2.18	Disse mais Deus Jeová: Não é bom que o homem esteja só; 
GEN.2.19	Da 
GEN.2.20	O homem deu nomes a todos os animais domésticos, às aves do céu e a todos os animais do campo, mas para ele não se achava uma 
GEN.2.21	Fez Deus Jeová cair um sono pesado sobre o homem, e este adormeceu; então, tomou uma das costelas do homem e fechou a carne no lugar dela. 
GEN.2.22	Da 
GEN.2.23	Então, disse o homem: 
GEN.2.24	Portanto, deixa o homem a seu pai e a sua mãe e se une à sua mulher; e são uma só carne. 
GEN.2.25	Estavam 
GEN.3.1	Ora, 
GEN.3.2	Respondeu a mulher à serpente: 
GEN.3.3	mas do fruto da árvore que está no meio do jardim, disse Deus: Não comereis dele, nem nele tocareis, para que não morrais. 
GEN.3.4	Então, a serpente disse à mulher: Certamente não morrereis; 
GEN.3.5	porque Deus sabe que, no dia em que comerdes do fruto, abrir-se-vos-ão os olhos, e 
GEN.3.6	Viu, pois, a mulher que a árvore era boa para comer, que era uma delícia para os olhos e árvore desejável para dar entendimento; tomou do fruto dela e comeu; deu também a seu marido, e ele comeu. 
GEN.3.7	Foram abertos os olhos de ambos e, 
GEN.3.8	Ouviram o ruído de 
GEN.3.9	Deus Jeová chamou ao homem e perguntou-lhe: 
GEN.3.10	Respondeu-lhe o homem: 
GEN.3.11	Perguntou-lhe Deus: Quem te mostrou que estavas nu? Comeste da árvore de que te ordenei que não comesses? 
