GEN.1.1	No 
GEN.1.2	E a terra 
GEN.1.3	E disse Deus: 
GEN.1.4	E viu Deus que era boa a luz; e fez Deus separação entre a luz e as trevas. 
GEN.1.5	E Deus chamou à luz Dia; e às 
GEN.1.6	E disse Deus: Haja uma expansão no meio das águas, e haja separação entre águas e águas. 
GEN.1.7	E fez Deus a expansão 
GEN.1.8	E chamou Deus à expansão Céus; e foi a tarde e a manhã: o dia segundo.
GEN.1.9	E disse Deus: Ajuntem-se 
GEN.1.10	E chamou Deus à 
GEN.1.11	E disse Deus: Produza a terra erva verde, erva que dê semente, árvore frutífera que dê fruto segundo a sua espécie, cuja semente esteja nela sobre a terra. E assim foi. 
GEN.1.12	E a terra produziu erva, erva dando semente conforme a sua espécie e árvore frutífera, cuja semente 
GEN.1.13	E foi a tarde e a manhã: o dia terceiro.
GEN.1.14	E disse Deus: 
GEN.1.15	E sejam para luminares na expansão dos céus, para alumiar a terra. E assim foi. 
GEN.1.16	E fez Deus os dois grandes luminares: o luminar maior para governar o dia, e o luminar menor para governar a noite; e 
GEN.1.17	E Deus os pôs na expansão dos céus para alumiar a terra, 
GEN.1.18	e para governar o dia e a noite, e para fazer separação entre a luz e as trevas. E viu Deus que era bom. 
GEN.1.19	E foi a tarde e a manhã: o dia quarto.
GEN.1.20	E disse Deus: Produzam as águas abundantemente 
GEN.1.21	E Deus criou 
GEN.1.22	E Deus os abençoou, dizendo: Frutificai, e multiplicai-vos, e enchei as águas nos mares; e as aves se multipliquem na terra. 
GEN.1.23	E foi a tarde e a manhã: o dia quinto.
GEN.1.24	E disse Deus: Produza a terra alma vivente conforme a sua espécie; gado, e répteis, e bestas-feras da terra conforme a sua espécie. E assim foi. 
GEN.1.25	E fez Deus as bestas-feras da terra conforme a sua espécie, e o gado conforme a sua espécie, e todo o réptil da terra conforme a sua espécie. E viu Deus que era bom.
GEN.1.26	E disse Deus: 
GEN.1.27	E criou Deus o homem à sua imagem; à imagem de Deus o criou; macho e fêmea os criou. 
GEN.1.28	E Deus os abençoou e Deus lhes disse: Frutificai, e multiplicai-vos, e enchei a terra, e sujeitai-a; e dominai sobre os peixes do mar, e sobre as aves dos céus, e sobre todo o animal que se move sobre a terra. 
GEN.1.29	E disse Deus: Eis que vos tenho dado toda erva que dá semente e que 
GEN.1.30	E a todo animal da terra, e a toda ave dos céus, e a todo réptil da terra, em que há alma vivente, toda a erva verde 
GEN.1.31	E viu Deus tudo quanto tinha feito, e eis que era muito bom; e foi a tarde e a manhã: o dia sexto.
GEN.2.1	Assim, os céus, e a terra, e todo o seu exército foram acabados. 
GEN.2.2	E, havendo Deus acabado no dia sétimo a sua obra, que tinha feito, 
GEN.2.3	E abençoou Deus o dia sétimo e o santificou; porque nele descansou de toda a sua obra, que Deus criara e fizera.
GEN.2.4	Estas são as 
GEN.2.5	Toda planta do campo ainda não estava na terra, e toda erva do campo ainda não brotava; porque 
GEN.2.6	Um vapor, porém, subia da terra e regava toda a face da terra. 
GEN.2.7	E formou o 
GEN.2.8	E plantou o 
GEN.2.9	E o 
GEN.2.10	E saía um rio do Éden para regar o jardim; e dali se dividia e se tornava em quatro braços. 
GEN.2.11	O nome do primeiro 
GEN.2.12	E o ouro dessa terra 
GEN.2.13	E o nome do segundo rio 
GEN.2.14	E o nome do terceiro rio 
GEN.2.15	E tomou o 
GEN.2.16	E ordenou o 
GEN.2.17	mas da árvore da ciência do bem e do mal, dela 
GEN.2.18	E disse o 
GEN.2.19	Havendo, pois, o 
GEN.2.20	E Adão pôs os nomes a todo o gado, e às aves dos céus, e a todo animal do campo; mas para o homem não se achava adjutora 
GEN.2.21	Então, o 
GEN.2.22	E da costela que o 
GEN.2.23	E disse Adão: Esta é agora 
GEN.2.24	Portanto, deixará 
GEN.2.25	E ambos estavam nus, o homem e a sua mulher; e não se envergonhavam.
GEN.3.1	Ora, a 
GEN.3.2	E disse a mulher à serpente: Do fruto das árvores do jardim comeremos, 
GEN.3.3	mas, do fruto da árvore que está no meio do jardim, disse Deus: 
GEN.3.4	Então, a 
GEN.3.5	Porque Deus sabe que, no dia em que dele comerdes, se abrirão os vossos olhos, e sereis como Deus, sabendo o bem e o mal. 
GEN.3.6	E, vendo a mulher que aquela árvore 
GEN.3.7	Então, foram abertos os olhos de ambos, e conheceram que 
GEN.3.8	E ouviram a voz do 
GEN.3.9	E chamou o 
GEN.3.10	E ele disse: Ouvi a tua voz soar no jardim, e 
