GEN.1.1	No princípio, criou Deus os céus e a terra. 
GEN.1.2	A terra, porém, estava sem forma e vazia; havia trevas sobre a face do abismo, e o Espírito de Deus pairava por sobre as águas.
GEN.1.3	Disse Deus: Haja luz;
GEN.1.4	E viu Deus que a luz era boa; e fez separação entre a luz e as trevas. 
GEN.1.5	Chamou Deus à luz Dia e às trevas, Noite. Houve tarde e manhã, o primeiro dia.
GEN.1.6	E disse Deus: Haja firmamento no meio das águas e separação entre águas e águas. 
GEN.1.7	Fez, pois, Deus o firmamento e separação entre as águas debaixo do firmamento e as águas sobre o firmamento. E assim se fez. 
GEN.1.8	E chamou Deus ao firmamento Céus. Houve tarde e manhã, o segundo dia.
GEN.1.9	Disse também Deus: Ajuntem-se as águas debaixo dos céus num só lugar, e apareça a porção seca. E assim se fez. 
GEN.1.10	À porção seca chamou Deus Terra e ao ajuntamento das águas, Mares. E viu Deus que isso era bom. 
GEN.1.11	E disse: Produza a terra relva, ervas que deem semente e árvores frutíferas que deem fruto segundo a sua espécie, cuja semente esteja nele, sobre a terra. E assim se fez. 
GEN.1.12	A terra, pois, produziu relva, ervas que davam semente segundo a sua espécie e árvores que davam fruto, cuja semente estava nele, conforme a sua espécie. E viu Deus que isso era bom. 
GEN.1.13	Houve tarde e manhã, o terceiro dia.
GEN.1.14	Disse também Deus: Haja luzeiros no firmamento dos céus, para fazerem separação entre o dia e a noite; e sejam eles para sinais, para estações, para dias e anos. 
GEN.1.15	E sejam para luzeiros no firmamento dos céus, para alumiar a terra. E assim se fez. 
GEN.1.16	Fez Deus os dois grandes luzeiros: o maior para governar o dia, e o menor para governar a noite; e fez também as estrelas. 
GEN.1.17	E os colocou no firmamento dos céus para alumiarem a terra, 
GEN.1.18	para governarem o dia e a noite e fazerem separação entre a luz e as trevas. E viu Deus que isso era bom. 
GEN.1.19	Houve tarde e manhã, o quarto dia.
GEN.1.20	Disse também Deus: Povoem-se as águas de enxames de seres viventes; e voem as aves sobre a terra, sob o firmamento dos céus. 
GEN.1.21	Criou, pois, Deus os grandes animais marinhos e todos os seres viventes que rastejam, os quais povoavam as águas, segundo as suas espécies; e todas as aves, segundo as suas espécies. E viu Deus que isso era bom. 
GEN.1.22	E Deus os abençoou, dizendo: Sede fecundos, multiplicai-vos e enchei as águas dos mares; e, na terra, se multipliquem as aves. 
GEN.1.23	Houve tarde e manhã, o quinto dia.
GEN.1.24	Disse também Deus: Produza a terra seres viventes, conforme a sua espécie: animais domésticos, répteis e animais selváticos, segundo a sua espécie. E assim se fez. 
GEN.1.25	E fez Deus os animais selváticos, segundo a sua espécie, e os animais domésticos, conforme a sua espécie, e todos os répteis da terra, conforme a sua espécie. E viu Deus que isso era bom.
GEN.1.26	Também disse Deus: Façamos o homem à nossa imagem,
