MAT.1.1	Si Jesus a sya a Cristo
MAT.1.2	Si Abraham ama naya ni Isaac; si Isaac ama naya ni Jacob, tan si Jacob ama raya ni Juda tan saray bubsat na. 
MAT.1.3	Si Juda ama raya ni Fares tan Zara, si Tamar a ina ra.
MAT.1.4	Si Aram ama naya ni Aminadab, si Aminadab ama naya ni Naason, tan si Naason ama naya ni Salmon. 
MAT.1.5	Si Salmon ama naya ni Boaz, tan si Rahab
MAT.1.6	Si Jesse a ama na ni Adi' David.
MAT.1.6	Si David, sya a ama na ni Solomon ket si ina na ni Solomon si gindat a asawa na ni Urias.
MAT.1.7	Si Solomon ama naya ni Roboam; si Roboam ama naya ni Abias, tan si Abias ama naya ni Asa. 
MAT.1.8	Si Asa ama naya ni Josafat; si Josafat ama naya ni Joram, tan si Joram ama naya ni Ozias. 
MAT.1.9	Si Ozias ama naya ni Jotam; si Jotam ama naya ni Acaz, tan si Acaz a ama na ni Ezequias. 
MAT.1.10	Si Ezequias ama naya ni Manases; si Manases ama naya ni Amos, tan si Amos ama naya ni Josias. 
MAT.1.11	Si Josias ama raya ni Jeconias tan saray bubsat na. Panaon intaw nin nikatalo ran Israelita konran taga Babilonia ket nai'ras sara sa nasyon nin Babilonia
MAT.1.12	Sin nai'ras sarayna sa Babilonia, wanti et a nikasunur-sunor ra;
MAT.1.12	Si Jeconias ama naya ni Salatiel, tan si Salatiel ama naya ni Zorobabel. 
MAT.1.13	Si Zorobabel ama naya ni Abiud; si Abiud ama naya ni Eliaquim, tan si Eliaquim ama naya ni Azor. 
MAT.1.14	Si Azor ama naya ni Sadoc; si Sadoc ama naya ni Aquim, tan si Aquim ama naya ni Eliud. 
MAT.1.15	Si Eliud ama naya ni Eleazar; si Eleazar ama naya ni Matan; si Matan ama naya ni Jacob, 
MAT.1.16	tan si Jacob ama naya ni Jose nin asawa na ni Maria nin si nangiyanak kona ni Jesus a mantawagen nin Cristo.
