MRK.1.1	Kha mbɨghar Iesus Krais Gotɨn Otar rɨkɨnarɨ kharaghava amuisiri iŋaarir aghuuir gunɨm mbɨŋgeeghi.
MRK.1.2	Aisaia Gotɨna akam nigha zesi gumagh, Got fhomɨra nona akaman aŋga anɨɨŋi. Anana osɨrisima, an aŋm mbɨŋgharani iti. Ma akamara khara. “Nɨɨ oragh! Kɨ nona ambuuŋn gumagha amandaghtima, a ufhuaragh maŋɨva nɨɨmɨusua utuaviri iŋarami. 
MRK.1.3	Gumaghani itɨɨŋn mav gumasi iti phatɨsira aŋanan dɨɨ mbɨŋgeeghi, ‘Gee Ikhɨvaghava utuavi azenɨva, anda rɨkɨr.’ ”
MRK.1.4	Kamagha amuisima Jon zava gumasi iti phatɨsira aŋaniri ikhava akamɨ ukurava gumasi urua mem mbɨŋgeeghi, “Gee navighɨ raghtima kɨ gee urueghtima Got geno othevir maghatɨsi gɨna amaaŋga.” 
MRK.1.5	Ana akaar kharsi vɨŋgeema Judian distrighɨni itirɨ uŋuimba ko Jerusalemɨni iti gumasi rako amisi mee bar zava nono othevir maghatɨsir gunɨm mbɨŋgeema a Jordanɨ rɨmɨn mee urue.
MRK.1.6	Gumasi uruer gumagh Jon, a kamelɨn asɨghana arɨghɨnana amuisi shaara sharagha ana asɨghan nerɨn mɨghasɨgha noni iva dii. A nerɨn khava sharagha ondaesi rako apharira aroroe apha iti. 
MRK.1.7	Aŋna akam kamaghɨm mbɨŋgeeghi, “Nan gɨn zaami gumagh aŋn gamgaaŋ guisimbaaŋra nan gamgaaŋga afhira. Kɨ aŋn mɨna amuisi phatɨ. Kɨ ivɨra aviraghɨva aŋna aŋgarir shaarirɨ umbuea afhɨrami thughatɨs phatɨ. 
MRK.1.8	Kɨ rɨmɨn gee urue, a gɨn zɨva Gotɨnɨ Utuman gamgaaŋn gee uruami.”
MRK.1.9	Kha uthughun Iesus Galilin distrighɨni itirɨ uŋuu Nasareta thaeghava Jonɨmɨusua zesima, a Jordanɨ rɨmɨn ana urue. 
MRK.1.10	Iesus rɨmɨna aveni ikegha akɨran otuivi utughura a garima ovhee ukusima Gotɨnɨ Utum fhaman mɨnɨm mbɨghegha aŋmɨusua zeghiri. 
MRK.1.11	Gumughun a zeghirima itɨɨŋn mav Gotɨnɨ uŋuuni ikha dɨɨ kamaghɨusue, “Nɨɨ nano Otar. Kɨ bar nɨŋgi iphui. Nan nav bar nɨɨn vhusvhusi.”
