GEN.1.1	Uluk fohon, Maromak naseꞌi laleꞌan no raiklaran.
GEN.1.2	Raiklaran sei la dadi dauk, sa-saa hotu-hotu sei nahutan karin. Wee mak iha, mais nakukun luri taka nola tomak. Maromak Kmalar
GEN.1.3	Hotu, Maromak katak naꞌak, “Musti noo kroman.” Katak notu, kroman moos dadi. 
GEN.1.4	Naree kroman nia, Maromak neon boot, tan saa mak Nia naseꞌi nia, kabaas tebes. Hotu, Nia naketak kroman no kukun, ida-idak no oras duꞌuk. 
GEN.1.5	Nia nanaran kroman naꞌak, ‘loron’, nakukun naꞌak, ‘kalan’. Hodi nunia, dadi loron no kalan. Lia nia mak Maromak nalo baa loron dala uluk.
GEN.1.6+GEN.1.7	Hotu, Maromak katak tenik naꞌak, “Musti noo fatin mamuk atu hodi keta faꞌe wee, nebee noo wee iha leten no wee iha ohak.” Katak notu, wee moos naketak aan faꞌe baa rua. 
GEN.1.8	Maromak nanaran fatin mamuk iha leten naꞌak, ‘laleꞌan’. Lia nia mak Maromak nalo baa loron dala rua.
GEN.1.9	Hotu, Maromak katak tenik naꞌak, “Wee iha ohak musti naklibur aan fatin ida, nebee noo rai maran!” Katak notu, rai maran moos dadi. 
GEN.1.10	Nia nanaran rai nia naꞌak, “rai maran”. Nanaran wee klibur nia naꞌak, “tasi”. Naree nunia, Maromak neon boot, tan saa mak Nia naseꞌi nia, kabaas tebes. 
GEN.1.11	Hotu, Maromak katak tenik naꞌak, “Rai maran musti natubu ai horis mahoo fuan, mahoo musan, no mahoo tahan matak. Nebee ai horis ida-idak nafini, tuir oik duꞌuk.” Katak notu, ai horis moos dadi. 
GEN.1.12	Iha rai maran ai horis sia nafini, tuir oik ida-idak. Naree nunia, Maromak neon boot, tan saa mak Nia naseꞌi nia, kabaas tebes. 
GEN.1.13	Lia nia mak Maromak nalo baa loron dala tolu.
GEN.1.14+GEN.1.15	Hotu, Maromak katak tenik naꞌak, “Iha leten musti noo makroman oi-oik, nebee bele naroma raiklaran! Musti noo makroman baa kalan, no makroman baa loron. Makroman nia sia dadi tadak nebee bele sura loron no tinan.” Katak notu, makroman sia moos dadi. 
GEN.1.16	Makroman boot, oik rua. Mak boot liu nakroma baa oras loron; kiꞌik nakroma baa kalan. Maromak moos naseꞌi fitun sia, 
GEN.1.17	no babilan makroman nia sia iha laleꞌan, nebee naroma raiklaran 
GEN.1.18	baa kalan no loron. Hodi nunia, kroman naketak nosi makukun. Naree nunia, Maromak neon boot, tan saa mak Nia naseꞌi nia, kabaas tebes. 
GEN.1.19	Lia nia mak Maromak nalo baa loron dala haat.
GEN.1.20	Hotu, Maromak katak tenik naꞌak, “Musti noo makmoris iha wee laran. No manu mak semo iha leten.” 
GEN.1.21	Hotu, Maromak naseꞌi makmoris iha wee laran. Nia moos naseꞌi manu mak semo iha leten. Naree nunia, Maromak neon boot, tan saa mak Nia naseꞌi nia, kabaas tebes. 
GEN.1.22	Maromak natuun matak-malirin baa sia hotu-hotu naꞌak, “Makmoris iha wee laran musti bea tuꞌan, nebee nakonu nola wee iha fatin hotu-hotu! Manu iha leten moos musti bea tuꞌan!” 
GEN.1.23	Lia nia mak Maromak nalo baa loron dala lima.
GEN.1.24+GEN.1.25	Hotu, Maromak katak tenik naꞌak, “Musti noo makmoris iha rai maran! Nuꞌu osa no lotuk mak hakiak, osa no lotuk mak fuik, no osa no lotuk mak maneꞌek. Ida-idak tuir niakaan oik duꞌuk!” Katak notu, sia hotu-hotu moos dadi. Naree nunia, Maromak neon boot, tan saa mak Nia naseꞌi nia, kabaas tebes.
GEN.1.26	Hotu, Maromak katak tenik naꞌak, “Diꞌak liu, Ita haseꞌi ema tuir Itakaan ilas, nebee sia babilan naꞌan tasi iha tasi laran, manu iha leten, osa no lotuk hakiak no osa no lotuk seluk sia iha rai maran.”
GEN.1.27	Hotu, Maromak naseꞌi ema tuir Niakaan ilas. Nia naseꞌi sia, feto no mane. 
GEN.1.28	Hotu, Nia natuun matak-malirin baa sia naꞌak, “Emi musti bea tuꞌan, nebee hakonu hola no babilan raiklaran neꞌe. Haꞌu klatan beran hodi babilan naꞌan tasi iha tasi laran, manu ai leten, no osa no lotuk hotu-hotu iha rai maran. 
GEN.1.29	Haꞌu moos latan baa emi hahaak oi-oik iha raiklaran. Neꞌe mak, ai horis mahoo fuan no mahoo musan. 
GEN.1.30	Haꞌu klatan no ai horis mahoo tahan matak oi-oik bodik osa no lotuk haan. Noo haan bodik osa no lotuk hakiak, osa no lotuk fuik, osa no lotuk maneꞌek no manu ai leten.” Katak notu, hahaak hotu-hotu moos iha. 
GEN.1.31	Naree nunia, Maromak neon boot, tan saa mak Nia naseꞌi nia, kabaas tebes. Lia nia mak Maromak nalo baa loron dala neen.
GEN.2.1	Hodi nunia, Maromak naseꞌi laleꞌan no raiklaran no sasoin hotu-hotu.
GEN.2.2	Awan, kona baa loron dala hitu. Baa loron nia, Maromak nanawa serwisu. 
GEN.2.3	Hodi nunia, Nia nalo loron dala hitu nia, dadi baa loron boot. Nia nalo nunia, tan hotu-hotu mak Nia naseꞌi nia, tetuk no nesan tiꞌan. Hotu Nia nanawa baa loron dala hitu. 
GEN.2.4	Lia Maromak naseꞌi laleꞌan no raiklaran, nunia.
GEN.2.4	MAROMAK foin nahuu naseꞌi laleꞌan no raiklaran, 
GEN.2.5+GEN.2.6	ai horis la noo dauk, tan MAROMAK la natuun udan dauk. Baa oras nia, ababun dei saꞌe nosi rai, nabotes rai. Ema bodik nalo toꞌos moos, la noo dauk. 
GEN.2.7	Hotu MAROMAK nola rai isin oan ida, nodi naseꞌi ema. Nia nuu natama nawan baa ema nia inun, hotu ema nia moris.
GEN.2.8	Hotu MAROMAK loke toꞌos ida iha rai Eden lorosaꞌe. Nia natama ema nia nein iha toꞌos nia. 
GEN.2.9	Iha toꞌos nia laran, MAROMAK nahoris ai horis kabaas oi-oik mak ema bele naa. Nia moos nahoris ai huun rua iha toꞌos klaran. Kalo ema naa ai huun ida fuan, bele moris nima-nimak. Naa ai huun ida seluk fuan, bele natene saa mak diꞌak no saa mak aat.
GEN.2.10	Noo mota ida mak suli nabotes toꞌos nia. Suli sai nosi toꞌos nia, noo sorun haat. 
GEN.2.11	Sorun ida, naran Pison. Sorun nia, suli nalik rai Hawila mak noo mean waꞌin. 
GEN.2.12	Iha nia, noo mean isin, ai horis mahoo raan morin no fatuk mahoo matan leen. 
