MAT.1.1	Bokanda bon’eotwelo ena Yesu Masiya, bon’ona Dawidi, bon’ona Abalayama.
MAT.1.2	Abalayama aotaki Isaka; ko Isaka aotaki Yakobo; ko Yakobo aotaki Yuda ko l’atoolo’anande; 
MAT.1.3	ko Yuda aotaki Pelese la Zela, ban’ana Tamala; ko Pelese aotaki Eselone; ko Eselone aotaki Lama; 
MAT.1.4	ko Lama aotaki Aminadamba; ko Aminadamba aotaki Nasona; ko Nasona aotaki Salomona; 
MAT.1.5	ko Salomona aotaki Boaza, bon’ona Laba; ko Boaza aotaki Obede, bon’ona Luta; ko Obede aotaki Yisai; 
MAT.1.6	ko Yisai aotaki Dawidi, lifoka lina roi.
MAT.1.6	Ko Dawidi aotaki Solomona, bon’ona boyoto onoyalaki booli ona Uliya; 
MAT.1.7	ko Solomona aotaki Labama; ko Labama aotaki Abiya; ko Abiya aotaki Asa; 
MAT.1.8	ko Asa aotaki Yosapata; ko Yosapata aotaki Yolama; ko Yolama aotaki Uziya; 
MAT.1.9	ko Uziya aotaki Yotama; ko Yotama aotaki Aza; ko Aza aotaki Izikiya; 
MAT.1.10	ko Izikiya aotaki Manase; ko Manase aotaki Amona; ko Amona aotaki Yosiya; 
MAT.1.11	ko Yosiya aotaki Yekonya ko l’akune’anande en’esik’enek’iy’otolamaka ena Babela.
MAT.1.12	Ena mbusa, enek’iy’otolamaka ena Babela, Yekonya aotaki Salatiele; ko Salatiele aotaki Zelubabela; 
MAT.1.13	ko Zelubabela aotaki Abiuda; ko Abiuda aotaki Eliyakima; ko Eliyakima aotaki Azola; 
MAT.1.14	ko Azola aotaki Sadoka; ko Sadoka aotaki Akimi; ko Akimi aotaki Eliyuda; 
MAT.1.15	ko Eliyuda aotaki Elazala; ko Elazala aotaki Matana; ko Matana aotaki Yakobo; 
MAT.1.16	ko Yakobo aotaki Yosefa, bome’ona Malia onootaki Yesu, onotangama Masiya.
MAT.1.17	Yok’osamb’oho, en’atenyi bana Abalayama la Dawidi biotwelo biyali jo l’inei; ko en’atenyi bana Dawidi l’esike enek’iy’otolamaka ena Babela biotwelo jo l’inei; ko en’atenyi ban’esike enek’iy’otolamaka ena Babela ko la Masiya biotwelo jo l’inei.
MAT.1.18	Eotwelo eneki Yesu Masiya ootwaka eyaaki yok’osamb’one: Eneki boyango’onande Malia oyalaka ikuke ina Yosefa, kuma batasongana, ayaaki la yemi la Bolimo bon’olotsi. 
MAT.1.19	Koko Yosefa, bome’onande, ayaaki boto’ona mbongi, ko atalanga yatel’ende nsoi en’oso bon’ato, akanelaki lacina ayumole la lokuko. 
MAT.1.20	Koko enem’end’okanela baoyi’ane, lenda, ekima ena Yawe enyaki eneyal’ende ena lilotua, ate, Yosefa, bon’ona Dawidi, taangake lisonga Malia booli’one; ende amotola yemi la Bolimo bon’olotsi. 
MAT.1.21	Ko angota bon’ona mpame, ko ongof’ende lina lika Yesu, lacin’oka angikya bato’anande en’aoyi’owe’aniyo. 
MAT.1.22	Baoyi’ane bahatu bailamaki lacina baoyi banaki Yawe otendaka la bosumoli bailame, ate,
MAT.1.23	Lenda, boyoto onotaate bome angotola yemi, ko angota bon’ona mpame,
MAT.1.23	Ko bangof’ende lina lika Imanwele
MAT.1.23	ncina ena liho nko Yakomba ayali l’iso. 
MAT.1.24	Ko eneki Yosefa oetwaka en’ilo, ailaki yok’onoki ekima ena Yawe olakaka, ko aosonga booli’onande; 
MAT.1.25	ko atasangana l’ende, yengoko aotaki bon’ona nsomi ona mpame, ko aofaki lina lika Yesu.
MAT.2.1	Eneki Yesu ootwaka ena Beteleme ena Yudea, en’esike eneki Elode oyalaka lifoka lina roi, lenda, bato bana bomwu baoya ena Yelusalema nk’en’ili bona Est; 
MAT.2.2	iy’ate, Ende onootwaki lifoka lina Ba-Yuda ayali meya? Lacin’oka tomen’ioto inande en’ili bona Est, ko tomoya oyokumy’ende. 
MAT.2.3	Eneki Elode lifoka lina roi ookaka yoi liho, aokandakanda bike, ende la baise Yelusalema bahatu. 
MAT.2.4	Ko aosusanya nkanga ina toome ihatu ko l’atengi ban’ekanda ban’ato, ko amaufola bili bon’otwa Masiya. 
