MAT.1.1	Ọnwan wụ ẹkụkwọ banyeni Jizọsị wụ Kraịstị hụn wụ nwa Defidi, nwa Ebraham.
MAT.1.2	Ebraham wụ nẹdi Aziki, Aziki wụ nẹdi Jekọpụ, Jekọpụ wụ nẹdi Juda lẹ umunẹ ẹ ikẹnnyẹ. 
MAT.1.3	Juda wụ nẹdi Pẹrẹzi lẹ Zẹra. Nnẹ wẹ wụ Tama. Pẹrẹzi wụ nẹdi Hẹzrọnụ, Hẹzrọnụ wụ nẹdi Aram, 
MAT.1.4	Aram wụ nẹdi Aminadabụ, Aminadabụ wụ nẹdi Nashọnụ, Nashọnụ wụ nẹdi Salụmọnụ, 
MAT.1.5	Salụmọnụ wụ nẹdi Bụazị, nnẹ Bụazị wụ Rehabụ. Bụazị wụ nẹdi Obẹdi, nnẹ Obẹdi wụ Rutu. Obẹdi wụ nẹdi Jese.
MAT.1.6	Jese wụ nẹdi Defidi hụn wụ eze. Eze wụ Defidi wụ nẹdi Solomọnụ hụn nnẹ ẹ te wụ nwunyẹ Yuria. 
MAT.1.7	Solomọnụ wụ nẹdi Rehobụam, Rehobụam wụ nẹdi Abija; Abija wụ nẹdi Asafụ
MAT.1.8	Asafụ wụ nẹdi Jehoshẹfatị; Jehoshẹfatị wụ nẹdi Joram
MAT.1.9	Uzịa wụ nẹdi Jọtam, Jọtam wụ nẹdi Ahazị; Ahazị wụ nẹdi Hezikaya. 
MAT.1.10	Hezikaya wụ nẹdi Manasẹ, Manasẹ wụ nẹdi Amọnụ
MAT.1.11	Josaya nọ mụ Jekọnaya
MAT.1.12	Ogẹn wẹ gi kpụngụ wẹ shi alị Babilọnụ, Jekọnaya nọ mụ Shiẹtiẹlụ; Shiẹtiẹlụ wụ nẹdi Zerubabẹlụ, 
MAT.1.13	Zerubabẹlụ wụ nẹdi Abiyudu, Abiyudu wụ nẹdi Ẹliakim, Ẹliakim wụ nẹdi Azọ, 
MAT.1.14	Azọ wụ nẹdi Zadọkụ, Zadọkụ wụ nẹdi Akịm, Akịm wụ nẹdi Ẹlayudu, 
MAT.1.15	Ẹlayudu wụ nẹdi Ẹliẹza, Ẹliẹza wụ nẹdi Matanị, Matanị wụ nẹdi Jekọpụ, 
MAT.1.16	Jekọpụ wụ nẹdi Josẹfụ; Josẹfụ wụ di Meri — onyẹ hụn mụ Jizọsị hụn w'a kpọ “Kraịstị.”
MAT.1.17	Ya wụ, gha ogẹn Ebraham d'e ru ogẹn Defidi, wẹ ile rị agbọ mmẹnọ, gha ogẹn Defidi d'e ru ogẹn wẹ gi kpụn wẹ shi alị Babilọnụ wụ agbọ mmẹnọ; gha ogẹn wẹ gi kpụn wẹ shi alị Babilọnụ d'e ru ogẹn Kraịstị wụ agbọ mmẹnọ.
MAT.1.18	Ẹnịna kẹ wẹ dọn mụ Jizọsị Onyẹ Nzụọpụha hụ Osolobuẹ tumẹ
MAT.1.19	Josẹfụ hụn jẹnkọ d'a lụn'a wụ onyẹ ezi-omumẹ. Kanị Josẹfụ achọnị n'ọ fa a idẹnya ịhịan ile, ọ nọ bu ẹ obi n'o sikọ d'a gwa a nzuzue n'ọ lụkọzị a. 
MAT.1.20	Kanị, ogẹn o gi rị e ro ihiẹnni, ọ nọ rọhụn mmọn-ozi Di-nwọnni-ẹnyi k'ọ bịa d'e kunrun ẹ, sị, “Josẹfụ nwa Defidi, atụlẹ egun; lụma Meri, makẹni nwa ọ rị imẹ ẹ gha ẹka Mmọn-nsọ bịa. 
MAT.1.21	O k'a mụ okẹnnyẹ. I jẹnkọ d'a gụn nwa hụ Jesu (Jizọsị)
MAT.1.22	Ihiẹn ndịnị ile mẹ kẹni wẹ gi mẹzu ihiẹn Onyẹ-nwọnni-ẹnyi ku ghahanị onyẹ-amụma, sị, 
MAT.1.23	“Lee ẹ, okpoho kelẹni marịn okẹnnyẹ jẹnkọ d'a tụ imẹ, mụ okẹnnyẹ; wẹ k'a kpọ nwa hụ ‘Imanuẹlụ’, ya wụ, ‘Osolobuẹ rị imẹ igunrun ẹnyi.’ ”
MAT.1.24	Ogẹn Josẹfụ gi tẹnhin, ọ nọ mẹ ihiẹn mmọn-ozi Di-nwọnni-ẹnyi gwa a, lụma Meri; 
MAT.1.25	kanị, aranhịnnị wẹ nke di lẹ nwunyẹ d'e ru ogẹn Mẹri gi mụgụ okẹnnyẹ ibuzọ a hụ. Josẹfụ nọ gụn nwa hụ Jizọsị.
MAT.2.1	Wẹ mụ Jesu imẹ Bẹtilẹhẹm hụn rị Judia ogẹn Hẹrọdụ gi wụ eze. Ogẹn hụ, ndị marịn ẹnya kokisẹ nọ gha alị rị azụụn ọwụwa-ẹnyanwụn bịa Jerusalẹm, 
MAT.2.2	a jụ, “Elebe kẹ onyẹ hụ wẹ mụ nke ọhụn hụn wụ eze ndị Ju rị? Makẹni, ẹnyi a hụnọlẹ okokisẹ hụn ku oku ẹ k'ọ pụha azụụn ọwụwa-ẹnyanwụn ebe ẹnyi gha bịa; ẹnyi bịa d'a kụn'a isi alị.”
MAT.2.3	Ogẹn eze wụ Hẹrọdụ gi nụ ihiẹnni, obi eruzin'ẹ alị, kẹ ya kẹ ndị Jerusalẹm ile. 
MAT.2.4	Ọ nọ kpọgbama ndị-isi nchụn-ẹjan lẹ ndị-nkuzi Iwu, jụ wẹ, “Elebe kẹ Ẹkụkwọ-nsọ ku nị ya kẹ wẹ k'a nọ mụ Onyẹ Nzụọpụha hụ Osolobuẹ tumẹ?”
MAT.2.5	Wẹ nọ sị a, “Bẹtilẹhẹm hụn rị Judia rọ, makẹni onyẹ-amụma de, sị,
MAT.2.6	‘Bẹtilẹhẹm hụn rị imẹ Juda,
MAT.2.6	ẹlẹ yụ kachanrịn ntịn
MAT.2.6	imẹ obodo ndị rị a kị Juda;
MAT.2.6	makẹni onyẹ-ọkịkị jẹnkọ d'a gha imẹ i pụha,
MAT.2.6	hụn k'a kị ndị nke m wụ Izrẹlụ.’ ”
MAT.2.7	Ya kẹ Hẹrọdụ nọ kpọ ndị hụ marịn ihiẹn kokisẹ rị e ku, gi nzuzue jụ wẹ ogẹn wẹ gi hụn kokisẹ hụ daị. 
MAT.2.8	Ya ọ nọ zi wẹ jẹn Bẹtilẹhẹm, sị wẹ, “Jẹnmẹ ni nwan; chọkpọ nị nwata hụ. Hụn ụnụ gihụ hụn a, ụnụ a gwa m, kẹni mmẹ nwẹn jẹnzi d'a kụn'a isi-alị.”
MAT.2.9	A nụgụ wẹ ihiẹn eze ku, ya wẹ nọ jẹnmẹ ebe wẹ jẹnkọ. Kokisẹ hụ wẹ hụn alị wẹ tegbu enwẹn ẹ ẹbamịn ọwụwa-ẹnyanwụn nọ pụhazị idẹnmuzi, buruni wẹ ụzọ d'e rukwọrị ebe nwata hụ rị imẹ Bẹtilẹhẹm, ya ọ nọ wuzo. 
MAT.2.10	Ogẹn wẹ gi hụn kokisẹ hụ, wẹ nọ ghọghọ ọda-ọda! 
MAT.2.11	A banye wẹ imẹ ụlọ ahụn, hụn nwata hụ lẹ nnẹ ẹ wụ Meri, wẹ nọ kụnị nwata hụ isi-alị. Ya wẹ nọ kpọpụ ẹkpẹti wẹ buche ihiẹn rị mma, ye ẹ goru lẹ frankisẹnsị lẹ maa.
MAT.2.12	Makẹni Osolobuẹ a dọgụọlẹ wẹ ẹka-ntịn imẹ nrọ sị wẹ ekinlẹ azụụn d'e kunrun Hẹrọdụ, wẹ nọ gha ụzọ ọzọ lashi alị wẹ.
MAT.2.13	Ogẹn ndị hụ marịn ẹnya kokisẹ gi lamagụ, mmọn-ozi Di-nwọnni-ẹnyi nọ bịa d'e kunrun Josẹfụ imẹ nrọ, sị a, “Lihi ọtọ! Weri nwata hụ lẹ nnẹ ẹ gbashi Ijiptu; nọdị nị ebahụn d'e ru nị a sị m'ị kinhẹn, makẹni Hẹrọdụ chọ n'ọ chọ nwata hụ kẹni o gbu ẹ.”
MAT.2.14	Ya Josẹfụ nọ lihi, gi abalị weri nwata hụ lẹ nnẹ ẹ shi Ijiptu. 
MAT.2.15	Wẹ nọ nọdị ebẹhụ d'e ru ni Hẹrọdụ a nwụnhụn. Ọnwan kẹ ihiẹn ahụn Di-nwọnni-ẹnyi gi onyẹ-amụma ku gi mẹzu, nị “A gha m alị Ijiptu kpọpụha nwa m.”
