MAT.1.1	Azezi n de Adavidi yɩɩŋa, la Abraham yɩɩŋa yaabdõma n wãna:
MAT.1.2	Abraham n dɔgɛ A'izakɩ,
MAT.1.2	tɩ A'izakɩ dɔgɛ Azakɔbɩ,
MAT.1.2	tɩ Azakɔbɩ dɔgɛ Azuda, la a kẽendõma, la a yɩbsɩ.
MAT.1.3	Tɩ Azuda la a pɔga Atamaarɩ dɔgɛ Afarɛsɩ la Azara,
MAT.1.3	tɩ Afarɛsɩ dɔgɛ A'ɛsrɔm,
MAT.1.3	tɩ A'ɛsrɔm dɔgɛ Aram,
MAT.1.4	tɩ Aram dɔgɛ Aminadabɩ,
MAT.1.4	tɩ Aminadabɩ dɔgɛ Anaasõ,
MAT.1.4	tɩ Anaasõ dɔgɛ Asalmõ.
MAT.1.5	Tɩ Asalmõ la a pɔga Arahabɩ dɔgɛ Aboozɩ,
MAT.1.5	tɩ Aboozɩ la a pɔga Aruti dɔgɛ A'obɛɛdɩ,
MAT.1.5	tɩ A'obɛɛdɩ dɔgɛ Azese.
MAT.1.6	Tɩ Azese dɔgɛ naba Adavidi.
MAT.1.6	Tɩ Adavidi daan di A'uuri pɔkõorɛ, tɩ ba dɔgɛ Asalomõ.
MAT.1.7	Tɩ Asalomõ dɔgɛ Aroboam,
MAT.1.7	tɩ Aroboam dɔgɛ Abiya,
MAT.1.7	tɩ Abiya dɔgɛ Aza.
MAT.1.8	Tɩ Aza dɔgɛ Azozafatɩ,
MAT.1.8	tɩ Azozafatɩ dɔgɛ Azoram,
MAT.1.8	tɩ Azoram dɔgɛ A'oziasɩ.
MAT.1.9	Tɩ A'oziasɩ dɔgɛ Azɔtam,
MAT.1.9	tɩ Azɔtam dɔgɛ Akaazɩ,
MAT.1.9	tɩ Akaazɩ dɔgɛ A'ezekiasɩ.
MAT.1.10	Tɩ A'ezekiasɩ dɔgɛ Amanase,
MAT.1.10	tɩ Amanase dɔgɛ Amõ,
MAT.1.10	tɩ Amõ dɔgɛ Azoziasɩ.
MAT.1.11	Tɩ Azoziasɩ dɔgɛ Azekoniyasɩ la a yɩbsɩ.
MAT.1.11	Wakat-ẽŋa tɩ ba yõgɛ Ɩsrayɛlɩ dõma tarɩ sẽŋɛ Babilɔnɩ.
MAT.1.12	La ban paagɛ Babilɔnɩ na poorʋm,
MAT.1.12	tɩ Azekoniyasɩ dɔgɛ Asalatɩyɛlɩ,
MAT.1.12	tɩ Asalatɩyɛlɩ dɔgɛ Azorobabɛlɩ.
MAT.1.13	Tɩ Azorobabɛlɩ dɔgɛ Abiyuudɩ,
MAT.1.13	tɩ Abiyuudɩ dɔgɛ A'eliakim,
MAT.1.13	tɩ A'eliakim dɔgɛ Azɔɔrɩ.
MAT.1.14	Tɩ Azɔɔrɩ dɔgɛ Asadɔkɩ,
MAT.1.14	tɩ Asadɔkɩ dɔgɛ Akim,
MAT.1.14	tɩ Akim dɔgɛ A'eliyuudɩ.
MAT.1.15	Tɩ A'eliyuudɩ dɔgɛ A'eleazaarɩ,
MAT.1.15	tɩ A'eleazaarɩ dɔgɛ Amatã,
MAT.1.15	tɩ Amatã dɔgɛ Azakɔbɩ.
MAT.1.16	Tɩ Azakɔbɩ dɔgɛ Azozɛfʋ n de Amaari sɩra la.
MAT.1.16	Amaari ẽŋa n dɔgɛ Azezi tɩ ba wi'iri Krisi la.
MAT.1.17	Lan pĩ'ilum na Abraham wa paagɛ Adavidi, de la zamãana pia la anaasɩ. Lan sẽŋɛ la Adavidi wa paagɛ ban yõgɛ Ɩsrayɛlɩ dõma sẽŋɛ Babilɔnɩ na, de la zamãana pia la anaasɩ. Ban yõgɛ Ɩsrayɛlɩ dõma sẽŋɛ Babilɔnɩ wa paagɛ Krisi la, de la zamãana pia la anaasɩ.
