MAT.1.1	Rûrû i ru rûrîîyo rwa Yiesû Kîrîstû wa mûciî wa Ndaundi, wa rûciaro rwa Îburaîmu.
MAT.1.2	Îburaîmu aarî îthe wa Isaka. Isaka aarî îthe wa Njakubu, na Njakubu aarî îthe wa Njunda na aruagina. 
MAT.1.3	Njunda aarî îthe wa Peres na Sera (gina wao eetagwa Tamari). Peres aarî îthe wa Esroni, na Esroni aarî îthe wa Aramu. 
MAT.1.4	Aramu aarî îthe wa Aminandabu, na Aminandabu aarî îthe wa Naasoni. Naasoni aarî îthe wa Sarimoni, 
MAT.1.5	na Sarimoni aarî îthe wa Mboas, (gina eetagwa Raabu). Mboas aarî îthe wa Obendi (gina eetagwa Ruthu). Obendi aarî îthe wa Njesii. 
MAT.1.6	Njesii aarî îthe wa Mûnene Ndaundi.
MAT.1.6	Ndaundi baaciara Soromoni barî na mûka wa muntû eetagwa Uria. 
MAT.1.7	Soromoni aatuîka îthe wa Reoboamu, na Reoboamu aatuîka îthe wa Abiya. Abiya aarî îthe wa Asa, 
MAT.1.8	na Asa aarî îthe wa Njospati, na Njospati aarî îthe wa Njoramu. Njoramu aarî îthe wa Usia. 
MAT.1.9	Usia aarî îthe wa Njothamu, na Njothamu aarî îthe wa Aasi. Na Aasi aarî îthe wa Esekia, 
MAT.1.10	na Esekia aarî îthe wa Manase, îthe wa Amoni. Amoni aarî îthe wa Njosia. 
MAT.1.11	Njosia aaciara Njekonia na aruagina warîra Aisiraeri barî akubî kûthaamîrua Mbabironi.
MAT.1.12	Barî Mbabironi, Njekonia aaciara Ciateeri, îthe wa Cerubabeeri. 
MAT.1.13	Cerubabeeri aarî îthe wa Abiûndi, na Abiûndi aarî îthe wa Eriakimu ûra aarî îthe wa Asoori. 
MAT.1.14	Asoori aarî îthe wa Sandoko ûra aarî îthe wa Akimû, îthe wa Eriundi. 
MAT.1.15	Eriundi aarî îthe wa Eriasa ûra aarî îthe wa Mathani, îthe wa Njakubu. 
MAT.1.16	Njakubu aarî îthe wa Njosebu, mûrûme wa Maria gina wa Yiesû Kîrîstû.
MAT.1.17	Kwoogu cionthe ciarî nciarwa îkûmi na inya, kuuma kîrî Îburaîmu mwanka kîrî Ndaundi. Na kuuma kîrî Ndaundi mwanka rîra baathaamîîrue Mbabironi, wana cio ciarî nciarwa îkûmi na inya. Na kuuma bakûthaamîrua Mbabironi mwanka rîra Kîrîstû aaciarirwe, wana cio ciarî nciarwa îkûmi na inya.
MAT.1.18	Gûciarwa kwa Yiesû Kîrîstû gwakari ûûgû. Gina, Maria, agîkeethagua i Njosebu mbere ya bagûrana ooneka akamatîîte nda ya Kîrundu Ûmûtheru. 
MAT.1.19	N'ûntû Njosebu aarî muntû ûmwagîru aathûgaania gûtiga Maria na witho n'ûntû ateendaga kûmwira îgi. 
