GEN.1.2	Ja maa oli autio ja tyhjä, ja pimeys oli syvyyden päällä, ja Jumalan Henki liikkui vetten päällä. 
GEN.1.3	Ja Jumala sanoi: "Tulkoon valkeus". Ja valkeus tuli. 
GEN.1.4	Ja Jumala näki, että valkeus oli hyvä; ja Jumala erotti valkeuden pimeydestä. 
GEN.1.5	Ja Jumala kutsui valkeuden päiväksi, ja pimeyden hän kutsui yöksi. Ja tuli ehtoo, ja tuli aamu, ensimmäinen päivä.
GEN.1.7	Ja Jumala teki taivaanvahvuuden ja erotti vedet, jotka olivat taivaanvahvuuden alla, vesistä, jotka olivat taivaanvahvuuden päällä; ja tapahtui niin. 
GEN.1.8	Ja Jumala kutsui vahvuuden taivaaksi. Ja tuli ehtoo, ja tuli aamu, toinen päivä.
GEN.1.10	Ja Jumala kutsui kuivan maaksi, ja paikan, mihin vedet olivat kokoontuneet, hän kutsui mereksi. Ja Jumala näki, että se oli hyvä. 
GEN.1.11	Ja Jumala sanoi: "Kasvakoon maa vihantaa, ruohoja, jotka tekevät siementä, ja hedelmäpuita, jotka lajiensa mukaan kantavat maan päällä hedelmää, jossa niiden siemen on". Ja tapahtui niin: 
GEN.1.12	maa tuotti vihantaa, ruohoja, jotka tekivät siementä lajiensa mukaan, ja puita, jotka lajiensa mukaan kantoivat hedelmää, jossa niiden siemen oli. Ja Jumala näki, että se oli hyvä. 
GEN.1.13	Ja tuli ehtoo, ja tuli aamu, kolmas päivä.
GEN.1.15	ja olkoot valoina taivaanvahvuudella paistamassa maan päälle". Ja tapahtui niin: 
GEN.1.16	Jumala teki kaksi suurta valoa, suuremman valon hallitsemaan päivää ja pienemmän valon hallitsemaan yötä, sekä tähdet. 
GEN.1.17	Ja Jumala pani ne taivaanvahvuuteen, paistamaan maan päälle 
GEN.1.18	ja hallitsemaan päivää ja yötä ja erottamaan valon pimeästä. Ja Jumala näki, että se oli hyvä. 
GEN.1.19	Ja tuli ehtoo, ja tuli aamu, neljäs päivä.
GEN.1.20	Ja Jumala sanoi: "Viliskööt vedet eläviä olentoja, ja lentäkööt linnut maan päällä, taivaanvahvuuden alla". 
GEN.1.21	Ja Jumala loi suuret merieläimet ja kaikkinaiset liikkuvat, vesissä vilisevät elävät olennot, kunkin lajinsa mukaan, ja kaikkinaiset siivekkäät linnut, kunkin lajinsa mukaan. Ja Jumala näki, että se oli hyvä. 
GEN.1.22	Ja Jumala siunasi ne sanoen: "Olkaa hedelmälliset ja lisääntykää ja täyttäkää meren vedet, ja linnut lisääntykööt maan päällä". 
GEN.1.23	Ja tuli ehtoo, ja tuli aamu, viides päivä.
GEN.1.24	Ja Jumala sanoi: "Tuottakoon maa elävät olennot, kunkin lajinsa mukaan, karjaeläimet ja matelijat ja metsäeläimet, kunkin lajinsa mukaan". Ja tapahtui niin: 
GEN.1.25	Jumala teki metsäeläimet, kunkin lajinsa mukaan, ja karjaeläimet, kunkin lajinsa mukaan, ja kaikki maan matelijat, kunkin lajinsa mukaan. Ja Jumala näki, että se oli hyvä. 
