GEN.1.2	Maa oli autio ja tyhjä, pimeys peitti syvyydet, ja Jumalan henki liikkui vetten yllä.
GEN.1.4	Jumala näki, että valo oli hyvä. Jumala erotti valon pimeydestä, 
GEN.1.5	ja hän nimitti valon päiväksi, ja pimeyden hän nimitti yöksi. Tuli ilta ja tuli aamu, näin meni ensimmäinen päivä.
GEN.1.7	Jumala teki kannen ja erotti toiset vedet sen alapuolelle ja toiset sen yläpuolelle. Niin tapahtui, 
GEN.1.8	ja Jumala nimitti kannen taivaaksi. Tuli ilta ja tuli aamu, näin meni toinen päivä.
GEN.1.10	Jumala nimitti kiinteän kamaran maaksi, ja sen paikan, mihin vedet olivat kokoontuneet, hän nimitti mereksi. Ja Jumala näki, että niin oli hyvä.
GEN.1.11	Jumala sanoi: »Kasvakoon maa vihreyttä, siementä tekeviä kasveja ja hedelmäpuita, jotka maan päällä kantavat hedelmissään kukin lajinsa mukaista siementä.» Ja niin tapahtui. 
GEN.1.12	Maa versoi vihreyttä, siementä tekeviä kasveja ja hedelmäpuita, jotka kantoivat hedelmissään kukin oman lajinsa mukaista siementä. Jumala näki, että niin oli hyvä. 
GEN.1.13	Tuli ilta ja tuli aamu, näin meni kolmas päivä.
GEN.1.15	Ne loistakoot taivaankannesta ja antakoot valoa maan päälle.» Ja niin tapahtui. 
GEN.1.16	Jumala teki kaksi suurta valoa, suuremman hallitsemaan päivää ja pienemmän hallitsemaan yötä, sekä tähdet. 
GEN.1.17	Hän asetti ne taivaankanteen loistamaan maan päälle, 
GEN.1.18	hallitsemaan päivää ja yötä ja erottamaan valon pimeydestä. Jumala näki, että niin oli hyvä. 
GEN.1.19	Tuli ilta ja tuli aamu, näin meni neljäs päivä.
GEN.1.20	Jumala sanoi: »Viliskööt vedet eläviä olentoja ja lennelkööt linnut ilmassa taivaankannen alla.» 
GEN.1.21	Niin Jumala loi suuret meripedot ja kaikki muut elävät olennot, joita vedet vilisevät, sekä kaikki siivekkäiden lajit. Jumala näki, että niin oli hyvä. 
GEN.1.22	Hän siunasi ne sanoen: »Olkaa hedelmälliset ja lisääntykää ja täyttäkää meren vedet, ja linnut lisääntykööt maan päällä.» 
GEN.1.23	Tuli ilta ja tuli aamu, näin meni viides päivä.
GEN.1.24	Jumala sanoi: »Tuottakoon maa kaikenlaisia eläviä olentoja, kaikki karjaeläinten, pikkueläinten ja villieläinten lajit.» Ja niin tapahtui. 
GEN.1.25	Jumala teki villieläimet, karjaeläimet ja erilaiset pikkueläimet, kaikki eläinten lajit. Ja Jumala näki, että niin oli hyvä.
GEN.1.27	Ja Jumala loi ihmisen kuvakseen, Jumalan kuvaksi hän hänet loi, mieheksi ja naiseksi hän loi heidät. 
GEN.1.28	Jumala siunasi heidät ja sanoi heille: »Olkaa hedelmälliset, lisääntykää ja täyttäkää maa ja ottakaa se valtaanne. Vallitkaa meren kaloja, taivaan lintuja ja kaikkea, mikä maan päällä elää ja liikkuu.» 
GEN.1.29	Jumala sanoi vielä: »Minä annan teille kaikki siementä tekevät kasvit, joita maan päällä on, ja kaikki puut, joissa on siementä kantavat hedelmät. Olkoot ne teidän ravintonanne. 
GEN.1.30	Ja villieläimille ja taivaan linnuille ja kaikelle, mikä maan päällä elää ja liikkuu, minä annan ravinnoksi vihreät kasvit.» Niin tapahtui. 
GEN.1.31	Ja Jumala katsoi kaikkea tekemäänsä, ja kaikki oli hyvää. Tuli ilta ja tuli aamu, näin meni kuudes päivä.
GEN.2.1	Näin tulivat valmiiksi taivas ja maa ja kaikki mitä niissä on. 
GEN.2.2	Jumala oli saanut työnsä päätökseen, ja seitsemäntenä päivänä hän lepäsi kaikesta työstään. 
GEN.2.3	Ja Jumala siunasi seitsemännen päivän ja pyhitti sen, koska hän sinä päivänä lepäsi kaikesta luomistyöstään. 
GEN.2.4	Tämä on kertomus siitä, kuinka taivas ja maa saivat alkunsa silloin kun ne luotiin.
GEN.2.4	Siihen aikaan, kun Herra Jumala teki maan ja taivaan, 
GEN.2.5	ei maan päällä ollut vielä yhtään pensasta eikä edes ruoho ollut noussut esiin, sillä Herra Jumala ei ollut antanut sateen kastella maata eikä ihmistä vielä ollut maata viljelemässä. 
GEN.2.6	Mutta maasta kumpusi vettä, ja se kasteli maan pinnan. 
GEN.2.7	Ja Herra Jumala muovasi maan tomusta ihmisen ja puhalsi hänen sieraimiinsa elämän henkäyksen. Näin ihmisestä tuli elävä olento.
GEN.2.9	Herra Jumala kasvatti maasta esiin kaikenlaisia puita, jotka olivat kauniita katsella ja joiden hedelmät olivat hyviä syödä, ja paratiisin keskelle hän kasvatti elämän puun sekä hyvän- ja pahantiedon puun.
GEN.2.10	Eedenistä sai alkunsa joki, joka kasteli puutarhan ja joka sieltä lähtiessään jakautui neljäksi haaraksi. 
GEN.2.11	Ensimmäisen nimi on Pison. Se kiertää koko Havilan maan, missä on kultaa, 
GEN.2.12	ja sen maan kulta on hyvää. Siellä on myös suitsutuspihkaa ja onykskiveä. 
GEN.2.13	Toisen joen nimi on Gihon. Se kiertää koko Nubian maan. 
GEN.2.14	Kolmannen joen nimi on Tigris, ja se virtaa Assurin editse. Ja neljäs joki on Eufrat.
GEN.2.15	Herra Jumala asetti ihmisen Eedenin puutarhaan viljelemään ja varjelemaan sitä. 
GEN.2.16	Herra Jumala sanoi ihmiselle: »Saat vapaasti syödä puutarhan kaikista puista. 
GEN.2.17	Vain siitä puusta, joka antaa tiedon hyvästä ja pahasta, älä syö, sillä sinä päivänä, jona siitä syöt, olet kuoleman oma.»
GEN.2.19	Ja Herra Jumala muovasi maasta kaikki villieläimet ja kaikki taivaan linnut ja vei ne ihmisen luo nähdäkseen, minkä nimen hän kullekin antaisi. Ja jokainen elävä olento sai sen nimen, jolla ihminen sitä kutsui. 
GEN.2.20	Näin ihminen antoi nimet kaikille karjaeläimille, kaikille linnuille ja kaikille villieläimille. Mutta ihmiselle ei löytynyt sopivaa kumppania.
GEN.2.21	Silloin Herra Jumala vaivutti ihmisen syvään uneen ja otti hänen nukkuessaan yhden hänen kylkiluistaan ja täytti kohdan lihalla. 
GEN.2.22	Herra Jumala teki tästä kylkiluusta naisen ja toi hänet miehen luo. 
GEN.2.23	Ja mies sanoi:
GEN.2.23	– Tämä se on! Tämä on
GEN.2.23	luu minun luustani
GEN.2.23	ja liha minun lihastani.
GEN.2.23	Naiseksi häntä sanottakoon:
GEN.2.23	miehestä hänet on otettu.
GEN.2.25	Ja he olivat molemmat alasti, mies ja hänen vaimonsa, eivätkä he tunteneet häpeää.
GEN.3.2	Nainen vastasi käärmeelle: »Kyllä me saamme syödä puutarhan puiden hedelmiä. 
GEN.3.3	Vain siitä puusta, joka on keskellä paratiisia, Jumala on sanonut: ’Älkää syökö sen hedelmiä, älkää edes koskeko niihin, ettette kuolisi.’» 
GEN.3.4	Silloin käärme sanoi naiselle: »Ei, ette te kuole. 
GEN.3.5	Mutta Jumala tietää, että niin pian kuin te syötte siitä, teidän silmänne avautuvat ja teistä tulee Jumalan kaltaisia, niin että tiedätte kaiken, sekä hyvän että pahan.» 
GEN.3.6	Nainen näki nyt, että puun hedelmät olivat hyviä syödä ja että se oli kaunis katsella ja houkutteleva, koska se antoi ymmärrystä. Hän otti siitä hedelmän ja söi ja antoi myös miehelleen, joka oli hänen kanssaan, ja mieskin söi.
GEN.3.7	Silloin heidän silmänsä avautuivat, ja he huomasivat olevansa alasti. He sitoivat yhteen viikunanlehtiä ja kietoivat ne vyötärölleen.
GEN.3.8	Kun iltapäivä viileni, he kuulivat Jumalan kävelevän puutarhassa. Silloin mies ja nainen menivät Jumalaa piiloon puutarhan puiden sekaan. 
GEN.3.9	Herra Jumala huusi miestä ja kysyi: »Missä sinä olet?» 
GEN.3.10	Mies vastasi: »Minä kuulin sinun askeleesi puutarhassa. Minua pelotti, koska olen alasti, ja siksi piilouduin.» 
GEN.3.11	Herra Jumala kysyi: »Kuka sinulle kertoi, että olet alasti? Oletko syönyt siitä puusta, josta minä kielsin sinua syömästä?» 
GEN.3.12	Mies vastasi: »Nainen, jonka sinä annoit minulle kumppaniksi, antoi minulle sen puun hedelmän, ja minä söin.» 
GEN.3.13	Silloin Herra Jumala sanoi naiselle: »Mitä oletkaan tehnyt!» Nainen vastasi: »Käärme minut petti, ja minä söin.»
GEN.3.14	Herra Jumala sanoi käärmeelle:
GEN.3.14	– Koska tämän teit, olet kirottu.
GEN.3.14	Toisin kuin muut eläimet,
GEN.3.14	karja ja pedot,
GEN.3.14	sinun on madeltava vatsallasi
GEN.3.14	ja syötävä maan tomua
GEN.3.14	niin kauan kuin elät.
GEN.3.15	ja sinun sukusi ja hänen sukunsa välille:
GEN.3.15	ihminen on iskevä sinun pääsi murskaksi,
GEN.3.15	ja sinä olet iskevä häntä kantapäähän.
GEN.3.16	– Minä teen suuriksi sinun raskautesi vaivat,
GEN.3.16	ja kivulla sinä olet synnyttävä lapsesi.
GEN.3.16	Kuitenkin tunnet halua mieheesi,
GEN.3.16	ja hän pitää sinua vallassaan.
GEN.3.17	Ja miehelle hän sanoi:
GEN.3.17	– Koska teit niin kuin vaimosi sanoi
GEN.3.17	ja söit puusta, josta minä kielsin sinua syömästä,
GEN.3.17	niin olkoon maa sinun takiasi kirottu.
GEN.3.17	Kovalla työllä sinun on hankittava siitä elantosi
GEN.3.17	niin kauan kuin elät.
GEN.3.18	Maa kasvaa sinulle
GEN.3.18	orjantappuraa ja ohdaketta,
GEN.3.18	mutta sen kasveista joudut ottamaan ravintosi.
GEN.3.19	kunnes tulet maaksi jälleen,
GEN.3.19	sillä siitä sinut on otettu.
GEN.3.19	Maan tomua sinä olet,
GEN.3.19	maan tomuun sinä palaat.
GEN.3.20	Mies antoi vaimolleen nimeksi Eeva, sillä hänestä tuli kaikkien ihmisten kantaäiti.
GEN.3.21	Ja Herra Jumala teki Aadamille
GEN.3.22	Sitten Herra Jumala sanoi: »Ihminen on nyt kuin me: hän tietää sekä hyvän että pahan. Ettei hän nyt vain ota elämän puusta hedelmää ja syö ja niin elä ikuisesti!» 
GEN.3.23	Niin Herra Jumala ajoi ihmisen pois Eedenin puutarhasta ja pani hänet viljelemään maata, josta hänet oli tehty. 
GEN.3.24	Hän karkotti ihmisen ja asetti Eedenin puutarhan itäpuolelle kerubit ja salamoivan, leimuavan miekan vartioimaan elämän puulle vievää tietä.
GEN.4.1	Mies yhtyi vaimoonsa Eevaan, ja Eeva tuli raskaaksi ja synnytti Kainin. Eeva sanoi: »Minä olen Herran avulla saanut poikalapsen.»
GEN.4.2	Sitten hän synnytti Kainille veljen, Abelin. Abelista tuli lammaspaimen ja Kainista maanviljelijä.
GEN.4.3	Kerran Kain toi Herralle uhrilahjaksi maan satoa, 
GEN.4.4	ja Abel toi lampaidensa esikoiskaritsoja ja niiden rasvaa. Herra katsoi suopeasti Abeliin ja hänen uhriinsa, 
GEN.4.5	mutta Kainin ja hänen uhrinsa puoleen hän ei katsonut. Silloin Kain suuttui kovin ja hänen katseensa synkistyi. 
GEN.4.6	Herra kysyi Kainilta: »Miksi sinä suutuit ja katselet synkkänä maahan? 
GEN.4.7	Jos teet oikein, voit kohottaa katseesi, mutta jos et tee, on synti ovella vaanimassa. Sinua se haluaa, mutta sinun on pidettävä se kurissa.»
GEN.4.9	Silloin Herra kysyi Kainilta: »Missä on veljesi Abel?» Kain vastasi: »En tiedä. Olenko minä veljeni vartija?» 
GEN.4.10	Herra sanoi: »Mitä oletkaan tehnyt! Etkö kuule, kuinka veljesi veri huutaa minulle maasta? 
GEN.4.11	Nyt olet kirottu etkä voi jäädä tänne, sillä tämän maan oli avattava suunsa ja otettava vastaan veljesi veri, jonka sinä vuodatit. 
GEN.4.12	Kun koetat viljellä maata, se ei enää ruoki sinua, vaan sinun on harhailtava kodittomana ja pakolaisena maan päällä.»
GEN.4.13	Kain sanoi Herralle: »Syntini rangaistus on minulle liian raskas kantaa. 
GEN.4.14	Kun sinä nyt karkotat minut tältä seudulta, minä joudun pois kasvojesi edestä. Minun on harhailtava kodittomana ja pakolaisena maailmalla, ja silloin kuka hyvänsä, joka minut kohtaa, voi tappaa minut.» 
GEN.4.15	Mutta Herra sanoi hänelle: »Ei, vaan kostettakoon seitsenkertaisesti sille, joka tappaa Kainin.» Ja Herra pani Kainiin merkin, ettei kukaan, joka hänet kohtaa, tappaisi häntä. 
GEN.4.16	Niin Kain lähti pois Herran kasvojen edestä ja asettui asumaan Nodin
GEN.4.17	Kain yhtyi vaimoonsa, ja tämä tuli raskaaksi ja synnytti Henokin. Kain oli ensimmäinen, joka perusti kaupungin, ja hän antoi sille nimen poikansa Henokin mukaan. 
GEN.4.18	Henokille syntyi Irad, Iradille syntyi Mehujael, Mehujaelille syntyi Metusael, ja Metusaelille syntyi Lemek.
GEN.4.19	Lemek otti itselleen kaksi vaimoa; toisen nimi oli Ada ja toisen Silla. 
GEN.4.20	Ada synnytti Jabalin, josta tuli teltoissa asuvien paimentolaisten kantaisä. 
GEN.4.21	Jabalin veli oli nimeltään Jubal, ja hänestä tuli ensimmäinen harpun- ja huilunsoittaja. 
GEN.4.22	Myös Silla synnytti pojan, Tubal-Kainin, sepän, joka aloitti pronssin ja raudan takomisen. Tubal-Kainilla oli sisar, jonka nimi oli Naama.
GEN.4.23	Lemek sanoi vaimoilleen:
GEN.4.23	– Ada ja Silla, kuulkaa minua,
GEN.4.23	te Lemekin vaimot, ottakaa korviinne minun sanani!
GEN.4.23	Jo yhdestä haavasta minä tapan miehen,
GEN.4.23	jo yhdestä naarmusta nuorukaisen.
GEN.4.24	Jos Kainin puolesta kostetaan seitsemästi,
GEN.4.24	niin Lemekin puolesta seitsemänkymmentäseitsemän kertaa.
GEN.4.25	Aadam yhtyi taas vaimoonsa, ja tämä synnytti pojan. Eeva antoi hänelle nimen Set
GEN.4.26	Setillekin syntyi poika, ja Set antoi hänelle nimen Enos
GEN.4.26	Niihin aikoihin alettiin nimeltä kutsuen rukoilla avuksi Herraa.
GEN.5.2	Hän loi ihmisen mieheksi ja naiseksi. Ja hän siunasi heidät ja antoi heille nimeksi ihminen
GEN.5.3	Kun Aadam oli elänyt 130 vuotta, hänelle syntyi poika, joka oli hänen näköisensä, hänen kaltaisensa, ja hän antoi pojalle nimen Set. 
GEN.5.4	Setin syntymän jälkeen Aadam eli vielä 800 vuotta, ja hänelle syntyi sinä aikana lisää poikia ja tyttäriä. 
GEN.5.5	Aadam eli kaikkiaan 930 vuotta, ja sitten hän kuoli.
GEN.5.6	Kun Set oli elänyt 105 vuotta, hänelle syntyi Enos. 
GEN.5.7	Enosin syntymän jälkeen Set eli vielä 807 vuotta, ja hänelle syntyi lisää poikia ja tyttäriä. 
GEN.5.8	Set eli kaikkiaan 912 vuotta ja kuoli sitten.
GEN.5.9	Kun Enos oli elänyt 90 vuotta, hänelle syntyi Kenan. 
GEN.5.10	Kenanin syntymän jälkeen Enos eli vielä 815 vuotta, ja hänelle syntyi lisää poikia ja tyttäriä. 
GEN.5.11	Enos eli kaikkiaan 905 vuotta ja kuoli sitten.
GEN.5.12	Kun Kenan oli elänyt 70 vuotta, hänelle syntyi Mahalalel. 
GEN.5.13	Mahalalelin syntymän jälkeen Kenan eli vielä 840 vuotta, ja hänelle syntyi lisää poikia ja tyttäriä. 
GEN.5.14	Kenan eli kaikkiaan 910 vuotta ja kuoli sitten.
GEN.5.15	Kun Mahalalel oli elänyt 65 vuotta, hänelle syntyi Jered. 
GEN.5.16	Jeredin syntymän jälkeen Mahalalel eli vielä 830 vuotta, ja hänelle syntyi lisää poikia ja tyttäriä. 
GEN.5.17	Mahalalel eli kaikkiaan 895 vuotta ja kuoli sitten.
GEN.5.18	Kun Jered oli elänyt 162 vuotta, hänelle syntyi Henok. 
GEN.5.19	Henokin syntymän jälkeen Jered eli vielä 800 vuotta, ja hänelle syntyi lisää poikia ja tyttäriä. 
GEN.5.20	Jered eli kaikkiaan 962 vuotta ja kuoli sitten.
GEN.5.21	Kun Henok oli elänyt 65 vuotta, hänelle syntyi Metuselah. 
GEN.5.22	Metuselahin syntymän jälkeen Henok eli vielä 300 vuotta vaeltaen aina Jumalan tahdon mukaisesti, ja hänelle syntyi lisää poikia ja tyttäriä. 
GEN.5.23	Henok eli kaikkiaan 365 vuotta. 
GEN.5.24	Hän vaelsi kuuliaisena Jumalalle. Sitten häntä ei enää ollut, sillä Jumala otti hänet luokseen.
GEN.5.25	Kun Metuselah oli elänyt 187 vuotta, hänelle syntyi Lemek. 
GEN.5.26	Lemekin syntymän jälkeen Metuselah eli vielä 782 vuotta, ja hänelle syntyi lisää poikia ja tyttäriä. 
GEN.5.27	Metuselah eli kaikkiaan 969 vuotta ja kuoli sitten.
GEN.5.28	Kun Lemek oli elänyt 182 vuotta, hänelle syntyi poika. 
GEN.5.29	Hän antoi pojalle nimen Nooa
GEN.5.30	Lemek eli Nooan syntymän jälkeen vielä 595 vuotta, ja hänelle syntyi lisää poikia ja tyttäriä. 
GEN.5.31	Lemek eli kaikkiaan 777 vuotta ja kuoli sitten.
GEN.5.32	Kun Nooa oli elänyt 500 vuotta, hänelle syntyivät Seem, Haam ja Jafet.
GEN.6.1	Kun ihmiset alkoivat lisääntyä maan päällä ja heille syntyi tyttäriä, 
GEN.6.2	jumalien pojat huomasivat, että ihmisten tyttäret olivat kauniita, ja he ottivat näistä vaimoikseen keitä halusivat. 
GEN.6.3	Herra sanoi: »Minä en anna elämän hengen asua ihmisessä miten kauan tahansa. Ihminen on lihaa, heikko ja katoavainen. Olkoon siis hänen elinikänsä enintään satakaksikymmentä vuotta.» 
GEN.6.4	Siihen aikaan ja myöhemminkin oli maan päällä jättiläisiä, kun jumalien pojat yhtyivät ihmisten tyttäriin ja nämä synnyttivät heille lapsia. Juuri näitä olivat muinaisajan kuuluisat sankarit.
GEN.6.6	hän katui, että oli tehnyt ihmisen, ja murehti sitä sydämessään. 
GEN.6.7	Ja Herra sanoi: »Minä pyyhin maan päältä ihmisen, jonka olen luonut, ja ihmisen mukana karjaeläimet, pikkueläimet ja taivaan linnut, sillä minä kadun, että olen ne tehnyt.» 
GEN.6.8	Mutta Nooa oli Herralle mieluinen.
GEN.6.9	Tämä on kertomus Nooasta ja hänen suvustaan. Nooa oli aikalaistensa joukossa ainoa oikeamielinen ja nuhteeton, ja hän vaelsi Jumalalle kuuliaisena. 
GEN.6.10	Hänelle syntyi kolme poikaa: Seem, Haam ja Jafet. 
GEN.6.11	Siihen aikaan turmelus levisi maassa Jumalan silmien alla ja väkivalta täytti maan. 
GEN.6.12	Kun Jumala katseli maata, hän näki, että turmelus vallitsi kaikkialla, sillä ihmiset kuluttivat elämänsä pahuudessa.
GEN.6.13	Jumala sanoi Nooalle:
GEN.6.13	»Minä olen päättänyt tehdä lopun kaikesta elollisesta, sillä maa on ihmisten takia täynnä väkivaltaa. Minä hävitän heidät ja maan heidän kanssaan. 
GEN.6.14	Tee itsellesi arkki sypressipuusta, rakenna se huoneita täyteen ja tiivistä se maapiellä sisältä ja ulkoa. 
GEN.6.15	Tällaiseksi sinun tulee tehdä arkki: sen pituus olkoon kolmesataa kyynärää, leveys viisikymmentä ja korkeus kolmekymmentä kyynärää. 
GEN.6.16	Rakenna arkkiin katto ja tee siitä kyynärän verran kalteva, sijoita ovi arkin kylkeen ja rakenna arkkiin kolme kerrosta.
GEN.6.17	»Minä lähetän vedenpaisumuksen maan päälle hävittämään taivaan alta kaiken, missä on elämän henki. Kaikki on tuhoutuva maan päältä, 
GEN.6.18	mutta sinun kanssasi minä teen liiton. Sinun tulee mennä arkkiin ja ottaa mukaan poikasi, vaimosi ja poikiesi vaimot. 
GEN.6.19	Ja kaikkia elollisia sinun tulee ottaa mukaasi arkkiin kaksi, uros ja naaras, että ne säilyisivät hengissä sinun kanssasi. 
GEN.6.20	Lintuja, karjaeläimiä ja kaikkia pikkueläimiä tulkoon luoksesi kaksi kutakin lajia, jotta ne jäisivät henkiin. 
GEN.6.21	Sinun tulee ottaa mukaan arkkiin kaikenlaista syötävää, niin että sinulla ja kaikilla muilla on mitä syödä.»
GEN.7.2	Ota kaikkia uhrikelpoisia karjaeläimiä seitsemän paria, uroksia ja naaraita, mutta kaikkia epäpuhtaita karjaeläimiä ota kaksi, uros ja naaras. 
GEN.7.3	Myös taivaan lintuja ota seitsemän paria, uroksia ja naaraita, että niiden suku jatkuisi maan päällä. 
GEN.7.4	Seitsemän päivän kuluttua minä lähetän maan päälle sateen, jota kestää neljäkymmentä päivää ja neljäkymmentä yötä. Minä pyyhin pois maan päältä kaikki olennot, jotka olen luonut.» 
GEN.7.5	Nooa teki niin kuin Herra oli häntä käskenyt.
GEN.7.6	Nooa oli kuudensadan vuoden ikäinen, kun vedenpaisumus tuli. 
GEN.7.7	Hän vei poikansa, vaimonsa ja poikiensa vaimot mukanaan arkkiin vedenpaisumukselta turvaan. 
GEN.7.8	Uhrikelpoisia ja epäpuhtaita karjaeläimiä, lintuja ja kaikkia maalla liikkuvia pikkueläimiä 
