GEN.1.1	Nel principio Dio creò i cieli e la terra.
GEN.1.2	La terra era informe e vuota, le tenebre coprivano la faccia dell’abisso e lo Spirito di Dio aleggiava sulla superficie delle acque.
GEN.1.3	Dio disse: «Sia luce!» E luce fu. 
GEN.1.4	Dio vide che la luce era buona; e Dio separò la luce dalle tenebre. 
GEN.1.5	Dio chiamò la luce «giorno» e le tenebre «notte». Fu sera, poi fu mattina: primo giorno.
GEN.1.6	Poi Dio disse: «Vi sia una distesa tra le acque, che separi le acque dalle acque». 
GEN.1.7	Dio fece la distesa e separò le acque che erano sotto la distesa dalle acque che erano sopra la distesa. E così fu. 
GEN.1.8	Dio chiamò la distesa «cielo». Fu sera, poi fu mattina: secondo giorno.
GEN.1.9	Poi Dio disse: «Le acque che sono sotto il cielo siano raccolte in un unico luogo e appaia l’asciutto». E così fu. 
GEN.1.10	Dio chiamò l’asciutto «terra», e chiamò la raccolta delle acque «mari». Dio vide che questo era buono. 
GEN.1.11	Poi Dio disse: «Produca la terra della vegetazione, delle erbe che facciano seme e degli alberi fruttiferi che, secondo la loro specie, portino del frutto avente in sé la propria semenza, sulla terra». E così fu. 
GEN.1.12	La terra produsse della vegetazione, delle erbe che facevano seme secondo la loro specie e degli alberi che portavano del frutto avente in sé la propria semenza, secondo la loro specie. Dio vide che questo era buono. 
GEN.1.13	Fu sera, poi fu mattina: terzo giorno.
GEN.1.14	Poi Dio disse: «Vi siano delle luci nella distesa dei cieli per separare il giorno dalla notte; siano dei segni per le stagioni, per i giorni e per gli anni; 
GEN.1.15	facciano luce nella distesa dei cieli per illuminare la terra». E così fu. 
GEN.1.16	Dio fece le due grandi luci: la luce maggiore per presiedere al giorno e la luce minore per presiedere alla notte; e fece pure le stelle. 
GEN.1.17	Dio le mise nella distesa dei cieli per illuminare la terra, 
GEN.1.18	per presiedere al giorno e alla notte e separare la luce dalle tenebre. Dio vide che questo era buono. 
GEN.1.19	Fu sera, poi fu mattina: quarto giorno.
GEN.1.20	Poi Dio disse: «Producano le acque in abbondanza esseri viventi, e volino degli uccelli sopra la terra per l’ampia distesa del cielo». 
GEN.1.21	Dio creò i grandi animali acquatici e tutti gli esseri viventi che si muovono, e che le acque produssero in abbondanza secondo la loro specie, e ogni volatile secondo la sua specie. Dio vide che questo era buono. 
GEN.1.22	Dio li benedisse dicendo: «Crescete, moltiplicatevi e riempite le acque dei mari, e si moltiplichino gli uccelli sulla terra». 
GEN.1.23	Fu sera, poi fu mattina: quinto giorno.
GEN.1.24	Poi Dio disse: «Produca la terra animali viventi secondo la loro specie: bestiame, rettili e animali selvatici della terra, secondo la loro specie». E così fu. 
GEN.1.25	Dio fece gli animali selvatici della terra secondo le loro specie, il bestiame secondo le sue specie e tutti i rettili della terra secondo le loro specie. Dio vide che questo era buono.
GEN.1.26	Poi Dio disse: «Facciamo l’uomo a nostra immagine, conforme alla nostra somiglianza, e abbiano dominio sui pesci del mare, sugli uccelli del cielo, sul bestiame, su tutta la terra e su tutti i rettili che strisciano sulla terra». 
GEN.1.27	Dio creò l’uomo a sua immagine; lo creò a immagine di Dio; li creò maschio e femmina. 
GEN.1.28	Dio li benedisse; e Dio disse loro: «Siate fecondi e moltiplicatevi; riempite la terra, rendetevela soggetta, dominate sui pesci del mare e sugli uccelli del cielo e sopra ogni animale che si muove sulla terra». 
GEN.1.29	Dio disse: «Ecco, io vi do ogni erba che fa seme sulla superficie di tutta la terra, e ogni albero fruttifero che fa seme; questo vi servirà di nutrimento. 
GEN.1.30	A ogni animale della terra, a ogni uccello del cielo e a tutto ciò che si muove sulla terra e ha in sé un soffio di vita, io do ogni erba verde per nutrimento». E così fu. 
GEN.1.31	Dio vide tutto quello che aveva fatto, ed ecco, era molto buono. Fu sera, poi fu mattina: sesto giorno.
GEN.2.1	Così furono compiuti i cieli e la terra e tutto l’esercito loro. 
GEN.2.2	Il settimo giorno Dio compì l’opera che aveva fatta, e si riposò il settimo giorno da tutta l’opera che aveva fatta. 
GEN.2.3	Dio benedisse il settimo giorno e lo santificò, perché in esso Dio si riposò da tutta l’opera che aveva creata e fatta.
GEN.2.4	Queste sono le origini dei cieli e della terra quando furono creati. Nel giorno che Dio il 
GEN.2.5	non c’era ancora sulla terra alcun arbusto della campagna. Nessuna erba della campagna era ancora spuntata, perché Dio il 
GEN.2.6	ma un vapore saliva dalla terra e bagnava tutta la superficie del suolo.
GEN.2.7	Dio il 
GEN.2.8	Dio il 
GEN.2.9	Dio il 
GEN.2.10	Un fiume usciva da Eden per irrigare il giardino, e di là si divideva in quattro bracci. 
GEN.2.11	Il nome del primo è Pison, ed è quello che circonda tutto il paese di Avila, dove c’è l’oro; 
GEN.2.12	e l’oro di quel paese è puro; qui si trovano pure il bdellio
GEN.2.13	Il nome del secondo fiume è Ghion, ed è quello che circonda tutto il paese di Cus
GEN.2.14	Il nome del terzo fiume è Chiddechel
GEN.2.15	Dio il 
GEN.2.16	Dio il 
GEN.2.17	ma dell’albero della conoscenza del bene e del male non ne mangiare; perché nel giorno che tu ne mangerai, certamente morirai».
GEN.2.18	Poi Dio il 
GEN.2.19	Dio il 
GEN.2.20	L’uomo diede dei nomi a tutto il bestiame, agli uccelli del cielo e ad ogni animale dei campi; ma per l’uomo non si trovò un aiuto che fosse adatto a lui. 
GEN.2.21	Allora Dio il 
GEN.2.22	Dio il 
GEN.2.23	L’uomo disse: «Questa, finalmente, è ossa delle mie ossa e carne della mia carne. Ella sarà chiamata donna
GEN.2.24	Perciò l’uomo lascerà suo padre e sua madre e si unirà a sua moglie, e saranno una stessa carne.
GEN.2.25	L’uomo e sua moglie erano entrambi nudi e non ne avevano vergogna.
GEN.3.1	Il serpente era il più astuto di tutti gli animali dei campi che Dio il 
GEN.3.2	La donna rispose al serpente: «Del frutto degli alberi del giardino ne possiamo mangiare; 
GEN.3.3	ma del frutto dell’albero che è in mezzo al giardino Dio ha detto: “Non ne mangiate e non lo toccate, altrimenti morirete”». 
GEN.3.4	Il serpente disse alla donna: «No, non morirete affatto; 
GEN.3.5	ma Dio sa che nel giorno che ne mangerete, i vostri occhi si apriranno e sarete come Dio, avendo la conoscenza del bene e del male».
GEN.3.6	La donna osservò che l’albero era buono per nutrirsi, che era bello da vedere e che l’albero era desiderabile per acquistare conoscenza; prese del frutto, ne mangiò e ne diede anche a suo marito, che era con lei, ed egli ne mangiò.
GEN.3.7	Allora si aprirono gli occhi ad entrambi e si accorsero che erano nudi; unirono delle foglie di fico e se ne fecero delle cinture. 
GEN.3.8	Poi udirono la voce di Dio il 
GEN.3.9	Dio il 
GEN.3.10	Egli rispose: «Ho udito la tua voce nel giardino e ho avuto paura, perché ero nudo, e mi sono nascosto». 
GEN.3.11	Dio disse: «Chi ti ha mostrato che eri nudo? Hai forse mangiato del frutto dell’albero che ti avevo comandato di non mangiare?» 
GEN.3.12	L’uomo rispose: «La donna che tu mi hai messa accanto, è lei che mi ha dato del frutto dell’albero, e io ne ho mangiato». 
GEN.3.13	Dio il 
GEN.3.14	Allora Dio il 
GEN.3.15	Io porrò inimicizia fra te e la donna, e fra la tua progenie e la progenie di lei; questa progenie ti schiaccerà il capo e tu le ferirai il calcagno». 
GEN.3.16	Alla donna disse: «Io moltiplicherò grandemente le tue pene e i dolori della tua gravidanza; con dolore partorirai figli; i tuoi desideri si volgeranno verso tuo marito ed egli dominerà su di te». 
GEN.3.17	Ad Adamo disse: «Poiché hai dato ascolto alla voce di tua moglie e hai mangiato del frutto dall’albero circa il quale io ti avevo ordinato di non mangiarne, il suolo sarà maledetto per causa tua; ne mangerai il frutto con affanno tutti i giorni della tua vita. 
GEN.3.18	Esso ti produrrà spine e rovi, e tu mangerai l’erba dei campi; 
GEN.3.19	mangerai il pane con il sudore del tuo volto, finché tu ritorni nella terra da cui fosti tratto; perché sei polvere e in polvere ritornerai».
GEN.3.20	L’uomo chiamò sua moglie Eva
GEN.3.21	Dio il 
GEN.3.22	Poi Dio il 
GEN.3.23	Perciò Dio il 
GEN.3.24	Così egli scacciò l’uomo e pose a oriente del giardino di Eden i cherubini, che vibravano da ogni parte una spada fiammeggiante, per custodire la via dell’albero della vita.
GEN.4.1	Adamo conobbe Eva, sua moglie, la quale concepì e partorì Caino
GEN.4.2	Poi partorì ancora Abele, fratello di lui. Abele fu pastore di pecore; Caino lavoratore della terra.
GEN.4.3	Avvenne, dopo qualche tempo, che Caino fece un’offerta di frutti della terra al 
GEN.4.4	Abele offrì anch’egli dei primogeniti del suo gregge e del loro grasso. Il 
GEN.4.5	ma non guardò con favore Caino e la sua offerta. Caino ne fu molto irritato, e il suo viso era abbattuto. 
GEN.4.6	Il 
GEN.4.7	Se agisci bene, non rialzerai il volto? Ma se agisci male, il peccato sta spiandoti alla porta, e i suoi desideri sono rivolti contro di te; ma tu dominalo!»
GEN.4.8	Un giorno Caino parlava con suo fratello Abele e, trovandosi nei campi, Caino si avventò contro Abele, suo fratello, e lo uccise.
GEN.4.9	Il 
GEN.4.10	Il 
GEN.4.11	Ora tu sarai maledetto, scacciato lontano dalla terra che ha aperto la sua bocca per ricevere il sangue di tuo fratello dalla tua mano. 
GEN.4.12	Quando coltiverai il suolo, esso non ti darà più i suoi prodotti, e tu sarai vagabondo e fuggiasco sulla terra». 
GEN.4.13	Caino disse al 
