MAT.1.1	Nke e̱ nyi re-lo nzhwe Jesu Krristi, kowe
MAT.1.2	Ibrrahin i nyi be̱ Ishaku,
MAT.1.2	Ishaku a nyi be̱ Yakubu,
MAT.1.2	Yakubu a nyi be̱ Yahuda ngbe re-gimbe ngu.
MAT.1.3	Yahuda i nyi be̱ Perre ngbe Zera (ne de̱ ngu i nyi Tama).
MAT.1.3	Perre i nyi be̱ Hezrro,
MAT.1.3	Hezrro a nyi be̱ Rrama,
MAT.1.4	Rrama a nyi be̱ Aminada,
MAT.1.4	Aminada a nyi be̱ Naashwo,
MAT.1.4	Naashwo a nyi be̱ Salmo,
MAT.1.5	Salmo a nyi be̱ Bowaza (ne de̱ ngu i nyi Rraha),
MAT.1.5	Bowaza a nyi be̱ Obida (ne de̱ ngu i nyi Ruti),
MAT.1.5	Obida a nyi be̱ Jese,
MAT.1.6	Jese a nyi be̱ Nggwe̱ Dooda.
MAT.1.6	Dooda i nyi be̱ Solomo (ne de̱ ngu i nyi mbrru Uriya),
MAT.1.7	Solomo a nyi be̱ Rrehobowa,
MAT.1.7	Rrehobowa a nyi be̱ Abija,
MAT.1.7	Abija a nyi be̱ Asa,
MAT.1.8	Asa a nyi be̱ Jehoshafa,
MAT.1.8	Jehoshafa a nyi be̱ Jehorra,
MAT.1.8	Jehorra a nyi be̱ Uzaya,
MAT.1.9	Uzaya a nyi be̱ Jota,
MAT.1.9	Jota a nyi be̱ Ahazi,
MAT.1.9	Ahazi e̱ nyi be̱ Hezekeya,
MAT.1.10	Hezekeya a nyi be̱ Manase,
MAT.1.10	Manase e̱ nyi be̱ Amo,
MAT.1.10	Amo a nyi be̱ Josiya,
MAT.1.11	Josiya a nyi be̱ Jekoniya
MAT.1.11	ngbe re-gimbe ngu a zhe ne i ko nné Isrreela
MAT.1.11	shi nné gyiaa re nzhi srra a Babila.
MAT.1.12	A zhe ne mbe i ya ning brru a Babila,
MAT.1.12	Jekoniya i nyi be̱ Sheltiye,
MAT.1.12	Sheltiye e̱ nyi be̱ Zerrubabe,
MAT.1.13	Zerrubabe e̱ nyi be̱ Abiyuda,
MAT.1.13	Abiyuda a nyi be̱ Eliyaki,
MAT.1.13	Eliyaki e̱ nyi be̱ Azo,
MAT.1.14	Azo a nyi be̱ Zadoka,
MAT.1.14	Zadoka a nyi be̱ Aki,
MAT.1.14	Aki e̱ nyi be̱ Eliyuda,
MAT.1.15	Eliyuda a nyi be̱ Eliyaza,
MAT.1.15	Eliyaza a nyi be̱ Matana,
MAT.1.15	Matana a nyi be̱ Yakubu,
MAT.1.16	Yakubu a nyi be̱ Usufu,
MAT.1.16	nto Merri ne ngu i bî Jesu, ne e ki ye he Krristi.
MAT.1.17	Aha nii, kya ngu pie a Ibrrahin re be cwu a Dooda, á nyi re-ze̱ shwa ne otu weni; kya ne ngu pie a Dooda re be cwu zhe ne i ko nné Isrreela shi nné gyiaa re nzhi Babila, a nyi re-ze̱ shwa ne otu weni wa; wire kya ne ngu pie a zhe ne i ya ning brru Babila re be a Krristi, a nyi re-ze̱ shwa ne otu weni wa.
MAT.1.18	Me̱di bî Jesu Krristi e̱ i shi he ni: De̱ ngu Merri e̱ i sa jee ngu shi rwe nyrra ne Usufu; me̱di we ne mbe rishi yaa ko, á timi ne ngu bi ehwie a yarri igbe̱ Nshe Wiri.
MAT.1.19	Aha ncwa ngu Usufu a nyi nze̱we ne ngu bi redziee, ko ce̱ he ngu ki ci nshwu we̱, ngu a hwie he ngu ki we ranranng.
MAT.1.20	Me̱di a zhe ne ngu shi hwie nka ni, ya njeli Brrabe̱ ya wre̱ nwie ngu a revi ngu a he ne ngu he, “Usufu, ewe Dooda, shi de̱ ngwe̱ ci owu ne fo Merri re hwie̱ mbrru ngwe̱ we̱, aha ewe ne ngu shi hwie ngu a wru nwie Nshe Wiri. 
MAT.1.21	A shi bî nze̱we, ngbe ngwe̱ ki ci lo he Jesu
MAT.1.22	Re-ankya ne̱ á ci zhwozhwo ni aha ngbe kya ne Brrabe̱ i he re ci rrurru shi ne nne ti re̱se̱ng ngu i he,
MAT.1.23	“Ri, ewena nna ri se̱ ehwie,
MAT.1.23	we̱ bî ewerento,
MAT.1.23	á ri ki ye he Imanuwe.”
MAT.1.23	Maana nna nyi nke he, “Be̱ne̱ shi ngbe nzhi.”
