GEN.1.1	Diɲyɛ tasìige e, Kile à nìɲyiŋi ná ɲìŋke dá. 
GEN.1.2	Ɲìŋke yyaha baa woge niŋgage ku mpyi. Lùbwɔhɔ ná numpini mpyi ku cyeyi puni i. *Kile Munaani sí mpyi na mpéele kuru lùbwɔhe nìɲyiŋi na.
GEN.1.3	Ka Kile si jwo: «Bɛ̀ɛnmpe pu fworo» ka bɛ̀ɛnmpe si fworo. 
GEN.1.4	Kile à bɛ̀ɛnmpe ɲya p'à ɲwɔ, ka u u pu ná numpini láha yiye na. 
GEN.1.5	Maa bɛ̀ɛnmpe mɛge le canŋke, maa numpini mɛge le numpilage. Ka numpilage si wwɔ̀, ka ɲyɛ̀ge si múgo, ka kuru si mpyi canɲcyiige.
GEN.1.6	Ɲyɛ ka Kile si núr'a jwo: «Lwɔhe ku táa, laaga ku pyi ku shwɔhɔl'e.» 
GEN.1.7	Maa kuru laage yaa, mà tɛ̀g'a ɲìŋke lwɔhe ná nìɲyiŋi lwɔhe láha yiye na. Ka lire si mpyi li jwuŋkanni na. 
GEN.1.8	Ka Kile si kuru laage mɛge le nìɲyiŋi. Ka numpilage si wwɔ̀, ka ɲyɛ̀ge si múgo, ka kuru si mpyi canzhɔnwoge.
GEN.1.9	Ɲyɛ ka Kile si núr'a jwo: «Nìɲyiŋi ɲwɔhɔ lwɔhe ku bínni cyaga niŋkin i, cyage sanŋke ku pyi tawaga.» Ka lire si mpyi li jwuŋkanni na. 
GEN.1.10	Ka u u tawage mɛge le ɲìŋke, lwɔh'à bínni cyage ŋkemu i ke, maa kuru mɛge le suumpe lwɔhe. Maa lire ɲya l'à ɲwɔ.
GEN.1.11	Ɲyɛ ka Kile si jwo na yaayi shiŋi puni yi fyîn ɲìŋke na, sùmaŋi ná cire, yi i yasɛrɛ pyi yi tàanna ná yi shiŋi i. Ka lire si mpyi li jwuŋkanni na. 
GEN.1.12	Ka yaayi shiŋi puni si fyîn ɲìŋke na, sùmaŋi ná cire, maa yasɛrɛ pyi mà tàanna ná yi shiŋi i. Ka Kile si lire ɲya l'à ɲwɔ. 
GEN.1.13	Ka numpilage si wwɔ̀, ka ɲyɛ̀ge si múgo, ka kuru si mpyi canntanrawoge.
GEN.1.14	Ɲyɛ ka Kile si núr'a jwo na bɛ̀ɛnmpe yaayi yi pyi nìɲyiŋi na, yi i canŋke ná numpilage tɛgɛni láha. Yire yi pyi tàafyee mpiimu pi sí raa katáangii ná canyi ná yyeegii cyêre ke. 
GEN.1.15	Yire yaayi yi pyi nìɲyiŋi na, yi raa bɛ̀ɛnmpe tîrige ɲìŋke na. Ka lire si mpyi li jwuŋkanni na. 
GEN.1.16	Ka Kile si bɛ̀ɛnmɛ yaaya nimbwoyo shuunni yaa. Maa yi puni nimbwɔhe yaha canŋke ɲùŋɔ na, maa nimbileni yaha numpilage ɲùŋɔ na. Maa wɔrigii mú yaa. 
GEN.1.17	Kile à yire yaayi yaha nìɲyiŋi na, bà yi si mpyi s'a bɛ̀ɛnmpe kaan ɲìŋke na mɛ. 
GEN.1.18	Maa yi tìŋɛ canŋke ná numpilage ɲùŋɔ na, bà yi si mpyi si numpini ná bɛ̀ɛnmpe tɛgɛni láha yiye na mɛ. Ka Kile si lire ɲya l'à ɲwɔ. 
GEN.1.19	Ka numpilage si wwɔ̀, ka ɲyɛ̀ge si múgo, ka kuru si mpyi cansicyɛre woge.
GEN.1.20	Ɲyɛ ka Kile si núr'a jwo: «Ɲyii yaayi yi ɲyaha teetee lwɔhe e, saɲcyɛɛnre mú ti yîri t'a mpéele ɲjaampe e.» 
GEN.1.21	Maa lwɔhe ɲyii yaayi nimbwoyi ná lwɔhe ɲyii yaayi shiŋi sanŋi puni yaa teetee, maa yi pyi yi ɲyaha yi tàanna ná yi shiŋi puni i. Maa saɲcyɛɛnre yaa mú mà tàanna ná ti shiŋi i. Maa lire ɲya l'à ɲwɔ. 
GEN.1.22	Kile à jwó le y'á, maa jwo yi si teetee yi i suumpe lwɔhe ɲî. Maa jwo na saɲcyɛɛnre mú ti ɲyaha ɲìŋke na. 
GEN.1.23	Ka numpilage si wwɔ̀, ka ɲyɛ̀ge si múgo, ka kuru si mpyi canŋkaŋkuro woge.
GEN.1.24	Ɲyɛ ka Kile si núr'a jwo ɲìŋke ku ɲî ɲyii yaayi shiŋi puni na, mu à jwo yatɔɔre, ɲìŋke yafiliyi, ná sige yaare, yi puni ná yi shiŋi. Ka lire si mpyi li jwuŋkanni na. 
GEN.1.25	Ka Kile si sige yaare yaa ti shiŋi puni, maa yatɔɔre yaa ti shiŋi puni, maa ɲìŋke yafiliyi yaa yi shiŋi puni mú. Ka u u lire ɲya l'à ɲwɔ.
