GEN.1.1	Paat ra talimpuun i paat ri Aki Kapuuno' napasauk ra limbowon am namingkal ra tana' ti.
GEN.1.2	Ginio ra tana' ti kalo poyo naindon am kolondo' ra atan ayuk pana; nangiatan ayuk koson nanaub ra raat ti am Ambiluo ri Aki Kapuuno'
GEN.1.3	Indagu i Aki Kapuuno', “Kasauk no sinda.” Sinda ti pana nasauk. 
GEN.1.4	Maansayan kaga' i Aki Kapuuno' magilong ra baal raginio am pantuliaro' No boo sinda intor ra molondom. 
GEN.1.5	Inggalani' No sinda no “matawang” am molondom no “rondom”. Kopongo molondom, masauk boo susuab. Ginio noyo orou ondo' kasaa'.
GEN.1.8	Inggalani' No pambakuran no “limbowon”. Kopongo molondom, masauk boo susuab. Ginio noyo orou ondo' karuo.
GEN.1.9	Indagu boo i Aki Kapuuno', “Moonsoi ru timug ondo' mokoondo' ra ragana' ru limbowon tumilis ra rondo' intok saboi tana' ti makito ra mapua'.” Baal raginio pana nasauk. 
GEN.1.10	Inggalani' No tana' mapua' no “lantur” am inggalani' No tayar ru timug no “raat”. Maansayan kaga' i Aki Kapuuno' magilong ra baal raginio. 
GEN.1.11	Indagu poyo i Aki Kapuuno', “Moonsoi ru tana' ti mapatuu' ra nansalinut tutuu' ioginio tutuu' ondo' mapaingkual ra ampos ru kinawa'.” Baal raginio pana nasauk. 
GEN.1.12	Intor raginio tana' ti makaampos ra nansalinut tutuu'. Maansayan kaga' i Aki Kapuuno' magilong ra baal raginio. 
GEN.1.13	Kopongo molondom, masauk boo susuab. Ginio noyo orou ondo' katalu.
GEN.1.14+GEN.1.15	Indagu boo i Aki Kapuuno', “Moonsoi ru makasinda sumalula' intor ra limbowon koson mapatawang ra tana' ti, koson mapatuliar ra matawang intor ra molondom am niayuk koson mapakito ra nasuku' noyo talimpuunan paat ru orou, bilor am orou pangiantakan ru ugama.”
GEN.1.16	Ginio noyo i Aki Kapuuno' napasauk ra ruo sinda ondo' maayo iono mato ru orou koson manguasa' ra matawang am bulan koson manguasa' ra rondom; Io niayuk napasauk ra butitin. 
GEN.1.17	Pinaayan No ginilo ra limbowon koson mapatawang ra tana' ti, 
GEN.1.18	iono koson manguasa' ra matawang am rondom am niayuk mapatuliar ra sinda intor ra molondom. Maansayan kaga' i Aki Kapuuno' magilong ra baal raginio. 
GEN.1.19	Kopongo molondom, masauk boo susuab. Ginio noyo orou ondo' kaapat.
GEN.1.20	Indagu boo i Aki Kapuuno', “Moonsoi ru timug ti mototop ra nansalinut ondo' maayag am limbowon pana mototop ra nansalinut susuit.” 
GEN.1.21	I Aki Kapuuno' napasauk ra bibiag ondo' mangaayo am ngaangai' nansalinut maayag mayan ralalom ru timug am niayuk ngaangai' susuit. Maansayan kaga' i Aki Kapuuno' magilong ra baal raginio. 
GEN.1.22	Barakati' ri Aki Kapuuno' ngaangai' ti am manusub ra ondo' maayag ralalom ru timug mansayat am raat ti pana mototop am susuit sumuang-suang. 
GEN.1.23	Kopongo molondom, masauk boo susuab. Ginio noyo orou ondo' kalimo.
GEN.1.24	Indagu boo i Aki Kapuuno', “Moonsoi ru tana' ti mapasalula' ra ngaangai' nansalinut bibiag ru lantur ondo' masigo am makaup, maayo kapoam boborok.” Baal raginio pana nasauk. 
GEN.1.25	Ginio noyo i Aki Kapuuno' nambaal ra ngaangai' no am maansayan kaga' Io magilong ra baal raginio.
GEN.1.28	Barakati' No ilo am indagu, “Paganak kano kasusuang maa' raginio papag mino mayan ra titikop intok ra tana' ti am manguasa'. Akau manguasa' ra ngaangai' papait, susuit am ngaangai' bibiag ondo' masigo. 
GEN.1.29	Mangani' Aku ramuyun ra akanon ra ngaangai' salinut ru tutuu' ondo' mapasalula' ra unor am kawa'; 
GEN.1.30	Kaa' ngaangai' susuit am bibiag masigo ra bokon no aniin Ku ra sakot am tatanom ra makaraun koson akanon nilo.” Baal raginio pana nasauk. 
GEN.1.31	I Aki Kapuuno' nagilong ra ngaangai' ondo' sinauk Nano am maansayan kaga' Io. Kopongo molondom, masauk boo susuab. Ginio noyo orou ondo' koonom.
GEN.2.1	Ginio noyo baal ru napasaukan ra limbowon am tana' ti am ngaangai' suang no. 
GEN.2.3	Nambarakat i Aki Kapuuno' ra orou ra katulu' ti am orou raginio sinauk ra orou patimpokon sabap ra paat orou raginio tumangus i Aki Kapuuno' ra nopongo noyo kandoi Nali. 
GEN.2.4	Koon raginio noyo baal ru napasaukan ra limbowon am tana' ti.
GEN.2.4	Paat ra 
GEN.2.5	kolondo' poyo unor ondo' tuminuu' am niayuk kolondo' poyo tutuu' ra tana' ti, sabap ri Aki Kapuuno' kalo poyo naparatu' ra rasam am kolondo' poyo ulun mangandoi ra tana' ti. 
GEN.2.6	Kaa' timug tumalimpuun sumabak intor ra ragana' am mamasa' ra ralimbou ru tana' ti.
GEN.2.9	Napatuu' Io ra ngaangai' puun ondo' mongoonsoi am mapasalula' ra kawa' ondo' moonsoi. Giu' ra tatanga' ru Taman no mokoondo' puun ondo' tuminuu' ondo' mangani' ra bayag am puun ondo' mangani' ra kapandayan ra baal ondo' moonsoi am niayuk malaat.
GEN.2.10	Rondo' sungoi ondo' tumilis intor ra Idin manimug ra Taman raginio; ra lisar ru Idin, sungoi ti mokoondo' apat ngantayaran ringai'. 
GEN.2.11	Sungoi kasaa', ininggalanan ra Pison, ondo' tumilis lumiput ra pagun Gawila. 
GEN.2.12	Giu' no mokoondo' mas kopoyo, timug mangaamis owou ondo' mapagon maalap am niayuk batu ra manguliat. 
GEN.2.13	Sungoi karuo, ininggalanan ra Gigon, ondo' tumilis lumiput ra pagun Kus.
GEN.2.14	Sungoi katalu, ininggalanan ra Tigris, ondo' tumilis ra tampilon sirangon ru Asyur am sungoi kaapat ti ininggalanan ra Iprat.
GEN.2.16	Indagu i Aki Kapuuno' ra ulun no, “Maakan mu kinawa' intor ra ngaangai' puun ra Taman ti, 
GEN.2.17	kaa' ondo' ayuk kalo maakan no intor ra puun ondo' mangani' ra kapandayan ra baal moonsoi am niayuk malaat. Kawa' no kalo maakan mu; amon ru akanon mu, maaru' matoi kou ra orou raginio niayuk.”
GEN.2.18	Indagu boo 
GEN.2.19	Ginio ra alap Io sanganu tana' am baalo' ra ngaangai' salinut ru bibiag ru lantur am susuit. Ngaangai' no inibit ri Aki Kapuuno' ra ulun no koson mampakito ra atan painggalanon ra bibiag raginio. Ginio noyo pupuun ru bibiag ru lantur am susuit makainggalan ru sigagama'. 
GEN.2.20	Ulun raginio nanginggalan ra ngaangai' bibiag ru lantur am susuit; kaa' kolondo' rondo' pana masauk ra rangan ondo' maaya' toojo mangindangan riso.
GEN.2.22	Intor ra bungul tiagang no, nambaal Io sangulun ruandu' am ibito' No boo ra ungkuyon no. 
GEN.2.23	Indagu boo ulun no,
GEN.2.23	“Gitio noyo io, ulun nogondo' raki' –
GEN.2.23	bungul no intor ra bungul kuno,
GEN.2.23	am kual no intor ra kual kutu.
GEN.2.23	Inggalan no ruandu',
GEN.2.23	sabap inalap io intor ra ungkuyon.”
GEN.2.25	Ungkuyon am ruandu' no magibaang kaa' kalo makaliman mauyu'.
GEN.3.2	Taam ruandu' no, “Maakan mai kawa' intor ra moonong puun ralalom ru taman ti, kaa' ondo' kalo maakan ginio nakaunor ra tatanga' ru taman no. 
GEN.3.3	Sabap ra nanginggalar i Aki Kapuuno' ramon mangakan ra kawa' intor ra puun no kapoam mangambong; amon baalon mai, matoi akai.”
GEN.3.4	Taam kukuo no, “Ginio kalo motopot; kalo matoi kau. 
GEN.3.5	Mindagu i Aki Kapuuno' koon raginio sabap nakapandai Io ra amon ru mangakan kau ra kawa' raginio, makapandai kau ra ngaangai' baal; masauk kau koson ri Aki Kapuuno'
GEN.3.6	Nakito ru ruandu' no ra puun raginio moonsoi kaga' am kawa' no pana maamis kaga' akanon. Mangkara' io ra mapara' bonsoi amon ru mapintar io. Ginio ra pangupu' io ra kawa' no am akano' no. Io pana nantayar niayuk ra ralaki nano am ralaki nano pana nangakan ra kawa' no. 
