MRK.1.1	Weni na Yesu Keriso, Meimeituwa natuna, Varana Beibeina ikarei.
MRK.1.2	Ivi karei, Meimeituwa ina kikiverena* Aisaiya kununa kava igirugirumi na Meimeituwa ina buka kamonai, evavavo bo,
MRK.1.2	“Ke kitai, kununa aku wasawasa ana ki tawayei ma
MRK.1.2	am keta ina vo kavikaviyei.
MRK.1.3	Wasawasa edimadima dobututu wai evavavo bo,
MRK.1.3	‘Bada ina piti kubina ko vokavikaviyana, ina keta kovo manimaniniya ma ina yawara.’”
MRK.1.4	Vagheina ma wasawasa Jon ipiti rava ivivi towasamaghisi* dobututu wai ma Meimeituwa varana ivivi debei rava kurisi ivavavo bo, “Kota viremi ami berabero wai ma ami bera bero Meimeituwa ina nota kuputemi. Nuke taku ani towasamaghimi* na ini matakira da ami bera bero kone kuputei.” 
MRK.1.5	Ma rava tupasi yavu dobu Jiudia ma Jerusalem sinenai ikasibau Jon iti yanei. Maranai asi bera bero ivi debei, touna ivi towasamaghisi* Jodan yokowinai.
MRK.1.6	Ma Jon kana gara ikoteni na kamel* munimuninai iwouri ma ina bori saghira borinai isaghiri nana ghamoghamo kwapirina ma touna na keitupisi ikamkam ma manigewa imuma.
MRK.1.7	Ma rava iki kisi ma ivavavo bo, “Muriku wai sago epitipiti, touna na ighe sasara iya taku nuke. Taku na iya kovokovoghina da ana tepika kana kae vopapara ghuravina ana vo tariya. 
MRK.1.8	Taku na yokowai ai towasamaghimi*, ma touna na Kanuma Vokuwayinai ini towasamaghimi*!”
MRK.1.9	Touna maranai, Yesu Nazaret yai ipiti Galili sinenai ma ipiti Jon kurina, ma Jon ivi towasamaghi Jodan yokowinai. 
MRK.1.10	Ma maranai yokowai igheghe tawayei, ikita da kunuma itamotaweyana, ma Kanuma Vokuwayina kitana kama gabubu isoru ku tepana. 
MRK.1.11	Ma pona kunuma yai ikasibau Meimeituwa ivi sisiya ivavo bo, “Tam na natuku, aku nuwa yuyuna ma ai gheghena kiraki yem.”
MRK.1.12	Mara sago kava touna murinai Meimeituwa Kanumina Yesu ivo tawayei ku dobututu irui. 
MRK.1.13	Mara foti dobututu wai imake ma Seitan ivovo rubui. Touna na ghamoghamo kwakokwakosi sanasi yai imakemake nani dobunai, ma Meimeituwa ina aneya iruru koyaghi.
MRK.1.14	Keivavo Herod, Jon Touvitowasamagha* ku dibura itawana runi, ma murinai Yesu inae ku Galili ma Meimeituwa varana idimedimei rava kurisi.
MRK.1.15	Ivavavo bo, “Meimeituwa mara itereterei na isegha! Meimeituwa ina Koyaga Yawasa Kuvouna ina rava kubisi na namada weni. Tami ami bera bero kone kuputesi ma varana beibeina ko tumetumei.”
MRK.1.16	Mara sago maranai Galili yawawina magaminai iyawayawara, ma tiya touyebayebaghisi* ruwa ikitasi, Saimon ma teina kiki Anduru, yawawai* iweiweito. 
MRK.1.17	Ivi sisiya kurisi ma ivavo bo, “Ko piti, ko wagise ku. Ma ani beyemi da rava kona konasi da ina tumetumeku kama iki makava tiya ko konakonasi na nuke.” 
MRK.1.18	Mara sago kava asi weito ivoteresi ma iwagisei.
MRK.1.19	Ma nuke berokikina ine riya magamai kava, Sebedi natunatuna Jems ma Jon asi waga kamonai asi weito iwouwoura munamunagha na ikitasi. 
MRK.1.20	Ma, mara sago kava ighore kurisi ivavo bo, “Ko wagiseku.” Vagheina ma asi mamai waga kamonai ina toubagibagi meiteni ine kuyowesi ma iwagisei.
MRK.1.21	Vagheina ma Yesu ma ina touvotaghotagho dobu ku Kapaniam isegha, ma maranai Sabati* isegha, Yesu dam Jiu asi vibeyebeyena ku numana irui ma giu ivi karei Meimeituwa varana rava kurisi. 
MRK.1.22	Igiugiu na kama rava sago ere maragasina, iya kama Mosese ina vigheiyena touvibeyebeyena* nuke, touna kubina rava ina giu ivi deiyei.
MRK.1.23	Igiugiu maranai dam Jiu asi vibeyebeyena numana sinenai koroto sago kanuma berona itowai na igarara rukwatu. 
MRK.1.24	Ma ivavo bo, “Am kayowana avai gwabiki yai, Yesu koto Nazaret? Ku piti wike kwa pupuniki bo? Asakovi da tam iyai, tam na Meimeituwa ina Vokuwayina.”
MRK.1.25	Ma, Yesu ikawarupotei “Kevi yasamim! Koroto ke kasibu kuyowei.” 
MRK.1.26	Vagheina ma kanuma berona koroto ivo kirokiroroi ma ere gararina ikasibu kuyowei.
MRK.1.27	Ma rava tupasi yavu ivi deiyena sasarei ma tousi mani ivi tupa vivirana meyesi ma ivavo bo, “Wena avai? Weni na giu vouna ere maragasina! Weni korotona na ina maragata imake da kanuma berosi, ina kawa rupotesi ma ivo teketekei!” 
MRK.1.28	Mara sago kava Yesu varana ivi turawasei Galili dobuna inunui.
MRK.1.29	Ma mara sago kava tousi dam Jiu asi vibeyebeyena numana ikasibu kuyowei ma inae Saimon ma Anduru asi ku numa ma Jems ma Jon meiteni ine yavuyavu. 
MRK.1.30	Saimon rawananaki wavinena igubaga ikenakena, muyamuya iveiya ma mara sago kava Yesu ivi seghei. 
MRK.1.31	Ineru kuriya, imana iveiya ma ivowagui da ivo meiri. Mara sago kava muyamuya ivoterei ma kasi vavai ivo kavikaviyei.
MRK.1.32	Namada ivivi kuririsi, ma yabodiri inene make maranai, rava gubagubagisi ma kanuma berosi itowatowasi na ipiti yesi Yesu kurina.
MRK.1.33	Ma meiteni rava tupasi yavu nani ku dobuna iriyei ma matamkwetai ivi damnisi. 
MRK.1.34	Ma Yesu rava ipesari kirakai ivi yawasisi kasi gubaga bogeibogei ma kanuma berosi ipesari sasara ivi kasibunisi rava sinesi yai. Yesu kanuma berosi iya iti vagheinesi da ini sisiya, isakovi da touna na Meimeituwa natuna kubina.
MRK.1.35	Boiboighi nubanubanai, dididibarinai, Yesu ikena vomeiri, numa ikasibu kuyowei ma ine seirana touna maniduma ivivi kawavenoveno. 
