GEN.1.1	I acakki piny Lubaŋa oketo polo ki lobo. 
GEN.1.2	Lobo onoŋo tye nono, onyobbe woko atata piny macol ocido wi kut matut, kun Cwiny pa Lubaŋa twago wi pii.
GEN.1.4	Lubaŋa oneno leŋo ni ber; Lubaŋa opoko kin leŋo ki colpiny. 
GEN.1.5	Lubaŋa olwoŋo leŋo ni Dyeceŋ, ki colpiny olwoŋo ni Dyewor. Piny oyuto dok piny oru, meno nino acel.
GEN.1.7	Ci Lubaŋa otiyo pete me poko pii ma tye piny i te pete ki pii ma tye malo i wi pete; ci otimme kit meno. 
GEN.1.8	Lubaŋa olwoŋo dan pete ni polo. Piny oyuto dok piny oru, meno nino me aryone.
GEN.1.9	Lubaŋa owacci, “Wek pii ma tye i te polo ocokke, ogurre i kabedo acel, wek piny mutwo onen”; ci otimme kit meno. 
GEN.1.10	Lubaŋa olwoŋo piny mutwo ni Lobo, ki pii ma ocokke, ogurre kacel-li ni Nam; ci Lubaŋa oneno ni ber. 
GEN.1.11	Lubaŋa owacci, “Wek lum otwi i wi lobo, ki ginapita ma nyako nyiggi, ki yadi ma nyako nyiggi ma kodi tye i igi, macalo kit kwagi tye, i wi lobo”; ci otimme kit meno. 
GEN.1.12	Lum ocako twi i wi lobo, ki ginapita ma nyako nyiggi i kit kwagi acel acel, ki yadi ma nyako nyiggi ma kodi tye i igi, macalo kit kwagi tye. Ci Lubaŋa oneno ni ber. 
GEN.1.13	Piny oyuto dok piny oru, meno nino me adekke.
GEN.1.14	Lubaŋa owacci, “Wek gin ma ryeny obed i kom pete me polo me poko dyeceŋ ki dyewor, ki me bedo ginanena ma nyuto kare ki nino ki mwaka, 
GEN.1.15	wek gubed gin ma ryeny i kom pete me polo ma menyo lobo”; ci otimme kit meno. 
GEN.1.16	Lubaŋa oketo gin madito aryo ma giryeny, wek ma ryeny madit-te aye olo dyeceŋ, ki ma ryeny matidine olo dyewor; dok oketo lwak lakalatwe bene. 
GEN.1.17	Lubaŋa oketogi i kom pete me polo me menyo lobo, 
GEN.1.18	me loyo dyeceŋ ki dyewor, ki me poko kin leŋo ki colpiny. Ci Lubaŋa oneno ni ber. 
GEN.1.19	Piny oyuto dok piny oru, meno nino me aŋwenne.
GEN.1.20	Lubaŋa owacci, “Wek pii onywal gin makwo ma gicorre limuk, ki winyo bene gutuk lamalo i wi lobo i dan pete me polo.” 
GEN.1.21	Lubaŋa oketo nyaŋ madoŋo i nam, ki kwa gin makwo ducu ma gimol, ma gicorre limuk i pii, macalo kit kwagi tye, ki winyo ma gituk ki bwomgi, macalo kit kwagi tye. Ci Lubaŋa oneno ni ber. 
GEN.1.22	Lubaŋa omiyogi gum kun wacci, “Wunywal, wunya, wupoŋ pii ki nami, winyo bene gunya i wi lobo.” 
GEN.1.23	Piny oyuto dok piny oru, meno nino me abicce.
GEN.1.24	Lubaŋa owacci, “Wek lobo onywal gin makwo i kit kwagi: lee ma paco, ki gin ma lak alaka, ki lee me tim macalo kit kwagi tye”; ci otimme kit meno. 
GEN.1.25	Lubaŋa oketo lee tim macalo kit kwagi tye, ki lee ma paco macalo kit kwagi tye, ki gin ma lak alaka piny i ŋom, macalo kit kwagi tye. Ci Lubaŋa oneno ni ber.
GEN.1.27	Lubaŋa ocweyo dano i Kit calle kikome; ocweyo laco ki dako. 
GEN.1.28	Lubaŋa omiyogi gum kun wacogi ni, “Wunywal, wunya, wupoŋ lobo, wulo bene; dok wulo wa rec ma i nam, ki winyo me polo, ki gin ducu makwo ma giwoto i wi lobo.” 
GEN.1.29	Lubaŋa owacci, “Nenu, amiyowu ginapita ducu ma nyako nyiggi ma tye i wi lobo ducu, ki yadi ducu ma nyako nyiggi ma kodi tye i igi; wubicamogi. 
GEN.1.30	Dok lee ducu me tim, ki winyo ducu me polo, ki gin ducu ma lak alaka wi lobo, ma gitye ki kwo, amiyo botgi ginapita ducu madyak me bedo camgi”; ci otimme kit meno. 
GEN.1.31	Lubaŋa oneno gin ma doŋ otiyo ducu, ci nen, tye mabeco twatwal. Piny oyuto dok piny oru, meno nino me abicelle.
GEN.2.1	Polo ki lobo yam giketo otum kit meno, ki lwak mony ma tye iye ducu. 
GEN.2.2	I kom nino me abiro en aye Lubaŋa otyeko iye ticce ducu ma yam otiyo; en oywe i kom nino me abiro i kom ticce ducu ma yam otiyo. 
GEN.2.3	Ci Lubaŋa omiyo gum i kom nino me abiro, olonyo obedo maleŋ, pien i kom nino meno en aye Lubaŋa yam oywe iye i kom ticce ducu ma en obedo ka tiyo me keto lobo.
GEN.2.4	Man aye acakki nya pa kwa gin ma i polo ki i lobo i kare ma giketogi kwede.
GEN.2.4	I nino meno ma Rwot Lubaŋa otiyo iye polo ki lobo-ni, 
GEN.2.5	yat mo me tim onoŋo peya tye i wi lobo, onoŋo doo mo pud pe ma otwi wi lobo, onoŋo Rwot Lubaŋa peya omiyo kot ocwer i lobo, dok onoŋo peya tye dano mo ma puro lobo; 
GEN.2.6	ento lupu ocako duny malo, ci obido lobo ducu. 
GEN.2.7	Ci Rwot Lubaŋa ocweyo dano ki apwa me ŋom, okuto yamo me yweyo i ume, dano odoko gin makwo.
GEN.2.8	Rwot Lubaŋa opito yadi i poto ma tye i Eden, tuŋ wokceŋ: en aye oketo iye dano ma en ocweyo-ni. 
GEN.2.9	Dok Rwot Lubaŋa omiyo yadi gutwi i ŋom, kwa yadi ducu mamwonya ma neno ber, ki mabeco me acama, dok oketo yat me kwo i dye poto bene, ki yat me ŋeyo gin maber ki marac.
GEN.2.10	Kulu yam onoŋo mol a ki i Eden, ma kelo pii i poto, iye opokke ki kunnu, odoko kulu aŋwen. 
GEN.2.11	Nyiŋ kulu mukwoŋone Picon; en aye kulu ma mol rumo lobo Kavila ducu, ma a iye jabu. 
GEN.2.12	Jabu ma tye i lobo meno beco; odok yat ma gilwoŋo bedola ki got onik tye kunnu bene. 
GEN.2.13	Nyiŋ kulu me aryone Gikon, ma orumo lobo ducu me Kuc. 
GEN.2.14	Ki nyiŋ kulu me Taigric; mol dok tuŋ wokceŋ me Aciria. Ki kulu me aŋwenne Euprate.
GEN.2.15	Rwot Lubaŋa otero dano, oketo i poto Eden wek opur, dok ogwok bene, 
GEN.2.16	ci Rwot Lubaŋa ociko dano ni, “Yadi ducu ma tye i poto, camgi macalo imito; 
GEN.2.17	ento yat me ŋeyo gin maber ki marac pe icam, pien i nino ma ibicamo iye, en aye ibito iye bene.”
GEN.2.18	Ka doko Rwot Lubaŋa owaco ni, “Pe ber dano obed kene; abitimo lakony ma romme.” 
GEN.2.19	Ci Rwot Lubaŋa ocweyo lee tim ducu ki winyo ducu me polo, nia ki i ŋom, okelogi bot dano me neno kit ma ebicako ki nyiŋgi. Kit ma yam dano ocako ki nyiŋ gin makwo acel acel ducu, en aye obedo nyiŋgi. 
GEN.2.20	Dano ocako nyiŋ lee ma paco ducu, ki winyo me polo, ki lee tim ducu; ento lakony pa dano ma romme aye onoŋo pud pe onen. 
GEN.2.21	Rwot Lubaŋa omiyo nino madwoŋ omako waŋ dano; ka en tye ka nino, ci okwanyo cogo lak ŋete acel, omwono waŋe woko ki riŋo. 
GEN.2.22	Ci cogo ma Rwot Lubaŋa okwanyoni ocweyo odoko dako, ka okelo bote. 
GEN.2.23	Dano owacci,
GEN.2.23	“Man aye cogo mua i cogona kikome,
GEN.2.23	ki riŋo bene mua i riŋona kikome;
GEN.2.23	gibilwoŋo nyiŋe ni Dako,
GEN.2.23	pien gikwanyo ki i kom Laco.”
GEN.2.25	I kare meno laco ki dakone onoŋo pud gibedo munero ma lewic pe makogi.
GEN.3.2	Dako otito ki twol ni, “Watwero camo nyig yadi ducu ma tye i poto-ni, 
GEN.3.3	ento Lubaŋa ociko ni, ‘Pe wubicamo nyig yat ma tye i dye poto, pe wugud kome bene, wek pe wuto.’ ” 
GEN.3.4	Ci twol owaco ki dako ni, “Pe wubito. 
GEN.3.5	Pien Lubaŋa ŋeyo ni, ka wucamo, ci waŋwu biyabbe woko, ci wubidoko calo Lubaŋa, miyo wuŋeyo gin maber ki marac.” 
GEN.3.6	Ka dako oneno ni yat-te ber me acama, dok nen mwonya bene, dok yat meno ber, cwiny dano pyette i kome, pien miyo gidoko ryek, ci opwono nyige, ocamo; omiyo mogo bot cware, ci ocamo.
GEN.3.7	Gin aryo ducu wangi oyabbe woko, gucako ŋeyo ni kara gitye munero, ka gukwoyo pot olam guruko i pyergi.
GEN.3.8	Ka guwinyo Rwot Lubaŋa woto i poto i kare ma ceŋ okwe, ci dano ki dakone gukanne woko i nyim Rwot Lubaŋa i kin yadi ma tye i poto. 
GEN.3.9	Ci Rwot Lubaŋa olwoŋo dano kun wacce ni, “In mono it ye kwene, kaa?” 
GEN.3.10	En ogamo ni, “Awinyo ka iwoto i poto, ci lworo omaka, pien atye munero, akanne woko.” 
GEN.3.11	Dok openye aye ni, “Aŋa ma doŋ otitti ni it ye munero? Ityeko camo nyig yat ma onoŋo aciki ni pe icam-mi ce?” 
GEN.3.12	Dano ogamo ni, “Dako ma imiya ni obed kweda-ni aye omiya nyig yat meno, ci acamo.” 
GEN.3.13	Rwot Lubaŋa dok openyo dako ni, “Man kono itimo piŋo?” Dako ogamo ni, “Twol aye obwola, omiya acamo.” 
GEN.3.14	Rwot Lubaŋa owaco bot twol ni,
GEN.3.14	“Pien in aye itimo man,
GEN.3.14	giceno in makato lee ma paco ducu,
GEN.3.14	ki makato lee tim ducu.
GEN.3.14	Ibilak, iywane piny ki ii,
GEN.3.14	dok ibicamo apwa
GEN.3.14	i kare me kwoni ducu.
GEN.3.15	ki i kin likwayi ki Likwaye;
GEN.3.15	en bigoyo wii,
GEN.3.15	in ibitoŋo opunye.”
GEN.3.16	Ki bot dako owacce ni, “Abimeddi arem matek i kare me owacci, nyodo; ibinywalo litino ki arem, cwinyi bipyette i kom cwari dok en aye biloyi.” 
GEN.3.17	Ki bot Adam owacce ni,
GEN.3.17	“Pien in aye iwinyo dog dakoni,
GEN.3.17	ci icamo nyig yat
GEN.3.17	ma aciki iye ni, ‘Pe icam’,
GEN.3.17	giceno lobo piri: ibicamone ki aroma
GEN.3.17	i kare me kwoni ducu.
GEN.3.18	Loboni biceko okuto ki ocok,
GEN.3.18	ibicamo pot dek ma i tim.
GEN.3.19	Ibicamo kwon ki kwok ma cwer
GEN.3.19	ki i tur nyimi,
GEN.3.19	nio ka ibidok i ŋom,
GEN.3.19	kit ma con gikwanyi ki iye; in apwa,
