MAT.1.1	Pèci né pâr̂â bèmûû Ièsu Kérisö, mör̂u David, wè mör̂u Abérahama.
MAT.1.2	Abérahama wè na ër̂i Isaka; Isaka wè na ër̂i Iakobo; Iakobo wè na ër̂i Juda mâ pâr̂â pâvâdii-e; 
MAT.1.3	Juda wê na ër̂i Pérèsi mâ Séra xè-i Tamar; Pérèsi wè na ër̂i Ésérona; Ésérona wè na ër̂i Arama; 
MAT.1.4	Arama wè na ër̂i Aminadab; Aminadab wè na ër̂i Nasona; Nasona wè na ër̂i Salamona; 
MAT.1.5	Salamona wè na ër̂i Bwêya xè-i Rahaba; Bwêya wè na ër̂i Obéda xè-i Ruth; 
MAT.1.6	Obéda wè na ër̂i Jésé; Jésé wè na ër̂i David ör̂ökau.
MAT.1.6	David ör̂ökau, wè na ër̂i Solomona, xè-i kui Uria; 
MAT.1.7	Solomona wè na ër̂i Roboama; Roboama wè na ër̂i Abia; Abia wè na ër̂i Asafa; 
MAT.1.8	Asafa wè na ër̂i Josafata; Josafata wè na ër̂i Jorama; Jorama wè na ër̂i Oséia; 
MAT.1.9	Oséia wè na ër̂i Jotama; Jotama wè na ër̂i Akasa; Akasa wè na ër̂i Ésékias; 
MAT.1.10	Ésékias wè na ër̂i Manassé; Manassé wè na ër̂i Amona; Amona wè na ër̂i Joséia; 
MAT.1.11	Joséia wè na ër̂i Jékonia mâ pâr̂â pâvâdii-e, tèi ö nédaa né pè gu-r̂é na Babilona.
MAT.1.12	Na wê cowa na ké pè gu-r̂é na Babilona, na bör̂i ër̂i Salathiel na Jekonia; aè Salathiel wè na ër̂i Zorobabèla; 
MAT.1.13	Zorobabèla wè na ër̂i Abiuda; Abiuda wè na ër̂i Éliakéima; Éliakéima wè na ër̂i Asora; 
MAT.1.14	Asora wè na ër̂i Sadoka; Sadoka wè, na ër̂i Akéima; 
MAT.1.15	Akéima wè na ër̂i Éliuda; Éliuda wè na ër̂i Éléasara; Éléasara wè na ër̂i Mathana; Mathana wè na ër̂i Iakobo; 
MAT.1.16	Iakobo wè na ër̂i Ioséfa kui Maria, ökâré bwè-ré ër̂i Ièsu, é ye néé-é Kérisö.
MAT.1.17	Ökâré pâr̂â cî kani-ré, rhavûû xè-i Abérahama cêmè rö pwar̂a David, wè na pârör̂ö na ma kavùè na pâr̂â cî kani, aè rhavûû rèi David cêmè rèi ö ké pè xé-r̂é na Babilona, wè na pârör̂ö na ma kavùè na pâr̂â cî kani, aè rhavûû ké pè xé-r̂é na Babilona cêmè rö pwar̂a Kérisö, wè na pârör̂ö na ma kavùè na pâr̂â cî kani.
MAT.1.18	Ökââ nô né ké ër̂i Ièsu Kérisö. Na wê mör̂ö na nô i pâni-e Maria mâ Ioséfa, aè cur̂u da tö vi tö vèâi, na bör̂i tö vèa, wè na tâwé na ce xè-i Ko-Ar̂ii. 
MAT.1.19	Aè kâmö ka târi na Ioséfa kui-e, wè na da bar̂i êr̂ê vèa-è rö némèè pâr̂â kâmö, aè na tâ néxâi êr̂ê nè yè virai-e uyûi. 
MAT.1.20	Na mö ké tâ néxâi ûr̂û-ré, tö rhûû, na tö vèa yè-è rö ngëxë na angéla i Ör̂ökau, na bör̂i êr̂ê yè-è, êr̂ê: «Ioséfa, o i David, koa yè bar̂a rai pè Maria vè kui-i, wè na wê tâwé xè-i Ko-Ar̂ii. 
MAT.1.21	Nè yè ër̂i na ce o yar̂i, gè yè mâ ye néé-é, êr̂ê Ièsu, nè yè mâ vi na ce na ka pè mör̂u pâr̂â pâvâdii-e xè-i pâr̂â yerii xé-r̂é.»
MAT.1.22	Na waa pâr̂â kââ-ré wânii cè ki yexèvè nô ré na êr̂ê na Ör̂ökau rö-i pérövéta, êr̂ê:
MAT.1.23	«Tö rhûû, nè yè tâwé na bwè dowa, nè yè mâ ër̂i o yar̂i,
MAT.1.23	É yè mâ ye néé-é Émanuéla.»
MAT.1.23	Ökââ nô-né: «Na wê tö pwar̂a-ré na Bâô.»
MAT.1.24	Na bör̂i tâ rhî na Ioséfa xè kaa kur̂u xi-e, na bör̂i waa ûr̂û pâr̂â kââ ré na jöwir̂i yè-è na angéla i Ör̂ökau, mâ pè kui-e. 
MAT.1.25	Cur̂u da tö vi tö vèâi cêmè rèi ö ké ër̂i xi-e o yar̂i wi, na bör̂i ye néé-é êr̂ê Ièsu.
MAT.2.1	É wê ër̂i Ièsu rö Bétéléma rö Juda, rèi pâr̂â nédaa i Héroda ör̂ökau, tö rhûû, wè cér̂é bör̂i pwa na pâr̂â mâgöi, wè cér̂é mi xè-ye-a na Iérusalèm, 
MAT.2.2	cér̂é bör̂i cêmè vi ërëwaa, êr̂ê: «Âri kâmö ré é ër̂i-e cè ki ör̂ökau i pâi xè Juda? Wè gèvé wê tö rhûû mi xè-ye-a âr̂âwir̂è xi-e, wè gèvé wê pwa mi na ka tâ nôô yè-è.» 
MAT.2.3	Na wê tö pwêr̂ê na Héroda ör̂ökau, na vi wâré mâ wâré na ce, cér̂é pâi xè Iérusalèm wânii. 
MAT.2.4	Na bör̂i kâ vèâi wânii na ce pâr̂â kâmö paxa vi kwéjî rai pâi paxa nâânévâ mâ pâr̂â kâmö ré vi yu pèci né névâ, na bör̂i ërëwaa-r̂é na ce, êr̂ê: “É ër̂i Kérisö rö-wè?” 
MAT.2.5	Cér̂é bör̂i êr̂ê yè-è, êr̂ê: «Tö Bétéléma rö Juda cè ki ûr̂û ka yu i mâ' xiréé pérövéta, êr̂ê:
MAT.2.6	“Gèi Bétéléma, névâ rö Juda,
MAT.2.6	Gè da yar̂i aau rai paxa winô rö Juda;
MAT.2.6	Nè yè mâ pwa rö pwar̂a-i na kâmö ka vi winô,
MAT.2.6	Nè yè mâ vi na ka ër̂i pâr̂â kâmö xi-nya rö Israèl.”»
MAT.2.7	Héroda wè na wê cowa aʼyè uyûi pâr̂â mâgöi, na tâ pâwir̂i wa nédaa né ké tö vèa i âr̂âwir̂è. 
MAT.2.8	Na bör̂i tùr̂ùwaa-r̂é na Bétéléma, na bör̂i êr̂ê yè-r̂é, êr̂ê: «Vèr̂i na gëve na ka mèyè-è nô né o yar̂i, gëve bör̂i pwa yèr̂i-e, mâ êr̂ê yè-nya tëë, cè göi vèr̂i bar̂ee na ka tâ nôô yè-è.»
MAT.2.9	Cér̂é wê pwêr̂ê nô i ör̂ökau, cér̂é bör̂i wê vi tö rhûû âr̂âwir̂è ré cér̂é wê tö rhûû mi mâ' xiréé xè-ye-a, wè na vi baayêr̂î némèè-r̂é, cêmè rö ö kââ-ré na tö vër̂ëë yè o yar̂i, na bör̂i tömâ rö-i. 
MAT.2.10	Cér̂é tö rhûû âr̂âwir̂è, cér̂é bör̂i vi or̂o vè kau. 
MAT.2.11	Cér̂é bör̂i pwa ru rö mwâ, cér̂é vi tö rhûû o yar̂i mâ Maria pâni-e, cér̂é bör̂i rhawir̂i-r̂é mâ pè kau-é, cér̂é bör̂i cîî mwâ nékwêêr̂ê-r̂é, mâ nââ yè-è pâr̂â kwââvâr̂â xé-r̂é, mwâné mii mâ borhêê mâ muro. 
MAT.2.12	Na wê cowa pè bwayûi-r̂é na Bâô rö ngëxë, êr̂ê, koa yè vi tëë na pwar̂a Héroda, cér̂é bör̂i vi a mwâr̂â na névâ xé-r̂é rö-i dèxâ wêyê.
MAT.2.13	Cér̂é bör̂i wê vi, tö rhûû, na bör̂i tö vèa yè Ioséfa na angéla i ör̂ökau rö ngëxë, na bör̂i êr̂ê yè-è êr̂ê: «Tömâ rua, mâ pè vèr̂i o yar̂i mâ pâni-e, mâ ör̂ö xar̂a-r̂u na Aigupito, mâ tö-i cêmè rèi ö nédaa ré gö yè mâ pè bwayûi-i rèi, wè nè vi na Héroda na ka mèyè o yar̂i cè ki yö vè mii-e.» 
MAT.2.14	Na bör̂i tömâ rua na ce, mâ rhèè o yar̂i mâ pâni-e tèi bwê na Aigupito. 
MAT.2.15	Na bör̂i tö-i kwéyë rua rèi ö nédaa ré na mé rèi na Héroda, na bör̂i yexèvè ö nô ré na êr̂ê mâ' xiréé na ör̂ökau, wêyê na pérövéta, êr̂ê: «Gö wê cowa aʼyè o xi-nyâ mi xè Aigupito.»
MAT.2.16	Na wê tâwai na Héroda, cér̂é vi aʼnévua yè-è na pâr̂â mâgöi, na bör̂i rhôê vè kau mâmâ, na bör̂i kâ vè târi ké yè vi yö vè mii pâr̂â o yar̂i wânii rö Bétéléma, mâ pâr̂â wêê mwâ wânii ka tö vè ubwa, na bör̂i rhavûû rö-i cî kani ka kaar̂u na nédö xé-r̂é, na bör̂i a cêê yè pâr̂â o yar̂i aau, cè ki ûr̂û rèi ö nédaa-ré na ërëwaa e mâ pâr̂â mâgöi rèi na ce. 
MAT.2.17	Na bör̂i yexèvè na ké êr̂ê i Iérémia pérövéta, êr̂ê:
MAT.2.18	«É pwêr̂ê mêr̂ê tââ rö névâ rö Rama
MAT.2.18	Mâ tââ yimémé mâ vi nénââwêr̂ê vè kau,
MAT.2.18	Wè Rakéla, wè na tâârùù pâr̂â pâlè-è,
MAT.2.18	Na bör̂i viö rai tââmêr̂ê, wè na wê yèri-r̂é röi.»
MAT.2.19	Na wê mé na Héroda, tö rhûû, wè na bör̂i tö vèa yè Ioséfa na angéla i Ör̂ökau rö ngëxë rö névâ rö Aigupito. 
MAT.2.20	Na bör̂i êr̂ê yè-è, êr̂ê: «Tömâ rua, mâ pè vèr̂i o yar̂i mâ pâni-e na névâ rö Israèl, wè cér̂é wê mé na pâi ré vi mèyè mâ o yar̂i cè ké-r̂é yö vè mii-e.» 
MAT.2.21	Na bör̂i tömâ rua, mâ pè o yar̂i mâ pâni-e, mâ vi na névâ rö Israèl. 
MAT.2.22	Aè na bör̂i pwêr̂ê na ce, êr̂ê, na ör̂ökau xè Juda na Arékélao, pè bawi Héroda pevaa xi-e, na bör̂i bar̂a rai vi nai, wè na wê cowa ké pè bwayûi-e rö ngëxë, na bör̂i vi teyâ na ce na ékar̂aè rö Galilé. 
MAT.2.23	Na bör̂i pwa rö dèxâ névâ ré néé-é na Nazarèt, na bör̂i tö-i cè ki yexèvè pâr̂â nô ré cér̂é êr̂ê mâ na pâr̂â pérövéta, êr̂ê: «É yè ye néé-é, êr̂ê, wi xè Nazarèt.»
MAT.3.1	Tèi pâr̂â nédaa-ré, na bör̂i pwa na Ioané-Batiyi, na bör̂i vi vaa rö nékaê rö Juda. 
MAT.3.2	Na bör̂i êr̂ê, êr̂ê: «Vipââr̂i na gëve, wè na wê tö vè ubwa na mwâcir̂i xè nékö.» 
MAT.3.3	Wi ré na êr̂ê na Isaia pérövéta, êr̂ê:
MAT.3.3	«Mêr̂ê aʼ i ö kâmö ré aʼ rö nékaê, na êr̂ê, êr̂ê,
MAT.3.3	Waa e wêyê i Ör̂ökau,
MAT.3.3	Rhôôr̂u vè târi wêyê xi-e!»
MAT.3.4	Ökâré Ioané wè na cur̂i mêr̂ê pûr̂û kaméla, na bör̂i pönémui kâr̂â bwâr̂âwê. Néara-è na kör̂éé mâ dörö rö néxö. 
MAT.3.5	Cér̂é bör̂i ua-è mi na pâr̂â kâmö xè Iérusalèm mâ Juda wânii, mâ pâr̂â névâ ka tö vè ubwa i Ioridanô, 
MAT.3.6	na bör̂i batiyi-r̂é na ce rö kar̂ö rhëë Ioridanô, wè cér̂é êr̂ê vèa yè pâr̂â nô ka yaané xé-r̂é.
MAT.3.7	Na bör̂i tö rhûû na ce pâr̂â farésaiö mâ pâr̂â sadukaiö pa pôr̂ô, cér̂é ua mi vi batiyi xi-e, na bör̂i êr̂ê yè-r̂é, êr̂ê: «Pâr̂â pâlè mârhùr̂ii éé, wîr̂î ré pè bwayûi-ve cè ke-ve ör̂ö rai ö rhôê ré yè pwa? 
MAT.3.8	Pwa na gëve pwêê cè ki ûr̂û vipââr̂i, 
MAT.3.9	aè koa yè tâ néxâi mâ êr̂ê rö pwéé-ve, êr̂ê: “Abérahama pevaa xé-ré!” Wè, gö êr̂ê yè-ve, êr̂ê, na tâwai na Bâô ki yè pè tuö pâlè Abérahama xè-i pâr̂â pèyaa-a. 
MAT.3.10	É wê cowa nââ gi rö pwar̂a pûû kêê, pâr̂â kêê ré da pwa e, é yè rharher̂e virai, mâ yer̂e ö kêmör̂u. 
MAT.3.11	Gènyâ, wè gö batiyi-ve i rhëë cè gëve vipââr̂i, aè ö kâmö ré mi rhaadè-nya, wè nè yè vi kwéjî rai-nya, gövu da virù cè göi pè duö mwâ néxar̂a â-ê. Nè yè mâ batiyi-ve na ce i Ko-Ar̂ii mâ kêmör̂u. 
MAT.3.12	Na tö néxar̂a â-ê na pè ku vè puu, nè yè mâ vi na ka nyââmöi e bélé rö ka lai, mâ kâ vèâi vè rhaaxâ bélé yè pwêê kaaxür̂ü xi-e, aè nè yè mâ kèr̂i pâr̂â ùùr̂ù rö kêmör̂u ka da tâwai mé.»
MAT.3.13	Na bör̂i vi na Ièsu na Ioridanô, na mi xè Galilé wa Ioané cè ki batiyi-e. 
MAT.3.14	Na bör̂i aʼlawir̂i-e na Ioané, mâ êr̂ê: «Na dö kââ yè-nya na gèi batiyi-nya, aè gè yè bör̂i a ua-nya mi na gèi?» 
MAT.3.15	Na bör̂i kurher̂e yè-è na Ièsu, mâ êr̂ê yè-è êr̂ê: «Gèi dè cëi wîr̂î xina-ré, wè na virù yè-ré na ké yè rhau köiwaa röi pâr̂â câwâ ka târi wânii.» Na bör̂i wê cëi na Ioané. 
MAT.3.16	Aè é wê batiyi-e rö-i, na bör̂i vi rua xè kar̂ö rhëë na Ièsu. Tö rhûû, na bör̂i méâ na nékö yè-è, na bör̂i wê tö rhûû na ce Ko i Bâô, na cêê ria mi, na ûr̂û mawi mâ tö bwêêwé-é. 
MAT.3.17	Aè tö rhûû dèxâ mêr̂ê aʼ mi xè nékö, na êr̂ê: «Ökâré O xi-nya, wè dö wêê nénââ xi-nya, gö vi or̂o wa-è.»
MAT.4.1	Na bör̂i paur̂u Ièsu na Ko na nékaê, cè ki waa yeyèè yè-è na méavor̂a. 
MAT.4.2	Na da ara na ce kaar̂u kâmö karèè, mâ kaar̂u kâmö bwê, na bör̂i mêr̂ê. 
MAT.4.3	Na bör̂i pwa yèr̂i-e na ce ré waa yeyèè, na bör̂i êr̂ê yè-è, êr̂ê: «Gè yè o i Bâô na gèi, gèi bör̂i êr̂ê yè waanawê pâr̂â pèyaa-a, êr̂ê, cè ki var̂awa.» 
MAT.4.4	Na bör̂i kurher̂e yè-è na Ièsu: «É wê yu röi, êr̂ê: “Nè da mör̂u na kâmö xè-i var̂awa rhar̂i, rai pâr̂â nô wânii ré tù rua xè-i néwâ Bâô.”»
MAT.4.5	Na bör̂i pè xi-e na méavor̂a na névâ ka ar̂ii, na bör̂i pè cuè-è rua rö gwâ mwâ ka ar̂ii, 
MAT.4.6	na bör̂i êr̂ê yè-è, êr̂ê: «Gè yè o i Bâô na gèi, cêê ria waanawê, wè, é wê yu röi, êr̂ê:
MAT.4.6	“Nè yè vi na ce na ka vi câwâ yè pâr̂â angéla xi-e,
MAT.4.6	Cè ké-r̂é vi na ka cëi i pâr̂â néxar̂a â-r̂é
MAT.4.6	Wè wi paxè köwi-e rö pèyaa.”»
MAT.4.7	Na bör̂i kurher̂e yè-è na Ièsu, na êr̂ê, êr̂ê: «É wê yu röi bar̂ee, êr̂ê, koa yè waa yeyèè yè ör̂ökau, Bâô xi-i.»
