MAT.1.1	Ame na rɔ möyï ꞌbu löbu ꞌba Yësu Kurïsïtö kupö Dawidi kupö Abarayama.
MAT.1.2	Abarayama na köyö Yisika, Yisika na köyö Yakoba, Yakoba na köyö Yuda ni ti löndö bo ga. 
MAT.1.3	Yuda na köyö Pereze ni ti Zera ame mönnï na rɔ Tamara ne. Pereze na köyö Ezerona, Ezerona na köyö Rami. 
MAT.1.4	Rami na köyö Aminadaba, Aminadaba na köyö Nasona, Nasona na köyö Salamono. 
MAT.1.5	Salamono na köyö Bɔwaza ame ma mo rɔ Raba ne. Bɔwaza na köyö Obede ame ma mo rɔ Ruta ne. Obede na köyö Yisayi. 
MAT.1.6	Yisayi na köyö Dawidi bɔ dɔliŋɔ.
MAT.1.6	Dawidi na köyö Solomo ame ma mo rɔ makuruꞌbë pötö Uriya ne. 
MAT.1.7	Solomo na köyö Rebama, Rebama na köyö Abiya, Abiya na köyö Asa. 
MAT.1.8	Asa na köyö Yesopata, Yesopata na köyö Yorama, Yorama na köyö Uzïya. 
MAT.1.9	Uzïya na köyö Yotama, Yotama na köyö Aza, Aza na köyö Ezikiya. 
MAT.1.10	Ezikiya na köyö Manase, Manase na köyö Amona, Amona na köyö Yosiya. 
MAT.1.11	Yosiya na köyö Yekoniya ni ti löndö bo ga mï kada ꞌba tindaꞌba bilaka kari Babele.
MAT.1.12	Di pötö tindaꞌba bilaka kari Babele na Yekoniya köyö Salatele, Salatele na köyö Zerobabele, 
MAT.1.13	Zerobabele na köyö Abiyuda, Abiyuda na köyö Elekima, Elekima na köyö Azora, 
MAT.1.14	Azora na köyö Zadoka, Zadoka na köyö Akimi, Akimi na köyö Eliyuda, 
MAT.1.15	Eliyuda na köyö Elezara, Elezara na köyö Matana, Matana na köyö Yakoba, 
MAT.1.16	Yakoba na köyö Yesepa ame bo na rɔ mëꞌdë ꞌba Mariya ma ꞌba Yësu ma kïdëkï rɔ Kurïsïtö ne.
MAT.1.17	Tine ꞌbu löbu ma kisaki di zi Abarayama ŋbö kömö zi Dawidi ëdï pili ꞌbutë dɔmosowɔ. Kina ma kisaki di zi Dawidi ŋbö kömö mï kada ꞌba tindaꞌba bilaka kari Babele ëdï pili ꞌbutë dɔmosowɔ. Kina ma kisaki di mï kada ꞌba tindaꞌba bilaka kari Babele ŋbö kömö zi Kurïsïtö ëdï gbï pili ꞌbutë dɔmosowɔ.
MAT.1.18	Tine töyö Yësu Kurïsïtö na kɔzɔ a nime te. Ɔdɔ kïlïbö ma bo Mariya ꞌdeni ꞌdɔ togbe mo zi Yesepa tine gba kinza lïjë kodɔꞌbɔ dönnï dë lɔko ari kikali rönï lɔko ɔmɔ ꞌdeni ti tigɔ ꞌba Nyï Kɔtɔ Laka. 
MAT.1.19	Tine mëꞌdë nï Yesepa rɔ bɔ lende laka, kina bo oꞌdɔkɔ dë ꞌdɔ tuburu lɔko kɔmɔ bilaka ma konzi. Kina bo komeri ŋgï ꞌdɔ tope lɔko lowo. 
MAT.1.20	Kina ɔdɔ bo koꞌdɔ meri mo ꞌdeni tara tine, Bɔkoꞌba iꞌdi nyï koꞌde ŋgï dɔ bo kina malayika ꞌba Bɔkoꞌba kilende zi bo, iya te, “Yesepa kupö Dawidi, kinza kere dë di bi togba Mariya zïyï liŋɔ rɔ ꞌja ꞌbï. Römöyï kole nima mïnï ne Nyï Kɔtɔ Laka na kiꞌdi lɔko kɔmɔ. 
MAT.1.21	Lɔko ti köyö kole kina ti kïdëkï möyï mo rɔ Yësu. Römöyï bo na ti kɔmɔ bilaka abo ga yaga di mï lende kënyë ꞌbënnï ga.”
MAT.1.22	Wa naga nime oꞌdɔ rönnï ꞌdeni ꞌdɔ këdï kɔzɔ wa ma tönë ga Bɔkoꞌba kiꞌdi bɔ kumë lende abo ga kiya ꞌdeni mɔlo ne tara. Ame kiya te, 
MAT.1.23	“Nyiti mɔtɔ gba rɔ yïtö ti kɔmɔ ꞌdeni köyö kole. Kina ti kïdëkï möyï mo rɔ Imanuwëlë.” Ame ꞌjɔ ꞌba lende ꞌba möyï nima iya te, “Bɔkoꞌba ëdï tize.”
MAT.1.24	Kina ɔdɔ Yesepa koŋgɔ bi tine bo ogbe Mariya ŋgï kɔzɔ ma malayika ꞌba Bɔkoꞌba kiya zi bo. 
MAT.1.25	Tine Yesepa ni indaꞌba dönnï dë titi ti Mariya ŋbö lɔko köyö kole. Kina bo kiꞌdi möyï mo ŋgï rɔ Yësu.
MAT.2.1	Öyö Yësu ꞌdeni Beteleme mï dɔyayi ꞌba Yudayi mï kada ꞌba Erode bɔ dɔliŋɔ. Kina bɔ lende kikali mɔtɔ ga ako ra di bïcï tɔrɔ ŋbö kömö Yerosalema. 
MAT.2.2	Lïjë ititi, tëgë, “Kole nime köyö bine rɔ ŋere ꞌba Yudayi ne, bo ëdï yala ga? Këlu abo doꞌja ꞌdeni di bïcï tɔrɔ, kina me dako tïlëlu bo.”
