MRK.1.1	Igii e tanwaran Rokap na Fafas ulo Iesu Karisito, Kalalik ke God.
MRK.1.2	Orek ke God ae Poropet Aisaia i siit ta u i tara aragii,
MRK.1.2	“Ian wuun famu tom fafas kiak lo wo,
MRK.1.2	ae in fageges sal salam.”
MRK.1.3	Kinen nenge kaltu i tautau na sunbiil aragii,
MRK.1.3	“Fageges sal sala Kumguui,
MRK.1.3	fatortores sal sala.”
MRK.1.4	Ke Jon ka tapiek na sunbiil ke ka famam baptais fanu, ke ka famam fafas sing ri le rin sokiliis liu kiri ma rik kep bapitaiso, isi God ik pa ufu foron sinang laulau kiri. 
MRK.1.5	Fan Iudaia tikii ke fanu tikii tinbae na Ierusalem ri ka la usuf i. Ri ka fapos foron sinang laulau kiri, ke Jon ka baptais ri na dan na Ioridan. 
MRK.1.6	Jon i kau na kaen ae ri tel u ini olon kamel ma ka fis lifa ini pus ae ri tel u ini punun bulmakau. Ma i ien sukuuw la ke mindu aka. 
MRK.1.7	Ma ka fafas ini orek aragii, “Kaltu ae in tapiek namih lo iau, rakrakai kia i liu kulef rakrakai kiak. I laumet kanaka lo iau ma ia fabiro kanaka lo, pesu biil i fasih ian parau ma iak puk ufu finau na su kia. 
MRK.1.8	Ia baptais gam ini dan, isau le in baptais gam ini Tanwa Kalkaluu.”
MRK.1.9	Na aunbiing ae Iesu ka la tina Nasaret na falifuh na Galili. Ma Jon ka baptais u na dan na Ioridan. 
MRK.1.10	Aunbiing Iesu ka aptih tina dan, ka par kukulii ka sapsapeng la ma Tanwa Kalkaluu ka puh arae bun ulo. 
MRK.1.11	Ke kinen tikas ka orek tinbae na kukulii aragii, “O keng Kalalik ae ia ier kanaka isi wo. Ia laes kanaka ini wo.”
MRK.1.12	Ma fanpil, Tanwa Kalkaluu ka lame ufu una sunbiil. 
MRK.1.13	Ka kiis pes ifet e sangful e biing ma Satan ka tof u. Foron aka sabin tinaiwa, isau le foron angelo ri ka la ma ri ka famam lupes u.
MRK.1.14	Aunbiing ri ka luun ta Jon na felun kamkabet, Iesu ka la una Galili ma ka fafas ini Rokap na Fafas ke God. 
MRK.1.15	Ke Iesu ka tarah, “Aunbiing ka tapiek tah, matanfuntih ke God ka fatat, gamen sokiliis liu kimi ma gamek unune na Rokap na Fafas.”
MRK.1.16	Na aunbiing Iesu i tole bulin dan kawil na Galili, ka par Saimon ru latualik e Enru ru linlin ubiin la na dan, wara le ru un tom ienmaket. 
MRK.1.17	Iesu ka fas ruh aragii, “Kamu mi lo iau isi iak fausum kamuh ini sinangun dat fanu.” 
MRK.1.18	Fanpil ru ka la koseng foron ubiin kiruh ke ru ka mi lo Iesu.
MRK.1.19	Iesu i la ituul sau ke ka par iun kalalik ke Sebedi, Jems ru latualik e Jon. Ru tumarnge foron ubiin kiruh la awii na palgan mon. 
MRK.1.20	Fanpil Iesu ka tawi pes ruh, ke ru ka kang koseng tama ruh turan foron tom foim kiri aiwa na mon, ma ru ka mi lo Iesu.
MRK.1.21	Ri ka la una Kapernaum, ma na Biingen Mangeh, Iesu ka kau una felun lotu ma ka tipes fausum fanu. 
MRK.1.22	Fanu tikii ae ri ongen fafausum kia ri ka bitit, wara le biil i fausum ri arae foron tom fafausum ini nagogon ri fausum ri la. Biil. I fausum ri aragii kaltu ae God tom i ta rakrakai usuf i. 
MRK.1.23	Na aunbiing ae, nenge kaltu ae tanwa laulau i susuef ta u lo, tinaiwa na felun lotu, ke tanwa laulau ae ka perek aragii, 
MRK.1.24	“Iesu tina Nasaret! Sanih on tel u ini kemem? O la isi on falaulau kemem? Ia usum le wo e seh. O e Kaltu Kalkaluu ke God.”
MRK.1.25	Ke Iesu ka ngaliaf ulo ma ka tara aragii, “Babat na ngusum ma ok suuh koseng kaltu ae.” 
MRK.1.26	Tanwa laulau ae ka gule falaulau kaltu ae, ka lala ngangeh ke ka suuh koseng u.
MRK.1.27	Ke fanu tikii aiwa ri ka bitit ke ri ka fadiik faliu ini ri aragii, “Sanih igii? Nenge fafausum fuuh? Kaltu igii i mel e rakrakai kia una nagogon ufu foron tanwa laulau ma ri wong la tom sing i.” 
MRK.1.28	Ma fanpil, ususe lo Iesu ka sararah na foron falifuh tikii na Galili.
MRK.1.29	Fanpil, Iesu turan berberat na fafausum kia ri ka suuh tina felun lotu, ke ri ka la tura Jems ru e Jon una fel ke Saimon ru e Enru. 
MRK.1.30	Tina antu Saimon i gogor, ma ka borong na sala, ke ri ka fas Iesu ini. 
MRK.1.31	Ke Iesu ka la usuf i ka pose na lima ke ka faptih u. Ke sasem ka rop koseng u ke ka tipes sok inen ari.
MRK.1.32	Aunbiing pisiih ka sup tah na efef, ke fanu ri ka filange fanu tikii ae ri sasem, ke fanu tikii ae tanwa laulau i susuef ta ulo ri usuf Iesu. 
MRK.1.33	Ke fanu tikii na tara maleh ri ka tapiek turim una matan fel ae. 
