MAT.1.1	Libri i gjeneallogjisë Iesu Krishtit, birit Davidit, birit Abrahamit.
MAT.1.2	Abrahamit i leu Isaaku, e Isaakut i leu Iakobi, e Iakobit i leu Iuda, edhe të vëllazënit e vet,
MAT.1.3	e Iudës’ i leu Faresi edhe Zara prei Thamarësë, e Faresit i leu Esromi, e Esromit i leu
MAT.1.3	Arami,
MAT.1.4	e Aramit i leu Aminadabi, e Aminadabit i leu Naassoni, e Naassonit i leu Salmoni,
MAT.1.5	e Salmonit i leu Boozi prei Rababësë, e Boozit i leu Obedi prei Ruthësë, e Obedit i
MAT.1.5	leu Iesseu,
MAT.1.6	e Iesseut i leu Davidi mbëreti.
MAT.1.7	E Davidit mbëretit i leu Solomoni prei 
MAT.1.8	e Asait i leu Iosafati, e Iosafatit i leu Iorami, e Ioramit i leu Ozia,
MAT.1.9	e Ozisë i leu Ioathami, e Ioathamit i leu Ahazi, e Ahazit i leu Ezekia,
MAT.1.10	e Ezekisë i leu Manassi, e Manassit i leu Amoni, e Amonit i leu Iosia,
MAT.1.11	e Iosisë i leu Iehonia edhe të vëllazënit’ e vet, mbë të shpërngulmen’ e Babylonisë.
MAT.1.12	Edhe mbas të shpërngulmesë Babylonisë, Iehonisë i leu Salathieli, e Salathielit i leu Zorobabeli;
MAT.1.13	e Zorababelit i leu Abiudi, e Abiudit i leu Eliakimi, e Eliakimit i leu Azori.
MAT.1.14	e Azorit i leu Sadoku, e Sadokut i leu Ahimi, e Ahimit i leu Eliudi.
MAT.1.15	e Eliudit i leu Eleazari, e Eleazarit i leu Matthani, e Matthianit i leu Iakobi.
MAT.1.16	e Iakobit i leu Iosefi, burri i Marisë, prei të cillësë leu Iesui, qi thohetë Krisht.
MAT.1.17	Gjithë brezatë pra, prei Abrahamit deri mbë 
MAT.1.18	Edhe të lemit’ e Iesu-Krishtit kështu ka qenë: Maria, e ama e ati, mbassi u fejue me Iosefinë, para se të bashkoheshinë, u gjind me barrë prei Shpirtit Shenjt.
MAT.1.19	Edhe Iosefi burr’ i asai, tue qen’ i dreitë, e s’donte me i nxierrë zaninë për të keq, deshi me e lishuem pshefas.
MAT.1.20	Por ai kur ishte tue menduem këto 
MAT.1.21	Edhe ka me piellë bir, edhe ke me ia thirrë emëninë Iesu, sepse ai ka me shpëtuem popullin’ e vet prei fajevet atyne.
MAT.1.22	(Edhe gjithë këjo u ba, qi të mbushetë qish ashtë thanë prei Zotit me anë të profetit, qi thoshte:
MAT.1.23	“Qe virgjinesha te do të mbarsetë, edhe do të pielli bir, edhe do t’ia thërrasin’ emënin’ Emmanuel”, qi ajo, këthyem, do me thanë, Perëndia bashkë me ne.)
MAT.1.24	Edhe Iosefi si u çue prei gjumit, bani sikurse e urdhënoi engjull’ i Zotit, edhe muer përanë vetëhesë gruen’ e vet,
MAT.1.25	edhe nuk’ e ngjofi, deri sa puell të birin’ e vet dialin’ e parë, edhe ia thirri emëninë IESU.
MAT.2.1	Edhe Iesui mbassi leu ndë Bethleem të Iudesë, ndë ditt të mbëretit Herodit, qe ku erthnë ndë Ierusalemë do magji prei të Lemit diellit,
MAT.2.2	e thoshinë: Ku ashtë mbëreti i Iudevet, qi ka lemë? Sepse pam yllin’ e ati ndë të Lemit diellit, edhe erthmë me e adhuruem.
MAT.2.3	Edhe mbëreti Herodi kur ndëgjoi, u përzie, edhe gjithë Ierusalema bashkë me atë.
MAT.2.4	Edhe si mbëlodhi gjithë Kryepriftënit’ edhe Shkruisit’ e popullit, pyeste me marrë vesht prei atyneve, ku leu Krishti.
MAT.2.5	Edhe ata i thanë: Ndë Bethleem të Iudesë, sepse kështu ashtë shkruem prei anësë profetit:
MAT.2.6	“Edhe ti Bethleem, dheu i Iudesë, as-pak nukë je e vocërr ndër zotënit e Iudesë, sepse prei teje ka me dalë 
MAT.2.7	Atëherë Herodi thiri pshefas magjitë, e muer vesht mirë prei atyneve kohën’ e yllit, qi ishte dukunë.
MAT.2.8	Edhe i dërgoi ndë Bethleem, e tha: Shkoni, e shikoni mirë për dialinë, edhe mbassi ta gjeni, më nepni za, qi të vij edhe unë me e adhuruem.
MAT.2.9	Edhe ata si ndëgjuenë mbëretinë, votnë, edhe qe ylli, qi panë ndë të Lemit diellit, te po printe përpara atyneve, deri sa erdhi, e ndeiti sipër ku ishte diali.
MAT.2.10	Edhe 
MAT.2.11	Edhe si erthnë ndë shtëpit, gjetnë dialinë bashkë me Marinë t’amënë, edhe ranë mbë dhe, e adhuruenë, edhe hapnë thesoret’ e veta, e i prunë dhunëtia, ar, e kem, e mirrë.
MAT.2.12	Edhe si u diftue 
MAT.2.13	Edhe ata mbassi iknë, qe engjull’ i Zotit tek i duketë nd’andërrë Iosefit, e i thotë: Çohu, e merr me vetëhe dialin’ edhe t’amën’ e ati, edhe ikë ndë Misir, edhe ndalu atie, deri kur të thom, sepse Herodi ka me kërkuem dialinë për me e prishunë.
MAT.2.14	Edhe ai u çue, e muer me vetëhe dialin’ edhe t’amën’ e ati natënë, edhe iku ndë Misir;
MAT.2.15	edhe ndeiti atie deri mbë vdekët të Herodit, për me u mbushunë qish ashtë thanë prei Zotit me anë të profetit, qi thoshte: “Prei Misirit thirra t’em bir”.
MAT.2.16	Atëherë Herodi, kur pa se u gënjye prei magjivet, u zemërue tepërë; edhe dërgoi, e vrau gjithë dielmtë qi ishinë ndë Bethleem, e ndëpër gjithë nahiet e asai, prei dy vieç e teposhtë, mbas kohësë qi muer vesht mirë prei magjivet.
MAT.2.17	Atëherë u mbush qish ashtë thanë prei profetit Ieremisë, qi thoshte:
MAT.2.18	“U ndëgjue za ndë Rama, dënesë, e të qjamë, e anëkim shumë: Rahela qjante dielmt’ e vet, edhe s’donte me u ngushulluem, sepse nukë janë”.
MAT.2.19	Edhe si vdiq Herodi, qe engjull’ i Zotit tek i duketë nd’andërrë Iosefit ndë Misir, e i thotë:
MAT.2.20	Çohu, e merr me vetëhe dialin’ edhe t’amën’ e ati, edhe shko ndë dhe të Israelit, sepse kanë vdekun’ ata qi kërkoishinë jetën’ e dialit.
MAT.2.21	Edhe ai u çue, e muer me vetëhe dialin’ edhe t’amën’ e ati, edhe erdhi ndë dhe të Israelit.
MAT.2.22	Por kur ndëgjoi se Arqelau po mbëretënon ndë Iudet, ndë vend të Herodit të i atit, pat frikë me votun’ atie, por si iu sbulue nd’andërrë prei Perëndisë, iku nd’anët të Galilesë,
MAT.2.23	edhe erdhi, e nguli ndë 
MAT.3.1	Edhe nd’ato ditt vien Gjionn pagëzori, tue predikuem ndë shkreti të Iudesë,
MAT.3.2	e tue thanë: Pendohi, sepse u afrue mbëretënia e qillvet.
MAT.3.3	Sepse kyi asht’ ai qi u fol prei profetit Isaisë, qi thoshte: “Zan’ i ati qi bërtet ndë shkreti. Bani gati udhën’ e Zotit, bani rrugat’ e ati të dreita”.
MAT.3.4	Edhe ai Gjionni kishte të veshunit’ e vet prei qimesh kamillesë, edhe bres likure për miedis të vet; edhe ushqim’ i ati ishte karcaleca, edhe mialtë të egër.
MAT.3.5	Atëherë dilte jashtë tek ai Ierusalema, edhe gjithë Iudea, edhe gjithë nahia e Iordanit.
MAT.3.6	Edhe pagëzoheshinë prei ati ndë Iordan, tue rrëfyem fajet’ e veta.
MAT.3.7	Edhe kur pa se po vijshinë shumë 
MAT.3.8	Bani pra pemë të vëjefshuna për pendim,
MAT.3.9	edhe mos u duketë juve me thanë me vetëhenë tuei, 
MAT.3.10	E tashti edhe sopata rri përmbi rrajët të druvet: çdo dru pra qi s’ban pemë të mirë, pritet’ edhe hidhetë ndë ziarrm.
MAT.3.11	Un’ u pagëzoj juve me ujë për pendim, por ai qi vien mbas meje, ashtë ma i fortë se unë, të cillit s’jam i zoti me i mbaitunë këpucëtë; ai do t’u pagëzojë juve me Shpirtinë Shenjt, edhe me ziarrm.
MAT.3.12	Ai ka terplotënë n’dorë të vet, edhe ka me qiruem lamën’ e vet, edhe ka me mbëledhunë grunin’ e vet ndë grunart, por kashtënë ka me e diegunë me ziarrm të pa-shuem.
MAT.3.13	Atëherë Iesui vien prei Galilesë ndë Iordan te Gjionni, për me u pagëzuem prei ati.
MAT.3.14	Por Gjionni e përmbante, tue thanë: Unë kam nevojë me u pagëzuem prei teje, e ti vien tek unë?
MAT.3.15	Edhe Iesui u përgjeq, e i tha: Lenë tashti, sepse kështu na duhetë me mbushunë çdo dreitëni. Atëherë e len.
MAT.3.16	Edhe Iesui si u pagëzue, përnjiherë duel prei ujit; edhe qe tek iu hapnë qilltë, edhe pa Shpirtin’ e Perëndisë porsi pullump tue sdrypun’ e tue ardhunë mbi atë.
MAT.3.17	Edhe qe tek u ndëgjue 
MAT.4.1	Atëherë Iesui u pru ndë shkreti prei Shpirtit, për me u ngamë prei diallit.
MAT.4.2	Edhe ai agjinoi katër-dhetë ditt e katër-dhetë nett, mbasandai i erdhi uni.
MAT.4.3	Edhe ai qi 
MAT.4.4	Por ai u përgjeq, e tha: Ashtë shkruem “Njeriu s’do të rrojë vetëmë me bukë, por me çdo farë fjale qi del prei gojësë Perëndisë”.
MAT.4.5	Atëherë dialli e merr me vetëhe ndë shenjtenë qytet, edhe e vu përmbi fletëzët të tempullit.
MAT.4.6	Edhe i thotë: Ndë qofsh i Bir’ i Perëndisë, hith vetëhenë tande poshtë, sepse ashtë shkruem, se: “Ka me urdhënuem engjujt’ e vet për tyi”, edhe: “Kanë me të ngritunë mbë duer, qi të mos përpiekish kambënë tande mbë gur”.
MAT.4.7	Iesui i tha: Përsëri ashtë shkruem - “S’ke me ngamë Zotinë Perëndinë tand”.
MAT.4.8	Përsëri dialli e merr me vetëhe mbë nji mal shumë të naltë, e i difton gjithë mbëretëniat’ e botësë, edhe laftin’ e atyne,
MAT.4.9	edhe i thotë: Kam me të dhanë këto të gjitha, ndë rafsh të më adhurojsh.
MAT.4.10	Atëherë Iesui i thotë: Ikë 
MAT.4.11	Atëherë dialli e len, edhe qe tek erthnë engjujtë përanë, e i shërbeishinë.
MAT.4.12	Edhe Iesui kur ndëgjoi, se Gjionni u dha ndër duer, iku ndë Galilet.
MAT.4.13	Edhe si la Nazaretënë, erdhi e nguli ndë Kapernaum, 
MAT.4.14	qi të mbushetë qish ashtë thanë prei profetit Isaisë, qi thoshte:
MAT.4.15	“dheu Zabulon, edhe dheu Nefthalim, 
MAT.4.16	Populli që rri ndë errësinë pa dritë të madhe; edhe leu dritë mb’ata qi rrinë ndë vend e ndë hije të vdekësë”.
MAT.4.17	Ç’atëherë Iesui filloi me predikuem e me thanë: Pendohi, sepse u afrue mbëretënia e qillvet.
