GEN.1.1	Íꞌdóngárá gá ꞌdãá, Múngú gbi ꞌbụ̃ pi vũ be. 
GEN.1.2	Vũ rĩ adri kú kána, ngá ãzi ꞌa ni gé ꞌdãáyo, yị̃ị́ dabaya rĩ ẽ drị̃ bĩ nịị́ kuú cịcị, Índrí Múngú vé rĩ ri ẹ́cị́ yị̃ị́ rĩ drị̃gé sĩ.
GEN.1.3	Múngú ní ꞌyozú kĩnĩ, “Lẽ ụ̃tụ́ŋá ã adri anigé.” Ụ̃tụ́ŋá ní dị̃zú ãngũ ĩmgbẽrẽzú. 
GEN.1.4	Múngú ndre ụ̃tụ́ŋá rĩ índré ꞌí mị gé ꞌdãá múké, ĩri ní ụ̃tụ́ŋá pi ãsámvú acozú ãngũ bĩípi nịị́pi cịcị rĩ be. 
GEN.1.5	Múngú ní ụ̃tụ́ŋá rĩ zịzú “Ụ̃tụ́ ãmgbáráká” ĩri ní ãngũ bĩípi nịị́pi cịcị rĩ zịzú “ị́nị́ŋá.” Ũndréŋá ní ícázú, ãngũ rĩ ní ọ́wụ́zú, ꞌdĩri ụ́ꞌdụ́ ãlu rĩ.
GEN.1.6	Múngú ní ꞌyozú kĩnĩ, “Lẽ ãngũ mgbọ ã adri ụrụ ꞌdãá yị̃ị́ rĩ pi ãsámvú gé, ã aco rí yị̃ị́ ꞌbụ̃ gé rĩ pi ãsámvú yị̃ị́ vũ drị̃gé rĩ be.” 
GEN.1.7	Múngú ní ãngũ mgbọ ụrụ rĩ gbizú, ã aco rí yị̃ị́ ꞌbụ̃ gé rĩ pi ãsámvú yị̃ị́ vũ drị̃gé rĩ be. Ĩri ní ꞌi ngazú sụ̃ Múngú ní ꞌyoó rĩ tị́nị. 
GEN.1.8	Múngú ní ãngũ mgbọ ụrụ rĩ zịzú “ꞌbụ̃.” Ũndréŋá ní ícázú, ãngũ rĩ ní ọ́wụ́zú, ꞌdĩri ụ́ꞌdụ́ ị̃rị̃ rĩ.
GEN.1.9	Múngú ní ꞌyozú kĩnĩ, “Lẽ yị̃ị́ ꞌbụ̃ ndụ́gé rĩ ã úmú ꞌi vũrã ãlu gé, ãngũ ãꞌwí ẽ índré.” Ĩri ní ꞌi ngazú sụ̃ Múngú ní ꞌyoó rĩ tị́nị. 
GEN.1.10	Múngú ní ãngũ ãꞌwí rĩ zịzú “nyọ̃ọ́kụ́”, ĩri ní yị̃ị́ ĩ úmúꞌbá vũrã ãlu gé rĩ zịzú “yị̃ị́ tafu”. Múngú ndre ꞌí mị gé ꞌdãá índré múké.
GEN.1.11	Múngú ní ꞌyozú kĩnĩ, “Lẽ ngá rĩ pi ẽ ĩfũkí dụụ́ nyọ̃ọ́kụ́ drị̃gé, ngá úri be ni pi, ãzini pẹtị ũꞌa be ni pi, ĩvé ọ̃sụ̃kã vú sĩ ãndíãndí.” Ĩri ní ꞌi ngazú sụ̃ Múngú ní ꞌyoó rĩ tị́nị. 
GEN.1.12	Ngá rĩ pi ní ĩfũzú ꞌdụzú nyọ̃ọ́kụ́ drị̃gé, ngá úri be ni pi, ãzini pẹtị ũꞌa be ni pi ĩfũkí dụụ́ ĩvé ọ̃sụ̃kã vú sĩ ãndíãndí. Múngú ndre kộpi ꞌí mị gé ꞌdãá índrékí múké. 
GEN.1.13	Ũndréŋá ní ícázú, ãngũ rĩ ní ọ́wụ́zú, ꞌdĩri ụ́ꞌdụ́ na rĩ.
GEN.1.14	Múngú ní ꞌyozú kĩnĩ, “Lẽ ngá dị̃ꞌbée ãngũ ĩmgbẽrẽꞌbée ni pi ẽ índrékí ꞌbụ̃ gé ꞌdãá, ã aco rí ụ̃tụ́ŋá pi ãsámvú ị́nị́ŋá be, kộpi ẽ iꞌdakí rí lókí rĩ pi ã vúgú, ụ́ꞌdụ́ rĩ pi ã vúgú, ãzini ílí rĩ pi ã vúgú, 
GEN.1.15	kộpi ã dị̃kí rí ãngũ ĩmgbẽrẽé ꞌbụ̃ gé ꞌdãásĩ ímụ́ vũ drị̃gé nõó.” Ĩri ní ꞌi ngazú sụ̃ Múngú ní ꞌyoó rĩ tị́nị. 
GEN.1.16	Múngú ní ngá ambugu dị̃ꞌbée ãngũ ĩmgbẽrẽꞌbée ni pi gbizú ị̃rị̃. Ãmbúgú agaápi rá rĩ, ã dị̃ rí ãngũ ĩmgbẽrẽé ụ̃tụ́ŋá sĩ, mãdãŋá rĩ, ã dị̃ rí ãngũ ĩmgbẽrẽé ị́nị́ŋá sĩ. Ĩri ní kpá línyã rĩ pi gbizú. 
