GEN.1.1	Wele gug qocna Anut uqa sao mahaca ifanen. 
GEN.1.2	Odocob maha eu ihulahal tanac gauc nijen. Wa ben tatacan tu ahulec cilehdu nijen. Odocob Anut uqana kis eu wa tatacan jojoi cobon. 
GEN.1.3	Odocob Anut madeceb, “Camajac calagale,” eceb camajac calen. 
GEN.1.4	Anut camajac me bahic eu fimei waug ceelen. Odimei Anut camajac tuca filiganalen. 
GEN.1.5	Camajac eu Anut uqa ijan “Cahineg” qon. Tu eu ijan “Witic” qon. Odocob witic mimei cojagen. Eu deel matu.
GEN.1.6	Odocob Anut madeceb, “Wa ohisdecca wa mahanadecca filiganalecnu qagojoc oso calagale,” eceb eu odi calen. 
GEN.1.7	Qagojoc eu Anut uqa ifanen eu wa mahanadecca wa ohisdecca filiganalen. 
GEN.1.8	Odocob Anut qagojoc eu ijan “Sao” qon. Odocob witic mimei cojagen. Eu deel lecis doc.
GEN.1.9	Odocob Anut madeceb, “Wa sao bisalu eu cudun osahicna gabandocob cudun galalec caleiale,” eceb eu odi calen. 
GEN.1.10	Odocob Anut cudun galalec eu ijan “Maha” qon. Odocob wa cudun osahicna gabandon eu ijan “Macas” qon. Anut eu me bahic fimei waug ceelen. 
GEN.1.11	Odocob Anut madeceb, “Mahana celumca na sihul filfil me qonaca cehelo gug filfil aig qonaca caleigale,” eceb eu odi calen. 
GEN.1.12	Eunu mahana celumca na sihul filfil me qonaca cehelo gug filfil aig qonaca eu odi calein. Anut eu me bahic fimei waug ceelen. 
GEN.1.13	Odocob witic mimei cojagen. Eu deel ijed doc.
GEN.1.14	Odocob Anut madeceb, “Cahineg witicca filiganalecnu cabi saenca deelca cabi gelca gadac mecnu fulacdoc saona caleigale. 
GEN.1.15	Fulacdoc i age maha fulacdoc utuqagannu saona tawoqagan,” eceb eu odi calen. 
GEN.1.16	Oodon Anut uqa fulacdoc benben lecis mudalen. Fulacdoc ben bahic eu cahineg cofdocnu muden. Fulacdoc nag eu witic cofdocnu muden. Uqa malaqaha mudaden.
GEN.1.17+GEN.1.18	Anut uqa maha fulacdoc utuqagannuca cahineg witicca cofdocnuca fulacdoc tuca filiganalecnuca fulacdoc i age saona maden. Anut eu me bahic fimei waug ceelen. 
GEN.1.19	Odocob witic mimei cojagen. Eu deel wal oso doc.
GEN.1.20	Odocob Anut madeceb, “Wana ceteteh cunug cebac nijuqagan eu fulusdoigale. Euha maha ohisnaca sao bisalunaca man fululec fululi coboigale,” eceb eu odi calen. 
GEN.1.21	Odimei Anut macasnadec dool benben ifanen. Ceteteh cunug cebac cobogina agena sihul filfil toodudu wana am ben. Man fululec sihul filfil cunug euha ifanen. Anut eu me bahic fimei waug ceelen. 
GEN.1.22	Odimei Anut eeladi maaden, “Fulusdumeig mati bahic caleigale. Macas cunug ihoc leigale. Mahana man fululec fulusdumeig mati bahic calimeig maha cunug ihoc leigale,” aden. 
GEN.1.23	Odocob witic mimei cojagen. Eu deel ebum oso doc.
GEN.1.24	Odocob Anut madeceb, “Mahana dool gug filfil mananca cusca benca nagca caleigale,” eceb eu odi calen. 
GEN.1.25	Odimei Anut uqa mahanadec dool manan sihul filfilca dool cus sihul filfilca ceteteh mahana cobogina sihul filfilca mudaden. Anut eu me bahic fimei waug ceelen.
GEN.1.26	Odocob Anut maden, “Ege dana cajaca mudalecnu. Ege ihocomige qumeb ege cinigwe mudalecnu. Odocob ale dool wanadecca man fululec saonadecca dool mananca maha cunugca ceteteh cunug mahana cobogina eu cofadowasin,” en. 
GEN.1.27	Odimei Anut uqadodoc ihocon qu dana cajaca ifanalen. Manahal aidca uqa ifanalen. 
GEN.1.28	Odimei Anut eelali maalen, “Mel basimesi fulusdosiale. Odimesi maha cunug ihoc limesi ilo bilesiale. Macasnadec doolca saonadec man fululecca ceteteh cunug mahana cebac cobogina eu cunugnu ale ilo bilesiale,” alen. 
GEN.1.29	Odimei uqa maalen, “Fesia! Celum aig qona gug filfilca cehelo aig qona gug filfilca ija wele alem euqa maha olana ihoc leia nijia. Cehelo eu age agena aig eu alena sab biligian. 
GEN.1.30	Qa mahanadec dool cunugca saonadec man fululec cunugca ceteteh cunug mahana cebac coboginaca eu age celum gigica cunug eu agena sab adiga,” alen. Odocob eu odi nijen. 
GEN.1.31	Odimei Anut ceteteh cunug uqa mudaden eu me bahic fimei waug ceel bahic en. Odocob witic mimei cojagen. Eu deel eben gic osahicca doc.
GEN.2.1	Aria sao mahaca ceteteh cunug ifanen. Eu uqana cabi hedon. 
GEN.2.2	Deel eben naha gic lecisca qee ihoc lec Anut uqana ifanec cabi cunug hedon. Odimei jaen muden. 
