GEN.1.1	Y'n dalleth Duw a formyas an nev ha'n nor. 
GEN.1.2	Heb form ha gwag o an nor. Yth esa tewolgow war enep an downder ha Spyrys Duw esa ow kwaya war enep an dowrow.
GEN.1.3	Hag yn-medh Duw, ‘Bedhes golow’; hag y feu golow. 
GEN.1.4	Ha Duw a welas an golow, ev dhe vos da; ha Duw a wrug dibarth ynter an golewder ha'n tewolgow. 
GEN.1.5	Ha Duw a elwis an golewder Dydh ha'n tewolgow ev a elwis Nos. Hag y feu gorthugher hag y feu myttin, unn jydh.
GEN.1.6	Hag yn-medh Duw, ‘Bedhes fyrmament yn mysk an dowrow, ow kul dibarth ynter an dowrow ha'n dowrow.’ 
GEN.1.7	Ha Duw a wrug an fyrmament ha gul dibarth ynter an dowrow esa yn-dann an fyrmament ha'n dowrow esa a-ugh an fyrmament. Hag y feu yndella. 
GEN.1.8	Duw a elwis an fyrmament Nev. Hag y feu gorthugher hag y feu myttin, an nessa dydh.
GEN.1.9	Hag yn-medh Duw, ‘Bedhes an dowr yn-dann an nev kuntellys yn unn tyller, ha gwres omdhiskwedhes tir sygh.’ Hag y feu yndella. 
GEN.1.10	Duw a elwis an dor sygh Tir, ha kuntellva an dowrow ev a elwis Moryow. Ha Duw a welas henna dhe vos da.
GEN.1.11	Hag yn-medh Duw, ‘Gwres an nor dri gwels yn-rag, losow ow toen has, ha gwydh ow toen frut war-lergh aga hinda, hag ynno has, war an dor.’ Hag y feu yndella. 
GEN.1.12	Ha'n tir a dhros gwels yn-rag, losow ow toen has war-lergh aga hinda ha gwydh ow toen frut gans has ynno war-lergh aga hinda; ha Duw a welas henna dhe vos da. 
GEN.1.13	Hag y feu gorthugher hag y feu myttin, an tressa dydh.
GEN.1.14	Hag yn-medh Duw, ‘Bedhens golowys yn fyrmament an nev dhe wul dibarth ynter an jydh ha'n nos, ha bedhens avel toknys rag sesons, ha rag dydhyow ha blydhynyow. 
GEN.1.15	Ha bedhens avel golowys yn fyrmament an nev dhe ri golow war an nor.’ Hag y feu yndella. 
GEN.1.16	Duw a wrug dew wolow bras, an golow brassa dhe rewlya an jydh ha'n golow le dhe rewlya an nos. Ev a wrug an ster ynwedh. 
GEN.1.17	Ha Duw a's gorras yn fyrmament an nev dhe ri golow war an nor, 
GEN.1.18	ha dhe rewlya an jydh ha'n nos, ha dhe wul dibarth ynter an golewder ha'n tewolgow. Ha Duw a welas henna dhe vos da. 
GEN.1.19	Hag y feu gorthugher hag y feu myttin, an peswora dydh.
GEN.1.20	Hag yn-medh Duw, ‘Re dhrollo an dowr yn-mes hesow a greaturs byw, hag ydhyn ow nija a-ugh an nor war enep fyrmament an nev.’ 
GEN.1.21	Ha Duw a formyas morviles bras ha pub kreatur byw ow kwaya, a wra an dowrow dri yn-mes yn hesow, war-lergh aga hinda, ha pub edhen askellek war-lergh hy hinda. Ha Duw a welas henna dhe vos da. 
GEN.1.22	Duw a's bennigas ha leverel, ‘Degewgh frut, ha kressya ha lenwel dowrow an moryow ha lieshens ydhyn war an nor.’ 
GEN.1.23	Hag y feu gorthugher hag y feu myttin, an pympes dydh.
GEN.1.24	Hag yn-medh Duw, ‘Gwres an dor dri mes kreaturs byw war-lergh aga hinda, chatel ha pryves ha miles an nor war-lergh aga hinda.’ Hag y feu yndella. 
GEN.1.25	Ha Duw a wrug miles an nor war-lergh aga hinda, ha chatel war-lergh aga hinda hag oll an kreaturs ow slynkya war an dor war-lergh aga hinda. Ha Duw a welas henna dhe vos da. 
GEN.1.26	Ena yn-medh Duw, ‘Gwren ni gul den y'gan imaj, y'gan hevelep ni, ha gwrens i rewlya war buskes an mor ha war ydhyn an ayr, war an chatel ha war oll an nor, ha war bub pryv ow kramya war an dor.’
GEN.1.27	Ytho Duw a formyas den war-lergh y imaj; war-lergh imaj Duw ev a'n formyas, gorow ha benow y hwrug ev aga formya. 
GEN.1.28	Ha Duw a's bennigas; ha Duw a leveris dhedha, ‘Degewgh frut ha kressya ha lenwel an nor ha'y dhova, ha rewlya puskes an mor hag ydhyn an ayr ha pub kreatur byw ow kwaya war an dor.’ 
GEN.1.29	Hag yn-medh Duw, ‘Awotta, my re ros dhywgh pub losow gans has war enep an norvys oll ha pub gwydhenn gans frut may ma ynni has. I a vydh dhywgh rag boes. 
GEN.1.30	Ha my re ros pub losowenn las avel boes dhe bub best a'n nor ha dhe bub edhen a'n ayr ha dhe bub kreatur may ma enev byw ynno ow kramya war an dor.’ Hag yndella y feu. 
GEN.1.31	Ha Duw a welas pup-tra re wrussa hag awotta, yth o pur dha. Hag y feu gorthugher hag y feu myttin, an hweghves dydh.
GEN.2.1	Yndella kowlwrys veu an nevow hag oll an lu anedha. 
GEN.2.2	Ha'n seythves dydh Duw a worfennas y ober re wrussa gul, hag ev a bowesas an seythves dydh a'n ober oll re wrussa. 
GEN.2.3	Ha Duw a vennigas an seythves dydh ha'y sakra drefenn ev dhe bowes a'y ober oll re wrussa Duw formya ha gul.
GEN.2.4	Hemm yw istori an nevow ha'n nor pan vons i formyes y'n jydh may hwrug an 
GEN.2.5	Pan nag esa hwath prysk an gwel y'n dor, ha pan na devis hwath losow an gwel, rag ny wrussa an 
GEN.2.6	mes dowr a frosas yn-bann
GEN.2.7	an 
GEN.2.8	Ha'n 
GEN.2.9	Ha'n 
GEN.2.10	Hag yth esa avon ow resek yn-mes a Eden dhe dhowra an lowarth, ha dhiworth an tyller na y feu rynnys dhe dhos ha bos peder skorrenn. 
GEN.2.11	Hanow an kynsa yw Pishon, hag a resek oll a-dro dhe dir Havila, le may ma owr; 
GEN.2.12	hag owr an tir ma yw da: yma ena bedellium ha men onyks. 
GEN.2.13	Hanow an nessa avon yw Gihon: henn yw an keth usi ow resek a-dro dhe oll an pow a Kush. 
GEN.2.14	Hanow an tressa avon yw Tigris; an keth henna usi ow resek est dhe Assyria. An peswora avon yw Ewfrates.
GEN.2.15	Ha'n 
GEN.2.16	Ha'n 
GEN.2.17	Mes a wydhenn an godhvos a dha hag a dhrog ny wre'ta dybri, rag y'n jydh may tybrydh anedhi ty a wra merwel yn surredi.’
GEN.2.18	Hag yn-medh an 
GEN.2.19	Ha mes a'n dor an 
GEN.2.20	Hag Adam a ros henwyn dhe oll an chatel ha dhe ydhyn an ayr ha dhe bub best a'n gwel, mes nyns esa kevys gweres, par gwiw dhodho.
GEN.2.21	Ha'n 
GEN.2.22	Ha'n 
GEN.2.23	Hag yn-medh Adam,
