GEN.1.1	Pathianin a phut taka irnêng le irvân a siama, 
GEN.1.2	rammual hi mumalboi le a korong ringot a nia; tui inthûk tak chung khom an thim khaka; Pathian irtha khan tui chunghai chu a op maia. 
GEN.1.3	 Khan Pathianin, “Vâr hong om ri se” a tia; khanchu vâr a hong om ta. 
GEN.1.4	Khan Pathianin vâr chu a ena, a sa a ti oka; khanchu Pathianin vâr le inthim chu a’rsentir ta. 
GEN.1.5	Pathianin vâr chu “Sûn” a tia, inthim chu “Zân” a tia. Khanchu a sûn khatna zîng le khohloi a om tâka.
GEN.1.6	 Khan Pathianin, “Tui le tui kâra khan boiruak liantak om sianlân, kha khan tui le tuihai chu irsen ri se,” a tia. 
GEN.1.7	Khanchu, Pathianin, boiruak lian tak chu a siama, boiruak lian tak hnuaia tui omhai le boiruak lian tak chunga tui omhai chu a’rsentir tâka. Khaang tak khan a hong ni ta. 
GEN.1.8	Khan Pathianin boiruak lian tak chu “Irvân” a tia, khanchu khohloi a oma, zîng tiang a oma, kha kha sûn hnina.
GEN.1.9	Khan Pathianin, “Irvân hnuaia tui omhai chu hmunkhata luang khôm sianlân, mual le tâng chu inlang ri se,” a tia. Khanchu khaang tak khan a hong ni tâka. 
GEN.1.10	Pathianin mual le tâng chu “Irnêng” a tia, tui om khômhai chu “Tuipuihai” a ti tâka, khan Pathianin kha kha a ena, a sa a ti zapa. 
GEN.1.11	Khan Pathianin, “Irnêngin hloisûl, chîmu, thei kunghai, irnênga an chi om dân hrang anga ra, a ra sûnga a chi omhai chu hong ra suak ri se,” a tia. Khanchu, khaang tak khan a hong ni ta. 
GEN.1.12	Khanchu irnêngin hloisûlhai, chîmuhai an mâni chi om dân hrang anga chi neihai, thing an mâni chi om dân hranga ra, a ra sûnga a chi omhai chu an suak ta. Khan Pathianin a ena, a sa a ti zapa. 
GEN.1.13	Khanchu khohloi a oma, zîng a oma, kha kha sûn thumna.
GEN.1.14	Khan Pathianin, “Sûn le zân irsentir hrangin irvân boiruak lian taka khan vârhai om sianlân; khahai kha irsinsiana hai, zoro hai, sûn hai le kumhai inhriatna hrang ni ri se, 
GEN.1.15	irnêng invâr hrangin irvân boiruak lian taka khan vârhai om ri se,” a tia. Khanchu khaang tak khan a hong ni tâka. 
GEN.1.16	Khan Pathianin vâr roiinpuitak inhni khi a siama, vâr roiinpui ual kha sûn roirêltu hrangin a tia, vâr roiinpui loi ual kha zân roirêltu hrangin; ârsihai khom khi a siam sa. 
GEN.1.17	Khan Pathianin an nihai kha irnêng invârtir hrangin irvân boiruak liantak chunga khin a siaa; 
GEN.1.18	sûn le zân chunga roirêl hrang le vâr le inthim chu irsentir hrangin, Pathianin kha kha a ena, a sa a tia. 
GEN.1.19	Khanchu khohloi a oma, zîng a oma, kha kha sûn minlina. 
GEN.1.20	Khan Pathianin, “Tuihaiin thilsiam hringna nei tamtak insua mai sianlân, vatehai khom irnêng chunga irvân boiruak liantak inhonga hin vuang sup sup ri sehai,” a tia. 
GEN.1.21	Khanchu Pathianin tuipuia sa liantak takhai a siama, thilsiam hringna neia châng thei tinrêng, tuia insua tâkhai kha, an mâni chi om dân hrang ang takin a siama, va mitha nei tinrêng khom an mâni chi omdân hrang ang sengin a siam. Pathianin kha kha a ena, a sa a tia. 
GEN.1.22	Khan Pathianin, “Irchi tamtak nin irchi ata hong pung unglân, tuipuihaia hong sip roi, vâhai khom irnênga pung ri sehai,” tiin sat a vura. 
GEN.1.23	Khanchu khohloi a oma, zîng a oma, kha kha sûn ringana.
GEN.1.24	Khan Pathianin, “Irnênga thilhringhai chu an mâni chi omdân lam angin sa murdi an omdân ang chitin om ri se,” a tia. Khanchu an hong om tâka. 
GEN.1.25	Khanchu Pathianin ram sa, insûng sa an chi omdân hrang siamin le irnênga bokvâka thilhring murdi a isiamhai kha a ena, khan Pathianin a sa a ti tâka.
GEN.1.26	 Khanchu Pathianin, “Ama irangpuiin mihriama siam inlân, tuipui sûnga nga le chunglêng vahai, le sa murdihai chunga irnênga bokvâka thilhring murdihai chunga ircham inneitir ki ti,” a tia. 
