MAT.1.1	Abraham le David a pasalnai Jisu Khrista hongkanthuina pa le puthui rabu ha hi ani.
MAT.1.2	Abraham hi Isak a pa ani. Isak a nai Jakob. Jakob a nai Juda le anaipangai. 
MAT.1.3	Juda le a numei Tamar an nai Parez le Zera anni, Parez a nai Hazron, Hazron a nai Ram. 
MAT.1.4	Ram a nai Amminadab. Amminadab a nai Nashon, Nashon a nai Salmon. 
MAT.1.5	Salmon le a numei Rahab a nai Boaz, Boaz le a numei Ruth a nai Obed, Obed a nai Jese. 
MAT.1.6	Hale Jese a nai Reng David ha ani, David a nai Solomon, a nulamko Uria ani. 
MAT.1.7	Solomon a nai Rehoboam, Rehoboam a nai Abija, Abija a nai Asa. 
MAT.1.8	Asa a nai Jehoshaphat, Jehoshaphat a nai Jehoram, Jehoram a nai Uzzia. 
MAT.1.9	Uzzia a nai Jotham, Jotham a nai Ahaz, Ahaz a nai Hezekia, 
MAT.1.10	Hezekia a nai Manasse, Manasse a nai Amon, Amon a nai Josia. 
MAT.1.11	Josia a nai Jekonia le anaipangai hi Babilon ram ma ral ringa an churra an om lai nai chang anni.
MAT.1.12	Babilon ram ma ral ringa an tuang suapha, Jekonia a nai Shealtiel, Shealtiel a nai Zerubabel. 
MAT.1.13	Zerubabel a nai Abiud, Abiud a nai Eliakim, Eliakim a nai Azor. 
MAT.1.14	Azor a nai Zadok, Zadok a nai Akim, Akim a nai Eliud. 
MAT.1.15	Eliud a nai Eleazar, Eleazar a nai Matthan, Matthan a nai Jakob, 
MAT.1.16	Jakob a nai Josep Meri a lompa, “Khrista” om anti Jisu a nu ha Meri ani.
MAT.1.17	Hingahin Abraham tenna David tungkhan vonchoi rui mirual hi somleimanli ani, David tenna Babilon ram ma ral ringa antuanglim mirual hi somleimanli ani, Babilon ram ma ral ringa antuanglai tenna Khrista ahongkhan mirual hi somleimanli ani.
MAT.1.18	Jisu Khrista hingahin nai a hong chang, a nu Mari ha Josep ranga anluikhappe, tak-ha mun an kan chun mak ma Thavang Thiang tenna nai a von tihi an lui jet. 
MAT.1.19	Alompa Josep ha mi dik khat ani jarra thangsiat suak rang hi dei mak a rukchian na makrang alui ngaidon. 
MAT.1.20	Ha ang han a lung sunga a ngaidon lai Puma thaneithiang ning a manga ama jiang alui hongkandoa a ti “David a pasalnai Josep, Mari na lomnu manchang ranga chit maro, ajarko, anaivon hi Thavang Thiang tenna ani. 
MAT.1.21	A man pasalnai khat nei nati, a ming ha nang in Jisu tinanti, ajarko, a man a mingai ha an siatna tenna hongsanring nati.”
MAT.1.22	Hiva rakip hi suak na rang le tungtheina ranga Puma tashanthei ning alui ri ani: 
MAT.1.23	“Enru, dongmathiang khat in chungrik om na ta pasalnai khat nei nati, a ming ha anmani ning Immanuel,” tinanti hiva hi, “Pathian ning ana om pui tina ani.”
MAT.1.24	Josep a jal tenna a hongthuipha, Puma thaneithiang chong be nuk jui a a man Mari ha a lomnu a manchang jui. 
MAT.1.25	Tak-ha a man a phut na pasalnai ha a nei maje, mun lui kan chunpuimak, naite ha Josep ning a ming Jisu tia alui phua.
MAT.2.1	Herod ning reng a chang lai Judia ram sunga Bethlehem khopui han Jisu nai alui chang. Han ni sua tianga arshi rabutheingai Jerusalem ma an lui hong, 
MAT.2.2	“Jiwngai reng an nei thar naite ha hon mo a om anti? Ajarko, kein ni sua tianga ama arshi a suak ha kan mu, ama chubeibuk ranga kan hong ani.”
MAT.2.3	Hiva chong hi reng Herod ning a jet pha a ning a dong jui, hale Jerusalem ma a om mirakip in om an ning alui dong. 
MAT.2.4	Herod ning thiampulianngai le dan ojangai ha a kuikhomma, “Khrista ha hon mo nai a chang rang tia alui dingkel.”
MAT.2.5+MAT.2.6	A ma jiang anti, “Judia ram sunga Bethlehem ma ani,” ajarko, “Judia ram sunga Bethlehem, nang ko Judia vai hom karra a sin tak nima che, ajarko, ka mi Israelngai vai hom rang le lam kai rangpa nang jiang an phut hong suak nati.’ Tia Pathian tashantheingai ning hingahin anti.” 
MAT.2.7	Herod ning arshi ha i tik lai mo nan mu tia arshi rabutheingai jiang rukchian na alui dingkel. 
MAT.2.8	han, ama ning anmani ha Bethlehem ma a tirra, nang nin che nang, naite ruia asat a vatokru, hale kei ning om chubeibuk na rang, ama nan mu le chong na hongmanjetru a ti pe. 
MAT.2.9	Rengpa chong ri ha anmanin an jet a an che jui, han, ni sua tianga an lui mu arshi ha naite om na tak a ngir maje an ma don an shonga an che jui. 
MAT.2.10	Arshi ha an mu pha han ningsat na khel la an lui nei. 
MAT.2.11	Hale, inn sunga an lut a anmanin naite le a nu Mari an mu jui, an khup an bilinga chubei an buk, an kutchoiphur ha an longa rang ka chak, sariakrimhui hale bero an lui pek. 
MAT.2.12	Herod jiang kirmak na ranga an manga Pathian ning a manjet jarra, lam dang khattiang an loija an ramtiang an che jui.
