MAT.1.1	Yisa Masia yejamm piinue na: u din tee David yaaboonne, ki David mun din tee Abraham yaaboonn.
MAT.1.2	Abraham din mar Aisak,
MAT.1.2	ki Aisak din mar Jakɔb,
MAT.1.2	ki Jakɔb mun din mar Juda nan u waarii.
MAT.1.3	Juda din mar Peres nan Sera, ki bi naae din tee Tamar;
MAT.1.3	ki Peres din mar Hesron,
MAT.1.3	ki Hesron din mar Ram.
MAT.1.4	Ram din mar Aminadab,
MAT.1.4	ki Aminadab din mar Nason,
MAT.1.4	ki Nason mun din mar Salmon.
MAT.1.5	Salmon din mar Boas, wunba naa din tee Rahab;
MAT.1.5	ki Boas din mar Obed, wunba naa din tee Ruf;
MAT.1.5	ki Obed mun din mar Jese.
MAT.1.6	Jese din mar Kpanbar David;
MAT.1.6	ki David mun din mar Solomon,
MAT.1.6	wunba naa din tee Yuraya pakɔɔk.
MAT.1.7	Solomon din mar Rehoboam,
MAT.1.7	ki Rehoboam din mar Abia,
MAT.1.7	ki Abia mun din mar Asa.
MAT.1.8	Asa din mar Jehosafat,
MAT.1.8	ki Jehosafat din mar Joram,
MAT.1.8	ki Joram mun din mar Yusaya.
MAT.1.9	Yusaya din mar Jotam,
MAT.1.9	ki Jotam din mar Ahas,
MAT.1.9	ki Ahas mun din mar Hesekaya.
MAT.1.10	Hesekaya din mar Manase,
MAT.1.10	ki Manase din mar Amon,
MAT.1.10	ki Amon mun din mar Josaya,
MAT.1.11	ki Josaya din mar Jekonaya nan u waarii,
MAT.1.11	ba din soor Israel niib daaba
MAT.1.11	ki saan namm Babilɔnn yoonba na.
MAT.1.12	Ba din soorib ki saan namm Babilɔnn na poorpo,
MAT.1.12	ki Jekonaya din mar Salatiel,
MAT.1.12	ki Salatiel mun din mar Serubabel.
MAT.1.13	Serubabel din mar Abiud,
MAT.1.13	ki Abiud din mar Elayakim,
MAT.1.13	ki Elayakim mun din mar Asor.
MAT.1.14	Asor din mar Sadok,
MAT.1.14	ki Sadok din mar Akim,
MAT.1.14	ki Akim mun din mar Eliud.
MAT.1.15	Eliud din mar Eleasar,
MAT.1.15	ki Eleasar din mar Matan,
MAT.1.15	ki Matan mun din mar Jakɔb.
MAT.1.16	Jakɔb din mar Josef, ki Josef mun din tee Mari sɔrɔ,
MAT.1.16	ki Mari din mar Yisa nba ki bi yiu
MAT.1.16	Yennu Niganntɔɔ Masia na.
MAT.1.17	Li paak, Abraham yoo ki tan tuu David yoo din tee yejamm piik nan bannae. Ki David yoo ki tan tuu yoo nba ki bi din soor niib maŋ daaba ki saan namm Babilɔnn na din tee yejamm piik nan banna. La din nyii li yoo ki tan tuu Masia maaru yoo mun din tee yejamm piik nan bannae.
MAT.1.18	Ba din mar Yisa Masia biaŋinbae na: u naa Mari din tee Josef sarkpeŋe, ŋaan ki bi daa din ki kɔɔn leebi, ŋaan ki bi din tan la ki u mɔk poor, ki Yennu Seyeeŋ paŋ nie ki u soor poor maŋ. 
MAT.1.19	Josef nba ki u din yaa wun kunɔ na din tee Yennu nipeemɔe. Li paak, u din ki loon ki wun nyinnir paanu ni ki lin dinn Mari fei, ŋaan u din lor u par nie nan u ji kan kɔɔnɔ. 
MAT.1.20	Wa ji din dukii linba na po nee, ki Yennu malaka baar u boor ni u dammiit ni ki tan betɔ a “Fin Josef, wunba tee David yaaboonn, daa yêen a sarkpeŋ Mari kɔɔnu, kimaan wa mɔk poor nba na tee Yennu Seyeeŋ paŋ nie ki u soor poor maŋ. 
MAT.1.21	U tan sa mar bonjabike, ki a sa pur u sann Yisa, kimaan u tan sa nyinn u niib bi biit ni.”
MAT.1.22	Linba na kur din tun a lin gbeen linba ki ti Yomdaanɔ Yennu din te ki u sɔkiniisɔɔ pak li po nee a 
