MAT.1.1	LLyver 
MAT.1.2	Abraham a 
MAT.1.3	Ac Iudas a genetloedd Phares, a’ Zara o Thamar. A’ Phares a genetlawdd Esrom. Ac Esrom a genetlawð Aram. 
MAT.1.4	Ac Aram a genetloð Aminadab. Ac Aminadab a genetloð Naasson. A’ Naasson a genetlawdd Salmō. 
MAT.1.5	A’ Salmō a genetloð Booz o Rachab. A’ Booz a genetlawdd Obed o Ruth. Ac Obed a genetlawdd Iesse. 
MAT.1.6	Ac Iesse a genetlawdd Dauid Vrenhin. A’ Dauid Vrenhin a genetlawdd 
MAT.1.7	A’ Solomon a genetlawdd Roboam. A’ Roboam a genetlodd Abia. Ac Abia a genetloedd Asa. 
MAT.1.8	Ac Asa a genetlawdd Iosaphat. Ac Iosaphat a genetlawdd Ioram. Ac Ioram a genetlawdd Ozias. 
MAT.1.9	Ac Ozias a genetlawdd Ioatham. Ac Ioatham a genetlawdd Achaz. Ac Achaz a genetlawdd Ezecias. 
MAT.1.10	Ac Ezecias a genetlawdd Manasses. A’ Manasses a genetlawdd Amon. Ac Amon a genetlawdd Iosias. 
MAT.1.11	Ac Iosias a genetlawdd Iacim. Ac Iacim a genetlawdd Iechonias, a’ ei vroder yn‐cylch amser ei 
MAT.1.12	Ac yn ol ei treiglo hwy i Vabylon, Iechonias a genetloedd Salathiel. A’ Salathiel a genetlawdd Zorababel. 
MAT.1.13	A’ Zorobabel a genetlawdd Abiud. Ac Abiud a genetlawdd Eliacim. Ac Eliacim a genetlawdd Azor. 
MAT.1.14	Ac Azor a genetlawdd Sadoc. A’ Sadoc a genetloedd Achim. Ac Achim a genetlawdd Eliud. 
MAT.1.15	Ac Eliud a genetlawdd Eleazar. Ac Eleazar a genetlawdd Matthan. A’ Matthan a genetlawdd 
MAT.1.16	Ac Iacob a genetlawdd Ioseph, gwr Mair, o’r hon y ganet Iesu yr hwn a elwir Christ. 
MAT.1.17	A’r oll 
MAT.1.18	A’ genedigaeth Iesu Christ oedd val hyn, wedy dyweddio Mair ei vam ac Ioseph, cyn na ei dyvot wy ynghyt, hi a gahat yn veichioc o’r Yspryt glan. 
MAT.1.19	Ac Ioseph y gwr hi can ei vot yn gyfion, ac nad ewyllysei y 
MAT.1.20	A’ thra ytoedd ef yn bwriady hynn, 
MAT.1.21	A’ hi a 
MAT.1.22	A’ hyn oll a wnaethpwyt er cyflawny, yr hyn addywetpwyt gan yr Arglwydd twy’r Propwyt, can ddywedyt, 
MAT.1.23	Nycha, 
MAT.1.24	Ac Ioseph, pan 
MAT.1.25	Ac nyd adnabu, ef yhi, yd pan escorawdd hi ar hei map 
MAT.2.1	YNo pan anet yr Iesu ym Beth‐lehem 
MAT.2.2	can ddywedyt, P’le mae Brenhin yr Iuddeon y aned? can ys gwelsam y seren ef yn y Dwyrain, a’ daetham y addoly ef. 
MAT.2.3	Pan glywodd Herod vrenhin 
MAT.2.4	Ac ef a alwodd ynghyt yr oll archoffeiriait, ac 
MAT.2.5	Ac wynt a ddywedysont wrthaw, Ym Beth‐lem 
MAT.2.6	Tithae Beth‐lem yn tir Iudah nid y lleiaf wyt ymplith Tywysogion Iudah: can ys o hanat ti y daw y tywysawc a byrth vy‐popul Israel. 
MAT.2.7	Yno Herod 
MAT.2.8	ac ef y danvones wynt i Veth‐lehem, can ddywedyt, Ewch, ac ymovynwch yn ddiyscaelus am y map‐bychan, a gwedy ychwi y gaffael ef, manegwch i mi drachefyn, mal y gallwyf vinae ddyvot a’i addoli ef. 
MAT.2.9	A’ gwedy yddynt glywet y Brenhin, wy a ymadawsont: 
MAT.2.10	A’ phan welsant y seren, llawenhay a wnethan a llawenydd mawr dros pen, 
MAT.2.11	ac aethont ir tuy, ac a gawsont y dyn‐bychan gyd a Mair ei vam, ac a gwympesōt ir llawr, ac y addolesont ef, ac a egoresont ei tresawr, ac a offrymesont iddaw anregion, ysef aur, a’ 
MAT.2.12	A’ gwedy y rhubyddio wy can Dduw trwy hun, nad 
MAT.2.12	Yr Euangel ar ddiegwyl y meibion gwirion.
MAT.2.13	¶ A’ gwedy yddynt ymado, wely Angel yr Arglwydd a ymddangosodd i Ioseph trwy 
MAT.2.14	Ac ef pan gyvodawdd, a gymerth y Map, aei vam 
MAT.2.15	ac yno y bu, hyd varwolaeth Herod, 
MAT.2.16	Yno Herod, pan weles ei 
MAT.2.17	Yno y cyflawnwyt yr hynn a ddywetsit can Ieremias y Prophwyt, gan ddywedyt, 
MAT.2.18	Llef a glywet yn Rhama, galar, ac wylofain 
MAT.2.19	Yno gwedy marw Herod, wele, Angel yr Arglwydd a ymddangoses i Ioseph trwy hun yn yr 
MAT.2.20	can ddywedyt, Cyvot, a’ chymer y bachcen ai vam, a’ dos i dir Israel: can varw yr ei oedd yn caisiaw 
MAT.2.21	A’ gwedy iddo 
MAT.2.22	Eithyr pan glybu af vot Archilaus yn gwladychy yn Iudea yn lle ei dat Herod, e ofnodd vyned ynow: anid gwedy ei rybyddyo gan Dduw trwy 
MAT.2.23	ac aeth ac a drigawdd mewn dinas a elwit Nazaret, 
MAT.3.1	AC yn y dyddiae hyny, y daeth Ioan Vatyddiwr ac a precethawdd yn‐diffaith Iudaea, 
MAT.3.2	ac a ddyvot, Edifarewch: can vot teyrnas nef yn gyfagos. 
