GEN.1.1	Ante pëgwëko W̃ën ntind viỹë ŋa, ambin ŋa g'inkal iŋa ntiko ten.
GEN.1.2	Hara ɗuniỹa ỹi ki fo nkeyarëko do ñoñ gelohna hnam. Hn'ile nkeho w̃ënka watëw̃ah hna umëhwëry cankaf yeho do iƴir W̃ënu ŋa, le yeho had sël, cëpëko w̃ënka watac. 
GEN.1.3	Awa W̃ënu ŋa më ntehnëk: «Araɓi humpen ha nke!» Do humpen ha nkelehn. 
GEN.1.4	W̃ënu ŋa njëkëko do nëŋëkawo gë hutac; më pitëndëlehnëk humpen ha g'umëhwëry uŋa. 
GEN.1.5	W̃ënu ŋa më macëk humpen ha «fac» do mëhwëry uŋa «umëɗ». Nkeho umëɗ, tac gë fac; fac ryënkwëryënkw ỹa yeho.
GEN.1.6	W̃ënu ŋa më mbok ntehnëk: «Araɓi igwac nke fagant w̃ënka hna, pitëlahn w̃ënka ŋa.» 
GEN.1.7	Do koyëna nkeho. W̃ënu ŋa koyëna ntiko igwac nte fitëndëlehnëk w̃ënka waɓë gëɗ ŋa gë waɓë g'ambin ŋa. 
GEN.1.8	W̃ënu ŋa më macëk igwac tac «ambin». Nkelehn umëɗ, tac gë fac; fac higëna ỹa yeho.
GEN.1.9	W̃ënu ŋa më mbok ntehnëk kat: «Araɓi w̃ënka wante sëpëk ambin ŋi mbarëpël sëñ ryampo fo nkehahn nkal iŋa!» Do koyëna nkeho. 
GEN.1.10	W̃ënu ŋa më macëk hn'ile nkok gena w̃ënka hna «nkal» do w̃ënka wante varëpëlëk ŋa «wov». Njëkëko do nëŋëkawo gë rac. 
GEN.1.11	Do W̃ënu ŋa më ntehnëk: «Araɓi hnë nkal hna pëhn ile hwëhnak yaryef, vile lëw̃ëɗ uhnëɗa lëw̃u do gë vatëh vante lëw̃ëɗ wadëwel wadëw̃u ŋa dënk!» Do koyëna nkeho. 
GEN.1.12	Nkal iŋa pëhnëndanëko fop sifa vile hwëhnak yaryef va le-wo-le sifa uhnëɗa lëw̃u w̃a ntëw̃ëko do gë vatëh vante lëw̃ëɗ wadëwel wadëw̃u ŋa dënk. W̃ënu ŋa njëkëko do nëŋëkawo gë rac. 
GEN.1.13	Nkeho umëɗ, tac gë fac; fac rarëna ỹa yeho.
