GEN.1.1	Pradžioje Dievas sutvėrė dangų ir žemę.
GEN.1.2	Žemė buvo be pavidalo ir tuščia, tamsa gaubė gelmes, ir Dievo Dvasia sklandė virš vandenų.
GEN.1.3	Dievas tarė: „Teatsiranda šviesa!“ Ir atsirado šviesa.
GEN.1.4	Dievas matė šviesą ir, kad tai buvo gerai, ir Dievas atskyrė šviesą nuo tamsos.
GEN.1.5	Dievas pavadino šviesą diena, o tamsą – naktimi. Tai buvo vakaras ir rytas – pirmoji diena.
GEN.1.6	Dievas tarė: „Teatsiranda tvirtuma tarp vandenų, ir ji teatskiria vandenis nuo vandenų!“
GEN.1.7	Dievas padarė tvirtumą ir atskyrė vandenis, kurie buvo po tvirtuma, nuo vandenų, kurie buvo virš tvirtumos. Ir taip įvyko.
GEN.1.8	Dievas pavadino tvirtumą dangumi. Tai buvo vakaras ir rytas – antroji diena.
GEN.1.9	Dievas tarė: „Tesusirenka vandenys, kurie yra po dangumi, į vieną vietą ir tepasirodo sausuma!“ Ir taip įvyko.
GEN.1.10	Dievas pavadino sausumą žeme, o vandenų samplūdį – jūromis. Ir Dievas matė, kad tai buvo gerai.
GEN.1.11	Dievas tarė: „Tegul žemė išaugina žolę, augalus, duodančius sėklą, ir vaismedžius, nešančius vaisių pagal jų rūšį, kuriuose yra jų sėkla!“ Ir taip įvyko.
GEN.1.12	Žemė išaugino žolę, augalus, duodančius sėklą pagal jų rūšį, ir medžius, nešančius vaisius pagal jų rūšį, kuriuose yra jų sėkla. Ir Dievas matė, kad tai buvo gerai.
GEN.1.13	Tai buvo vakaras ir rytas – trečioji diena.
GEN.1.14	Dievas tarė: „Teatsiranda šviesos dangaus tvirtumoje dienai nuo nakties atskirti ir tebūna jos ženklai pažymėti laikus, dienas ir metus.
GEN.1.15	Jos težiba dangaus tvirtumoje ir apšviečia žemę!“ Ir taip įvyko.
GEN.1.16	Dievas padarė dvi dideles šviesas: didesniąją – dienai ir mažesniąją nakčiai valdyti, ir taip pat žvaigždes.
GEN.1.17	Dievas išdėstė jas dangaus tvirtumoje, kad šviestų žemei,
GEN.1.18	valdytų dieną bei naktį ir atskirtų šviesą nuo tamsos. Ir Dievas matė, kad tai buvo gerai.
GEN.1.19	Tai buvo vakaras ir rytas – ketvirtoji diena.
GEN.1.20	Dievas tarė: „Tegul vandenys knibždėte knibžda gyvūnais ir paukščiai teskraido virš žemės, padangėse!“
GEN.1.21	Taip Dievas sutvėrė didelius jūros gyvūnus ir visus kitus gyvius, kurie atsirado iš vandens, ir visus paukščius pagal jų rūšį. Ir Dievas matė, kad tai buvo gerai.
GEN.1.22	Dievas juos palaimino, tardamas: „Būkite vaisingi, dauginkitės ir pripildykite vandenis jūrose, o paukščiai tepripildo žemę!“
GEN.1.23	Tai buvo vakaras ir rytas – penktoji diena.
GEN.1.24	Dievas tarė: „Tegul žemė išaugina gyvūnus pagal jų rūšį: gyvulius, roplius ir laukinius žvėris, kiekvieną pagal savo rūšį!“ Ir taip įvyko.
GEN.1.25	Dievas padarė laukinius žvėris, gyvulius ir visokius roplius, kiekvieną pagal jų rūšį. Ir Dievas matė, kad tai buvo gerai.
GEN.1.26	Dievas tarė: „Padarykime žmogų pagal mūsų atvaizdą ir panašumą. Jie tevaldo jūros žuvis, padangių paukščius, gyvulius ir visą žemę bei visus roplius, kurie gyvena ant žemės!“
GEN.1.27	Ir Dievas sutvėrė žmogų pagal savo atvaizdą; pagal Dievo atvaizdą sutvėrė Jis jį; vyrą ir moterį sutvėrė Jis.
GEN.1.28	Dievas juos palaimino ir tarė: „Būkite vaisingi ir dauginkitės, pripildykite žemę ir užvaldykite ją, viešpataukite jūros žuvims, padangių paukščiams ir kiekvienam gyvam padarui, kuris kruta ant žemės!“
GEN.1.29	Dievas tarė: „Aš jums daviau įvairias žoles, turinčias sėklą, kurios auga žemės paviršiuje, ir visus medžius, kurių vaisius turi sėklą; jums tebūna tai maistas.
GEN.1.30	Ir visiems žemės gyvūnams, visiems padangių paukščiams ir visiems, kas kruta ant žemės, kas turi gyvybę, daviau visus žaliuojančius augalus maistui“. Ir taip įvyko.
GEN.1.31	Dievas matė visa, ką buvo padaręs, ir tai buvo labai gerai. Buvo vakaras ir rytas – šeštoji diena.
GEN.2.1	Taip buvo sutvertas dangus, žemė ir visi jų pulkai.
GEN.2.2	Dievas septintą dieną užbaigė savo darbus ir ilsėjosi septintą dieną po visų savo darbų, kuriuos atliko.
GEN.2.3	Dievas palaimino septintą dieną ir ją pašventino, nes joje ilsėjosi po visų savo darbų, kuriuos Dievas sukūrė ir padarė.
GEN.2.4	Tokia yra dangaus ir žemės kilmė, kai jie buvo sukurti tą dieną, kurią Viešpats Dievas sutvėrė žemę ir dangų,
GEN.2.5	ir visus lauko augalus, kurių dar nebuvo žemėje, ir visas lauko žoles, kurios dar nežėlė; nes Viešpats Dievas nesiuntė į žemę lietaus ir nebuvo žmogaus žemei įdirbti.
GEN.2.6	Migla kilo nuo žemės ir drėkino jos paviršių.
