GEN.1.1	Pradžioje Dievas sukūrė dangų ir žemę. 
GEN.1.2	O žemė buvo padrika ir dyka, tamsa gaubė bedugnę, ir dvasia
GEN.1.3	Tuomet Dievas tarė: 
GEN.1.4	Dievas matė, kad šviesa buvo gera, ir Dievas atskyrė šviesą nuo tamsos. 
GEN.1.5	Dievas pavadino šviesą diena, o tamsą naktimi. Atėjo vakaras ir išaušo rytas, pirmoji diena.
GEN.1.6	Dievas tarė: 
GEN.1.7	Dievas padarė skliautą ir atskyrė vandenis, buvusius po skliautu, nuo vandenų, buvusių viršum skliauto. Taip ir įvyko. 
GEN.1.8	Dievas pavadino skliautą dangumi. Atėjo vakaras ir išaušo rytas, antroji diena.
GEN.1.9	Dievas tarė: „Tebūna sutelkti vandenys po dangumi į vieną vietą ir tepasirodo sausuma!“ Taip ir įvyko. 
GEN.1.10	Dievas pavadino sausumą žeme, o vandenų telkinį jūromis. Ir Dievas matė, kad tai gera. 
GEN.1.11	Dievas tarė: „Teželdina žemė augmeniją: augalus, duodančius sėklą, ir visų rūšių vaismedžius, vedančius žemėje vaisius su sėklomis!“ Taip ir įvyko. 
GEN.1.12	Žemė išželdino augaliją: augalus, duodančius savo sėklą, ir visų rūšių medžius, vedančius vaisius su sėklomis. Ir Dievas matė, kad tai gera. 
GEN.1.13	Atėjo vakaras ir išaušo rytas, trečioji diena.
GEN.1.14	Dievas tarė: „Tebūna šviesuliai dangaus skliaute dienai nuo nakties atskirti! Teženklina jie metų laikus, dienas ir metus, 
GEN.1.15	tebūna jie šviesuliai dangaus skliaute žemei apšviesti!“ Taip ir įvyko. 
GEN.1.16	Dievas padarė du didžiulius šviesulius – didesnįjį šviesulį dienai valdyti ir mažesnįjį šviesulį nakčiai valdyti – ir žvaigždes. 
GEN.1.17	Dievas sudėjo juos į dangaus skliautą šviesti žemei, 
GEN.1.18	valdyti dieną bei naktį ir atskirti šviesą nuo tamsos. Ir Dievas matė, kad tai gera. 
GEN.1.19	Atėjo vakaras ir išaušo rytas, ketvirtoji diena.
GEN.1.20	Dievas tarė: „Teknibžda vandenys gyvūnų daugybe, teskraido paukščiai viršum žemės po dangaus skliautu!“ Taip ir įvyko. 
GEN.1.21	Dievas sukūrė didžiuosius jūros gyvūnus bei kitus judančius visų rūšių gyvūnus, knibždančius vandenyse, ir visus visų rūšių sparnuočius. Ir Dievas matė, kad tai gera. 
GEN.1.22	Dievas palaimino juos, tardamas: „Būkite vaisingi ir dauginkitės! Pripildykite jūrų vandenis, o paukščiai tesidaugina žemėje!“ 
GEN.1.23	Atėjo vakaras ir išaušo rytas, penktoji diena.
GEN.1.24	Dievas tarė: „Tepagimdo žemė visų rūšių gyvūnų: galvijus, roplius ir visų rūšių laukinius gyvulius!“ Taip ir įvyko. 
GEN.1.25	Dievas padarė visų rūšių laukinius žemės gyvulius, visų rūšių galvijus ir visų rūšių žemės roplius. Ir Dievas matė, kad tai gera.
GEN.1.26	Tuomet Dievas tarė: 
GEN.1.27	Dievas sukūrė žmogų pagal savo paveikslą,
GEN.1.27	pagal savo paveikslą sukūrė jį;
GEN.1.27	kaip 
GEN.1.29	Dievas tarė: „Štai daviau jums visus visoje žemėje sėklą teikiančius augalus ir visus medžius, vedančius vaisius su sėklomis; jie bus jums maistas. 
GEN.1.30	O visiems laukų gyvuliams, visiems padangių paukščiams ir visiems žeme rėpliojantiems gyvūnams, turintiems gyvybės alsavimą, – maistui visus žaliuosius augalus“. Taip ir įvyko. 
GEN.1.31	Dievas apžvelgė visa, ką buvo padaręs, ir iš tikrųjų matė, kad buvo labai gera. Atėjo vakaras ir išaušo rytas, šeštoji diena.
GEN.2.1	Taip buvo atbaigti dangus ir žemė bei visa jų galybė. 
GEN.2.2	Kadangi septintą dieną Dievas buvo užbaigęs darbus, kuriais buvo užsiėmęs, 
GEN.2.3	Dievas palaimino septintąją dieną ir padarė ją šventą, nes tą dieną jis ilsėjosi po visų kūrimo darbų.
GEN.2.4	Toks yra pasakojimas apie dangų ir žemę, kaip jie buvo sukurti.
GEN.2.4	Tą dieną, kai 
GEN.2.5	kai žemės laukuose dar nebuvo jokių krūmokšnių ir dar nebuvo išdygusi jokia laukų žolė, nes 
GEN.2.6	tik versmė trykšdavo iš žemės ir drėkindavo visą dirvos paviršių, – 
GEN.2.7	tuomet 
GEN.2.9	Iš žemės 
GEN.2.10	Upė išsilieja Edene sodui drėkinti. Už sodo ji skiriasi į keturias upes. 
GEN.2.11	Pirmosios vardas yra Pišonas. Tai vingiuojančioji per visą Havilos kraštą, kuriame yra aukso. 
GEN.2.12	(To krašto auksas yra rinktinis. Ten yra ir bdelio bei lazurito.) 
GEN.2.13	Antrosios upės vardas yra Gihonas. Tai vingiuojančioji per visą Kušo kraštą. 
GEN.2.14	Trečiosios upės vardas yra Tigras. Tai tekančioji į rytus nuo Asirijos. O ketvirtoji upė yra Eufratas.
GEN.2.16	Ir įsakė žmogui 
GEN.2.17	bet nuo gero bei pikto pažinimo medžio tau neleista valgyti, nes kai tik nuo jo paragausi, turėsi mirti“.
GEN.2.19	Taigi 
GEN.2.20	Žmogus davė vardus visiems galvijams, visiems padangių paukščiams ir visiems laukiniams žvėrims, tačiau sau tinkamo bendrininko nerado.
GEN.2.21	Tuomet 
GEN.2.22	O iš šonkaulio, kurį buvo išėmęs iš žmogaus, 
GEN.2.23	O žmogus ištarė:
GEN.2.23	„Štai pagaliau kaulas mano kaulų
GEN.2.23	ir kūnas mano kūno.
GEN.2.23	Ji bus vadinama žmona,
GEN.2.23	nes iš savo žmogaus buvo paimta
GEN.2.25	Jiedu buvo nuogi, žmogus ir jo žmona, tačiau nejautė jokios gėdos.
GEN.3.2	Moteris atsakė žalčiui: „Sodo medžių vaisius mes galime valgyti. 
GEN.3.3	Tik apie vaisių to medžio, kuris sodo viduryje, Dievas sakė: ‘Nuo jo nevalgysite nei jį liesite, kad nemirtumėte!’“ 
GEN.3.4	Bet žaltys tarė moteriai: „Jūs tikrai nemirsite! 
GEN.3.5	Ne! Dievas gerai žino, kad atsivers jums akys, kai tik jo užvalgysite, ir būsite kaip Dievas, žinantis, kas gera ir kas pikta“. 
GEN.3.6	Kai moteris pamatė, kad tas medis geras maistui, kad jis žavus akims ir kad tas medis žada duoti išminties, ji skynėsi jo vaisių ir valgė, davė ir savo vyrui, buvusiam su ja, ir šis valgė. 
GEN.3.7	Tuomet abiejų akys atsivėrė, ir jiedu suprato esą nuogi. Jie susiuvo figmedžio lapus ir pasidarė juosmens aprišalus.
GEN.3.8	Išgirdę 
GEN.3.9	Bet 
GEN.3.10	Jis atsiliepė: „Išgirdau tave vaikščiojantį sode ir nusigandau, nes buvau nuogas; todėl pasislėpiau“. 
GEN.3.11	[Dievas] jo klausė: „Kas gi tau pasakė, kad tu nuogas? Gal valgei vaisių nuo medžio, kurio vaisių buvau tau įsakęs nevalgyti?“ 
GEN.3.12	Žmogus atsakė: „Moteris, kurią man davei būti su manimi, davė man vaisių nuo to medžio, aš ir valgiau“. 
GEN.3.13	 Dievas kreipėsi į moterį: „Kodėl taip padarei?“ Moteris atsakė: 
GEN.3.15	Aš sukelsiu 
GEN.3.16	O moteriai jis tarė: „Aš padauginsiu tavo skausmus per nėštumą; skausme gimdysi vaikus, bet aistringai geisi savo vyro, o jis valdys tave“.
GEN.3.17	O žmogui jis tarė: „Kadangi tu paklausei savo žmonos balso ir valgei nuo medžio, apie kurį buvau tau įsakęs: ‘Nuo jo nevalgysi!’ – 
GEN.3.18	Erškėčius ir usnis ji tau želdins, maitinsiesi laukų augalais. 
GEN.3.19	Savo veido prakaitu valgysi duoną, kol sugrįši žemėn, nes iš jos buvai paimtas. Juk dulkė esi ir į dulkę sugrįši!“
GEN.3.20	Žmogus pavadino savo žmoną Ieva
GEN.3.21	 Dievas padarė drabužius iš kailių žmogui bei jo žmonai ir aprengė juos.
GEN.3.22	Tuomet 
GEN.3.23	Todėl 
GEN.3.24	Išvaręs žmogų, jis pastatė į rytus nuo Edeno sodo kerubus ir liepsna švytruojantį kalaviją kelio prie gyvybės medžio saugoti.
GEN.4.1	Vyras pažino savo žmoną Ievą, ji pastojo ir pagimdė Kainą. „
GEN.4.2	Po to ji pagimdė jo brolį Abelį. Abelis tapo aviganiu, o Kainas žemdirbiu. 
GEN.4.3	Laikui bėgant, Kainas aukojo 
GEN.4.4	o Abelis savo ruožtu aukojo savo kaimenės rinktines pirmienas. 
GEN.4.5	o į Kainą ir jo atnašą nepažvelgė. Todėl Kainas buvo labai piktas ir prislėgtas. 
