MAT.1.1	Raa inɗe maamiraaɓe Yeesu *Almasiifu, ɓii *Ibraahim ɓii *Dawda :
MAT.1.2	Ibraahim rimi Iciyaaku,
MAT.1.2	Iciyaaku rimi *Yaakuubu,
MAT.1.2	Yaakuubu rimi Yahuuda e rimdaaɓe muuɗum,
MAT.1.3	Yahuuda rimi Faares e Jaara, Tamar woni inna maɓɓe.
MAT.1.3	Faares rimi Hesruuna,
MAT.1.3	Hesruuna rimi Aram,
MAT.1.4	Aram rimi Aminadabu,
MAT.1.4	Aminadabu rimi Naasuna,
MAT.1.4	Naasuna rimi Salmuuna,
MAT.1.5	Salmuuna rimi Bo'es, Rahab woni inna ma'ako,
MAT.1.5	Bo'es rimi Obida, Ruut woni inna ma'ako,
MAT.1.5	Obida rimi Jesse,
MAT.1.6	Jesse rimi laamiiɗo *Dawda.
MAT.1.6	Dawda rimi Suleymaanu, mo o rimdi e koree Uuriyano,
MAT.1.7	Suleymaanu rimi Rehobowam,
MAT.1.7	Rehobowam rimi Abiya,
MAT.1.7	Abiya rimi Aaca,
MAT.1.8	Aaca rimi Yehosafat,
MAT.1.8	Yehosafat rimi Yoram,
MAT.1.8	Yoram rimi Ajaariya,
MAT.1.9	Ajaariya rimi Yotam,
MAT.1.9	Yotam rimi Ahas,
MAT.1.9	Ahas rimi Hejekiya,
MAT.1.10	Hejekiya rimi Manasa,
MAT.1.10	Manasa rimi Amon,
MAT.1.10	Amon rimi Yoosiya,
MAT.1.11	Yoosiya rimi Yekooniya e rimdaaɓe muuɗum.
MAT.1.11	Nder wakkaci ma'ajum Isiraa'iila'en konaa njaharaa lesdi Babiila.
MAT.1.12	Ɓaawo jahareeki maɓɓe Babiila,
MAT.1.12	Yekooniya rimi Salaatiyel,
MAT.1.12	Salaatiyel rimi Jarubabel,
MAT.1.13	Jarubabel rimi Abihudu,
MAT.1.13	Abihudu rimi Eliyaakim,
MAT.1.13	Eliyaakim rimi Ajoora,
MAT.1.14	Ajoora rimi Saduku,
MAT.1.14	Saduku rimi Akim,
MAT.1.14	Akim rimi Eliyuda,
MAT.1.15	Eliyuda rimi Eliyaajaru,
MAT.1.15	Eliyaajaru rimi Mattan,
MAT.1.15	Mattan rimi Yaakuubu.
MAT.1.16	Yaakuubu rimi Yusufu, koree Maryaama.
MAT.1.16	Maryaama kam woni inna Yeesu bi'eteeɗo Almasiifu.
MAT.1.17	To noon, gada Ibraahim faa wargo Dawda ɗum jaamanuuji sappo e nayi, gada Dawda faa wargo nde *Yahuudu'en konaa njaharaa Babiila ɗum jaamanuuji sappo e nayi, gada jahareeki Yahuudu'en Babiila faa wargo e Almasiifu boo, ɗum jaamanuuji sappo e nayi.
