JON.1.1	Keriab Yaweb dora Amitaib nono Yona gam ogureaga. 
JON.1.2	Nu menüm wageaga, “Na siradibe Niniwe fib erekokai gam kümüne. Na kümnabe ferefinabur dora sogi dünige. Ye kegeafotun nin kabia kogi fanam gedge.” 
JON.1.3	Bangeaga ko, Yona Keriab Yawe ebügadid gudi, fib Tarsis kümnebüregeaga. Bana nu siradid fib Yopa gen baba gam kümneaga. Bangüdi nu oude ere güre, fib Tarsis kümne büregeaga baba kaiweaga. Nu oude ere murugafütudi oude ere taugeg ferewar kiab kekia ebeden. Nu Keriab Yawe ebügadid gudi kümne büregeaga.
JON.1.4	Bangeaga ko, Keriab Yawede kübür sogi sugurwar masyag gam taideaga. Bangar kübür tugu yag tugu sogi taideaga, bangar oude ere koigebüregeaga. 
JON.1.5	Oude ere taugegwar nin kimigen, bangar gürenakuti gürenagürena nugengab dugtaba yagwen. Nin oude ere kubweg urwen, bangarbere dabadaba düd masyag gam fotutugen. Bangeaga ko, Yona nu oude ere gadi gam egimena kanüdi kinbüreaga.
JON.1.6	Bangar oude ere debetaweg fere nu oguradi Yona menüm waweaga, “Amure na kinin? Na siradibe nagüb dugtaba yaguwe. Nu sigeure korarabuwar sagsigarbere kumeregüdargedag.” 
JON.1.7	Bangarbere oude ere taugeg ferewar siradid doragen, “Bana aimag fürüdie kub meme kogifursigebüregeaga baba fere sige sibamgeg.” Nin bangen babade Yonab yanim taideaga. 
JON.1.8	Bangar dora menüm wawen, “Na kub meme sige gam taideaga baba ginim wasige. Na meag am gün? Iyo! Na aragüb? Na am gingamnab?”
JON.1.9+JON.1.10	Bangarbere Yona maig menüm wangeaga, “Ye Ibrub, bangar ye Keriab Yawe gam kunube iruawaigün, nu fib namagamnab Keriab. Nude masyag, kümdim tugu idaweaga.” Bangarbere Yona nu oude ere taugeg ferewar menüm wangeaga, “Ye Keriab ureadi gun.” Nin dora baba edid kimgen. “Na am daba gün?” Nin sibamgafotuwen, Yona Keriab Yaweüre guweaga, wangafotuweaganwai babaure.
JON.1.11	Kübür tugu masyag tugu sogi siradeaga. Bangarbere oude ere taugegwar Yona menüm totowen, “Sin nag gam am bangüdarbere, masyag kumar sin nama büreregenan?” 
JON.1.12	Bana Yona maig menüm wangeaga, “Nin ye dibe masyag nigumo fotyarye masyag kumeregeaga. Ye sibam, masyag erekokai nin gam taideaga baba ige ginim.”
JON.1.13	Bangeaga ko, oude ere taugeg ferewar nin oude ere did merai kumnebüregen, bangar nin oude sogi oren. Bangen ko, masyag sogi ferar, nin udi gam taidegi dirugungeaga. 
JON.1.14	Bangar nin Keriab Yawe menüm yagwen, “Keriab Yawe, sin nagure sibdibwenan. Bana sin fere meme masyag nigumo fotugar, bana nag sin eusigab kumubugona. Fere gürede fere güre orfotuwar, nag fere baba doragam ifrugawaigün baba sike, sin daka dora gam difrusigegena. Keriab Yawe nagüb ututun gürena daiudi meme kub taideaga.” 
JON.1.15	Bana Yona kuadüdi masyag gam fotwen, bangar masyag kumeaga. 
JON.1.16	Oude ere taugeg ferewar Keriab Yaweüre erekokai kimgüdi, Keriab Yawe keab bai früdi kob gürena iferen.
