MAT.1.1	Gava si o lil katar e vicha e Jesukristoki, vou saia katar e vicha e Davideki ta i e Abraameki. 
MAT.1.2	O Abraam saia o dad e Isaakeko, a o Isaak saia o dad e Santiagoko, a o Jakob saia o dad e Judaeko ta i lenge pplalengo. 
MAT.1.3	A o Juda saia o dad e Fareseko ta i e Sarako a leki dei saia e Tamar, a o Fares saia o dad katar o Esrom a o Esrom saia o dad e Arameko.
MAT.1.4	A o Aram saia o dad e Amidanabeko, a o Aminadab saia o dad e Naasonoko, a o Naason saia o dad e Salmonoko. 
MAT.1.5	A o Salmon saia o dad e Boosko, a leki dei saia e Rahab, a o Boos saia o dad e Obednoko a e Obedneki dei saia e Rut, a o Obed saia o dad e Isaieko. 
MAT.1.6	A o Isai saia o dad e Davideko, o charo, a o charo David saia o dad e Salomonoko kai leki dei saia romi e Uriaseki. 
MAT.1.7	A o Salomon saia o dad e Roboameko, a o Roboam saia o dad e Abiaseko, a o Abias saia o dad e Asaeko.
MAT.1.8	A o Asa saia o dad e Josafateko, a o Josafat saia o dad e Jorameko, a o Joram saia o dad e Usiaseko. 
MAT.1.9	A o Usias saia o dad e Jotameko, a o Jotam saia o dad e Akaseko, a o Akas saia o dad e Ezekiaseko. 
MAT.1.10	A o Ezekias saia o dad e Manaseseko, a o Manases saia o dad e Amonoko, a o Amon saia o dad e Josiaseko. 
MAT.1.11	A o Josias saia o dad e Jekoniaseko, ta i lenge pplalengo ando vreme kana inllarde ppangle e llenen katar o Israel ande Babilonia. 
MAT.1.12	O Jokonias saia o dad e Salatieleko, a o Salatiel saia o dad e Zorobabeleko. 
MAT.1.13	A o Zorobabel saia o dad e Abiudeko, a o Abiud saia o dad e Eliakimeko, a o Eliakim saia o dad e Asoreko. 
MAT.1.14	A o Asor saia o dad e Sadokeko, a o Sadok saia o dad e Akimeko, a o Akim saia o dad e Eliudeko. 
MAT.1.15	A o Eliud saia o dad e Eleasareko, a o Eleasar saia o dad e Mataneko, a o Matan saia o dad e Santiagoko. 
MAT.1.16	A o Jakob saia o dad e Joseeko, a o Jose saia rom e Mariako kai lake maladilo o Jesus kai ikkarena le o Kristo. 
MAT.1.17	Goleke sa e viche si desustar, katar o David llik kai o Abraam si desustar, katar o David llik kana inllarde e llenen katar o Israel ande Babilonia si desustar, ta kotar llik kai o Kristo si desustar.
MAT.1.18	Gia si sar biandilo o Jesukristo: E Maria leki dei saia mangli pala o Jose
MAT.1.19	O Jose lako rom sar saia chacho, ta ni kamela te del la ando lallao mangela te mukel la po chorial. 
MAT.1.20	Kana mislilape ande gala ezgode, iek suecho e Devleko sikadilo leke ande sune, ta ppenda leke: Jose chavo e Davideko, na dara te zini tut e Mariaia, soke so si te maladol lake, avel katar o Santo Duo. 
MAT.1.21	Ta ka maladol lake iek minono ta ka ttove leko anau, Jesus, soke vou ka braduil pe foro katar lengo bilachipe.
MAT.1.22	Sa gala ezgode nakkle te sai cherdol so ppendaia o Del katar o porauko:
MAT.1.23	“Iek chei ka achel ppari
MAT.1.23	ta ka maladol lake iek minono,
MAT.1.23	kai ka ttoven leko anau Emanuel”
MAT.1.23	gua si: “O Del amenchar.”
MAT.1.24	Kana o Jose llungadilo katar o suno, cherda sa so ppendaia leke o suecho, ta lia e Maria sar pi romi. 
MAT.1.25	Ta ni zivisarda laia ande iek ttan lligo ni maladilo lake lako edino chaurro; ta o Jose ttoda leko anau Jesus.
MAT.2.1	O Jesus biandilo ando Belen katar e Judea, ande llivesa kana o Erodes gazdarila goia ppuv. Ondaka avile katar o oriente ando Jerusalem nesave bizai manus; von sikona katar e cheraia. 
MAT.2.2	Ta puchena:
MAT.2.2	—¿Kai talo o charo e judionengo kai biandilo? soke amen dikklam leki cherain ando oriente,
MAT.2.3	Kana o charo o Erodes asunda gaia orba, jolailo vou ta i sa o foro. 
MAT.2.4	Ondaka o Erodes chidia sa e mai bare poponen, ta kote sea ikkarde i e kovache e zakonoke ta puchla len kai saia te biandol o Kristo. 
MAT.2.5	Von ppende leke:
MAT.2.5	—Ando Belen katar e Judea, soke o porauko pisisarda gia:
MAT.2.6	‘A tu Belen katar e ppuv katar e Judea,
MAT.2.6	ni san o mai minono
MAT.2.6	katar e Judeaki charoina;
MAT.2.6	soke tutar ka likel gua kai ka sikavel o drom
MAT.2.6	ta ka arakkel me foro o Israel.’
MAT.2.7	Ondaka o Erodes ikkarda po chorial e bizaien ta llangla o vreme chachuno kana sikadili e cherain. 
MAT.2.8	Ondaka bichalda len ando Belen, ta ppenda lenge:
MAT.2.8	—Llan incha ta puchen bizaimaia katar o minono. Ta kana ka malaven le, ppenenle mange te sai llau i me te blagosiu le.
MAT.2.9	Kana von asunde e charo lleletar; a e cherain kai dikklea ando oriente llala angla lende lligo ni achili kote upral kai saia o minono. 
MAT.2.10	Ta kana e bizai manus dikkle e cherain, veselisaile but. 
MAT.2.11	Kana die ando cher dikkle e minone leke da, e Mariaia; ta ttodepe changenchar ta blagosisarde le. Ondaka putarde pe baulia minone ta die le sunakai, taimano, ta i mirra. 
MAT.2.12	A o Del sikada lenge ande sune te na irinpe kai o Erodes, goleke von irisaile ande pi ppuv katar aver drom.
MAT.2.13	Kana e bizai manus lleletar, iek suecho e Devleko sikadilo e Joseeke ande sune, ta ppenda leke: “Uste, le e minone ta i leke da, ta nas ando Ejipto ta achi incha llik kana me ka ppenau chuke, soke o Erodes ka rodel e minone te mundarel le.”
MAT.2.14	Ondaka kana o Jose llungadilo, lia e minone ta i leke da, ta llelotar orachaia po drom kai llal ando Ejipto. 
MAT.2.15	Ta achilo kote llik kana mulo o Erodes; te sai cherdol so ppendaia o Del katar o porauko kana ppenda: “Katar o Ejipto ikkardem me chaurre.”
MAT.2.16	Ondaka kana o Erodes acharda kai e bizai manus kojade le, lia le iek bari joli ta bichalda te mundaren sa e minonen duie bursenge ta i e mai minonen kai sea ando Belen ta i truial letar, prema o vreme kai ppendea leke e bizai manus. 
MAT.2.17	Gia cherdilo so ppendaia o porauko o Jeremias, kana ppenda: 
MAT.2.18	“Asundilo iek avazi ande Rama,
MAT.2.18	baro roipe ta kukipe.
MAT.2.18	E Rakel saia kai rovela cheres pe chaurre
MAT.2.18	ta ni kamela te den la zor, soke lake chaurre mulea.”
MAT.2.19	A kana mulo o Erodes, iek suecho e Devleko sikadilo e Joseeke ande sune ando Ejipto, ta ppenda leke: 
MAT.2.20	“Uste, le e minone ta i leke da, ta irisao ando Israel, soke mule gola kai rodena te mundaren e minone.”
MAT.2.21	Ondaka o Jose ustilo, lia e minone ta leke da, ta llelotar ando Israel. 
MAT.2.22	A kana asunda kai o Arkelao gazdarila po ttan pe dadeko e Erodeseko, o Jose darailo te llal incha soke o Del sikadaia leke ande sune so te cherel; goleke llelotar ande Galilea, 
MAT.2.23	ta beslo ando foro kai ikkardol Nazaret, te sai cherdol so saia ppendo katar e poraukura, kai saia te ikkaren le nazareno.
MAT.3.1	Nakkle e bursa ta o Juan gua kai kristila sikadilo po pusto katar e Judea. 
MAT.3.2	Ta ppenela: “¡Irin tumen katar tumare bilache droma soke e charoina e Devleki si pase!”
MAT.3.3	O porauko o Isaias dela orba katar o Juan kana ppenda:
MAT.3.3	“iek lleno urkil po pusto:
MAT.3.3	Lacharen o drom e Gazdako;
MAT.3.3	putaren leke iek drom orta.”
MAT.3.4	E Juaneke patave sea cherde katar e bal e devake, ta saia le iek kavisi morchako, ta leko jape saia langoste ta aullin kai rodela pe burdura.
MAT.3.5	Sa e llene katar o Jerusalem ta e llene katar e ppuv e Judeaki, ta katar sa e forura kai si truial katar o Jordan llana te asunen le. 
MAT.3.6	Ta ppenena sa po bilachipe, ta o Juan kristisarela len ando pai katar e len kai ikkardol Jordan.
MAT.3.7	Kana dikkla vou kai but katar e fariseura ta i katar e saduseura avena kai leko kristope, ppenda lenge: “¡Vicha sapengi! ¿Ko ppenda tumenge kai ka nasen katar e bari patnia kai ka avel? 
MAT.3.8	Cheren ezgode te sai dikkol bristomaia kai irisailen kai o Gazda, 
MAT.3.9	na istardon ta na ppenen isto tumenge: ‘Amen sam katar e vicha e Abraameki.’ Soke chachimaia ppenau tumenge kai llik gale barren o Del sai cherel len vicha e Abraameki. 
MAT.3.10	O tover si ttodo te chindol lea e kasta llik katar lenge zile. Suako kas kai ni del lache septelie chindol ta chudiniaol ande iag.
MAT.3.11	Me, chachimaia kristiu tumen e paiea te sai irin tumen katar tumare bilache droma. A gua kai avel mapalal mandar, vou si mai zuralo neko me, kai ni sem lacho ni te inllarau leke sinele.
MAT.3.12	E pala si ande leko va, ta ka chistol o lliu ta ka fulavel le katar e char e suki. Ta ka guruvel po lliu ando cher kote kai gurudol o lliu, a e char suki ka ppabarel la ande iek iag kai nikada ni merel.”
MAT.3.13	Ondaka o Jesus avilo katar e Galilea kai e len katar o Jordan, kote kai saia o Juan te sai avel kristime letar. 
MAT.3.14	A o Juan ni kamela, ta ppenela:
MAT.3.14	—Tu trubul te kristo man; ¿A tu ave mande?
MAT.3.15	O Jesus ppenda leke:
MAT.3.15	—Muk te avelpe gia akana, soke gia si mai sukar te chera sa so si orta angla o Del.
MAT.3.15	Ondaka o Juan mukla le. 
MAT.3.16	Kana o Jesus kristisailo, likisto katar o pai ta o miloso putailo leke ta dikkla kai o Duo e Devleko fuliela sargo iek gulubo upral pe lete. 
MAT.3.17	Ondaka asundilo iek avazi katar o miloso kai ppenela: “Gava si mo Chaurro kai voliu le.”
MAT.4.1	Ondaka o Duo e Devleko inllarda e Jesuse po pusto te sai zumavel le o llavolo.
MAT.4.2	Kote achilo saranda llive ta saranda racha, ta bokkailo.
MAT.4.3	Ondaka o llavolo avilo pasa le, ta ppenda leke:
MAT.4.3	—Te san chachimaia o Chavo e Devleko, ppen gale barrenge te cherdon marrno.
MAT.4.4	A o Jesus ppenda leke:
MAT.4.4	—Ando Pisipe ppenel gia: ‘Na samo e marnetar ka zivil o manus, o manus zivil i katar suako alau kai likel katar e Devleko mui.’
MAT.4.5	Ondaka o llavolo inllarda le ando santo foro katar o Jerusalem ta ttoda le upral po ttan mai vazdino katar o cher e Devleko, 
MAT.4.6	ta ppenda leke:
MAT.4.6	—Te san chachimaia o Chavo e Devleko, chude tut tele, soke ando Pisipe ppenel gia:
MAT.4.6	‘O Del ka bichalel pe suechonen te arakken tut,
MAT.4.6	ta ka vazden tut pe vastenchar
MAT.4.6	te na eskombal cho porrno pe ni iek barr.’
MAT.4.7	A o Jesus ppenda leke:
MAT.4.7	—Ta i ando Pisipe ppenel gia: ‘Na ttou ando zumadipe e Gazda kai si cho Del.’
MAT.4.8	Mapalal o llavolo inllarda le pe iek burdo but baro, ta sikada leke sa e ppuvia e suetoke ta lengo baripe, 
MAT.4.9	ta ppenda leke:
MAT.4.9	—Me ka dau tut sa gala ezgode, te dea changa ta te blagosia man.
MAT.4.10	A o Jesus ppenda leke:
MAT.4.10	—Llatar llavolo, soke ando Pisipe ppenel gia: ‘Blagosisar e Gazda kai si cho Del, ta radisar samo leke.’
MAT.4.11	Ondaka o llavolo mukla le, ta avile e suechura te pomozin le.
MAT.4.12	Kana o Jesus asunda kai ppangle e Juane,
MAT.4.13	Ta ni achilo ando Nazaret, vou llelo ando Kafernaum, kote beslo ande iek foro kai saia pasa e mora; ande ppuv katar o Zabulon ta katar o Neftali. 
MAT.4.14	Gala ezgode nakkle te sai cherdol so ppendaia o porauko o Isaias kana ppenda:
MAT.4.15	“E ppuv katar o Zabulon, ta e ppuv katar o Neftali;
MAT.4.15	o drom kai llal kai e mora
MAT.4.15	pe o goia rig katar o Jordan
MAT.4.15	ande Galilea, kote kai zivin e llene kai inai judiura.
MAT.4.16	O foro kai besela ando truñariko,
