MAT.1.2	Burahemu wamuzhala Isaka. Isaka akimuzhala Jakobu. Jakobu akimuzhala Juda na nduguze a kilume. 
MAT.1.3	Juda akimuzhala P'erezi na Zera (mameye P'erezi na Zera were anaifwa T'amari). P'erezi, akimuzhala Hezironi. Hezironi, akimuzhala Aramu. 
MAT.1.4	Aramu, akimuzhala Aminadabu. Aminadabu, akimuzhala Nashoni. Nashoni akimuzhala Salimoni, 
MAT.1.5	Salimoni akimuzhala Boazi (mameye Boazi were anaifwa Rahabu). Boazi, akimuzhala Obedi (mameye Obedi were anaifwa Ruth'u). Obedi, akimuzhala Jese, 
MAT.1.6	babaye muthawali Daudi. Daudi akimuzhala Selemani, (ho kwandza mameye Selemani wakala ni mukaza Uria). 
MAT.1.7	Selemani naye akimuzhala Rehoboamu. Rehoboamu akimuzhala Abija. Abija akimuzhala Asafu. 
MAT.1.8	Asafu akimuzhala Jehoshafati. Jehoshafati akimuzhala Joramu. Joramu akimuzhala Uzia. 
MAT.1.9	Uzia akimuzhala Jothamu. Jothamu akimuzhala Ahazi. Ahazi akimuzhala Hezekia. 
MAT.1.10	Hezekia akimuzhala Manase. Manase akimuzhala Amoni. Amoni akimuzhala Josia. 
MAT.1.11	Josia akimuzhala Jekonia na nduguze a kilume makathi Ayahudi marihokala manahalwa mateka kwenda Babiloni.
MAT.1.12	Bada ya kuhalwa mateka kwa Ayahudi kugoma, Jekonia akimuzhala Salathieli. Salathieli akimuzhala Zerubabeli. 
MAT.1.13	Zerubabeli akimuzhala Abiudu. Abiudu akimuzhala Eliakimu. Eliakimu akimuzhala Azori. 
MAT.1.14	Azori, akimuzhala Zadoki. Zadoki akimuzhala Akimu. Akimu akimuzhala Eliudi. 
MAT.1.15	Eliudi akimuzhala Eliazari. Eliazari akimuzhala Mathani. Mathani akimuzhala Jakobu. 
MAT.1.16	Na Jakobu akimuzhala Josefu. Josefu nde ariyekudzakala mulume wa Maryamu, mameye Jesu. Na Jesu nde iye Masihi.
MAT.1.17	Kwa vizho kula Burahemu hatha muthawali Daudi, kwakala na vizhazi kumi na vine. Na kula Daudi hatha kuhalwa mateka kwa Ayahudi kuhirikwa Babiloni, kukikala na vizhazi kumi na vine kaheri. Na kula wakathi wa kuhalwa mateka kwa Ayahudi kuhirikwa Babiloni hatha kuzhalwa kwa iye Masihi, nako kukikala na vizhazi kumi na vine.
MAT.1.19	Bai kwa kukala Josefu were ni mut'u muhachi k'ahendzeze kumugwiza aibu muchewe mbere za at'u bule, waona ni baha amuriche kisiri-siri. 
MAT.1.20	Vikara arihokala achere kuviaza, lola malaika wa Bwana akimwambolera ndosoni akimwamba, “Josefu mwana wa Daudi,
MAT.1.21	Naye andazhala mwana mulume, na mwana iye undamwiha Jesu, mana iye nde andeaokola at'ue kula kahi za dambi zao.” 
MAT.1.22	Bai vivi zhosi zhakala ili ro neno ririronenwa ni Bwana kukira kwa nabii rithimire. Kwani nabii wanena akiamba,
MAT.1.23	na andazhala mwana mulume
MAT.1.23	na dzinare andaifwa Imanueli,
MAT.1.23	yani Mulungu hamwenga naswi.”
MAT.1.24	Vikara Josefu ariholamuka, akihenda vizho arizhokala adzalagizwa ni ye malaika. Wamuhala Maryamu, 
MAT.1.25	ela k'alalire naye hatha akimuzhala ye mwana wa kilume. Na Josefu akimwiha Jesu.
MAT.2.1	Jesu wazhalwa mudzi wa Beth'elehemu, uriwo kahi za jimbo ra Judea, makathi ga muthawali Herode. Vikara Jesu arihozhalwa, lola kwakudza at'u alachu
MAT.2.2	Bai marihofika Jerusalemu mauza, “Yuno muthawali wa Ayahudi ariyezhalwa a hiko? Kwani fwayona yo nyenyezi ya kwakwe kuko mwambolero wa dzuwa, naswi hudzire humuvoye.” 
MAT.2.3	Bai muthawali Herode hamwenga na at'u osi a Jerusalemu mabudzyika sana marihosikira uv̱oro uwo. 
MAT.2.4	Na kwa ut'u uwo, Herode akiaiha alombi abomu na alimu a Sheria a Kiyahudi, akiauza kala Masihi were andazhalwa hiko. 
MAT.2.5	Makiamba, ni Beth'elehemu, mudzi uriwo Judea. Kwani vizho ndo nabii arizhoora akiamba,
