MAT.1.1	Hiyana nan lestaan nan kaap-uwan Jesu Cristo ay kianak David, ya hi David at kianak Abraham. 
MAT.1.2	Hi Abraham at aman Isaac. Hi Isaac at aman Jacob. Hi Jacob at aman cha Juda ay hen-anag-i. 
MAT.1.3	Hi Juda at aman cha Fares kan Zara, ya nan enacha at hi Tamar. Hi Fares at aman Esrom. Hi Esrom at aman Aram.
MAT.1.4	Hi Aram at aman Aminadab. Hi Aminadab at aman Naason. Hi Naason at aman Salmon. 
MAT.1.5	Hi Salmon at aman Boaz, ya nan enan Boaz at hi Rahab. Hi Boaz at aman Obed, ya nan enan Obed at hi Ruth. Hi Obed at aman Jesse. 
MAT.1.6	Hi Jesse at aman Ari David.
MAT.1.6	Hi David at aman Solomon, ya nan enan Solomon at sikud ay asawan Urias.
MAT.1.7	Hi Solomon at aman Roboam. Hi Roboam at aman Abias. Hi Abias at aman Asa. 
MAT.1.8	Hi Asa at aman Josafat. Hi Josafat at aman Joram. Hi Joram at aman Ozias.
MAT.1.9	Hi Ozias at aman Joatam. Hi Joatam at aman Acaz. Hi Acaz at aman Ezekias. 
MAT.1.10	Hi Ezekias at aman Manases. Hi Manases at aman Amon. Hi Amon at aman Josias. 
MAT.1.11	Hi Josias at aman cha Jeconias ay hen-anag-i. Enpototna chicha as nan timpu ay naiyuyan nan chiyuycha kianak Israel ad Babilonia.
MAT.1.12	Kuncha pay wacha ad Babilonia, enpotot Jeconias hi Salatiel. Hi Salatiel at aman Zorobabel.
MAT.1.13	Hi Zorobabel at aman Abiud. Hi Abiud at aman Eliakim. Hi Eliakim at aman Azor. 
MAT.1.14	Hi Azor at aman Sadoc. Hi Sadoc at aman Akim. Hi Akim at aman Eliud. 
MAT.1.15	Hi Eliud at aman Eleazar. Hi Eleazar at aman Matan. Hi Matan at aman Jacob. 
MAT.1.16	Hi Jacob at aman Jose. Hi Jose at asawan Maria ay enan Jesus, ya hi Jesus nan makali un Cristo.
MAT.1.17	Isunga, hinpuru ya opat am-in nan kaap-uwan Jesus manipud kan Abraham inkiana kan David. Hinpuru ya opat us ay kaap-uwan manipud kan David inkiana as nan naiyuyan nan chiyuycha kianak Israel ad Babilonia. Wacha us chi hinpuru ya opat ay kaap-uwan manipud as nan naiyuyan nan chiyuycha kianak Israel ad Babilonia inkiana as nan naiyankan Cristo.
MAT.1.18	Hiyana nan kaap-apatan nan naiyankan Jesu Cristo. Hi Maria ay enana at naetfor kan Jose. Ngem sakbay nunteponcha, naammuwan at ay masikug hi Maria babaen as nan pannakafialin nan Espiritu Santo.
MAT.1.19	Kiapú ta nalintig ay taku hi Jose ay asawana, ya achina laychun ay ifiafiain hi Maria as nan sangwanan nan tataku, ninumnumna ay iyichangna hiya ay achi maam-ammuwan nan tataku. 
MAT.1.20	As nan chana mangnumnumnuman as na, nunpaila babaen as nan iitawna nan anghel nan Apo. Kenalen nan anghel, “Jose ay kianak David, achika umugyat ay mangetepon kan Maria, tay nan nasikukianana at babaen as nan pannakafialin nan Espiritu Santo. 
MAT.1.21	Iyanaknantu nan laraki, ya ngadnam as Jesus, tay hiya nan mangesarakantu as nan tatakuna as nan fiasfiasorcha.”
MAT.1.22	Enommat am-in chaná ta matongpar nan enpaifiakian Apo Dios as nan usa ay pomapadtu ay kanana, 
MAT.1.23	“Munsikugtu nan usa ay fiarasang ay maid laraki as nakiskissuy kan hiya. Iyanaknantu nan usa ay laraki ay mangadnantu as Immanuel.”
MAT.1.24	Kun pay finmangun hi Jose, enatna nan infiakian nan anghel nan Apo, at entepona hi Maria. 
MAT.1.25	Ngem chaan nakiskissuy kan Maria inkiana inyanakna nan mutun ay laraki. As nan hiyachi, ngenadnan Jose nan mutun as Jesus.
MAT.2.1	Naiyanak hi Jesus henan ili ay Betlehem henan probinsiya ay Judea as nan timpon Ari Herodes. Kun pay chaan nafiayag, wachacha nan inmuy ad Jerusalem ay nurpu henan tukutukún ay luglukiar as apét fomokfoknakian nan urkiw. Chicha nan mamasilib ay lanaraki ay mangad-achar as maepangkep as taraw. 
MAT.2.2	Kuncha pay inumchan hid-i, senarudsudcha, “Ay chaud nan kaiyan-anak ay aren chi Judio? Tay inilami met nan fenmoknakian nan taraw ay sinyar nan naiyankana, at enmali kami ay munchayaw kan hiya.”
MAT.2.3	Kun pay nachamag Ari Herodes nan infiakiacha, nalilifokan hiya as makasolet,
MAT.2.4	Isunga enpaayagna nan am-in ay ap-apon chi papachi ya mun-isursuru as Lintig, at ensarochakchakna kan chicha mu ay chaud nan maiyankantu nan Cristo. 
MAT.2.5	Tinumforcha kan hiya, “Ad Judea henan ili ay Betlehem, tay hiyana nan insurat nan pomapadtu ay kanana un,
MAT.2.6	‘Chakayu ay tataku ad Betlehem henan lutan Juda, figfikun chakayu henan am-in ay ili ad Juda, tay chakayu nan murpuwan nan usa ay muntoray ay mangaywan as nan tatakok ay kianak Israel.’ ”
MAT.2.7	Angkiay ya enpaayag Herodes nan chiyuycha mamasilib ay lanaraki ay chidchicha yangkiay, at naammuwana kan chicha nan ustu ay uras ay nunpail-an nan taraw. 
MAT.2.8	Kuna pay infiaor chicha ad Betlehem, infilina, “Umuy kayu's chi, ya emamadyu man ay manganap as nan onga. As nan manguchananyu, epakaammuyu kan ha-un ta uyaktu us munchayaw kan hiya.”
MAT.2.9+MAT.2.10	Kuncha pay chinngor nan kenalen nan ari, nunligwatcha. As nan chacha manarcharanan, inilacha kasin nan chiyuy taraw ay inilacha as nan kawad-ancha pay laing henan fomokfoknakian nan urkiw. Naragsakancha as solet as nan nangil-ancha as nan taraw. Nan chiyuy taraw at enpanguna chicha inkiana naitungor as nan kawad-an nan onga. 
MAT.2.11	Kuncha pay sinungkop as nan afong ya inilacha nan onga ya hi Maria ay enana, nunpalintumangcha ay nunchaychayaw as nan onga. Tenkafiancha nan nangiittuwancha as nan nunkangina ay ichatcha ay fialetok, insenso ya mirra.
MAT.2.12	Angkiay ya as nan kenmatamancha henan lukiarcha, tukún nan inuycha kiapú ta enpaiitaw Apo Dios kan chicha ay achicha munfiangad kan Herodes.
MAT.2.13	Kun pay nak-ak nan chiyuycha mamasilib ay lanaraki, nunpaila nan anghel nan Apo kan Jose babaen as nan iitawna. Kenalen nan anghel, “Fumangunka. Etakinmu nan hen-ena ya lomayaw kayu ay umuy ad Egipto.
MAT.2.14	Hiya at chi ya finmangun hi Jose. Entakina nan hen-ena, ya nunligwatcha ay inmuy ad Egipto as nan hiyachi ay lafi. 
MAT.2.15	Nakiilicha hid-i inkiana natuy hi Herodes. Enommat am-in chaná ta matongpar nan enpaifiakian nan Apo as nan pomapadtu ay kanana, “Enayakiak nan anakku ta mak-ak ad Egipto.”
MAT.2.16	Kun pay naammuwan Herodes ay insikapan nan chiyuycha mamasilib ay lanaraki hiya, ongor chi fungatna. Isunga infilina ay maepapatuy nan am-in ay lallaraki ay mutun inkiana as nan anongong-a ay muntawwun as chuwa ad Betlehem ya henan am-in ay sakopuna. Enatna na ay maiyunud as nan timpu ay nangammuwana as nan naiyankan nan mutun as nan chiyuycha mamasilib ay lanaraki.
MAT.2.17	Hiyana nan natongparan nan kenalen Jeremias ay pomapadtu ad pus-uy ay kanana,
MAT.2.18	“Nadngor nan pararu ay tangugngug ya akorcha ad Rama. Cha ag-akiaran Raquel nan an-akna. Achina laychun ay maliwliwa, tay natuycha am-in.”
