MRK.1.1	Eiwa God da Mai, Yesu Keriso,
MRK.1.2	Peroveta manemi ge eiwa God mi ainda Mai de sisina awa gaguritera:
MRK.1.2	“Na bino piari embo piano gisi maundo,
MRK.1.2	ito begata gatedo dave aina.”
MRK.1.3	“Embo abu damodamoda aorogateira,
MRK.1.3	‘
MRK.1.4	Ango edo John gupusina abu damodamoda. Bapataito eite dengoro baiari pipiteite embode tedo esisina, “Itomane jimbo bebegae dodo God da yai wareregedo gumbuwo, bapataito ane. Ango awo God mi itomane jimbo bebegae kotembedo doware!” 
MRK.1.5	Yai Judea da embomai edo Jerusalem nasi ainda embomai idegedo maunsitera John ge sira awa ingain. Edo awamaneda jimbo bebegae karigedo gumboro Jodani unda bapataito edo esisina. 
MRK.1.6	John da gongo wo kamelo tumi ari awa ombudo, ainto ami bupuri jiari edo ainda indari awa wajina ae pika de. 
MRK.1.7	Ami aorogatedo tedo esisina, “Embo amboda gumaina awa na ango ae. Embo awa bajina edo na dave ae. Nane atembedo ainda tai woru teugari tao ae. 
MRK.1.8	Na imomane un mi bapataito ena. Ata embo ami awa, imomane Asisi Kotopu mi bapataito aina.”
MRK.1.9	Edo iji ribori dowae Yesu yai Galili doda nasi Nasaret edo gupusina. Edo gumbiri John mi embo awa Jodani unda bapataito esisina.
MRK.1.10	Yesu unda erido vitain eiri utu yaungesiri Asisi Kotopu ni ribo ango ainda yai wowoteiri gosisina. 
MRK.1.11	Edo ge yavi utuda engo gupusina, “Imo awa nato dubobari Mai. Nato dubodave ari bé ito yai.”
MRK.1.12	Ango esiri God da Asisi mi gisijido kundo abu damodamoda maunsisina. 
MRK.1.13	Edo deguta 40 isiri Satan
MRK.1.14	Ango edo Daotari Herod
MRK.1.15	“Ijibé awa gumbira eire. Embomai berari God da gisijiari gara! Itomane jimbo bebegae awa dodo God da yai wareregedo bino dave eiwa ingido gebé ewo!”
MRK.1.16	Ango edo Yesu Galili ubutu bengida ainto eite, wo iro ari embo tote (2) Simon ae ainda nameji Andrew de mongami wo barero gosisina. 
MRK.1.17	Yesu mi awamanede sisina, “Nato yaida puwo! Nane imomane atopatano gido embo bave.” 
MRK.1.18	Edo boraebé awamaneda monga dodo Yesu ambo ambo esitera.
MRK.1.19	Ango edo ainto edo saka iaragedo tenda embo nei tote (2) gosisina. James ae John de awa Zebedee da mamai. Awamane awa ma doda monga kakapegari awa sirigetera. 
MRK.1.20	Yesu awamane goteite borae sisina, “Na ambo ambo ewo!” Edo awamaneda mamo ae ainda buro embobo de ma doda dodo Yesu ambo ambo esitera.
MRK.1.21	Yesu ae ainda ambodani de Kapenium nasida guputera, Oena Apari Degutade.
MRK.1.22	Aindabé, imo awa Aodarida atopapasigari
MRK.1.23	Ango edo awamaneda benunu oroda embo asisi beyae
MRK.1.24	“Imo natokare yai ro ain jipapa esi Yesu Nasaret Embo? Imo nakare dedo sitain gumbesita? Na gotena. Imo awa God da Mai Kotopu!”
MRK.1.25	Yesu mi asisi beyaede mina sisina, “Ge teote ta embo awa dodo idegedo gumbu.” 
MRK.1.26	Edo asisi beyaemi embo awa jipeite, aorogateite emboda doda awa idegedo gupusina.
MRK.1.27	Embomi wasiri awa gido kore bajina edo mina tara esitera, “Wasiri eiwa rori? Eiwa atopatari teka. Embo eiwa badari bajina, awatedo asisi bebegae siri ainda ge kera era.” 
MRK.1.28	Ango edo Yesu da ge awa boraebé Galili gano nondari awa arapu esisina.
MRK.1.29	Yesu ae ambodani neneinde, James ae John de daedo, Judah embomainda benunu oro dodo Simon ae Andrew deda mandoda maunsitera. 
MRK.1.30	Edo Simon da imbosi awa karu dademo budo besida isiri guputera. Edo Yesu awa tetero gosisina. 
MRK.1.31	Yesu eutu ainda karuda ge awa gido maundo ipada jido kondade esiri erorisina. Edo ainda karu itae esiri awamane sima dave edo esisina.
MRK.1.32	Ainda amboda, iji wotesiri ainda turode, embomi Yesu da yai karu embomai de bineimaneda
MRK.1.33	Embomai berari nasi bajinada awa mando manguro beda dada esitera. 
MRK.1.34	Edo Yesu mi karu neindekainde awa gao euri kaviyegedo esitera. Edo bineimane embomainda doda awa ondeuri idegedo esitera. Edo awamane gari, Yesu awa God da Mai, awatedo, ine dowae bineimane ge tae.
MRK.1.35	Deguta neinde Yesu sipo ataede mandoda edo idegedo yai damodamoda maundo benunu tari tuturo esisina. 
MRK.1.36	Edo Simon ae ainda otatawo de Yesu kakowa eite idegedo maunsitera. 
MRK.1.37	Edo kakowa eiunte tamundo awamanemi sitera, “Embo berari awa imo kakowa era.”
MRK.1.38	Yesu awamanede mina sisina, “Kaende nasi nenei demonda itera ainda mambore. Na buro awa embo guputena, awatedo, yai ainda dengoro baiari piana.” 
MRK.1.39	Ango edo imo maundo Judah embomainda benunu oro yai Galili umbugo berarida dengoro baiari pipiteite, bineimane ondeuri idegedo esitera.
MRK.1.40	Embo da (1), ginimi tutupegari awa Yesu da yai gundo, baongo dadari edo ami kondade arate sisina, “Imo jipapa edo gido na eyo kaviyegane!”
MRK.1.41	Yesu embo awa gido do edo ipa ududugedo tujijieite sisina, “Een, na jipapa ena. Kaviyege!” 
MRK.1.42	Yesu mi ango tesiri emboda gini borae bé itae esiri kaviyegesisina.
MRK.1.43+MRK.1.44	Yesu embo ainde ge okain bé sisina, “Na imo eteno kaviyegeteta awa, embo neneinde teote! Ata, dambu darido mambuyo. Pirisimi
MRK.1.45	Ata embo awa maundo bino awa tesiri yai berari arapu esisina. Awatedo, Yesu nasi arapada isite emboda jisida iari tao ae. Ata imo tepo yai damodamoda isiuri embo yai berarida ami ainda yai gundo esitera.
MRK.2.1	Yesu deguta indewae itae esiri amboda egenembedo Kapenium nasida maunsisina. Edo embo awa mandoda isiri ainda bino yai berarida arapu esisina. 
MRK.2.2	Ango edo embomai jiwaebé gundo doregetero yai ato ae esisina, manguro be awa daedo. Edo Yesu mi God da ge awamanede piedo esisina. 
MRK.2.3	Edo embo ipa ao pasido (4) ami embo ipatai ambari awa bundedo Yesu da yai kundo guputera. 
MRK.2.4	Embomai doregesitera, awatedo, embo awa kundo ainda yai piari tao ae esitera. Ango esiri gido awamane mando tada visido sitoro kapedo yai Yesu isira ainda toto esitera. Ango edo embo kakateda awa dotero wowosisina.
MRK.2.5	Edo Yesu awamaneda gebé ari awa goteite ami embo ipatai ambaride sisina, “Mai nato, jimbo ito kotembedo doteno itae esira.”
MRK.2.6	Aodarida atopapasigari nenei, ainda anumbari ami akuta kotembesitera, 
MRK.2.7	“Embo eiwa nongo arimi ge engo siri? God da dao tedojijireira. God, imo akuta awa emboda jimbo kotembedo dowari itae aride!”
MRK.2.8	Yesu boraebé mina burisina, awamane nongo kotembeteri awa. Awatedo, Yesu mi awamanede sisina, “Nongaintedo imomane kotembari ango evi? 
MRK.2.9	Embo ipatai ambari einde, ‘Jimbo ito kotembedo doteno itae esira!’ tari awa gadaerita, ko ‘Erido topi ito kundo ainto e!’ tari ri? 
MRK.2.10	Nane itomane yai ano arapa ari gawa. Na awa Embo da Mai.
MRK.2.11	“Nane imonde tena. Eri! Topi ito kundo mando itoda mambuyo!” 
MRK.2.12	Edo awamane berari jijimbetero embo awa boraebé erido ainda topi jiri eriri kundo maunsisina. Awamane berari bé korebakore esitera. Edo God dasiga eite sitera, “Nakare wasiri engo awa gisi gae!”
MRK.2.13	Yesu tenda egenembedo Galili ubutu bengida maunsisina. Edo embomai jiwae gumbero atopatari tuturo esisina. 
MRK.2.14	Ango edo imo ainto eite tax kumbari embo gosisina. Levi, Alphaeus da mai awa, ainda buro oroda anumbedo isiri Yesu mi ainde sisina, “Na ambo ambo e!” Levi erido awa ambo ambo esisina.
MRK.2.15	Ainda amboda Levi mi Yesu ae ainda ambodani de kundo ainda mandoda gupusina. Bondo ain tesiri tax kumbari embobo ae embo bebegae de Yesu daedo ambo ambo esitera. Awamane berari doregedo anumbedo bondo injitera. 
MRK.2.16	Aodarida atopapasigari ae Parasi mane
MRK.2.17	Yesu mi awamaneda ge ingido mina sisina, “Embo karu itaemi siwo piari embo jipapa ae edo era, ata embo karude ami akuta. Na awa embo wasiri dambu darari
MRK.2.18	Iji angode John Bapataito Ari Emboda ambodani ae Parasi maneda ambodani de veta ero embo neneimi Yesu da yai gundo tedogositera, “Ro awa embo John Bapataito Ari Emboda ambodani ae Parasi maneda ambodani de benunu tain veta edo era ango, ito ae edo eri?”
MRK.2.19	Yesu tedogari mina sisina. “Jimbari tutuda embo topomi ainda jimbari bondo inono indae dowarita? Na imondemane eniya ge eiwa tano giwo! Jimbari tutu daedo itera ainde awamane veta ainyae. 
MRK.2.20	Ata iji gumbari awa jimbari tutu kundo mamaina, ango ari iji angode awa mamato eite veta ara.”
MRK.2.21	Yesu gosisina awa awamaneda atopatari matu ainde edo Yesu da atopatari teka ainde awa tegatega ari tao ae. Awatedo, Yesu mi eniya ge nei tekago sisina. “Embo da aimi gongo teka kundo ombari matu kerari awa gaiari tao ae. Ango aina awa, gongo tekami ombari matu awa dumbari keredo beyae aina. 
MRK.2.22	Embo da aimi waini
MRK.2.23	Yesu ae ainda ambodani de Oena Apari Deguta ainde wheat tutu begata barida maunsitera. Edo ainda ambodanimi wheat oen awa totokumbedo buritera. 
MRK.2.24	Awa gido Parasi manemi Yesu de sitera, “Ambodani itomi ge okain awa Oena Apari Degutade detero erigeteira.”
MRK.2.25	Yesu awamanede mina sisina, “Imomane David mi nongo esisini awa ajijigedo gaeta, beji mina budo awa ae ainda embobo de ro esiteri? 
MRK.2.26	Ami God da oroda torido bread matu God da jisida awa piesiri injitera. Iji angode Abiathar awa pirisida gisijiari bajina
MRK.2.27	Yesu mi awamanede sisina, “Oena Apari Deguta awa emboda dave awa embo ari, ata embomi Oena Apari Deguta awa embo ae. 
MRK.2.28	Awatedo, na, Embo da Mai awa daedo Oena Apari Deguta ainda Badari.”
MRK.3.1	Edo Yesu tenda egenembedo maundo Judah embomainda benunu oroda totorisina. Edo embo ipa ambari awa ainda isinesina. 
MRK.3.2	Embo nenei ainda itera ami imo jijimbesitera, Oena Apari Deguta ainde embo awa ari kaviyegainita awa gain. Ango ari gido imo bekumba ain. 
MRK.3.3	Yesu mi embo ipa ambari ainde sisina, “Visido arapada engo gumbu!”
MRK.3.4	Edo embomai ainde sisina, “Oena Apari Deguta de awara ari buro ro orote tari isiri, dave aririta, beyae ari ri? Emboda wasiri toregarita, dari betari ri?” Ata awamane ge tae esitera.
MRK.3.5	Yesu sinigambaride awamane jisini esisina. Ata aindabé do okain ari awamaneda yai isira awa gido awamane embo do ari burisina. Edo embo ipa ambari ainde sisina, “Ito ipa ududuge!” Embo awa ipa ududugesiri dave esisina, ainda ipa nei dave isira angó. 
MRK.3.6	Angode Parasi mane boraebé idegedo maunsitera, Herod da buro otatawo gido, awamanededa ge jirido Yesu daro betarate.
MRK.3.7	Ata Yesu ae ainda ambodani de dodo egenembedo Galili ubutuda maunsitera. Edo embomai jiwaebé Galili yaida, Judea yaida, 
